date_obj,Imp%20mask price
2015-03-26,121216
2015-03-27,121216
2015-03-28,115155
2015-03-29,109659
2015-03-30,104706
2015-03-31,99810
2015-04-01,99810
2015-04-02,95111
2015-04-03,95111
2015-04-04,91928
2015-04-05,91928
2015-04-06,87600
2015-04-07,87600
2015-04-08,84077
2015-04-09,84077
2015-04-10,81019
2015-04-11,81019
2015-04-12,77004
2015-04-13,74246
2015-04-14,74246
2015-04-15,71496
2015-04-16,71496
2015-04-17,68704
2015-04-18,68704
2015-04-19,66209
2015-04-20,66209
2015-04-21,63622
2015-04-22,63622
2015-04-23,62327
2015-04-24,62327
2015-04-25,62164
2015-04-26,62164
2015-04-27,60967
2015-04-28,60967
2015-04-29,60116
2015-04-30,59631
2015-05-01,59631
2015-05-02,58550
2015-05-03,58550
2015-05-04,58522
2015-05-05,58522
2015-05-06,57818
2015-05-07,57818
2015-05-08,57732
2015-05-09,57732
2015-05-10,56962
2015-05-11,56962
2015-05-12,57352
2015-05-13,57352
2015-05-14,58134
2015-05-15,58134
2015-05-16,57922
2015-05-17,57922
2015-05-18,57543
2015-05-19,57543
2015-05-20,57369
2015-05-21,57369
2015-05-22,57369
2015-05-23,57565
2015-05-24,57565
2015-05-25,57245
2015-05-26,57245
2015-05-27,58008
2015-05-28,58008
2015-05-29,59186
2015-05-30,60253
2015-05-31,60253
2015-06-01,61263
2015-06-02,61263
2015-06-03,60936
2015-06-04,60936
2015-06-05,60514
2015-06-06,60514
2015-06-07,61393
2015-06-08,61393
2015-06-09,61393
2015-06-10,62202
2015-06-11,62202
2015-06-12,62202
2015-06-13,63531
2015-06-14,63531
2015-06-15,61840
2015-06-16,61840
2015-06-17,63552
2015-06-18,63552
2015-06-19,63223
2015-06-20,63223
2015-06-21,62503
2015-06-22,62503
2015-06-23,61749
2015-06-24,61749
2015-06-25,61915
2015-06-26,61915
2015-06-27,62441
2015-06-28,62441
2015-06-29,62262
2015-06-30,62262
2015-07-01,62435
2015-07-02,62435
2015-07-03,62557
2015-07-04,62557
2015-07-05,62285
2015-07-06,62285
2015-07-07,63682
2015-07-08,63682
2015-07-09,63682
2015-07-10,66284
2015-07-11,66284
2015-07-12,66284
2015-07-13,66623
2015-07-14,66623
2015-07-15,66800
2015-07-16,66800
2015-07-17,68572
2015-07-18,68572
2015-07-19,70759
2015-07-20,73647
2015-07-21,73647
2015-07-22,76517
2015-07-23,76517
2015-07-24,79649
2015-07-25,79649
2015-07-26,80128
2015-07-27,80128
2015-07-28,83521
2015-07-29,85963
2015-07-30,85963
2015-07-31,86229
2015-08-01,86229
2015-08-02,86021
2015-08-03,86021
2015-08-04,88131
2015-08-05,89848
2015-08-06,89848
2015-08-07,90353
2015-08-08,90353
2015-08-09,93102
2015-08-10,93102
2015-08-11,94922
2015-08-12,94922
2015-08-13,94922
2015-08-14,97736
2015-08-15,97736
