date_obj,Vyrewatch%20legs price
2015-03-26,76140
2015-03-27,76140
2015-03-28,76140
2015-03-29,76140
2015-03-30,72398
2015-03-31,72398
2015-04-01,72398
2015-04-02,72398
2015-04-03,72398
2015-04-04,72398
2015-04-05,72398
2015-04-06,72398
2015-04-07,72398
2015-04-08,72398
2015-04-09,72398
2015-04-10,72398
2015-04-11,72398
2015-04-12,72398
2015-04-13,72398
2015-04-14,72398
2015-04-15,68827
2015-04-16,68827
2015-04-17,68827
2015-04-18,68827
2015-04-19,68827
2015-04-20,68827
2015-04-21,68827
2015-04-22,68827
2015-04-23,68827
2015-04-24,68827
2015-04-25,68827
2015-04-26,68827
2015-04-27,68827
2015-04-28,68827
2015-04-29,68827
2015-04-30,65451
2015-05-01,65451
2015-05-02,65451
2015-05-03,65451
2015-05-04,65451
2015-05-05,65451
2015-05-06,65451
2015-05-07,65451
2015-05-08,65451
2015-05-09,65451
2015-05-10,65451
2015-05-11,65451
2015-05-12,65451
2015-05-13,65451
2015-05-14,65451
2015-05-15,62254
2015-05-16,62254
2015-05-17,62254
2015-05-18,62254
2015-05-19,62254
2015-05-20,62254
2015-05-21,62254
2015-05-22,62254
2015-05-23,62254
2015-05-24,62254
2015-05-25,62254
2015-05-26,62254
2015-05-27,62254
2015-05-28,59219
2015-05-29,59219
2015-05-30,59219
2015-05-31,59219
2015-06-01,59219
2015-06-02,59219
2015-06-03,59219
2015-06-04,56340
2015-06-05,56340
2015-06-06,56340
2015-06-07,56340
2015-06-08,56340
2015-06-09,56340
2015-06-10,56340
2015-06-11,53605
2015-06-12,53605
2015-06-13,53605
2015-06-14,53605
2015-06-15,53605
2015-06-16,53605
2015-06-17,53605
2015-06-18,53605
2015-06-19,50978
2015-06-20,50978
2015-06-21,50978
2015-06-22,50978
2015-06-23,50978
2015-06-24,50978
2015-06-25,50978
2015-06-26,48513
2015-06-27,48513
2015-06-28,48513
2015-06-29,48513
2015-06-30,48513
2015-07-01,48513
2015-07-02,48513
2015-07-03,46170
2015-07-04,46170
2015-07-05,46170
2015-07-06,46170
2015-07-07,46170
2015-07-08,46170
2015-07-09,46170
2015-07-10,46170
