date_obj,Leprechaun%20hat price
2015-03-26,142527
2015-03-27,136068
2015-03-28,129264
2015-03-29,122800
2015-03-30,116732
2015-03-31,110895
2015-04-01,105736
2015-04-02,100587
2015-04-03,95557
2015-04-04,90779
2015-04-05,86570
2015-04-06,82241
2015-04-07,78128
2015-04-08,74520
2015-04-09,71368
2015-04-10,67799
2015-04-11,64409
2015-04-12,61306
2015-04-13,58240
2015-04-14,58240
2015-04-15,55528
2015-04-16,53013
2015-04-17,50567
2015-04-18,48038
2015-04-19,45636
2015-04-20,43470
2015-04-21,41855
2015-04-22,39801
2015-04-23,38221
2015-04-24,37372
2015-04-25,36458
2015-04-26,36458
2015-04-27,34819
2015-04-28,33927
2015-04-29,33927
2015-04-30,32971
2015-05-01,32142
2015-05-02,31556
2015-05-03,31556
2015-05-04,30346
2015-05-05,30118
2015-05-06,29948
2015-05-07,28823
2015-05-08,28101
2015-05-09,27227
2015-05-10,26605
2015-05-11,26605
2015-05-12,25878
2015-05-13,25507
2015-05-14,26131
2015-05-15,26678
2015-05-16,26678
2015-05-17,26467
2015-05-18,26826
2015-05-19,26826
2015-05-20,27718
2015-05-21,27718
2015-05-22,28799
2015-05-23,29907
2015-05-24,30360
2015-05-25,30737
2015-05-26,30579
2015-05-27,30413
2015-05-28,30601
2015-05-29,30849
2015-05-30,30247
2015-05-31,30247
2015-06-01,29651
2015-06-02,29651
2015-06-03,28965
2015-06-04,28584
2015-06-05,28466
2015-06-06,28604
2015-06-07,28699
2015-06-08,28699
2015-06-09,28520
2015-06-10,28537
2015-06-11,28537
2015-06-12,28035
2015-06-13,28090
2015-06-14,28253
2015-06-15,28253
2015-06-16,27808
2015-06-17,27808
2015-06-18,27407
2015-06-19,27407
2015-06-20,27157
2015-06-21,27157
2015-06-22,26794
2015-06-23,26794
2015-06-24,26742
2015-06-25,26742
2015-06-26,27330
2015-06-27,27330
2015-06-28,27827
2015-06-29,27827
2015-06-30,28154
2015-07-01,28149
2015-07-02,28149
2015-07-03,28175
2015-07-04,28175
2015-07-05,28676
2015-07-06,28676
2015-07-07,28916
2015-07-08,28980
2015-07-09,28980
2015-07-10,29426
2015-07-11,29426
2015-07-12,29971
2015-07-13,30606
2015-07-14,31032
2015-07-15,31681
2015-07-16,31676
2015-07-17,32976
2015-07-18,32976
2015-07-19,33643
2015-07-20,33697
2015-07-21,33697
2015-07-22,34009
2015-07-23,34009
2015-07-24,34201
2015-07-25,34201
2015-07-26,34060
2015-07-27,34154
2015-07-28,34154
2015-07-29,34784
2015-07-30,34784
2015-07-31,35552
2015-08-01,35552
2015-08-02,36014
2015-08-03,36504
2015-08-04,36504
2015-08-05,36986
2015-08-06,36986
2015-08-07,37539
2015-08-08,37906
2015-08-09,39235
2015-08-10,38851
2015-08-11,39944
2015-08-12,39944
2015-08-13,40013
2015-08-14,40422
2015-08-15,40422
2015-08-16,39746
2015-08-17,39590
2015-08-18,40401
2015-08-19,40418
2015-08-20,40418
2015-08-21,40874
2015-08-22,40585
2015-08-23,40585
2015-08-24,38613
2015-08-25,38613
2015-08-26,37188
2015-08-27,35328
2015-08-28,35328
2015-08-29,33779
2015-08-30,33779
2015-08-31,32186
2015-09-01,30576
2015-09-02,30576
2015-09-03,29606
2015-09-04,28533
2015-09-05,28575
2015-09-06,28575
2015-09-07,27890
2015-09-08,27458
2015-09-09,28203
2015-09-10,28894
2015-09-11,28994
2015-09-12,28994
2015-09-13,27770
2015-09-14,27669
2015-09-15,28259
2015-09-16,28259
2015-09-17,27666
2015-09-18,27666
2015-09-19,27717
2015-09-20,27717
2015-09-21,27631
2015-09-22,27206
2015-09-23,27370
2015-09-24,27370
2015-09-25,26969
2015-09-27,27440
2015-09-28,27191
2015-09-29,27191
2015-09-30,27472
2015-10-05,29663
2015-10-06,30134
2015-10-07,30134
2015-10-08,30553
2015-10-09,30625
2015-10-10,30625
2015-10-11,30206
2015-10-12,31112
2015-10-13,31112
2015-10-14,31540
2015-10-15,31526
2015-10-16,31526
2015-10-17,31579
2015-10-18,31579
2015-10-19,32379
2015-10-20,32310
2015-10-22,31786
2015-10-23,32367
2015-10-24,32367
2015-10-25,32687
2015-10-26,32687
2015-10-27,32498
2015-10-29,32977
2015-10-30,33531
2015-10-31,33531
2015-11-01,33505
2015-11-02,32519
2015-11-03,32519
2015-11-04,32289
2015-11-05,32289
2015-11-06,32111
2015-11-07,31412
2015-11-08,31412
2015-11-09,30593
2015-11-10,30593
2015-11-11,30434
2015-11-12,30434
2015-11-13,29380
2015-11-14,29380
2015-11-15,28434
2015-11-16,28434
2015-11-17,27941
2015-11-18,27941
2015-11-19,28035
2015-11-20,28824
2015-11-21,28824
2015-11-22,28802
2015-11-23,28802
2015-11-24,29466
2015-11-25,30543
2015-11-26,30543
2015-11-27,31734
2015-11-28,31734
2015-11-29,32907
2015-11-30,34438
2015-12-01,34438
2015-12-02,35397
2015-12-03,36391
2015-12-04,36391
2015-12-05,37599
2015-12-06,38551
2015-12-07,38551
2015-12-08,39653
2015-12-09,40376
2015-12-10,40376
2015-12-11,42196
2015-12-12,42196
2015-12-13,42601
2015-12-14,42601
2015-12-15,43802
2015-12-16,43802
2015-12-17,43646
2015-12-18,42871
2015-12-19,42871
2015-12-20,43804
2015-12-21,43804
2015-12-22,45218
2015-12-23,46297
2015-12-24,46297
2015-12-25,46672
2015-12-26,46672
2015-12-27,47537
2015-12-28,47537
2015-12-29,47565
2015-12-30,47565
2015-12-31,48170
2016-01-01,48170
2016-01-02,48622
2016-01-03,48973
2016-01-04,49350
2016-01-05,49350
2016-01-06,49815
2016-01-07,49815
2016-01-08,49552
2016-01-09,49552
2016-01-10,50065
2016-01-11,50065
2016-01-12,48842
2016-01-13,48842
2016-01-14,48889
2016-01-15,48889
2016-01-16,49628
2016-01-17,49628
2016-01-18,48654
2016-01-19,48654
2016-01-20,47925
2016-01-21,47925
2016-01-22,47271
2016-01-23,47271
2016-01-24,46488
2016-01-25,45635
2016-01-26,45635
2016-01-27,44797
2016-01-28,44797
2016-01-29,43126
2016-01-30,43126
2016-01-31,41887
2016-02-01,41247
2016-02-02,41247
2016-02-03,41277
2016-02-04,41277
2016-02-05,40955
2016-02-06,39102
2016-02-07,39102
2016-02-08,37985
2016-02-09,37985
2016-02-10,37652
2016-02-11,37652
2016-02-12,38149
2016-02-13,37267
2016-02-14,37267
2016-02-15,35943
2016-02-16,35943
2016-02-17,35343
2016-02-18,35343
2016-02-19,36086
2016-02-20,36086
2016-02-21,35945
2016-02-22,35945
2016-02-23,36682
2016-02-24,36682
2016-02-25,37651
2016-02-26,37651
2016-02-27,36854
2016-02-28,36854
2016-02-29,35265
2016-03-01,35032
2016-03-02,35032
2016-03-03,33866
2016-03-04,33866
2016-03-05,33102
2016-03-06,32522
2016-03-07,32522
2016-03-08,32104
2016-03-09,31473
2016-03-10,32275
2016-03-11,32275
2016-03-12,33368
2016-03-13,33368
2016-03-14,34355
2016-03-15,34785
2016-03-16,34400
2016-03-17,34221
2016-03-18,33552
2016-03-19,33552
2016-03-20,33666
2016-03-21,33666
2016-03-22,33343
2016-03-23,33343
2016-03-24,33274
2016-03-25,31947
2016-03-26,30537
2016-03-27,30537
2016-03-28,29641
2016-03-29,29706
2016-03-30,29706
2016-03-31,29679
2016-04-01,30807
2016-04-02,30807
2016-04-03,31018
2016-04-04,30426
2016-04-05,30426
2016-04-06,30273
2016-04-07,30273
2016-04-08,30330
2016-04-09,30785
2016-04-10,30666
2016-04-11,30666
2016-04-12,30150
2016-04-13,29852
2016-04-14,29342
2016-04-15,28872
2016-04-16,27801
2016-04-17,26600
2016-04-18,26494
2016-04-19,26494
2016-04-20,26682
2016-04-21,26682
2016-04-22,26879
2016-04-23,26879
2016-04-24,27012
2016-04-25,26251
2016-04-26,26251
2016-04-27,25672
2016-04-28,25672
2016-04-29,25061
2016-04-30,24189
2016-05-01,24189
2016-05-02,23434
2016-05-03,23848
2016-05-04,23848
2016-05-05,23590
2016-05-06,23590
2016-05-07,23246
2016-05-08,23246
2016-05-09,22862
2016-05-10,22469
2016-05-11,22469
2016-05-12,21772
2016-05-13,21448
2016-05-14,21448
2016-05-15,21219
2016-05-16,21219
