date_obj,Pink%20elegant%20shirt price
2015-03-26,80777
2015-03-27,80777
2015-03-28,77029
2015-03-29,73373
2015-03-30,69963
2015-03-31,66854
2015-04-01,66854
2015-04-02,63772
2015-04-03,60769
2015-04-04,57953
2015-04-05,57953
2015-04-06,55623
2015-04-07,55623
2015-04-08,53878
2015-04-09,53878
2015-04-10,51600
2015-04-11,51600
2015-04-12,49300
2015-04-13,49300
2015-04-14,46928
2015-04-15,46928
2015-04-16,44745
2015-04-17,44745
2015-04-18,42690
2015-04-19,42690
2015-04-20,40769
2015-04-21,40769
2015-04-22,38847
2015-04-23,38847
2015-04-24,37031
2015-04-25,37031
2015-04-26,35269
2015-04-27,35269
2015-04-28,33505
2015-04-29,33505
2015-04-30,31897
2015-05-01,31897
2015-05-02,30826
2015-05-03,30826
2015-05-04,30315
2015-05-05,30315
2015-05-06,29998
2015-05-07,29998
2015-05-08,29191
2015-05-09,29191
2015-05-10,28518
2015-05-11,28518
2015-05-12,27462
2015-05-13,27462
2015-05-14,26791
2015-05-15,26791
2015-05-16,26791
2015-05-17,26675
2015-05-18,26675
2015-05-19,26675
2015-05-20,26252
2015-05-21,26252
2015-05-22,24939
2015-05-23,24939
2015-05-24,24628
2015-05-25,24628
2015-05-26,24512
2015-05-27,24512
2015-05-28,24512
2015-05-29,24185
2015-05-30,24185
2015-05-31,24097
2015-06-01,24097
2015-06-02,24017
2015-06-03,24017
2015-06-04,24017
2015-06-05,23718
2015-06-06,23718
2015-06-07,23718
2015-06-08,23648
2015-06-09,23648
2015-06-10,23786
2015-06-11,23786
2015-06-12,23786
2015-06-13,24500
2015-06-14,24500
2015-06-15,24500
2015-06-16,25335
2015-06-17,25335
2015-06-18,25335
2015-06-19,25902
2015-06-20,25902
2015-06-21,25902
2015-06-22,26453
2015-06-23,26453
2015-06-24,26453
2015-06-25,25682
2015-06-26,25682
2015-06-27,25682
2015-06-28,25659
2015-06-29,25659
2015-06-30,25659
2015-07-01,24909
2015-07-02,24909
2015-07-03,23744
2015-07-04,23744
2015-07-05,23744
2015-07-06,22996
2015-07-07,22996
2015-07-08,21846
2015-07-09,21846
2015-07-10,21846
2015-07-11,20836
2015-07-12,20836
2015-07-13,20144
2015-07-14,20144
2015-07-15,19835
2015-07-16,19835
2015-07-17,20542
2015-07-18,20542
2015-07-19,20542
2015-07-20,20400
2015-07-21,20400
2015-07-22,20400
2015-07-23,20997
2015-07-24,20997
2015-07-25,20997
2015-07-26,20956
2015-07-27,20956
2015-07-28,21597
2015-07-29,21597
2015-07-30,22018
2015-07-31,22018
2015-08-01,21317
