date_obj,Dragon%20arrowtips price
2015-03-26,1020
2015-03-27,1020
2015-03-28,982
2015-03-29,982
2015-03-30,963
2015-03-31,963
2015-04-01,959
2015-04-02,959
2015-04-03,979
2015-04-04,1014
2015-04-05,1014
2015-04-06,1008
2015-04-07,1008
2015-04-08,998
2015-04-09,998
2015-04-10,983
2015-04-11,983
2015-04-12,998
2015-04-13,998
2015-04-14,1004
2015-04-15,1009
2015-04-16,1009
2015-04-17,1047
2015-04-18,1077
2015-04-19,1077
2015-04-20,1090
2015-04-21,1090
2015-04-22,1114
2015-04-23,1147
2015-04-24,1147
2015-04-25,1177
2015-04-26,1177
2015-04-27,1233
2015-04-28,1295
2015-04-29,1295
2015-04-30,1326
2015-05-01,1326
2015-05-02,1340
2015-05-03,1340
2015-05-04,1378
2015-05-05,1378
2015-05-06,1421
2015-05-07,1421
2015-05-08,1442
2015-05-09,1442
2015-05-10,1423
2015-05-11,1423
2015-05-12,1367
2015-05-13,1367
2015-05-14,1343
2015-05-15,1343
2015-05-16,1340
2015-05-17,1383
2015-05-18,1383
2015-05-19,1340
2015-05-20,1340
2015-05-21,1340
2015-05-22,1292
2015-05-23,1292
2015-05-24,1257
2015-05-25,1257
2015-05-26,1245
2015-05-27,1245
2015-05-28,1235
2015-05-29,1235
2015-05-30,1224
2015-05-31,1224
2015-06-01,1209
2015-06-02,1209
2015-06-03,1193
2015-06-04,1193
2015-06-05,1209
2015-06-06,1179
2015-06-07,1151
2015-06-08,1151
2015-06-09,1169
2015-06-10,1183
2015-06-11,1183
2015-06-12,1213
2015-06-13,1194
2015-06-14,1219
2015-06-15,1219
2015-06-16,1191
2015-06-17,1191
2015-06-18,1163
2015-06-19,1163
2015-06-20,1176
2015-06-21,1176
2015-06-22,1158
2015-06-23,1158
2015-06-24,1195
2015-06-25,1195
2015-06-26,1228
2015-06-27,1228
2015-06-28,1268
2015-06-29,1268
2015-06-30,1321
2015-07-01,1365
2015-07-02,1365
2015-07-03,1431
2015-07-04,1503
2015-07-05,1503
2015-07-06,1579
2015-07-07,1658
2015-07-08,1741
2015-07-09,1741
2015-07-10,1809
2015-07-11,1809
2015-07-12,1817
2015-07-13,1845
2015-07-14,1842
2015-07-15,1824
2015-07-16,1824
2015-07-17,1821
2015-07-18,1821
2015-07-19,1851
2015-07-20,1944
2015-07-21,1944
2015-07-22,1896
2015-07-23,1896
2015-07-24,1957
2015-07-25,1957
2015-07-26,2019
2015-07-27,2102
2015-07-28,2148
2015-07-29,2178
2015-07-30,2178
2015-07-31,2201
2015-08-01,2142
2015-08-02,2117
2015-08-03,2117
2015-08-04,2044
2015-08-05,1988
2015-08-06,1993
2015-08-07,1993
2015-08-08,2031
2015-08-09,1969
2015-08-10,1886
2015-08-11,1847
2015-08-12,1847
2015-08-13,1843
2015-08-14,1790
2015-08-15,1790
2015-08-16,1741
2015-08-17,1720
2015-08-18,1720
2015-08-19,1666
2015-08-20,1713
2015-08-21,1717
2015-08-22,1740
2015-08-23,1740
2015-08-24,1717
2015-08-25,1717
2015-08-26,1726
2015-08-27,1734
2015-08-28,1734
2015-08-29,1670
2015-08-30,1670
2015-08-31,1618
2015-09-01,1620
2015-09-02,1620
2015-09-03,1645
2015-09-04,1684
2015-09-05,1684
2015-09-06,1701
2015-09-07,1672
2015-09-08,1620
2015-09-09,1626
2015-09-10,1614
2015-09-11,1602
2015-09-12,1585
2015-09-13,1570
2015-09-14,1574
2015-09-15,1556
2015-09-16,1556
2015-09-17,1525
2015-09-18,1510
2015-09-19,1581
2015-09-20,1627
2015-09-21,1687
2015-09-22,1674
2015-09-23,1603
2015-09-24,1603
2015-09-25,1594
2015-09-27,1564
2015-09-28,1562
2015-09-29,1562
2015-09-30,1572
2015-10-05,1621
2015-10-06,1675
2015-10-07,1675
2015-10-08,1695
2015-10-09,1610
2015-10-10,1610
2015-10-11,1562
2015-10-12,1526
2015-10-13,1526
2015-10-14,1530
2015-10-15,1519
2015-10-16,1517
2015-10-17,1517
2015-10-18,1501
2015-10-19,1524
2015-10-20,1487
2015-10-22,1488
2015-10-23,1476
2015-10-24,1504
2015-10-25,1512
2015-10-26,1505
2015-10-27,1505
2015-10-29,1535
2015-10-30,1526
2015-10-31,1555
2015-11-01,1555
2015-11-02,1559
2015-11-03,1559
2015-11-04,1546
2015-11-05,1474
2015-11-06,1474
2015-11-07,1449
2015-11-08,1449
2015-11-09,1495
2015-11-10,1495
2015-11-11,1500
2015-11-12,1500
2015-11-13,1538
2015-11-14,1538
2015-11-15,1565
