date_obj,Toktz-ket-xil price
2015-03-26,165614
2015-03-27,165614
2015-03-28,167149
2015-03-29,167985
2015-03-30,173535
2015-03-31,176968
2015-04-01,180026
2015-04-02,182473
2015-04-03,186453
2015-04-04,185166
2015-04-05,179353
2015-04-06,181727
2015-04-07,178727
2015-04-08,173557
2015-04-09,176478
2015-04-10,178897
2015-04-11,177940
2015-04-12,178336
2015-04-13,177124
2015-04-14,176739
2015-04-15,175943
2015-04-16,178413
2015-04-17,183378
2015-04-18,181788
2015-04-19,179373
2015-04-20,176493
2015-04-21,177345
2015-04-22,177045
2015-04-23,171646
2015-04-24,172966
2015-04-25,177588
2015-04-26,184145
2015-04-27,180330
2015-04-28,177148
2015-04-29,177148
2015-04-30,178083
2015-05-01,184414
2015-05-02,181741
2015-05-03,181741
2015-05-04,177677
2015-05-05,179369
2015-05-06,176865
2015-05-07,176563
2015-05-08,175264
2015-05-09,176362
2015-05-10,176219
2015-05-11,176219
2015-05-12,176916
2015-05-13,178716
2015-05-14,177247
2015-05-15,181295
2015-05-16,181295
2015-05-17,182507
2015-05-18,186073
2015-05-19,183774
2015-05-20,183774
2015-05-21,178941
2015-05-22,179934
2015-05-23,179550
2015-05-24,180297
2015-05-25,180243
2015-05-26,180958
2015-05-27,184452
2015-05-28,189511
2015-05-29,188508
2015-05-30,185867
2015-05-31,183322
2015-06-01,180979
2015-06-02,178958
2015-06-03,176141
2015-06-04,178011
2015-06-05,181488
2015-06-06,185181
2015-06-07,185508
2015-06-08,184264
2015-06-09,184566
2015-06-10,183029
2015-06-11,185238
2015-06-12,185654
2015-06-13,183571
2015-06-14,182930
2015-06-15,181157
2015-06-16,183233
2015-06-17,182554
2015-06-18,181640
2015-06-19,180260
2015-06-20,180291
2015-06-21,180841
2015-06-22,181096
2015-06-23,179919
2015-06-24,176805
2015-06-25,174155
2015-06-26,170485
2015-06-27,173170
2015-06-28,173780
2015-06-29,177505
2015-06-30,175548
2015-07-01,170854
2015-07-02,171541
2015-07-03,172336
2015-07-04,171149
2015-07-05,173146
2015-07-06,174259
2015-07-07,177728
2015-07-08,182659
2015-07-09,180553
2015-07-10,179128
2015-07-11,185618
2015-07-12,184065
2015-07-13,181537
