date_obj,Bandos%20d'hide%20body price
2015-03-26,76871
2015-03-27,76871
2015-03-28,76394
2015-03-29,75765
2015-03-30,76214
2015-03-31,77225
2015-04-01,77645
2015-04-02,78135
2015-04-03,78484
2015-04-04,79886
2015-04-05,80070
2015-04-06,81105
2015-04-07,81561
2015-04-08,81557
2015-04-09,81350
2015-04-10,81810
2015-04-11,82439
2015-04-12,83543
2015-04-13,85180
2015-04-14,86873
2015-04-15,87731
2015-04-16,89381
2015-04-17,91354
2015-04-18,91413
2015-04-19,89984
2015-04-20,89946
2015-04-21,90448
2015-04-22,89219
2015-04-23,89354
2015-04-24,87875
2015-04-25,87667
2015-04-26,87086
2015-04-27,86403
2015-04-28,87065
2015-04-29,87507
2015-04-30,87917
2015-05-01,87037
2015-05-02,85378
2015-05-03,84427
2015-05-04,82959
2015-05-05,81760
2015-05-06,80249
2015-05-07,79238
2015-05-08,77588
2015-05-09,75934
2015-05-10,73314
2015-05-11,71083
2015-05-12,69333
2015-05-13,67419
2015-05-14,66851
2015-05-15,67607
2015-05-16,66409
2015-05-17,65977
2015-05-18,65401
2015-05-19,65647
2015-05-20,66618
2015-05-21,66353
2015-05-22,66199
2015-05-23,65990
2015-05-24,67597
2015-05-25,68953
2015-05-26,70153
2015-05-27,71496
2015-05-28,72856
2015-05-29,73711
2015-05-30,75242
2015-05-31,77174
2015-06-01,77289
2015-06-02,77455
2015-06-03,76414
2015-06-04,75478
2015-06-05,73390
2015-06-06,71361
2015-06-07,69745
2015-06-08,68794
2015-06-09,68589
2015-06-10,67998
2015-06-11,67874
2015-06-12,68221
2015-06-13,69499
2015-06-14,70005
2015-06-15,69237
2015-06-16,69458
2015-06-17,68727
2015-06-18,68792
2015-06-19,69241
2015-06-20,69384
2015-06-21,69719
2015-06-22,70051
2015-06-23,69724
2015-06-24,69916
2015-06-25,68323
2015-06-26,67953
2015-06-27,67640
2015-06-28,67223
2015-06-29,67830
2015-06-30,67318
2015-07-01,66765
2015-07-02,67044
2015-07-03,67669
2015-07-04,67583
2015-07-05,68481
2015-07-06,68979
2015-07-07,69188
2015-07-08,70270
2015-07-09,70270
2015-07-10,70166
2015-07-11,70789
2015-07-12,70864
2015-07-13,70753
2015-07-14,70942
2015-07-15,70058
2015-07-16,69565
2015-07-17,69468
2015-07-18,70024
2015-07-19,70314
2015-07-20,69597
2015-07-21,70106
2015-07-22,70443
2015-07-23,70117
2015-07-24,69448
2015-07-25,68344
2015-07-26,67233
2015-07-27,66203
2015-07-28,66711
2015-07-29,67037
2015-07-30,66845
2015-07-31,67564
2015-08-01,68579
2015-08-02,68784
2015-08-03,70626
2015-08-04,72551
2015-08-05,73461
2015-08-06,75192
2015-08-07,76678
2015-08-08,76848
2015-08-09,76331
2015-08-10,75688
2015-08-11,74720
2015-08-12,73631
2015-08-13,73306
2015-08-14,73125
2015-08-15,72628
2015-08-16,73699
2015-08-17,73182
2015-08-18,72447
2015-08-19,71935
2015-08-20,70930
2015-08-21,70481
2015-08-22,69834
2015-08-23,69420
2015-08-24,69331
2015-08-25,69029
2015-08-26,69201
2015-08-27,69169
2015-08-28,68271
2015-08-29,67623
2015-08-30,67148
2015-08-31,66911
2015-09-01,66259
2015-09-02,66414
2015-09-03,66978
2015-09-04,67050
2015-09-05,66355
2015-09-06,65964
2015-09-07,65401
2015-09-08,63721
2015-09-09,62900
2015-09-10,62357
2015-09-11,61682
2015-09-12,61585
2015-09-13,60443
2015-09-14,59886
2015-09-15,60229
2015-09-16,59809
2015-09-17,59871
2015-09-18,59633
2015-09-19,58722
2015-09-20,58093
2015-09-21,58317
2015-09-22,57098
2015-09-23,56133
2015-09-24,55461
2015-09-25,54513
2015-09-27,52704
2015-09-28,51940
2015-09-29,50103
2015-09-30,48103
2015-10-05,45988
2015-10-06,45384
2015-10-07,44101
2015-10-08,42747
2015-10-09,42425
2015-10-10,42839
2015-10-11,43968
2015-10-12,45862
2015-10-13,46663
2015-10-14,46731
2015-10-15,45999
2015-10-16,48244
2015-10-17,49659
2015-10-18,48985
2015-10-19,48379
2015-10-20,47489
2015-10-22,44917
2015-10-23,44077
2015-10-24,44575
2015-10-25,44849
2015-10-26,44355
2015-10-27,44504
2015-10-28,44385
2015-10-29,43228
2015-10-30,42293
2015-10-31,41552
2015-11-01,41483
2015-11-02,41533
2015-11-03,41184
2015-11-04,39420
2015-11-05,37734
2015-11-06,35860
2015-11-07,34942
2015-11-08,35087
2015-11-09,35501
2015-11-10,35667
2015-11-11,36317
2015-11-12,35833
2015-11-13,35239
2015-11-14,34454
2015-11-15,33666
2015-11-16,33417
2015-11-17,32762
2015-11-18,32628
2015-11-19,31001
2015-11-20,29957
2015-11-21,29957
2015-11-22,30191
2015-11-23,30290
2015-11-24,30228
2015-11-25,30014
2015-11-26,30085
2015-11-27,30604
2015-11-28,31795
2015-11-29,33038
2015-11-30,33671
2015-12-01,34159
2015-12-02,35409
2015-12-03,36702
2015-12-04,38368
2015-12-05,40228
2015-12-06,41585
2015-12-07,41714
2015-12-08,42967
2015-12-09,43561
2015-12-10,43133
2015-12-11,43020
2015-12-12,42620
2015-12-13,43525
2015-12-14,43544
2015-12-15,44788
2015-12-16,45028
2015-12-17,45378
2015-12-18,46535
2015-12-19,47206
2015-12-20,48938
2015-12-21,50562
2015-12-22,52358
2015-12-23,54017
2015-12-24,56586
2015-12-25,58989
2015-12-26,59541
2015-12-27,60605
2015-12-28,60382
2015-12-29,62820
2015-12-30,63437
2015-12-31,63888
2016-01-01,65315
2016-01-02,66056
2016-01-03,67453
2016-01-04,68957
2016-01-05,71602
2016-01-06,72860
2016-01-07,72799
2016-01-08,73779
2016-01-09,73232
2016-01-10,72824
2016-01-11,71579
2016-01-12,71489
2016-01-13,70673
2016-01-14,69213
2016-01-15,67447
2016-01-16,66789
2016-01-17,65928
2016-01-18,64701
2016-01-19,64024
2016-01-20,64860
2016-01-21,66108
2016-01-22,66209
2016-01-23,65766
2016-01-24,65792
2016-01-25,65610
2016-01-26,65026
2016-01-27,63510
2016-01-28,62455
2016-01-29,61038
2016-01-30,59527
2016-01-31,59270
2016-02-01,58561
2016-02-02,58320
2016-02-03,57143
2016-02-04,56229
2016-02-05,55088
2016-02-06,54064
2016-02-07,53403
2016-02-08,52971
2016-02-09,52602
2016-02-10,52605
2016-02-11,51951
2016-02-12,52601
2016-02-13,52306
2016-02-14,51659
2016-02-15,51212
2016-02-16,50485
2016-02-17,50404
2016-02-18,50041
2016-02-19,50167
2016-02-20,49767
2016-02-21,48245
2016-02-22,46910
2016-02-23,45818
2016-02-24,45035
2016-02-25,44981
2016-02-26,45327
2016-02-27,45410
2016-02-28,44783
2016-02-29,44307
2016-03-01,44136
2016-03-02,43521
2016-03-03,42489
2016-03-04,42517
2016-03-05,42545
2016-03-06,42251
2016-03-07,43019
2016-03-08,43468
2016-03-09,42621
2016-03-10,42886
2016-03-11,42452
2016-03-12,42501
2016-03-13,42415
2016-03-14,42197
2016-03-15,42443
2016-03-16,42403
2016-03-17,42346
2016-03-18,42942
2016-03-19,43697
2016-03-20,44769
2016-03-21,46189
2016-03-22,47313
2016-03-23,47966
2016-03-24,48178
2016-03-25,48822
2016-03-26,49842
2016-03-27,50432
2016-03-28,50202
2016-03-29,49630
2016-03-30,47577
2016-03-31,45953
2016-04-01,45193
2016-04-02,44767
2016-04-03,44014
2016-04-04,43640
2016-04-05,42924
2016-04-06,41878
2016-04-07,40678
2016-04-08,39833
2016-04-09,39896
2016-04-10,39584
2016-04-11,39584
2016-04-12,39237
2016-04-13,39314
2016-04-14,38711
2016-04-15,38550
2016-04-16,38077
2016-04-17,38374
2016-04-18,38153
2016-04-19,38040
2016-04-20,38087
2016-04-21,37753
2016-04-22,37918
2016-04-23,37621
2016-04-24,37547
2016-04-25,37284
2016-04-26,37021
2016-04-27,37464
2016-04-28,38386
2016-04-29,39057
2016-04-30,39666
2016-05-01,39973
2016-05-02,40335
2016-05-03,40867
2016-05-04,41127
2016-05-05,41069
2016-05-06,41603
2016-05-07,41176
2016-05-08,41228
2016-05-09,40940
2016-05-10,41236
2016-05-11,41545
2016-05-12,42715
2016-05-13,43351
2016-05-14,43944
2016-05-15,45119
2016-05-16,45750
2016-05-17,46584
2016-05-18,46583
2016-05-19,47018
2016-05-22,47202
2016-05-23,46946
2016-05-24,46452
2016-05-25,45575
2016-05-26,45478
2016-05-27,44758
2016-05-28,44343
2016-05-29,43432
2016-05-30,42750
2016-05-31,42510
2016-06-01,42445
2016-06-02,42505
2016-06-03,42458
2016-06-04,43797
2016-06-05,45040
2016-06-06,46616
2016-06-07,48352
2016-06-08,50447
2016-06-09,52100
2016-06-10,54202
2016-06-11,56759
2016-06-12,58610
2016-06-13,59474
2016-06-14,61636
2016-06-15,63661
2016-06-16,64489
2016-06-17,65111
2016-06-18,65852
2016-06-19,65044
2016-06-20,65690
2016-06-21,66307
2016-06-22,68106
2016-06-23,69563
2016-06-24,71096
2016-06-25,72861
2016-06-26,72929
2016-06-27,72384
2016-06-28,73136
2016-06-29,73171
2016-06-30,73354
2016-07-01,73160
2016-07-02,72945
2016-07-03,70171
2016-07-04,67820
2016-07-05,67477
2016-07-06,65797
2016-07-07,63443
2016-07-08,61482
2016-07-09,61034
2016-07-10,58890
2016-07-11,57857
2016-07-12,56960
2016-07-13,55066
2016-07-14,54002
2016-07-15,53461
2016-07-16,54606
2016-07-17,55689
2016-07-18,57847
2016-07-23,52633
2016-07-24,50412
2016-07-25,49817
2016-07-26,48551
2016-07-27,46754
2016-07-28,45758
2016-07-29,45893
2016-07-30,47798
2016-07-31,50028
2016-08-01,51667
2016-08-02,52624
2016-08-03,52677
2016-08-04,51758
2016-08-05,51161
2016-08-06,51651
2016-08-07,52533
2016-08-08,53157
2016-08-09,51912
2016-08-10,50266
2016-08-11,49452
2016-08-12,49216
2016-08-13,48834
2016-08-14,48361
2016-08-15,47468
2016-08-16,47443
2016-08-17,47667
2016-08-18,46971
2016-08-19,47029
2016-08-20,46839
2016-08-21,46710
2016-08-22,45862
2016-08-23,45918
2016-08-24,46009
2016-08-25,45283
2016-08-26,44949
2016-08-28,43566
2016-08-31,43470
2016-09-01,43361
2016-09-02,43361
2016-09-03,43937
2016-09-04,45155
2016-09-05,44773
2016-09-06,45354
2016-09-07,46537
2016-09-08,46650
2016-09-09,47213
2016-09-10,47175
2016-09-11,46324
2016-09-12,46704
2016-09-13,45845
2016-09-14,45191
2016-09-15,44133
2016-09-16,42780
2016-09-17,41679
2016-09-18,41379
2016-09-19,40688
2016-09-20,41494
2016-09-21,43041
2016-09-22,44457
2016-09-23,46536
2016-09-24,48005
2016-09-25,48894
2016-09-26,49172
2016-09-27,49158
2016-09-28,49599
2016-09-29,49470
2016-09-30,49340
2016-10-01,49081
2016-10-02,47970
2016-10-03,47839
2016-10-04,48218
2016-10-05,46774
2016-10-06,44642
2016-10-07,43300
2016-10-08,42306
2016-10-09,40815
2016-10-10,39618
2016-10-11,39699
2016-10-12,38853
2016-10-13,38588
2016-10-14,38849
2016-10-15,39865
2016-10-16,40067
2016-10-17,40395
2016-10-18,40265
2016-10-19,39912
2016-10-20,39798
2016-10-21,40560
2016-10-22,40709
2016-10-23,40976
2016-10-24,41175
2016-10-25,41405
2016-10-26,41850
2016-10-27,41953
2016-10-28,42117
2016-10-29,42113
2016-10-30,41767
2016-10-31,42012
2016-11-01,41706
2016-11-02,42824
2016-11-03,43442
2016-11-04,44625
2016-11-05,45453
2016-11-06,46403
2016-11-07,47015
2016-11-08,48169
2016-11-09,49024
2016-11-10,50040
2016-11-11,51456
2016-11-12,52573
2016-11-13,52222
2016-11-14,50442
2016-11-15,48777
2016-12-07,44895
2016-12-08,44647
2016-12-09,44634
2016-12-10,44114
2016-12-11,43677
2016-12-12,43072
2016-12-13,43039
2016-12-14,43138
2016-12-15,43645
2016-12-16,43891
2016-12-17,43502
2016-12-18,43692
2016-12-19,44067
2016-12-20,44453
2016-12-21,44572
2016-12-22,45408
2016-12-23,47415
2016-12-24,49306
2016-12-25,51253
2016-12-26,52989
2016-12-27,55566
2016-12-28,58302
2016-12-29,61135
2016-12-30,64118
2016-12-31,66942
2017-01-01,69094
2017-01-02,71328
2017-01-03,71306
2017-01-04,71186
2017-01-05,70990
