date_obj,Zalcano%20shard price
2019-07-24,172000
2019-07-25,179122
2019-07-26,188079
2019-07-27,197483
2019-07-28,207358
2019-07-29,217317
2019-07-30,227777
2019-07-31,238515
2019-08-01,250441
2019-08-02,262964
2019-08-03,276113
2019-08-04,289617
2019-08-05,304098
2019-08-06,319118
2019-08-07,335074
2019-08-08,350883
2019-08-09,367731
2019-08-10,386118
2019-08-11,404482
2019-08-12,424707
2019-08-13,445185
2019-08-14,465079
2019-08-15,488333
2019-08-16,512750
2019-08-17,512750
2019-08-18,536889
2019-08-19,555891
2019-08-20,555891
2019-08-21,539409
2019-08-22,513868
2019-08-23,513868
2019-08-24,488174
2019-08-24,488174
2019-08-25,488174
2019-08-25,488174
2019-08-26,463765
2019-08-26,463765
2019-08-27,463765
2019-08-27,463765
2019-08-28,440576
2019-08-29,440576
2019-08-30,418547
2019-08-31,418547
2019-09-01,397689
2019-09-02,397689
2019-09-03,377804
2019-09-04,377804
2019-09-05,359437
2019-09-06,359437
2019-09-07,341465
2019-09-08,341465
2019-09-09,324462
2019-09-10,324462
2019-09-11,308258
2019-09-12,308258
2019-09-13,292845
2019-09-14,292845
2019-09-15,278202
2019-09-16,278202
2019-09-17,264342
2019-09-18,252263
2019-09-19,252263
2019-09-20,240772
2019-09-21,230220
2019-09-22,219542
2019-09-23,209048
2019-09-24,209048
2019-09-25,198595
2019-09-26,189224
2019-09-27,189224
2019-09-28,179816
2019-09-29,179816
2019-09-30,170825
2019-10-01,162283
2019-10-02,162283
2019-10-03,155386
2019-10-04,155386
2019-10-05,147616
2019-10-06,140235
2019-10-07,140235
2019-10-08,133223
2019-10-09,133223
2019-10-10,126561
2019-10-11,126561
2019-10-12,120232
2019-10-13,114567
2019-10-14,109181
2019-10-15,104185
2019-10-16,99389
2019-10-17,99389
2019-10-18,94419
2019-10-19,89698
2019-10-20,85387
2019-10-21,81882
2019-10-22,78253
2019-10-23,74383
2019-10-24,74383
2019-10-25,70799
2019-10-26,67259
2019-10-27,64061
2019-10-28,60857
2019-10-29,60857
2019-10-30,57814
2019-10-31,54923
2019-11-01,52176
2019-11-02,49567
2019-11-03,47392
2019-11-04,45153
2019-11-05,43063
2019-11-06,41180
2019-11-07,39270
2019-11-08,37420
2019-11-09,35659
2019-11-10,33939
2019-11-11,32242
2019-11-12,32242
2019-11-13,30629
2019-11-14,29430
2019-11-15,28120
2019-11-16,26714
2019-11-17,26714
2019-11-18,25384
2019-11-19,24285
2019-11-20,23205
2019-11-21,23205
2019-11-22,23784
2019-11-23,23784
2019-11-24,22615
2019-11-25,21609
2019-11-26,20761
2019-11-27,20761
2019-11-28,19722
2019-11-29,19722
2019-11-30,18735
2019-12-01,18735
2019-12-02,17877
2019-12-03,17393
2019-12-04,16620
2019-12-05,16620
2019-12-06,16388
2019-12-07,16439
2019-12-08,16439
2019-12-09,15788
2019-12-10,16007
2019-12-11,16007
