date_obj,Volcanic%20ash price
2017-09-07,121
2017-09-08,128
2017-09-09,135
2017-09-10,142
2017-09-11,150
2017-09-12,158
2017-09-13,166
2017-09-14,175
2017-09-15,184
2017-09-16,194
2017-09-17,204
2017-09-18,215
2017-09-19,226
2017-09-20,238
2017-09-21,250
2017-09-22,263
2017-09-23,277
2017-09-24,291
2017-09-25,306
2017-09-26,322
2017-09-27,338
2017-09-28,355
2017-09-29,373
2017-09-30,392
2017-10-01,412
2017-10-02,429
2017-10-03,430
2017-10-04,430
2017-10-05,422
2017-10-06,412
2017-10-07,406
2017-10-08,407
2017-10-09,411
2017-10-10,412
2017-10-11,412
2017-10-12,423
2017-10-13,445
2017-10-14,468
2017-10-15,468
2017-10-16,482
2017-10-17,482
2017-10-18,480
2017-10-19,464
2017-10-20,464
2017-10-21,444
2017-10-22,421
2017-10-23,399
2017-10-24,381
2017-10-25,367
2017-10-26,352
2017-10-27,361
2017-10-28,361
2017-10-29,379
2017-10-30,398
2017-10-31,418
2017-11-01,418
2017-11-02,439
2017-11-03,453
2017-11-04,437
2017-11-05,427
2017-11-06,407
2017-11-07,402
2017-11-08,402
2017-11-09,399
2017-11-10,387
2017-11-11,388
2017-11-12,379
2017-11-13,362
2017-11-14,362
2017-11-15,343
2017-11-16,325
2017-11-17,321
2017-11-18,321
2017-11-19,315
2017-11-20,299
2017-11-21,293
2017-11-22,293
2017-11-23,284
2017-11-24,284
2017-11-25,275
2017-11-26,270
2017-11-27,270
2017-11-28,256
2017-11-29,256
2017-11-30,243
2017-12-01,243
2017-12-02,243
2017-12-03,256
2017-12-04,256
2017-12-05,269
2017-12-06,283
2017-12-07,298
2017-12-08,298
2017-12-09,313
2017-12-10,329
2017-12-11,345
2017-12-12,351
2017-12-13,351
2017-12-14,366
2017-12-15,382
2017-12-16,382
2017-12-17,388
2017-12-18,383
2017-12-19,366
2017-12-20,347
2017-12-21,329
2017-12-22,313
2017-12-23,298
2017-12-24,302
2017-12-25,316
2017-12-26,328
2017-12-27,320
2017-12-28,315
2017-12-29,307
2017-12-30,305
2017-12-31,305
2018-01-01,315
2018-01-02,319
