date_obj,White%20flowers price
2015-03-04,94150
2015-03-05,94150
2015-03-06,94150
2015-03-07,94150
2015-03-08,94150
2015-03-09,94150
2015-03-10,94150
2015-03-11,94150
2015-03-12,94150
2015-03-13,94150
2015-03-14,94150
2015-03-15,94150
2015-03-16,94150
2015-03-17,94150
2015-03-18,93502
2015-03-19,93502
2015-03-20,93502
2015-03-21,93502
2015-03-22,93502
2015-03-23,93502
2015-03-24,93502
2015-03-25,93502
2015-03-26,93502
2015-03-27,93502
2015-03-28,93502
2015-03-29,93502
2015-03-30,93502
2015-03-31,93502
2015-04-01,93502
2015-04-02,93502
2015-04-03,93502
2015-04-04,93502
2015-04-05,93502
2015-04-06,93502
2015-04-07,93502
2015-04-08,93502
2015-04-09,93502
2015-04-10,93502
2015-04-11,93502
2015-04-12,93715
2015-04-13,93715
2015-04-14,93715
2015-04-15,93715
2015-04-16,93715
2015-04-17,93715
2015-04-18,93715
2015-04-19,93715
2015-04-20,93715
2015-04-21,93715
2015-04-22,93715
2015-04-23,93715
2015-04-24,93715
2015-04-25,93715
2015-04-26,93715
2015-04-27,93715
2015-04-28,93715
2015-04-29,93715
2015-04-30,93715
2015-05-01,93715
2015-05-02,93715
2015-05-03,93715
2015-05-04,93715
2015-05-05,93715
2015-05-06,93715
2015-05-07,93715
2015-05-08,93715
2015-05-09,93715
2015-05-10,93715
2015-05-11,93715
2015-05-12,93176
2015-05-13,93176
2015-05-14,93176
2015-05-15,93176
2015-05-16,93176
2015-05-17,93176
2015-05-18,93176
2015-05-19,93176
2015-05-20,93176
2015-05-21,93176
2015-05-22,93176
2015-05-23,93176
2015-05-24,93176
2015-05-25,93176
2015-05-26,93176
2015-05-27,93176
2015-05-28,93176
2015-05-29,93176
2015-05-30,93176
2015-05-31,93176
2015-06-01,93176
2015-06-02,93176
2015-06-03,93176
2015-06-04,93176
2015-06-05,93176
2015-06-06,93176
2015-06-07,92413
2015-06-08,92413
2015-06-09,92413
2015-06-10,92413
2015-06-11,92413
2015-06-12,92413
2015-06-13,92413
2015-06-14,92413
2015-06-15,92413
2015-06-16,92413
2015-06-17,92413
2015-06-18,92413
2015-06-19,92413
2015-06-20,92413
2015-06-21,92413
2015-06-22,92413
2015-06-23,92413
2015-06-24,92413
2015-06-25,92413
2015-06-26,92413
2015-06-27,92413
2015-06-28,92413
2015-06-29,92413
2015-06-30,92413
2015-07-01,92413
2015-07-02,92413
2015-07-03,91511
2015-07-04,91511
2015-07-05,91511
2015-07-06,91511
2015-07-07,91511
2015-07-08,91511
2015-07-09,91511
2015-07-10,91511
2015-07-11,91511
2015-07-12,91511
2015-07-13,91511
2015-07-14,91511
2015-07-15,91511
2015-07-16,91511
2015-07-17,91511
2015-07-18,91511
2015-07-19,91511
2015-07-20,91511
2015-07-21,91511
2015-07-22,91511
2015-07-23,91511
2015-07-24,91511
2015-07-25,91511
2015-07-26,91511
2015-07-27,91511
2015-07-28,91511
2015-07-29,92252
2015-07-30,92252
2015-07-31,92252
2015-08-01,92252
2015-08-02,92252
2015-08-03,92252
2015-08-04,92252
2015-08-05,92252
2015-08-06,92252
2015-08-07,92252
2015-08-08,92252
