date_obj,Mining%20helmet price
2015-03-26,114534
2015-03-27,114534
2015-03-28,114534
2015-03-29,114534
2015-03-30,108922
2015-03-31,108922
2015-04-01,108922
2015-04-02,108922
2015-04-03,108922
2015-04-04,108922
2015-04-05,108922
2015-04-06,103574
2015-04-07,103574
2015-04-08,103574
2015-04-09,103574
2015-04-10,103574
2015-04-11,103574
2015-04-12,98576
2015-04-13,98576
2015-04-14,98576
2015-04-15,98576
2015-04-16,98576
2015-04-17,98576
2015-04-18,93776
2015-04-19,93776
2015-04-20,93776
2015-04-21,93776
2015-04-22,93776
2015-04-23,93776
2015-04-24,93776
2015-04-25,93776
2015-04-26,89257
2015-04-27,89257
2015-04-28,89257
2015-04-29,89257
2015-04-30,89257
2015-05-01,89257
2015-05-02,89257
2015-05-03,84900
2015-05-04,84900
2015-05-05,84900
2015-05-06,84900
2015-05-07,84900
2015-05-08,84900
2015-05-09,84900
2015-05-10,80774
2015-05-11,80774
2015-05-12,80774
2015-05-13,80774
2015-05-14,80774
2015-05-15,80774
2015-05-16,80774
2015-05-17,76872
2015-05-18,76872
2015-05-19,76872
2015-05-20,76872
2015-05-21,76872
2015-05-22,76872
2015-05-23,76872
2015-05-24,76872
2015-05-25,73092
2015-05-26,73092
2015-05-27,73092
2015-05-28,73092
2015-05-29,73092
2015-05-30,69527
2015-05-31,69527
2015-06-01,69527
2015-06-02,69527
2015-06-03,66124
2015-06-04,66124
2015-06-05,66124
2015-06-06,62885
2015-06-07,62885
2015-06-08,62885
2015-06-09,62885
2015-06-10,59808
2015-06-11,59808
2015-06-12,59808
2015-06-13,59808
2015-06-14,56900
2015-06-15,56900
2015-06-16,56900
2015-06-17,56900
2015-06-18,54158
2015-06-19,54158
2015-06-20,54158
2015-06-21,54158
2015-06-22,51544
2015-06-23,51544
2015-06-24,51544
2015-06-25,51544
2015-06-26,49048
2015-06-27,49048
2015-06-28,49048
2015-06-29,49048
2015-06-30,49048
2015-07-01,46671
2015-07-02,46671
2015-07-03,46671
2015-07-04,46671
2015-07-05,44423
2015-07-06,44423
2015-07-07,44423
2015-07-08,44423
2015-07-09,44423
2015-07-10,42245
2015-07-11,42245
2015-07-12,42245
2015-07-13,42245
2015-07-14,42245
2015-07-15,40178
2015-07-16,40178
2015-07-17,40178
2015-07-18,40178
2015-07-19,38232
2015-07-20,38232
2015-07-21,38232
2015-07-22,36396
2015-07-23,36396
2015-07-24,36396
2015-07-25,36396
2015-07-26,36396
2015-07-27,34620
2015-07-28,34620
2015-07-29,34620
2015-07-30,34620
2015-07-31,32985
2015-08-01,32985
2015-08-02,32985
2015-08-03,31371
2015-08-04,31371
2015-08-05,29837
2015-08-06,29837
2015-08-07,29837
2015-08-08,28371
2015-08-09,28371
2015-08-10,28371
2015-08-11,26985
2015-08-12,26985
2015-08-13,26985
2015-08-14,25668
2015-08-15,25668
2015-08-16,25668
2015-08-17,24462
2015-08-18,24462
2015-08-19,24462
2015-08-20,23273
2015-08-21,23273
2015-08-22,23273
2015-08-23,22146
2015-08-24,22146
2015-08-25,22146
2015-08-26,21058
2015-08-27,21058
2015-08-28,21058
2015-08-29,20027
2015-08-30,20027
2015-08-31,20027
2015-09-01,19065
2015-09-02,19065
2015-09-03,19065
2015-09-04,18141
2015-09-05,18141
