date_obj,Yellow%20partyhat price
2015-03-26,25691
2015-03-27,25691
2015-03-28,24964
2015-03-29,24271
2015-03-30,23374
2015-03-31,22361
2015-04-01,22361
2015-04-02,21258
2015-04-03,20195
2015-04-04,19205
2015-04-05,19205
2015-04-06,18244
2015-04-07,17822
2015-04-08,17822
2015-04-09,17385
2015-04-10,17206
2015-04-11,17729
2015-04-12,17729
2015-04-13,18339
2015-04-14,18339
2015-04-15,19193
2015-04-16,19193
2015-04-17,19740
2015-04-18,19740
2015-04-19,19461
2015-04-20,19461
2015-04-21,19201
2015-04-22,19201
2015-04-23,18565
2015-04-24,18565
2015-04-25,18265
2015-04-26,18265
2015-04-27,17857
2015-04-28,17226
2015-04-29,17226
2015-04-30,16780
2015-05-01,16780
2015-05-02,16731
2015-05-03,16731
2015-05-04,17069
2015-05-05,17069
2015-05-06,17517
2015-05-07,17517
2015-05-08,17864
2015-05-09,17864
2015-05-10,18023
2015-05-11,18023
2015-05-12,18220
2015-05-13,18220
2015-05-14,18425
2015-05-15,18425
2015-05-16,18609
2015-05-17,18859
2015-05-18,18859
2015-05-19,19154
2015-05-20,19154
2015-05-21,19154
2015-05-22,19310
2015-05-23,19310
2015-05-24,19684
2015-05-25,19684
2015-05-26,20331
2015-05-27,20331
2015-05-28,20931
2015-05-29,20931
2015-05-30,20304
2015-05-31,20304
2015-06-01,19304
2015-06-02,19304
2015-06-03,18663
2015-06-04,18663
2015-06-05,18071
2015-06-06,17530
2015-06-07,16967
2015-06-08,16967
2015-06-09,16704
2015-06-10,17275
2015-06-11,17275
2015-06-12,18139
2015-06-13,19021
2015-06-14,19899
2015-06-15,20812
2015-06-16,21851
2015-06-17,22881
2015-06-18,23981
2015-06-19,23981
2015-06-20,25024
2015-06-21,25024
2015-06-22,26251
2015-06-23,26251
2015-06-24,27557
2015-06-25,27557
2015-06-26,28601
2015-06-27,28601
2015-06-28,27794
2015-06-29,27794
2015-06-30,27691
2015-07-01,26971
2015-07-02,26971
2015-07-03,27655
2015-07-04,27655
2015-07-05,28778
2015-07-06,28778
2015-07-07,29436
2015-07-08,28684
2015-07-09,28684
2015-07-10,27251
2015-07-11,27251
2015-07-12,26069
2015-07-13,25103
2015-07-14,25103
2015-07-15,24420
2015-07-16,24420
2015-07-17,23337
2015-07-18,23337
2015-07-19,23589
2015-07-20,23036
2015-07-21,23036
2015-07-22,22911
2015-07-23,22911
2015-07-24,23912
2015-07-25,23912
2015-07-26,24862
2015-07-27,25915
2015-07-28,25915
2015-07-29,26974
2015-07-30,26974
2015-07-31,27941
2015-08-01,27941
2015-08-02,29251
2015-08-03,29251
2015-08-04,30090
2015-08-05,31158
2015-08-06,31158
2015-08-07,32504
2015-08-08,34046
2015-08-09,35725
2015-08-10,37380
2015-08-11,39245
2015-08-12,39245
2015-08-13,40205
2015-08-14,38564
2015-08-15,38564
2015-08-16,37877
2015-08-17,37877
2015-08-18,37362
2015-08-19,37362
2015-08-20,36366
2015-08-21,36366
2015-08-22,35587
2015-08-23,35587
2015-08-24,35686
2015-08-25,35686
2015-08-26,35686
2015-08-27,36221
2015-08-28,36221
2015-08-29,35987
2015-08-30,35987
2015-08-31,36015
2015-09-01,36015
2015-09-02,36681
2015-09-03,36681
2015-09-04,36745
2015-09-05,36745
2015-09-06,37076
2015-09-07,37076
2015-09-08,37929
2015-09-09,37929
2015-09-10,39483
2015-09-11,39483
2015-09-12,41251
2015-09-13,42992
2015-09-14,44889
2015-09-15,46481
2015-09-16,46481
2015-09-17,45836
2015-09-18,45836
2015-09-19,44600
2015-09-20,44600
2015-09-21,42954
2015-09-22,42954
2015-09-23,41672
2015-09-24,41672
2015-09-25,41672
2015-09-27,39761
2015-09-28,37893
2015-09-29,37893
2015-09-30,36376
2015-10-05,33086
2015-10-06,33086
2015-10-07,31692
2015-10-08,31692
2015-10-09,30445
2015-10-10,30445
2015-10-11,29381
2015-10-12,29381
2015-10-13,29381
2015-10-14,29124
2015-10-15,29124
2015-10-16,28526
2015-10-17,28526
2015-10-18,28526
2015-10-19,28195
2015-10-20,28195
2015-10-22,27344
2015-10-23,26553
2015-10-24,26553
2015-10-25,26400
2015-10-26,26400
2015-10-27,26400
2015-10-29,26322
2015-10-30,26322
2015-10-31,26640
2015-11-01,26640
2015-11-02,26640
2015-11-03,26866
2015-11-05,26866
2015-11-06,27016
2015-11-07,27016
2015-11-08,27016
2015-11-09,26134
2015-11-10,26134
2015-11-11,26134
2015-11-12,25164
2015-11-13,25164
2015-11-14,25164
2015-11-15,24662
2015-11-16,24662
2015-11-17,24662
2015-11-18,24135
2015-11-19,24135
2015-11-20,23590
2015-11-21,23590
2015-11-22,23590
2015-11-23,23134
2015-11-24,23134
2015-11-25,22519
2015-11-26,22519
2015-11-27,22519
2015-11-28,22089
2015-11-29,22089
2015-11-30,21614
2015-12-01,21614
2015-12-02,21614
2015-12-03,21472
2015-12-04,21472
2015-12-05,21472
2015-12-06,20801
2015-12-07,20801
2015-12-08,20801
2015-12-09,20261
2015-12-10,20261
2015-12-11,20261
2015-12-13,19728
2015-12-14,19728
2015-12-15,18819
2015-12-16,17878
2015-12-17,16984
2015-12-18,16134
2015-12-19,15327
2015-12-20,14560
2015-12-21,13832
2015-12-22,13140
2015-12-23,12483
2015-12-24,11858
2015-12-25,11265
2015-12-26,10701
2015-12-27,10179
2015-12-28,9713
2015-12-29,9261
2015-12-30,8849
2015-12-31,8684
2016-01-01,8684
2016-01-02,8343
2016-01-03,7926
2016-01-04,7565
2016-01-05,7275
2016-01-06,7051
2016-01-07,7051
2016-01-08,6946
2016-01-09,6946
2016-01-10,6735
2016-01-11,6735
2016-01-12,6655
2016-01-13,6655
2016-01-14,6651
2016-01-15,6651
2016-01-16,6579
2016-01-17,6579
2016-01-18,6498
2016-01-19,6498
2016-01-20,6493
2016-01-21,6493
2016-01-22,6359
2016-01-23,6359
2016-01-24,6140
2016-01-25,6140
2016-01-26,5865
2016-01-27,5865
2016-01-28,5790
2016-01-29,5700
2016-01-30,5700
2016-01-31,5690
2016-02-01,5690
2016-02-02,5788
2016-02-03,5788
2016-02-04,5953
2016-02-05,5953
2016-02-06,5815
2016-02-07,5815
2016-02-08,5732
2016-02-09,5732
2016-02-10,5728
2016-02-11,5728
2016-02-12,5728
2016-02-13,5772
2016-02-14,5772
2016-02-15,5739
2016-02-16,5739
2016-02-17,5698
2016-02-18,5698
2016-02-19,5621
2016-02-20,5621
2016-02-21,5419
2016-02-22,5419
2016-02-23,5200
2016-02-24,5200
2016-02-25,4955
2016-02-26,4955
2016-02-27,4816
2016-02-28,4816
2016-02-29,4857
2016-03-01,4857
2016-03-02,4852
2016-03-03,4852
2016-03-04,4918
2016-03-05,4918
2016-03-06,4930
2016-03-07,4930
2016-03-08,4930
2016-03-09,5004
2016-03-10,5004
2016-03-11,5074
2016-03-12,5074
2016-03-13,5087
2016-03-14,5087
2016-03-15,5146
2016-03-16,5146
2016-03-17,5252
2016-03-18,5252
2016-03-19,5156
2016-03-20,5156
2016-03-21,5123
2016-03-22,5123
2016-03-23,5186
2016-03-24,5186
2016-03-25,5136
2016-03-26,5136
2016-03-27,5122
2016-03-28,5122
2016-03-29,5046
2016-03-30,5046
2016-03-31,5046
2016-04-01,4975
2016-04-02,4975
2016-04-03,4795
2016-04-04,4795
2016-04-05,4795
2016-04-06,4767
2016-04-07,4767
2016-04-08,4767
2016-04-09,4687
2016-04-10,4687
2016-04-11,4687
2016-04-12,4632
2016-04-13,4632
2016-04-14,4632
2016-04-15,4615
2016-04-16,4615
2016-04-17,4615
2016-04-18,4549
2016-04-19,4549
2016-04-20,4549
2016-04-21,4435
2016-04-22,4435
2016-04-23,4435
2016-04-24,4327
2016-04-25,4327
2016-04-26,4180
2016-04-27,4180
2016-04-28,4180
2016-04-29,4045
2016-04-30,4045
2016-05-01,3993
2016-05-02,3993
2016-05-03,3911
2016-05-04,3911
2016-05-05,3938
2016-05-06,3938
2016-05-07,3938
2016-05-08,3860
2016-05-09,3860
2016-05-10,3838
2016-05-11,3838
2016-05-12,3838
2016-05-13,3812
2016-05-14,3812
2016-05-15,3722
2016-05-16,3722
2016-05-17,3722
2016-05-18,3564
2016-05-19,3564
2016-05-22,3389
2016-05-23,3223
2016-05-24,3223
2016-05-25,3068
2016-05-26,3068
2016-05-27,2971
2016-05-28,2971
2016-05-29,3048
2016-05-30,3048
2016-05-31,3048
2016-06-01,3130
2016-06-02,3130
2016-06-03,3130
2016-06-04,3192
2016-06-05,3192
2016-06-06,3290
2016-06-07,3290
2016-06-08,3290
2016-06-09,3392
2016-06-10,3392
2016-06-11,3479
2016-06-12,3479
2016-06-13,3527
2016-06-14,3527
2016-06-15,3596
2016-06-16,3596
2016-06-17,3566
2016-06-18,3566
2016-06-19,3566
2016-06-20,3541
2016-06-21,3541
2016-06-22,3499
2016-06-23,3499
2016-06-24,3499
2016-06-25,3474
2016-06-26,3474
2016-06-27,3474
2016-06-28,3327
2016-06-29,3327
2016-06-30,3327
2016-07-01,3369
2016-07-02,3369
2016-07-03,3369
2016-07-04,3349
2016-07-05,3349
2016-07-06,3349
2016-07-07,3336
2016-07-08,3336
2016-07-09,3336
2016-07-10,3348
2016-07-11,3348
2016-07-12,3348
2016-07-13,3289
2016-07-14,3289
2016-07-15,3289
2016-07-16,3163
2016-07-17,3163
2016-07-18,3163
2016-07-24,2999
2016-07-25,2999
2016-07-26,3020
2016-07-27,3020
2016-07-28,3020
2016-07-29,3031
2016-07-30,3031
2016-07-31,3031
2016-08-01,3031
2016-08-02,2986
2016-08-03,2986
2016-08-04,2986
2016-08-05,2986
2016-08-06,3014
2016-08-07,3014
2016-08-08,3014
2016-08-09,3051
2016-08-10,3051
2016-08-11,3051
2016-08-12,3051
2016-08-13,2950
2016-08-14,2950
2016-08-15,2950
2016-08-16,2827
2016-08-17,2827
2016-08-18,2827
2016-08-19,2827
2016-08-20,2812
2016-08-21,2812
2016-08-22,2812
2016-08-23,2812
2016-08-24,2736
2016-08-25,2736
2016-08-26,2736
2016-08-28,2694
2016-08-31,2694
2016-09-01,2669
2016-09-02,2669
2016-09-03,2669
2016-09-04,2669
2016-09-05,2630
2016-09-06,2630
2016-09-07,2630
2016-09-08,2630
2016-09-09,2630
2016-09-10,2612
2016-09-11,2612
2016-09-12,2612
2016-09-13,2612
2016-09-14,2588
2016-09-15,2588
2016-09-16,2588
2016-09-17,2588
2016-09-18,2477
2016-09-19,2477
2016-09-20,2477
2016-09-21,2477
2016-09-22,2416
2016-09-23,2416
2016-09-24,2416
2016-09-25,2416
2016-09-26,2496
2016-09-27,2496
2016-09-28,2496
2016-09-29,2496
2016-09-30,2612
2016-10-01,2612
2016-10-02,2612
2016-10-03,2612
2016-10-04,2612
2016-10-05,2642
2016-10-06,2642
2016-10-07,2642
2016-10-08,2642
2016-10-09,2645
2016-10-10,2645
2016-10-11,2645
2016-10-12,2645
2016-10-13,2638
2016-10-14,2638
2016-10-15,2638
2016-10-16,2638
2016-10-17,2595
2016-10-18,2595
2016-10-19,2595
2016-10-20,2595
2016-10-21,2554
2016-10-22,2554
2016-10-23,2554
2016-10-24,2554
2016-10-25,2560
2016-10-26,2560
2016-10-27,2560
2016-10-28,2560
2016-10-29,2561
2016-10-30,2561
2016-10-31,2561
2016-11-01,2561
2016-11-02,2528
2016-11-03,2528
2016-11-04,2528
2016-11-05,2528
2016-11-06,2441
2016-11-07,2441
2016-11-08,2441
2016-11-09,2441
2016-11-10,2380
2016-11-11,2380
2016-11-12,2380
2016-11-13,2380
2016-11-14,2338
2016-12-08,2388
2016-12-09,2388
2016-12-10,2291
2016-12-11,2291
2016-12-12,2291
2016-12-13,2203
2016-12-14,2109
2016-12-15,2109
2016-12-16,2089
2016-12-17,2073
2016-12-18,2073
2016-12-19,2023
2016-12-20,2023
2016-12-21,1974
2016-12-22,1974
2016-12-23,1919
2016-12-24,1919
2016-12-25,1896
2016-12-26,1896
2016-12-27,1891
2016-12-28,1891
2016-12-29,1856
2016-12-30,1856
2016-12-31,1856
2017-01-01,1785
2017-01-02,1785
2017-01-03,1737
2017-01-04,1737
2017-01-05,1737
2017-01-06,1680
2017-01-07,1680
2017-01-08,1624
2017-01-09,1624
2017-01-10,1624
2017-01-11,1587
2017-01-12,1587
2017-01-13,1587
2017-01-14,1574
2017-01-15,1574
2017-01-16,1574
2017-01-17,1560
2017-01-18,1560
2017-01-19,1560
2017-01-20,1614
2017-01-21,1614
2017-01-22,1614
2017-01-27,1678
2017-01-28,1678
2017-01-29,1652
2017-01-30,1652
2017-01-31,1652
2017-02-01,1642
2017-02-02,1642
2017-02-03,1642
2017-02-04,1590
2017-02-05,1590
2017-02-06,1590
2017-02-07,1590
2017-02-08,1564
2017-02-09,1564
2017-02-10,1564
2017-02-11,1528
2017-02-12,1528
2017-02-13,1528
2017-02-14,1560
2017-02-15,1560
2017-02-16,1560
2017-02-18,1561
2017-02-19,1561
2017-02-20,1561
2017-02-21,1577
2017-02-22,1577
2017-02-23,1577
2017-02-24,1577
2017-02-25,1593
2017-02-26,1593
2017-02-27,1593
2017-02-28,1641
2017-03-01,1641
2017-03-02,1641
2017-03-03,1641
2017-03-04,1626
2017-03-05,1626
2017-03-06,1626
2017-03-07,1602
2017-03-08,1602
2017-03-09,1602
2017-03-10,1602
2017-03-11,1588
2017-03-12,1588
2017-03-13,1588
2017-03-14,1578
2017-03-15,1578
2017-03-16,1528
2017-03-17,1528
2017-03-18,1528
2017-03-19,1492
2017-03-20,1492
2017-03-21,1492
2017-03-22,1474
2017-03-23,1474
2017-03-24,1474
2017-03-25,1474
2017-03-26,1469
2017-03-27,1469
2017-03-28,1469
2017-03-29,1484
2017-03-30,1484
2017-03-31,1484
2017-04-01,1515
2017-04-02,1515
2017-04-03,1515
2017-04-04,1530
2017-04-12,1540
2017-04-13,1540
2017-04-14,1540
2017-04-15,1562
2017-04-16,1562
2017-04-17,1562
2017-04-18,1575
2017-04-19,1575
2017-04-20,1575
2017-04-21,1575
2017-04-22,1600
2017-04-23,1600
2017-04-24,1600
2017-04-25,1641
2017-04-26,1641
2017-04-27,1641
2017-04-28,1641
2017-04-29,1679
2017-04-30,1679
2017-05-01,1679
2017-05-02,1679
2017-05-03,1710
2017-05-04,1710
2017-05-05,1710
2017-05-06,1710
2017-05-07,1720
2017-05-08,1720
2017-05-09,1720
2017-05-10,1720
2017-05-11,1755
2017-05-12,1755
2017-05-13,1755
2017-05-14,1755
2017-05-15,1760
2017-05-16,1760
2017-05-17,1760
2017-05-18,1760
2017-05-19,1763
2017-05-20,1763
2017-05-21,1763
2017-05-22,1763
2017-05-23,1767
2017-05-24,1767
2017-05-25,1767
2017-05-26,1767
2017-05-27,1803
2017-05-28,1803
2017-05-29,1803
2017-05-30,1803
2017-05-31,1837
2017-06-01,1837
2017-06-02,1837
2017-06-03,1837
2017-06-06,1875
2017-06-07,1857
2017-06-08,1857
2017-06-09,1857
2017-06-10,1857
2017-06-11,1886
2017-06-12,1886
2017-06-13,1886
2017-06-14,1886
2017-06-15,1902
2017-06-16,1902
2017-06-17,1902
2017-06-18,1902
2017-06-19,1902
2017-06-20,1945
2017-06-21,1945
2017-06-22,1945
2017-06-23,1945
2017-06-24,1945
2017-06-25,1950
2017-06-26,1950
2017-06-27,1950
2017-06-28,1950
2017-06-29,1937
2017-06-30,1937
2017-07-01,1937
2017-07-02,1937
2017-07-03,1937
2017-07-04,1953
