date_obj,Zamorak%20platebody price
2015-03-26,149525
2015-03-27,149525
2015-03-28,146931
2015-03-29,146931
2015-03-30,140997
2015-03-31,140997
2015-04-01,134816
2015-04-02,134816
2015-04-03,129872
2015-04-04,129872
2015-04-05,127409
2015-04-06,127409
2015-04-07,122817
2015-04-08,122817
2015-04-09,118422
2015-04-10,118422
2015-04-11,117820
2015-04-12,117820
2015-04-13,120533
2015-04-14,120533
2015-04-15,121466
2015-04-16,121466
2015-04-17,121322
2015-04-18,121322
2015-04-19,122853
2015-04-20,122853
2015-04-21,119068
2015-04-22,119068
2015-04-23,114741
2015-04-24,114741
2015-04-25,110721
2015-04-26,110721
2015-04-27,108512
2015-04-28,108512
2015-04-29,108482
2015-04-30,108482
2015-05-01,105291
2015-05-02,105291
2015-05-03,102750
2015-05-04,102750
2015-05-05,98753
2015-05-06,98753
2015-05-07,97127
2015-05-08,97127
2015-05-09,96910
2015-05-10,96910
2015-05-11,97512
2015-05-12,97512
2015-05-13,98758
2015-05-14,98758
2015-05-15,98545
2015-05-16,98545
2015-05-17,97713
2015-05-18,97713
2015-05-19,97330
2015-05-20,97330
2015-05-21,97330
2015-05-22,97709
2015-05-23,97709
2015-05-24,98888
2015-05-25,98888
2015-05-26,99325
2015-05-27,99325
2015-05-28,99670
2015-05-29,100236
2015-05-30,100501
2015-05-31,100501
2015-06-01,99697
2015-06-02,99697
2015-06-03,100176
2015-06-04,100176
2015-06-05,100757
2015-06-06,100832
2015-06-07,102623
2015-06-08,102623
2015-06-09,104590
2015-06-10,107029
2015-06-11,107029
2015-06-12,108842
2015-06-13,111180
2015-06-14,113450
2015-06-15,113450
2015-06-16,115558
2015-06-17,115558
2015-06-18,117810
2015-06-19,117810
2015-06-20,119967
2015-06-21,119967
2015-06-22,120656
2015-06-23,120656
2015-06-24,121170
2015-06-25,121170
2015-06-26,120230
2015-06-27,120230
2015-06-28,118349
2015-06-29,118349
2015-06-30,116876
2015-07-01,114794
2015-07-02,114794
2015-07-03,112537
2015-07-04,112537
2015-07-05,109833
2015-07-06,109833
2015-07-07,109897
2015-07-08,112365
2015-07-09,112365
2015-07-10,114889
2015-07-11,114889
2015-07-12,118027
2015-07-13,119556
2015-07-14,121944
2015-07-15,121944
2015-07-16,123365
2015-07-17,124190
2015-07-18,124190
2015-07-19,124379
2015-07-20,125815
2015-07-21,125815
2015-07-22,127692
2015-07-23,127692
2015-07-24,129648
2015-07-25,129648
2015-07-26,131324
2015-07-27,130757
2015-07-28,129611
2015-07-29,127913
2015-07-30,127913
2015-07-31,128076
2015-08-01,128076
2015-08-02,129216
2015-08-03,129216
2015-08-04,130110
2015-08-05,130509
2015-08-06,130509
2015-08-07,132936
2015-08-08,132980
2015-08-09,134248
2015-08-10,133033
2015-08-11,133033
2015-08-12,131622
2015-08-13,131622
2015-08-14,129132
2015-08-15,129132
2015-08-16,130812
2015-08-17,132385
2015-08-18,132385
2015-08-19,132625
2015-08-20,132625
2015-08-21,132656
2015-08-22,135202
2015-08-23,135202
2015-08-24,136291
2015-08-25,136291
2015-08-26,139421
2015-08-27,142230
2015-08-28,142230
2015-08-29,146360
2015-08-30,146360
2015-08-31,147437
2015-09-01,147437
2015-09-02,147288
2015-09-03,147288
2015-09-04,147235
2015-09-05,147235
2015-09-06,146333
2015-09-07,146333
2015-09-08,145031
2015-09-09,145031
2015-09-10,142417
2015-09-11,138072
2015-09-12,138072
2015-09-13,134730
2015-09-14,134730
2015-09-15,132960
2015-09-16,132960
2015-09-17,131511
2015-09-18,131511
2015-09-19,131300
2015-09-20,131300
2015-09-21,130126
2015-09-22,130126
2015-09-23,127260
2015-09-24,127260
2015-09-25,124459
2015-09-27,122311
2015-09-28,120414
2015-09-29,120414
2015-09-30,120928
2015-10-05,125849
2015-10-06,128113
2015-10-07,128113
2015-10-08,125608
2015-10-09,123020
2015-10-10,123020
2015-10-11,123994
2015-10-12,123994
2015-10-13,125470
2015-10-14,125470
2015-10-15,126281
2015-10-16,126281
2015-10-17,125231
2015-10-18,125231
2015-10-19,127713
2015-10-20,127713
2015-10-22,129824
2015-10-23,128829
2015-10-24,128829
2015-10-25,125830
2015-10-26,125830
2015-10-27,122996
2015-10-29,122363
2015-10-30,122363
2015-10-31,121924
2015-11-01,121924
2015-11-02,121988
2015-11-03,121988
2015-11-05,121405
2015-11-06,122246
2015-11-07,119543
2015-11-08,119543
2015-11-09,116756
2015-11-10,116756
2015-11-11,114593
2015-11-12,114593
2015-11-13,112839
2015-11-14,112839
2015-11-15,113008
2015-11-16,113008
2015-11-17,113058
2015-11-18,113058
2015-11-19,115459
2015-11-20,116394
2015-11-21,116394
2015-11-22,118368
2015-11-23,118368
2015-11-24,118504
2015-11-25,117525
2015-11-26,117525
2015-11-27,118622
2015-11-28,118622
2015-11-29,119125
2015-11-30,119125
2015-12-01,119464
2015-12-02,119464
2015-12-03,118794
2015-12-04,118794
2015-12-05,118549
2015-12-06,119808
2015-12-07,119808
2015-12-08,119701
2015-12-09,120772
2015-12-10,120772
2015-12-11,121000
2015-12-13,120338
2015-12-14,120338
2015-12-15,119653
2015-12-16,120338
2015-12-17,120338
2015-12-18,120153
2015-12-19,120153
2015-12-20,119309
2015-12-21,119309
2015-12-22,118854
2015-12-23,120239
2015-12-24,120239
2015-12-25,122110
2015-12-26,122110
2015-12-27,122779
2015-12-28,122779
2015-12-29,123312
2015-12-30,122984
2015-12-31,122984
2016-01-01,119167
2016-01-02,119167
2016-01-03,118992
2016-01-04,119202
2016-01-05,119202
2016-01-06,119600
2016-01-07,119600
2016-01-08,120378
2016-01-09,120378
2016-01-10,118405
2016-01-11,118405
2016-01-12,119391
2016-01-13,119391
2016-01-14,119701
2016-01-15,119701
2016-01-16,119951
2016-01-17,121527
2016-01-18,122296
2016-01-19,122296
2016-01-20,121623
2016-01-21,121623
2016-01-22,120325
2016-01-23,120325
2016-01-24,121377
2016-01-25,120757
2016-01-26,120757
2016-01-27,120163
2016-01-28,120163
2016-01-29,119606
2016-01-30,119606
2016-01-31,117993
2016-02-01,117227
2016-02-02,117227
2016-02-03,117817
2016-02-04,117817
2016-02-05,118117
2016-02-06,117619
2016-02-07,117619
2016-02-08,116909
2016-02-09,116909
2016-02-10,117098
2016-02-11,117098
2016-02-12,115182
2016-02-13,114761
2016-02-14,114761
2016-02-15,114882
2016-02-16,114882
2016-02-17,114955
2016-02-18,114955
2016-02-19,114798
2016-02-20,114447
2016-02-21,112783
2016-02-22,112783
2016-02-23,109749
2016-02-24,109749
2016-02-25,107957
2016-02-26,107957
2016-02-27,106996
2016-02-28,106996
2016-02-29,106310
2016-03-01,104537
2016-03-02,104537
2016-03-03,103333
2016-03-04,100100
2016-03-05,98952
2016-03-06,96653
2016-03-07,96653
2016-03-08,96265
2016-03-09,97025
2016-03-10,98215
2016-03-11,98215
2016-03-12,102691
2016-03-13,102691
2016-03-14,105895
2016-03-15,107521
2016-03-16,109134
2016-03-17,109134
2016-03-18,109808
2016-03-19,109808
2016-03-20,107292
2016-03-21,107292
2016-03-22,104409
2016-03-23,103705
2016-03-24,103705
2016-03-25,103052
2016-03-26,100463
2016-03-27,100463
2016-03-28,100257
2016-03-29,100327
2016-03-30,100327
2016-03-31,98646
2016-04-01,98646
2016-04-02,97770
2016-04-03,94678
2016-04-04,94281
2016-04-05,94281
2016-04-06,94718
2016-04-07,95438
2016-04-08,95225
2016-04-09,95860
2016-04-10,94632
2016-04-11,94632
2016-04-12,96017
2016-04-13,96017
2016-04-14,97699
2016-04-15,96000
2016-04-16,96000
2016-04-17,93896
2016-04-18,93269
2016-04-19,93269
2016-04-20,94546
2016-04-21,94546
2016-04-22,94688
2016-04-23,95373
2016-04-24,95902
2016-04-25,95336
2016-04-26,95209
2016-04-27,95202
2016-04-28,95202
2016-04-29,95966
2016-04-30,98814
2016-05-01,100395
2016-05-02,101516
2016-05-03,100052
2016-05-04,100052
2016-05-05,100118
2016-05-06,100118
2016-05-07,98130
2016-05-08,98130
2016-05-09,98117
2016-05-10,96782
2016-05-11,96782
2016-05-12,95014
2016-05-13,91925
2016-05-14,91050
2016-05-15,90806
2016-05-16,90806
2016-05-17,90199
2016-05-18,89789
2016-05-19,90027
2016-05-22,88381
2016-05-23,87032
2016-05-24,86737
2016-05-25,86737
2016-05-26,85185
2016-05-27,84377
2016-05-28,84377
2016-05-29,83569
