date_obj,Steel%20studs price
2015-03-26,217
2015-03-27,217
2015-03-28,217
2015-03-29,217
2015-03-30,217
2015-03-31,227
2015-04-01,227
2015-04-02,227
2015-04-03,227
2015-04-04,227
2015-04-05,227
2015-04-06,227
2015-04-07,227
2015-04-08,227
2015-04-09,227
2015-04-10,227
2015-04-11,238
2015-04-12,238
2015-04-13,238
2015-04-14,238
2015-04-15,238
2015-04-16,238
2015-04-17,238
2015-04-18,238
2015-04-19,238
2015-04-20,238
2015-04-21,238
2015-04-22,249
2015-04-23,249
2015-04-24,249
2015-04-25,249
2015-04-26,249
2015-04-27,249
2015-04-28,249
2015-04-29,249
2015-04-30,249
2015-05-01,249
2015-05-02,249
2015-05-03,261
2015-05-04,261
2015-05-05,261
2015-05-06,261
2015-05-07,261
2015-05-08,261
2015-05-09,261
2015-05-10,261
2015-05-11,261
2015-05-12,261
2015-05-13,261
2015-05-14,274
2015-05-15,274
2015-05-16,274
2015-05-17,274
2015-05-18,274
2015-05-19,274
2015-05-20,274
2015-05-21,274
2015-05-22,274
2015-05-23,274
2015-05-24,274
2015-05-25,274
2015-05-26,274
2015-05-27,286
2015-05-28,286
2015-05-29,286
2015-05-30,286
2015-05-31,286
2015-06-01,286
2015-06-02,286
2015-06-03,286
2015-06-04,286
2015-06-05,299
2015-06-06,299
2015-06-07,299
2015-06-08,299
2015-06-09,299
2015-06-10,299
2015-06-11,299
2015-06-12,299
2015-06-13,299
2015-06-14,312
2015-06-15,312
2015-06-16,312
2015-06-17,312
2015-06-18,312
2015-06-19,312
2015-06-20,312
2015-06-21,312
2015-06-22,312
2015-06-23,321
2015-06-24,321
2015-06-25,321
2015-06-26,321
2015-06-27,321
2015-06-28,321
2015-06-29,321
2015-06-30,321
2015-07-01,336
2015-07-02,336
2015-07-03,336
2015-07-04,336
2015-07-05,336
2015-07-06,336
2015-07-07,336
2015-07-08,336
2015-07-09,336
2015-07-10,336
2015-07-11,352
2015-07-12,352
2015-07-13,352
2015-07-14,352
2015-07-15,352
2015-07-16,352
2015-07-17,352
2015-07-18,352
2015-07-19,352
2015-07-20,352
2015-07-21,369
2015-07-22,369
2015-07-23,369
2015-07-24,369
2015-07-25,369
2015-07-26,369
2015-07-27,369
2015-07-28,369
2015-07-29,369
2015-07-30,385
2015-07-31,385
2015-08-01,385
2015-08-02,385
2015-08-03,385
2015-08-04,385
2015-08-05,385
2015-08-06,385
2015-08-07,385
2015-08-08,385
2015-08-09,402
2015-08-10,402
2015-08-11,402
2015-08-12,402
2015-08-13,402
2015-08-14,402
2015-08-15,402
2015-08-16,402
2015-08-17,402
2015-08-18,409
2015-08-19,409
2015-08-20,409
2015-08-21,409
2015-08-22,409
2015-08-23,409
2015-08-24,409
2015-08-25,409
2015-08-26,409
2015-08-27,409
2015-08-28,426
2015-08-29,426
2015-08-30,426
2015-08-31,426
2015-09-01,426
2015-09-02,426
2015-09-03,426
2015-09-04,426
2015-09-05,426
2015-09-06,426
2015-09-07,426
2015-09-08,426
2015-09-09,444
2015-09-10,444
2015-09-11,444
2015-09-12,444
2015-09-13,444
2015-09-14,444
2015-09-15,444
2015-09-16,444
2015-09-17,444
2015-09-18,444
2015-09-19,444
2015-09-20,444
2015-09-21,457
2015-09-22,457
2015-09-23,457
2015-09-24,457
2015-09-25,457
2015-09-27,457
2015-09-28,457
2015-09-29,457
2015-09-30,457
2015-10-05,463
2015-10-06,463
2015-10-07,463
2015-10-08,463
2015-10-09,463
2015-10-10,463
2015-10-11,463
2015-10-12,475
2015-10-13,475
2015-10-14,475
2015-10-15,475
2015-10-16,475
2015-10-17,475
2015-10-18,475
2015-10-19,475
2015-10-20,475
2015-10-22,475
2015-10-23,475
2015-10-24,475
2015-10-25,490
2015-10-26,490
2015-10-27,490
2015-10-29,490
2015-10-30,490
2015-10-31,490
2015-11-01,490
2015-11-02,490
2015-11-03,490
2015-11-04,490
2015-11-05,490
2015-11-06,490
2015-11-07,498
2015-11-08,498
2015-11-09,498
2015-11-10,498
2015-11-11,498
2015-11-12,498
2015-11-13,498
2015-11-14,498
2015-11-15,498
2015-11-16,498
2015-11-17,498
2015-11-18,498
2015-11-19,498
2015-11-20,511
2015-11-21,511
2015-11-22,511
2015-11-23,511
2015-11-24,511
2015-11-25,511
2015-11-26,511
2015-11-27,511
2015-11-28,511
2015-11-29,511
