date_obj,Godsword%20shard%202 price
2015-03-26,170685
2015-03-27,170685
2015-03-28,170685
2015-03-29,170685
2015-03-30,170685
2015-03-31,170480
2015-04-01,170480
2015-04-02,170480
2015-04-03,170480
2015-04-04,170480
2015-04-05,170480
2015-04-06,170480
2015-04-07,170480
2015-04-08,169900
2015-04-09,169900
2015-04-10,169900
2015-04-11,169900
2015-04-12,169900
2015-04-13,169900
2015-04-14,169900
2015-04-15,175733
2015-04-16,175733
2015-04-17,175733
2015-04-18,175733
2015-04-19,175733
2015-04-20,175733
2015-04-21,175733
2015-04-22,173364
2015-04-23,173364
2015-04-24,173364
2015-04-25,173364
2015-04-26,173364
2015-04-27,167802
2015-04-28,167802
2015-04-29,167802
2015-04-30,167802
2015-05-01,167802
2015-05-02,167802
2015-05-03,171202
2015-05-04,171202
2015-05-05,171202
2015-05-06,171202
2015-05-07,171202
2015-05-08,171202
2015-05-09,171267
2015-05-10,171267
2015-05-11,171267
2015-05-12,171267
2015-05-13,171267
2015-05-14,171267
2015-05-15,171267
2015-05-16,171267
2015-05-17,168690
2015-05-18,168690
2015-05-19,168690
2015-05-20,168690
2015-05-21,168690
2015-05-22,168690
2015-05-23,168690
2015-05-24,168690
2015-05-25,168690
2015-05-26,168594
2015-05-27,168594
2015-05-28,168594
2015-05-29,168594
2015-05-30,170454
2015-05-31,170454
2015-06-01,170454
2015-06-02,170454
2015-06-03,170454
2015-06-04,174316
2015-06-05,174316
2015-06-06,174316
2015-06-07,174316
2015-06-08,174316
2015-06-09,173970
2015-06-10,173970
2015-06-11,173970
2015-06-12,173970
2015-06-13,173970
2015-06-14,173009
2015-06-15,173009
2015-06-16,173009
2015-06-17,173009
2015-06-18,166829
2015-06-19,166829
2015-06-20,166829
2015-06-21,166829
2015-06-22,166958
2015-06-23,166958
2015-06-24,166958
2015-06-25,166958
2015-06-26,170904
2015-06-27,170904
2015-06-28,170904
2015-06-29,170904
2015-06-30,170857
2015-07-01,170857
2015-07-02,170857
2015-07-03,170857
2015-07-04,167688
2015-07-05,167688
2015-07-06,167688
2015-07-07,167688
2015-07-08,168152
2015-07-09,168152
2015-07-10,168152
2015-07-11,168152
2015-07-12,168152
2015-07-13,168873
2015-07-14,168873
2015-07-15,168873
2015-07-16,168873
2015-07-17,168873
2015-07-18,168503
2015-07-19,168503
2015-07-20,168503
2015-07-21,168503
2015-07-22,174664
2015-07-23,174664
2015-07-24,174664
2015-07-25,174664
2015-07-26,174664
2015-07-27,177893
2015-07-28,177893
2015-07-29,177893
2015-07-30,177893
2015-07-31,177893
2015-08-01,177104
2015-08-02,177104
2015-08-03,177104
2015-08-04,177104
2015-08-05,171217
2015-08-06,171217
2015-08-07,171217
2015-08-08,171217
2015-08-09,170952
2015-08-10,170952
2015-08-11,170952
2015-08-12,170952
2015-08-13,170952
2015-08-14,171078
2015-08-15,171078
2015-08-16,171078
2015-08-17,171078
2015-08-18,168223
2015-08-19,168223
2015-08-20,168223
2015-08-21,168223
2015-08-22,169997
2015-08-23,169997
2015-08-24,169997
2015-08-25,169997
2015-08-26,169997
2015-08-27,173125
2015-08-28,173125
2015-08-29,173125
2015-08-30,173125
2015-08-31,173125
2015-09-01,171141
2015-09-02,171141
2015-09-03,171141
2015-09-04,171141
2015-09-05,171141
2015-09-06,174542
2015-09-07,174542
2015-09-08,174542
2015-09-09,174542
2015-09-10,177901
2015-09-11,177901
2015-09-12,177901
2015-09-13,177901
2015-09-14,178576
2015-09-15,178576
2015-09-16,178576
2015-09-17,178576
2015-09-18,178576
2015-09-19,172828
2015-09-20,172828
2015-09-21,172828
2015-09-22,172828
2015-09-23,172828
2015-09-24,172828
2015-09-25,170632
2015-09-27,170632
2015-09-28,170632
2015-09-29,170632
2015-09-30,168489
2015-10-05,168489
2015-10-06,169987
2015-10-07,169987
2015-10-08,169987
2015-10-09,169987
2015-10-10,169987
2015-10-11,171791
2015-10-12,171791
2015-10-13,171791
2015-10-14,171791
2015-10-15,171791
2015-10-16,169108
2015-10-17,169108
2015-10-18,169108
2015-10-19,169108
2015-10-20,169108
2015-10-22,169594
2015-10-23,169594
2015-10-24,169594
2015-10-25,169594
2015-10-26,169594
2015-10-27,165990
2015-10-29,165990
2015-10-30,165990
2015-10-31,165990
2015-11-01,165990
2015-11-02,170015
2015-11-03,170015
2015-11-04,170015
2015-11-05,170015
2015-11-06,170015
2015-11-07,170015
2015-11-08,170015
2015-11-09,170015
2015-11-10,168089
2015-11-11,168089
2015-11-12,168089
2015-11-13,168089
2015-11-14,168089
2015-11-15,168089
2015-11-16,168089
2015-11-17,170739
2015-11-18,170739
2015-11-19,170739
2015-11-20,170739
2015-11-21,170739
2015-11-22,170739
2015-11-23,170739
2015-11-24,172175
2015-11-25,172175
2015-11-26,172175
2015-11-27,172175
2015-11-28,172175
2015-11-29,172175
2015-11-30,169130
2015-12-01,169130
2015-12-02,169130
2015-12-03,169130
2015-12-04,169130
2015-12-05,169130
2015-12-06,169130
2015-12-07,169564
2015-12-08,169564
2015-12-09,169564
2015-12-10,169564
2015-12-11,169564
2015-12-12,169564
2015-12-13,168971
2015-12-14,168971
2015-12-15,168971
2015-12-16,168971
2015-12-17,168971
2015-12-18,168784
2015-12-19,168784
2015-12-20,168784
2015-12-21,168784
2015-12-22,168784
2015-12-23,169853
2015-12-24,169853
2015-12-25,169853
2015-12-26,169853
2015-12-27,169853
2015-12-28,170042
2015-12-29,170042
2015-12-30,170042
2015-12-31,170042
2016-01-01,170042
2016-01-02,171950
2016-01-03,171950
2016-01-04,171950
2016-01-05,171950
2016-01-06,177379
2016-01-07,177379
2016-01-08,177379
2016-01-09,177379
2016-01-10,177379
2016-01-11,176650
