date_obj,Chilli%20potato price
2016-02-05,424
2016-02-06,424
2016-02-07,424
2016-02-08,424
2016-02-09,424
2016-02-10,417
2016-02-11,417
2016-02-12,417
2016-02-13,417
2016-02-14,417
2016-02-15,417
2016-02-16,410
2016-02-17,410
2016-02-18,410
2016-02-19,410
2016-02-20,410
2016-02-21,410
2016-02-22,410
2016-02-23,400
2016-02-24,400
2016-02-25,400
2016-02-26,400
2016-02-27,400
2016-02-28,400
2016-02-29,400
2016-03-01,396
2016-03-02,396
2016-03-03,396
2016-03-04,396
2016-03-05,396
2016-03-06,396
2016-03-07,396
2016-03-08,399
2016-03-09,399
2016-03-10,399
2016-03-11,399
2016-03-12,399
2016-03-13,399
2016-03-14,399
2016-03-15,399
2016-03-16,396
2016-03-17,396
2016-03-18,396
2016-03-19,396
2016-03-20,396
2016-03-21,396
2016-03-22,396
2016-03-23,404
2016-03-24,404
2016-03-25,404
2016-03-26,404
2016-03-27,404
2016-03-28,404
2016-03-29,404
2016-03-30,404
2016-03-31,410
2016-04-01,410
2016-04-02,410
2016-04-03,410
2016-04-04,410
2016-04-05,410
2016-04-06,410
2016-04-07,410
2016-04-08,420
2016-04-09,420
2016-04-10,420
2016-04-11,420
2016-04-12,420
2016-04-13,420
2016-04-14,420
2016-04-15,423
2016-04-16,423
2016-04-17,423
2016-04-18,423
2016-04-19,423
2016-04-20,423
2016-04-21,437
2016-04-22,437
2016-04-23,437
2016-04-24,437
2016-04-25,437
2016-04-26,437
2016-04-27,449
2016-04-28,449
2016-04-29,449
2016-04-30,449
2016-05-01,449
2016-05-02,449
2016-05-03,445
2016-05-04,445
2016-05-05,445
2016-05-06,445
2016-05-07,445
2016-05-08,456
2016-05-09,456
2016-05-10,456
2016-05-11,456
2016-05-12,456
2016-05-13,451
2016-05-14,451
2016-05-15,451
2016-05-16,451
2016-05-17,451
2016-05-18,438
2016-05-19,438
2016-05-22,438
2016-05-23,449
2016-05-24,449
2016-05-25,449
2016-05-26,449
2016-05-27,449
2016-05-28,440
2016-05-29,440
2016-05-30,440
2016-05-31,440
2016-06-01,440
2016-06-02,441
2016-06-03,441
2016-06-04,441
2016-06-05,441
2016-06-06,441
2016-06-07,447
2016-06-08,447
2016-06-09,447
2016-06-10,447
2016-06-11,447
2016-06-12,442
2016-06-13,442
2016-06-14,442
2016-06-15,442
2016-06-16,442
2016-06-17,438
2016-06-18,438
2016-06-19,438
2016-06-20,438
2016-06-21,438
2016-06-22,439
2016-06-23,439
2016-06-24,439
2016-06-25,439
2016-06-26,439
2016-06-27,439
2016-06-28,424
2016-06-29,424
2016-06-30,424
2016-07-01,424
2016-07-02,424
2016-07-03,428
2016-07-04,428
2016-07-05,428
2016-07-06,428
2016-07-07,428
2016-07-08,428
2016-07-09,424
2016-07-10,424
2016-07-11,424
2016-07-12,424
2016-07-13,424
2016-07-14,424
2016-07-15,422
2016-07-16,422
2016-07-17,422
2016-07-18,422
2016-07-23,423
2016-07-24,423
2016-07-25,423
2016-07-26,423
2016-07-27,423
2016-07-28,423
2016-07-29,418
2016-07-30,418
2016-07-31,418
2016-08-01,418
2016-08-02,418
2016-08-03,418
2016-08-04,424
2016-08-05,424
2016-08-06,424
2016-08-07,424
2016-08-08,424
2016-08-09,424
2016-08-10,412
2016-08-11,412
2016-08-12,412
2016-08-13,412
2016-08-14,412
2016-08-15,412
2016-08-16,412
2016-08-17,397
2016-08-18,397
2016-08-19,397
2016-08-20,397
2016-08-21,397
2016-08-22,397
2016-08-23,405
2016-08-24,405
2016-08-25,405
2016-08-26,405
2016-08-28,405
2016-08-31,394
2016-09-01,394
2016-09-02,394
2016-09-03,394
2016-09-04,397
2016-09-05,397
2016-09-06,397
2016-09-07,397
2016-09-08,397
2016-09-09,397
2016-09-10,411
2016-09-11,411
2016-09-12,411
2016-09-13,411
2016-09-14,411
2016-09-15,411
2016-09-16,423
2016-09-17,423
2016-09-18,423
2016-09-19,423
2016-09-20,423
2016-09-21,423
2016-09-22,426
2016-09-23,426
2016-09-24,426
2016-09-25,426
2016-09-26,426
2016-09-27,426
2016-09-28,426
2016-09-29,433
2016-09-30,433
2016-10-01,433
2016-10-02,433
2016-10-03,433
2016-10-04,433
2016-10-05,442
2016-10-06,442
2016-10-07,442
2016-10-08,442
2016-10-09,442
2016-10-10,442
2016-10-11,435
2016-10-12,435
2016-10-13,435
2016-10-14,435
2016-10-15,435
2016-10-16,435
2016-10-17,438
2016-10-18,438
2016-10-19,438
2016-10-20,438
2016-10-21,438
2016-10-22,438
2016-10-23,436
2016-10-24,436
2016-10-25,436
