date_obj,Green%20spiky%20vambraces price
2015-03-26,10805
2015-03-27,10805
2015-03-28,10805
2015-03-29,10805
2015-03-30,10805
2015-03-31,10270
2015-04-01,10270
2015-04-02,10270
2015-04-03,10270
2015-04-04,10270
2015-04-05,10270
2015-04-06,10270
2015-04-07,10270
2015-04-08,10270
2015-04-09,10270
2015-04-10,10270
2015-04-11,10270
2015-04-12,9771
2015-04-13,9771
2015-04-14,9771
2015-04-15,9771
2015-04-16,9771
2015-04-17,9771
2015-04-18,9771
2015-04-19,9771
2015-04-20,9771
2015-04-21,9771
2015-04-22,9771
2015-04-23,9358
2015-04-24,9358
2015-04-25,9358
2015-04-26,9358
2015-04-27,9358
2015-04-28,9358
2015-04-29,9358
2015-04-30,9358
2015-05-01,9358
2015-05-02,9358
2015-05-03,9358
2015-05-04,9358
2015-05-05,9150
2015-05-06,9150
2015-05-07,9150
2015-05-08,9150
2015-05-09,9150
2015-05-10,9150
2015-05-11,9150
2015-05-12,9150
2015-05-13,9150
2015-05-14,9150
2015-05-15,9150
2015-05-16,9150
2015-05-17,8877
2015-05-18,8877
2015-05-19,8877
2015-05-20,8877
2015-05-21,8877
2015-05-22,8877
2015-05-23,8877
2015-05-24,8877
2015-05-25,8877
2015-05-26,8877
2015-05-27,8877
2015-05-28,8548
2015-05-29,8548
2015-05-30,8548
2015-05-31,8548
2015-06-01,8548
2015-06-02,8548
2015-06-03,8548
2015-06-04,8202
2015-06-05,8202
2015-06-06,8202
2015-06-07,8202
2015-06-08,8202
2015-06-09,8202
2015-06-10,8202
2015-06-11,8202
2015-06-12,7793
2015-06-13,7793
2015-06-14,7793
2015-06-15,7793
2015-06-16,7793
2015-06-17,7793
2015-06-18,7793
2015-06-19,7412
2015-06-20,7412
2015-06-21,7412
2015-06-22,7412
2015-06-23,7412
2015-06-24,7412
2015-06-25,7412
2015-06-26,7043
2015-06-27,7043
2015-06-28,7043
2015-06-29,7043
2015-06-30,7043
2015-07-01,7043
2015-07-02,7043
2015-07-03,7043
2015-07-04,6874
2015-07-05,6874
2015-07-06,6874
2015-07-07,6874
2015-07-08,6874
2015-07-09,6874
2015-07-10,6874
2015-07-11,6874
2015-07-12,6874
2015-07-13,6800
2015-07-14,6800
2015-07-15,6800
2015-07-16,6800
2015-07-17,6800
2015-07-18,6800
2015-07-19,6800
2015-07-20,6800
2015-07-21,6800
2015-07-22,6483
2015-07-23,6483
2015-07-24,6483
2015-07-25,6483
2015-07-26,6483
2015-07-27,6483
2015-07-28,6483
2015-07-29,6483
2015-07-30,6483
2015-07-31,6483
2015-08-01,6645
2015-08-02,6645
2015-08-03,6645
2015-08-04,6645
2015-08-05,6645
2015-08-06,6645
2015-08-07,6645
2015-08-08,6403
2015-08-09,6403
2015-08-10,6403
2015-08-11,6403
2015-08-12,6403
2015-08-13,6403
2015-08-14,6403
2015-08-15,6235
2015-08-16,6235
2015-08-17,6235
2015-08-18,6235
2015-08-19,6235
2015-08-20,6235
2015-08-21,6235
2015-08-22,6193
2015-08-23,6193
2015-08-24,6193
2015-08-25,6193
2015-08-26,6193
2015-08-27,6193
2015-08-28,6193
2015-08-29,6193
2015-08-30,6193
2015-08-31,5981
2015-09-01,5981
2015-09-02,5981
2015-09-03,5981
2015-09-04,5981
2015-09-05,5981
2015-09-06,5981
2015-09-07,5981
2015-09-08,5736
2015-09-09,5736
2015-09-10,5736
2015-09-11,5736
2015-09-12,5736
2015-09-13,5736
2015-09-14,5736
2015-09-15,5556
2015-09-16,5556
2015-09-17,5556
2015-09-18,5556
2015-09-19,5556
2015-09-20,5556
2015-09-21,5556
2015-09-22,5556
2015-09-23,5357
2015-09-24,5357
2015-09-25,5357
2015-09-27,5357
2015-09-28,5357
2015-09-29,5357
2015-09-30,5357
2015-10-05,5238
2015-10-06,5238
2015-10-07,5238
2015-10-08,5238
2015-10-09,5238
2015-10-10,5146
2015-10-11,5146
2015-10-12,5146
2015-10-13,5146
2015-10-14,5146
2015-10-15,5146
2015-10-16,5146
2015-10-17,5146
2015-10-18,5146
2015-10-19,4997
2015-10-20,4997
2015-10-22,4997
2015-10-23,4997
2015-10-24,4997
2015-10-25,4997
2015-10-26,4997
2015-10-27,4997
2015-10-29,4866
2015-10-30,4866
2015-10-31,4866
2015-11-01,4866
2015-11-02,4866
2015-11-03,4866
2015-11-04,4866
2015-11-05,4866
2015-11-06,4866
2015-11-07,4792
2015-11-08,4792
2015-11-09,4792
2015-11-10,4792
2015-11-11,4792
2015-11-12,4792
2015-11-13,4792
2015-11-14,4792
2015-11-15,4792
2015-11-16,4792
2015-11-17,4792
2015-11-18,4792
2015-11-19,4792
2015-11-20,4792
2015-11-21,4792
2015-11-22,4792
2015-11-23,4792
2015-11-24,4792
2015-11-25,4792
2015-11-26,4792
2015-11-27,4734
2015-11-28,4734
2015-11-29,4734
2015-11-30,4734
2015-12-01,4734
2015-12-02,4734
2015-12-03,4734
2015-12-04,4734
2015-12-05,4734
2015-12-06,4671
2015-12-07,4671
2015-12-08,4671
2015-12-09,4671
2015-12-10,4671
2015-12-11,4671
2015-12-12,4671
2015-12-13,4671
2015-12-14,4671
2015-12-15,4722
2015-12-16,4722
2015-12-17,4722
2015-12-18,4722
2015-12-19,4722
2015-12-20,4722
2015-12-21,4722
2015-12-22,4722
2015-12-23,4722
2015-12-24,4722
2015-12-25,4742
2015-12-26,4742
2015-12-27,4742
2015-12-28,4742
2015-12-29,4742
2015-12-30,4742
2015-12-31,4742
2016-01-01,4742
2016-01-02,4572
2016-01-03,4572
2016-01-04,4572
