date_obj,Villager%20sandals%20(blue) price
2015-02-25,50000
2015-02-26,50000
2015-02-27,50000
2015-02-28,50000
2015-03-01,50000
2015-03-02,50000
2015-03-03,50000
2015-03-04,50000
2015-03-05,50000
2015-03-06,50000
2015-03-07,50000
2015-03-08,50000
2015-03-09,50000
2015-03-10,50000
2015-03-11,50000
2015-03-12,50000
2015-03-13,50000
2015-03-14,50000
2015-03-15,50000
2015-03-16,50000
2015-03-17,50000
2015-03-18,50000
2015-03-19,50000
2015-03-20,50000
2015-03-21,50000
2015-03-22,50000
2015-03-23,50000
2015-03-24,50000
2015-03-25,50000
2015-03-26,50000
2015-03-27,50000
2015-03-28,50000
2015-03-29,50000
2015-03-30,50000
2015-03-31,50000
2015-04-01,50000
2015-04-02,50000
2015-04-03,50000
2015-04-04,50000
2015-04-05,50000
2015-04-06,50000
2015-04-07,50000
2015-04-08,50000
2015-04-09,50000
2015-04-10,50000
2015-04-11,50000
2015-04-12,50000
2015-04-13,50000
2015-04-14,50000
2015-04-15,50000
2015-04-16,50000
2015-04-17,50000
2015-04-18,50000
2015-04-19,50000
2015-04-20,50000
2015-04-21,50000
2015-04-22,50000
2015-04-23,50000
2015-04-24,50000
2015-04-25,50000
2015-04-26,50000
2015-04-27,50000
2015-04-28,50000
2015-04-29,50000
2015-04-30,50000
2015-05-01,50000
2015-05-02,50000
2015-05-03,50000
2015-05-04,50000
2015-05-05,50000
2015-05-06,50000
2015-05-07,50000
2015-05-08,50000
2015-05-09,50000
2015-05-10,50000
2015-05-11,50000
2015-05-12,50000
2015-05-13,50000
2015-05-14,50000
2015-05-15,50000
2015-05-16,50000
2015-05-17,50000
2015-05-18,50000
2015-05-19,50000
2015-05-20,50000
2015-05-21,50000
2015-05-22,50000
2015-05-23,50000
2015-05-24,50000
2015-05-25,50000
2015-05-26,50000
2015-05-27,50000
2015-05-28,47516
2015-05-29,47516
2015-05-30,47516
2015-05-31,47516
2015-06-01,47516
2015-06-02,47516
2015-06-03,47516
2015-06-04,47516
2015-06-05,47516
2015-06-06,47516
2015-06-07,47516
2015-06-08,47516
2015-06-09,47516
2015-06-10,47516
2015-06-11,47516
2015-06-12,47516
2015-06-13,47516
2015-06-14,47516
2015-06-15,47516
2015-06-16,47516
2015-06-17,47516
2015-06-18,47516
2015-06-19,47516
2015-06-20,47516
2015-06-21,47516
2015-06-22,47516
2015-06-23,47516
2015-06-24,47516
2015-06-25,47516
2015-06-26,47516
2015-06-27,47516
2015-06-28,47516
2015-06-29,47516
2015-06-30,47516
2015-07-01,47516
2015-07-02,47516
2015-07-03,47516
2015-07-04,47516
2015-07-05,47516
2015-07-06,47516
2015-07-07,47516
2015-07-08,47516
2015-07-09,47516
2015-07-10,47516
2015-07-11,47516
2015-07-12,47516
2015-07-13,47516
2015-07-14,47516
2015-07-15,47516
2015-07-16,47516
2015-07-17,47516
2015-07-18,47516
2015-07-19,47516
2015-07-20,47516
2015-07-21,47516
2015-07-22,47516
2015-07-23,47516
2015-07-24,45224
2015-07-25,45224
2015-07-26,45224
2015-07-27,45224
2015-07-28,45224
2015-07-29,45224
2015-07-30,45224
2015-07-31,45224
2015-08-01,45224
2015-08-02,45224
2015-08-03,45224
2015-08-04,45224
2015-08-05,45224
2015-08-06,45224
2015-08-07,45224
2015-08-08,45224
2015-08-09,45224
2015-08-10,45224
2015-08-11,45224
2015-08-12,45224
2015-08-13,45224
2015-08-14,45224
2015-08-15,45224
2015-08-16,45224
2015-08-17,45224
2015-08-18,45224
2015-08-19,45224
2015-08-20,45224
2015-08-21,45224
2015-08-22,45224
2015-08-23,45224
2015-08-24,45224
2015-08-25,45224
2015-08-26,45224
2015-08-27,45224
2015-08-28,45224
2015-08-29,45224
2015-08-30,45224
2015-08-31,45224
2015-09-01,45224
2015-09-02,45224
2015-09-03,45224
2015-09-04,45224
2015-09-05,45224
2015-09-06,45224
2015-09-07,45224
2015-09-08,45224
2015-09-09,45224
2015-09-10,45224
2015-09-11,45224
2015-09-12,45224
2015-09-13,45224
2015-09-14,45224
2015-09-15,43009
2015-09-16,43009
2015-09-17,43009
2015-09-18,43009
2015-09-19,43009
2015-09-20,43009
2015-09-21,43009
2015-09-22,43009
2015-09-23,43009
2015-09-24,43009
2015-09-25,43009
2015-09-26,43009
2015-09-27,43009
2015-09-28,43009
2015-09-29,43009
2015-09-30,43009
2015-10-01,43009
2015-10-02,43009
2015-10-03,43009
2015-10-04,43009
2015-10-05,43009
2015-10-06,43009
2015-10-07,43009
2015-10-08,43009
2015-10-09,43009
2015-10-10,43009
2015-10-11,43009
2015-10-12,43009
2015-10-13,43009
2015-10-14,43009
2015-10-15,43009
2015-10-16,43009
2015-10-17,43009
2015-10-18,43009
2015-10-19,43009
2015-10-20,43009
2015-10-21,43009
2015-10-22,43009
2015-10-23,43009
2015-10-24,43009
2015-10-25,43009
2015-10-26,43009
2015-10-27,43009
2015-10-28,43009
2015-10-29,43009
2015-10-30,43009
2015-10-31,40883
2015-11-01,40883
2015-11-02,40883
2015-11-03,40883
2015-11-04,40883
2015-11-05,40883
2015-11-06,40883
2015-11-07,40883
2015-11-08,40883
2015-11-09,40883
2015-11-10,40883
2015-11-11,40883
2015-11-12,40883
2015-11-13,40883
2015-11-14,40883
2015-11-15,40883
2015-11-16,40883
2015-11-17,40883
2015-11-18,40883
2015-11-19,40883
2015-11-20,40883
2015-11-21,40883
2015-11-22,40883
2015-11-23,40883
2015-11-24,40883
2015-11-25,40883
2015-11-26,40883
2015-11-27,40883
2015-11-28,40883
2015-11-29,40883
2015-11-30,40883
2015-12-01,40883
2015-12-02,40883
2015-12-03,40883
2015-12-04,40883
2015-12-05,40883
2015-12-06,40883
2015-12-07,40883
2015-12-08,40883
2015-12-09,40883
2015-12-10,40883
2015-12-11,40883
2015-12-12,40883
2015-12-13,40883
2015-12-14,40883
2015-12-15,38863
2015-12-16,38863
2015-12-17,38863
2015-12-18,38863
2015-12-19,38863
2015-12-20,38863
2015-12-21,38863
2015-12-22,38863
2015-12-23,38863
2015-12-24,38863
2015-12-25,38863
2015-12-26,38863
2015-12-27,38863
2015-12-28,38863
2015-12-29,38863
2015-12-30,38863
2015-12-31,38863
2016-01-01,38863
2016-01-02,38863
2016-01-03,38863
2016-01-04,38863
2016-01-05,38863
2016-01-06,38863
2016-01-07,38863
2016-01-08,38863
2016-01-09,38863
2016-01-10,38863
2016-01-11,38863
2016-01-12,38863
2016-01-13,38863
2016-01-14,38863
2016-01-15,38863
2016-01-16,38863
2016-01-17,38863
2016-01-18,38863
2016-01-19,38863
2016-01-20,38863
2016-01-21,38863
2016-01-22,38863
2016-01-23,38863
2016-01-24,38863
2016-01-25,38863
2016-01-26,38863
2016-01-27,37029
2016-01-28,37029
2016-01-29,37029
2016-01-30,37029
2016-01-31,37029
2016-02-01,37029
2016-02-02,37029
2016-02-03,37029
2016-02-04,37029
2016-02-05,37029
2016-02-06,37029
2016-02-07,37029
2016-02-08,37029
2016-02-09,37029
2016-02-10,37029
2016-02-11,37029
2016-02-12,37029
2016-02-13,37029
2016-02-14,37029
2016-02-15,37029
2016-02-16,37029
2016-02-17,37029
2016-02-18,37029
2016-02-19,37029
2016-02-20,37029
2016-02-21,37029
2016-02-22,37029
2016-02-23,37029
2016-02-24,37029
2016-02-25,37029
2016-02-26,37029
2016-02-27,37029
2016-02-28,37029
2016-02-29,37029
2016-03-01,37029
2016-03-02,37029
2016-03-03,37029
2016-03-04,37029
2016-03-05,37029
2016-03-06,37029
2016-03-07,37029
2016-03-08,37029
2016-03-09,37029
2016-03-10,37029
2016-03-11,37029
2016-03-12,37029
2016-03-13,35181
2016-03-14,35181
2016-03-15,35181
2016-03-16,35181
2016-03-17,35181
2016-03-18,35181
2016-03-19,35181
2016-03-20,35181
2016-03-21,35181
2016-03-22,35181
2016-03-23,35181
2016-03-24,35181
2016-03-25,35181
2016-03-26,35181
2016-03-27,35181
2016-03-28,35181
2016-03-29,35181
2016-03-30,35181
2016-03-31,35181
2016-04-01,35181
2016-04-02,35181
2016-04-03,35181
2016-04-04,35181
2016-04-05,35181
2016-04-06,35181
2016-04-07,35181
2016-04-08,35181
2016-04-09,35181
2016-04-10,35181
2016-04-11,33542
2016-04-12,33542
2016-04-13,33542
2016-04-14,33542
2016-04-15,33542
2016-04-16,33542
2016-04-17,33542
2016-04-18,33542
2016-04-19,33542
2016-04-20,33542
