date_obj,Infinity%20boots price
2015-03-26,1602218
2015-03-27,1602218
2015-03-28,1569562
2015-03-29,1516541
2015-03-30,1465169
2015-03-31,1475491
2015-04-01,1475491
2015-04-02,1513387
2015-04-03,1566233
2015-04-04,1568165
2015-04-05,1568165
2015-04-06,1573230
2015-04-07,1577486
2015-04-08,1577486
2015-04-09,1568896
2015-04-10,1562206
2015-04-11,1537864
2015-04-12,1461891
2015-04-13,1389537
2015-04-14,1389537
2015-04-15,1342476
2015-04-16,1299634
2015-04-17,1304188
2015-04-18,1344378
2015-04-19,1376087
2015-04-20,1376087
2015-04-21,1405238
2015-04-22,1405238
2015-04-23,1459186
2015-04-24,1431933
2015-04-25,1417690
2015-04-26,1382310
2015-04-27,1378162
2015-04-28,1371415
2015-04-29,1371415
2015-04-30,1397402
2015-05-01,1415555
2015-05-02,1406704
2015-05-03,1406704
2015-05-04,1370949
2015-05-05,1342127
2015-05-06,1293269
2015-05-07,1237496
2015-05-08,1183077
2015-05-09,1146946
2015-05-10,1135441
2015-05-11,1135441
2015-05-12,1128948
2015-05-13,1180726
2015-05-14,1239748
2015-05-15,1301736
2015-05-16,1362376
2015-05-17,1430495
2015-05-18,1502020
2015-05-19,1574024
2015-05-20,1574024
2015-05-21,1599662
2015-05-22,1628779
2015-05-23,1674992
2015-05-24,1631180
2015-05-25,1603692
2015-05-26,1612469
2015-05-27,1594824
2015-05-28,1586946
2015-05-29,1589065
2015-05-30,1612914
2015-05-31,1631990
2015-06-01,1630740
2015-06-02,1624419
2015-06-03,1603048
2015-06-04,1597463
2015-06-05,1636744
2015-06-06,1659645
2015-06-07,1697282
2015-06-08,1714735
2015-06-09,1697598
2015-06-10,1735040
2015-06-11,1796800
2015-06-12,1773612
2015-06-13,1768464
2015-06-14,1756007
2015-06-15,1728829
2015-06-16,1707841
2015-06-17,1679798
2015-06-18,1647088
2015-06-19,1606404
2015-06-20,1526295
2015-06-21,1511253
2015-06-22,1466221
2015-06-23,1447654
2015-06-24,1443528
2015-06-25,1497601
2015-06-26,1504505
2015-06-27,1481762
2015-06-28,1452363
2015-06-29,1445384
2015-06-30,1492504
2015-07-01,1493387
2015-07-02,1493387
2015-07-03,1444842
2015-07-04,1446965
2015-07-05,1409040
2015-07-06,1384346
2015-07-07,1377812
2015-07-08,1400274
2015-07-09,1400274
2015-07-10,1388982
2015-07-11,1388381
2015-07-12,1383204
2015-07-13,1346728
2015-07-14,1331270
