date_obj,Cosmic%20tiara price
2015-03-26,10049
2015-03-27,10049
2015-03-28,9577
2015-03-29,9577
2015-03-30,9577
2015-03-31,9577
2015-04-01,9577
2015-04-02,9577
2015-04-03,9107
2015-04-04,9107
2015-04-05,9107
2015-04-06,9107
2015-04-07,9107
2015-04-08,9107
2015-04-09,9107
2015-04-10,8651
2015-04-11,8651
2015-04-12,8651
2015-04-13,8651
2015-04-14,8651
2015-04-15,8651
2015-04-16,8225
2015-04-17,8225
2015-04-18,8225
2015-04-19,8225
2015-04-20,8225
2015-04-21,8225
2015-04-22,7830
2015-04-23,7830
2015-04-24,7830
2015-04-25,7830
2015-04-26,7830
2015-04-27,7830
2015-04-28,7442
2015-04-29,7442
2015-04-30,7442
2015-05-01,7442
2015-05-02,7442
2015-05-03,7442
2015-05-04,7442
2015-05-05,7082
2015-05-06,7082
2015-05-07,7082
2015-05-08,7082
2015-05-09,7082
2015-05-10,7082
2015-05-11,6735
2015-05-12,6735
2015-05-13,6735
2015-05-14,6735
2015-05-15,6735
2015-05-16,6735
2015-05-17,6404
2015-05-18,6404
2015-05-19,6404
2015-05-20,6404
2015-05-21,6404
2015-05-22,6404
2015-05-23,6404
2015-05-24,6404
2015-05-25,6083
2015-05-26,6083
2015-05-27,6083
2015-05-28,6083
2015-05-29,6083
2015-05-30,5778
2015-05-31,5778
2015-06-01,5778
2015-06-02,5778
2015-06-03,5778
2015-06-04,5490
2015-06-05,5490
2015-06-06,5490
2015-06-07,5490
2015-06-08,5490
2015-06-09,5217
2015-06-10,5217
2015-06-11,5217
2015-06-12,5217
2015-06-13,5217
2015-06-14,4957
2015-06-15,4957
2015-06-16,4957
2015-06-17,4957
2015-06-18,4957
2015-06-19,4713
2015-06-20,4713
2015-06-21,4713
2015-06-22,4713
2015-06-23,4713
2015-06-24,4480
2015-06-25,4480
2015-06-26,4480
2015-06-27,4480
2015-06-28,4480
2015-06-29,4264
2015-06-30,4264
2015-07-01,4264
2015-07-02,4264
2015-07-03,4264
2015-07-04,4051
2015-07-05,4051
2015-07-06,4051
2015-07-07,4051
2015-07-08,4051
2015-07-09,4051
2015-07-10,3853
2015-07-11,3853
2015-07-12,3853
2015-07-13,3853
2015-07-14,3853
2015-07-15,3664
2015-07-16,3664
2015-07-17,3664
2015-07-18,3664
2015-07-19,3664
2015-07-20,3489
2015-07-21,3489
2015-07-22,3489
2015-07-23,3489
2015-07-24,3489
2015-07-25,3321
2015-07-26,3321
2015-07-27,3321
2015-07-28,3321
2015-07-29,3155
2015-07-30,3155
