date_obj,Pirate's%20hat price
2015-03-26,69241
2015-03-27,66084
2015-03-28,66084
2015-03-29,66084
2015-03-30,63027
2015-03-31,63027
2015-04-01,63027
2015-04-02,63027
2015-04-03,60097
2015-04-04,60097
2015-04-05,60097
2015-04-06,57355
2015-04-07,57355
2015-04-08,57355
2015-04-09,57355
2015-04-10,54681
2015-04-11,54681
2015-04-12,54681
2015-04-13,52153
2015-04-14,52153
2015-04-15,52153
2015-04-16,52153
2015-04-17,49651
2015-04-18,49651
2015-04-19,49651
2015-04-20,49651
2015-04-21,47276
2015-04-22,47276
2015-04-23,47276
2015-04-24,45089
2015-04-25,45089
2015-04-26,45089
2015-04-27,42980
2015-04-28,42980
2015-04-29,42980
2015-04-30,40982
2015-05-01,40982
2015-05-02,40982
2015-05-03,39071
2015-05-04,39071
2015-05-05,39071
2015-05-06,37256
2015-05-07,37256
2015-05-08,37256
2015-05-09,35520
2015-05-10,35520
2015-05-11,35520
2015-05-12,33859
2015-05-13,33859
2015-05-14,33859
2015-05-15,32259
2015-05-16,32259
2015-05-17,32259
2015-05-18,30789
2015-05-19,30789
2015-05-20,30789
2015-05-21,30789
2015-05-22,29398
2015-05-23,29398
2015-05-24,29398
2015-05-25,29398
2015-05-26,28029
2015-05-27,28029
2015-05-28,28029
2015-05-29,26651
2015-05-30,26651
2015-05-31,26651
2015-06-01,25393
2015-06-02,25393
2015-06-03,25393
2015-06-04,25393
2015-06-05,24358
2015-06-06,24358
2015-06-07,24358
2015-06-08,23855
2015-06-09,23855
2015-06-10,23855
2015-06-11,23174
2015-06-12,23174
2015-06-13,23174
2015-06-14,22898
2015-06-15,22898
2015-06-16,22898
2015-06-17,22600
2015-06-18,22600
2015-06-19,22600
2015-06-20,21995
2015-06-21,21995
2015-06-22,21995
2015-06-23,21577
2015-06-24,21577
2015-06-25,21577
2015-06-26,21339
2015-06-27,21339
2015-06-28,21339
2015-06-29,21373
2015-06-30,21373
2015-07-01,21373
2015-07-02,21012
2015-07-03,21012
2015-07-04,21012
2015-07-05,20906
2015-07-06,20906
2015-07-07,20906
2015-07-08,20796
2015-07-09,20796
2015-07-10,20796
2015-07-11,20796
2015-07-12,20432
2015-07-13,20432
2015-07-14,20432
2015-07-15,19916
2015-07-16,19916
2015-07-17,19916
2015-07-18,19952
2015-07-19,19952
2015-07-20,19952
2015-07-21,19494
2015-07-22,19494
2015-07-23,19494
2015-07-24,18944
2015-07-25,18944
2015-07-26,18944
2015-07-27,18673
2015-07-28,18673
2015-07-29,18362
2015-07-30,18362
2015-07-31,18362
2015-08-01,18229
2015-08-02,18229
2015-08-03,18491
2015-08-04,18491
2015-08-05,18491
2015-08-06,18518
2015-08-07,18518
2015-08-08,19015
2015-08-09,19015
2015-08-10,19523
2015-08-11,19523
2015-08-12,19523
2015-08-13,19520
2015-08-14,19520
2015-08-15,19520
2015-08-16,19851
2015-08-17,19851
2015-08-18,19851
2015-08-19,19876
2015-08-20,19876
2015-08-21,19876
2015-08-22,19802
2015-08-23,19802
2015-08-24,19802
2015-08-25,19988
2015-08-26,19988
2015-08-27,20355
2015-08-28,20355
2015-08-29,20355
2015-08-30,20697
2015-08-31,20697
2015-09-01,20697
2015-09-02,20321
2015-09-03,20321
2015-09-04,20321
2015-09-05,19576
2015-09-06,19576
2015-09-07,19576
2015-09-08,19386
2015-09-09,19386
2015-09-10,19386
2015-09-11,19876
2015-09-12,19876
2015-09-13,19876
2015-09-14,20325
2015-09-15,20325
2015-09-16,20325
2015-09-17,21117
2015-09-18,21117
2015-09-19,21117
2015-09-20,21117
2015-09-21,21414
2015-09-22,21414
2015-09-23,21414
2015-09-24,21070
2015-09-25,21070
2015-09-27,21121
2015-09-28,21121
2015-09-29,21121
2015-09-30,21615
2015-10-05,22461
2015-10-06,22461
2015-10-07,22461
2015-10-08,22342
2015-10-09,22342
2015-10-10,22342
2015-10-11,22167
2015-10-12,22167
2015-10-13,22167
2015-10-14,22167
2015-10-15,22584
2015-10-16,22584
2015-10-17,22584
2015-10-18,22584
2015-10-19,22427
2015-10-20,22427
2015-10-22,22427
2015-10-23,21703
2015-10-24,21703
2015-10-25,21703
2015-10-26,21214
2015-10-27,21214
2015-10-29,21214
2015-10-30,21010
2015-10-31,21010
2015-11-01,21010
2015-11-02,21010
2015-11-03,20330
2015-11-04,20330
2015-11-05,20330
2015-11-06,20330
2015-11-07,19644
2015-11-08,19644
2015-11-09,19644
2015-11-10,19644
2015-11-11,19019
2015-11-12,19019
2015-11-13,19019
2015-11-14,19019
2015-11-15,18828
2015-11-16,18828
2015-11-17,18828
2015-11-18,18828
2015-11-19,18628
2015-11-20,18628
2015-11-21,18628
2015-11-22,18495
2015-11-23,18495
2015-11-24,18495
2015-11-25,18495
2015-11-26,18374
2015-11-27,18374
2015-11-28,18374
2015-11-29,18721
2015-11-30,18721
2015-12-01,18721
2015-12-02,19221
2015-12-03,19221
2015-12-04,19221
2015-12-05,19221
2015-12-06,19478
2015-12-07,19478
2015-12-08,19478
2015-12-09,19481
2015-12-10,19481
2015-12-11,19481
2015-12-12,19481
2015-12-13,19217
2015-12-14,19217
2015-12-15,19217
2015-12-16,18880
2015-12-17,18880
2015-12-18,18880
2015-12-19,18880
2015-12-20,18394
2015-12-21,18394
2015-12-22,18394
2015-12-23,18394
2015-12-24,18170
2015-12-25,18170
2015-12-26,18170
2015-12-27,17886
2015-12-28,17886
2015-12-29,17886
2015-12-30,17629
2015-12-31,17629
2016-01-01,17629
2016-01-02,17629
2016-01-03,17369
2016-01-04,17369
2016-01-05,17369
2016-01-06,17243
2016-01-07,17243
2016-01-08,17243
2016-01-09,17243
2016-01-10,16952
2016-01-11,16952
2016-01-12,16952
2016-01-13,16910
2016-01-14,16910
2016-01-15,16910
2016-01-16,17155
2016-01-17,17155
2016-01-18,17155
2016-01-19,16921
2016-01-20,16921
2016-01-21,16921
2016-01-22,17007
2016-01-23,17007
2016-01-24,17007
2016-01-25,17285
2016-01-26,17285
2016-01-27,17285
2016-01-28,17285
2016-01-29,17596
2016-01-30,17596
2016-01-31,17596
2016-02-01,17412
2016-02-02,17412
2016-02-03,17412
2016-02-04,17413
2016-02-05,17413
2016-02-06,17413
2016-02-07,17756
2016-02-08,17756
2016-02-09,17756
2016-02-10,17889
2016-02-11,17889
2016-02-12,17889
2016-02-13,18234
2016-02-14,18234
2016-02-15,18234
2016-02-16,18234
2016-02-17,18610
2016-02-18,18610
2016-02-19,18610
2016-02-20,19045
2016-02-21,19045
2016-02-22,19045
2016-02-23,19364
2016-02-24,19364
2016-02-25,19364
2016-02-26,19759
2016-02-27,19759
2016-02-28,20033
2016-02-29,20033
2016-03-01,20033
2016-03-02,19971
2016-03-03,19971
2016-03-04,19971
2016-03-05,20392
2016-03-06,20392
2016-03-07,20392
2016-03-08,20688
2016-03-09,20688
2016-03-10,20688
2016-03-11,21054
2016-03-12,21054
2016-03-13,21054
2016-03-14,21629
2016-03-15,21629
2016-03-16,21629
2016-03-17,21968
2016-03-18,21968
2016-03-19,21968
2016-03-20,21819
2016-03-21,21819
2016-03-22,21819
2016-03-23,21819
2016-03-24,21994
2016-03-25,21994
2016-03-26,21994
2016-03-27,21857
2016-03-28,21857
2016-03-29,21857
2016-03-30,21780
2016-03-31,21780
2016-04-01,21780
2016-04-02,21768
2016-04-03,21768
2016-04-04,21768
2016-04-05,21803
2016-04-06,21803
2016-04-07,21803
2016-04-08,21026
2016-04-09,21026
2016-04-10,21026
2016-04-11,20384
2016-04-12,20384
2016-04-14,19454
2016-04-15,19454
2016-04-16,19454
2016-04-17,18587
2016-04-18,18587
2016-04-19,18587
2016-04-20,18231
2016-04-21,18231
2016-04-22,18231
2016-04-23,17670
2016-04-24,17670
2016-04-25,17670
2016-04-26,17458
2016-04-27,17458
2016-04-28,17458
2016-04-29,17410
2016-04-30,17410
2016-05-01,17410
2016-05-02,17487
2016-05-03,17487
2016-05-04,17487
2016-05-05,17219
2016-05-06,17219
2016-05-07,17219
2016-05-08,17219
2016-05-09,16960
2016-05-10,16960
2016-05-11,16960
2016-05-12,17213
2016-05-13,17213
2016-05-14,17213
2016-05-15,17767
2016-05-16,17767
2016-05-17,17767
2016-05-18,18406
2016-05-19,18406
2016-05-22,19071
2016-05-23,19162
2016-05-24,19162
2016-05-25,19162
2016-05-26,19346
2016-05-27,19346
2016-05-28,19346
2016-05-29,19095
2016-05-30,19095
2016-05-31,19095
2016-06-01,18520
2016-06-02,18520
2016-06-03,18520
2016-06-04,18456
2016-06-05,18456
2016-06-06,18456
2016-06-07,18124
2016-06-08,18124
2016-06-09,18124
2016-06-10,18225
2016-06-11,18225
2016-06-12,18225
2016-06-13,18305
2016-06-14,18305
2016-06-15,18305
2016-06-16,18127
2016-06-17,18127
2016-06-18,18127
2016-06-19,18077
2016-06-20,18077
2016-06-21,18077
2016-06-22,17862
2016-06-23,17862
2016-06-24,17862
2016-06-25,17878
2016-06-26,17878
2016-06-27,17878
2016-06-28,17924
2016-06-29,17924
2016-06-30,17924
2016-07-01,17677
2016-07-02,17677
2016-07-03,17677
2016-07-04,17461
2016-07-05,17461
2016-07-06,17461
2016-07-07,16660
2016-07-08,16660
2016-07-09,16660
2016-07-10,15951
2016-07-11,15951
2016-07-12,15951
2016-07-13,15567
2016-07-14,15567
2016-07-15,15567
2016-07-16,15355
2016-07-17,15355
2016-07-18,15355
2016-07-23,14665
2016-07-24,14665
2016-07-25,14584
2016-07-26,14584
2016-07-27,14584
2016-07-28,14584
