date_obj,Amethyst%20bolt%20tips price
2017-06-21,418
2017-06-22,418
2017-06-23,418
2017-06-24,399
2017-06-25,399
2017-06-26,399
2017-06-27,380
2017-06-28,380
2017-06-29,380
2017-06-30,380
2017-07-01,380
2017-07-02,370
2017-07-03,370
2017-07-04,370
2017-07-05,370
2017-07-06,370
2017-07-07,353
2017-07-08,353
2017-07-09,336
2017-07-13,319
2017-07-14,319
2017-07-15,319
2017-07-16,303
2017-07-17,303
2017-07-18,303
2017-07-19,303
2017-07-20,288
2017-07-21,288
2017-07-22,288
2017-07-23,288
2017-07-24,273
2017-07-25,273
2017-07-26,273
2017-07-27,273
2017-07-28,273
2017-07-29,273
2017-07-30,268
2017-07-31,268
2017-08-01,268
2017-08-02,268
2017-08-03,268
2017-08-04,268
2017-08-05,271
2017-08-06,271
2017-08-07,271
2017-08-08,271
2017-08-09,271
2017-08-10,271
2017-08-11,271
2017-08-12,271
2017-08-13,273
2017-08-14,273
2017-08-15,273
2017-08-16,273
2017-08-17,273
2017-08-18,273
2017-08-19,273
2017-08-20,273
2017-08-21,273
2017-08-22,267
2017-08-23,267
2017-08-24,267
2017-08-25,267
2017-08-26,267
2017-08-27,258
2017-08-28,258
2017-08-29,258
2017-08-30,258
2017-08-31,258
2017-09-01,258
2017-09-02,248
2017-09-03,248
2017-09-04,248
2017-09-05,248
2017-09-06,248
2017-09-07,243
2017-09-08,243
2017-09-09,243
2017-09-10,243
2017-09-11,243
2017-09-12,243
2017-09-13,246
2017-09-14,246
2017-09-15,246
2017-09-16,246
2017-09-17,246
2017-09-18,246
2017-09-19,246
2017-09-20,245
2017-09-21,245
2017-09-22,245
2017-09-23,245
2017-09-24,245
2017-09-25,245
2017-09-26,245
2017-09-27,245
2017-09-28,243
2017-09-29,243
2017-09-30,243
2017-10-01,243
2017-10-02,243
2017-10-03,243
2017-10-04,243
2017-10-05,243
2017-10-06,237
2017-10-07,237
2017-10-08,237
2017-10-09,237
2017-10-10,237
2017-10-11,237
2017-10-12,237
2017-10-13,237
2017-10-14,239
2017-10-15,239
2017-10-16,239
2017-10-17,239
2017-10-18,239
2017-10-19,239
2017-10-20,239
2017-10-21,240
2017-10-22,240
2017-10-23,240
2017-10-24,240
2017-10-25,240
2017-10-26,240
2017-10-27,240
2017-10-28,239
2017-10-29,239
2017-10-30,239
2017-10-31,239
2017-11-01,239
2017-11-02,239
2017-11-03,239
2017-11-04,231
2017-11-05,231
2017-11-06,231
2017-11-07,231
2017-11-08,231
2017-11-09,222
2017-11-10,222
2017-11-11,222
2017-11-12,222
2017-11-13,224
2017-11-14,224
2017-11-15,224
2017-11-16,224
2017-11-17,222
2017-11-18,222
2017-11-19,222
2017-11-20,222
2017-11-21,229
2017-11-22,229
2017-11-23,229
2017-11-24,229
2017-11-25,232
2017-11-26,232
2017-11-27,232
2017-11-28,232
2017-11-29,232
2017-11-30,238
2017-12-01,238
2017-12-02,238
2017-12-03,238
2017-12-04,238
2017-12-05,247
2017-12-06,247
2017-12-07,247
2017-12-08,247
2017-12-09,247
2017-12-10,253
2017-12-11,253
2017-12-12,253
2017-12-13,253
2017-12-14,253
2017-12-15,248
2017-12-16,248
2017-12-17,248
2017-12-18,257
2017-12-19,257
2017-12-20,257
2017-12-21,257
2017-12-22,257
2017-12-23,257
2017-12-24,257
2017-12-25,257
2017-12-26,257
2017-12-27,257
2017-12-28,257
2017-12-29,259
2017-12-30,259
2017-12-31,259
2018-01-01,259
2018-01-02,259
2018-01-03,252
2018-01-04,252
2018-01-05,241
2018-01-06,241
2018-01-07,233
2018-01-08,227
2018-01-09,222
2018-01-10,211
2018-01-11,207
2018-01-12,210
2018-01-13,213
2018-01-14,211
2018-01-15,211
2018-01-16,203
2018-01-17,202
2018-01-18,203
2018-01-19,203
2018-01-20,209
2018-01-21,220
2018-01-22,223
2018-01-23,226
2018-01-24,234
2018-01-25,238
2018-01-26,237
2018-01-27,235
2018-01-28,236
2018-01-29,237
2018-01-30,232
2018-01-31,229
2018-02-01,224
2018-02-02,216
2018-02-03,214
2018-02-04,221
2018-02-05,229
2018-02-06,235
2018-02-07,238
2018-02-08,229
2018-02-09,225
2018-02-10,234
2018-02-11,234
2018-02-12,236
2018-02-13,240
2018-02-14,243
2018-02-15,240
2018-02-16,238
2018-02-17,240
2018-02-18,237
2018-02-19,231
2018-02-20,227
2018-02-21,231
2018-02-22,238
2018-02-23,241
2018-02-24,240
2018-02-25,244
2018-02-26,251
2018-02-27,256
2018-02-28,258
2018-03-01,249
2018-03-02,252
2018-03-03,241
2018-03-04,247
2018-03-05,245
2018-03-06,245
2018-03-07,246
2018-03-08,244
2018-03-09,247
2018-03-10,237
2018-03-11,243
2018-03-12,242
2018-03-13,250
2018-03-14,253
2018-03-15,251
2018-03-16,243
2018-03-17,242
2018-03-18,239
2018-03-19,236
2018-03-20,234
2018-03-22,237
2018-03-23,231
2018-03-24,228
2018-03-25,231
2018-03-26,237
2018-03-27,234
2018-03-28,236
2018-03-29,236
2018-03-30,232
2018-03-31,229
2018-04-01,232
2018-04-02,233
2018-04-03,232
2018-04-04,236
2018-04-05,236
2018-04-06,233
2018-04-07,239
2018-04-08,234
2018-04-09,235
2018-04-10,238
2018-04-11,235
2018-04-12,234
2018-04-13,230
2018-04-14,235
2018-04-15,229
2018-04-16,231
2018-04-17,226
2018-04-18,228
2018-04-19,228
2018-04-20,231
2018-04-21,230
2018-04-22,232
2018-04-23,235
2018-04-24,243
2018-04-25,236
2018-04-26,236
2018-04-27,235
2018-04-28,233
2018-04-29,230
2018-04-30,231
2018-05-01,236
2018-05-02,240
2018-05-03,242
2018-05-04,242
2018-05-05,242
2018-05-06,242
2018-05-07,236
2018-05-08,232
2018-05-09,235
2018-05-10,236
2018-05-11,234
2018-05-12,237
2018-05-13,233
2018-05-14,230
2018-05-15,233
2018-05-16,229
2018-05-17,235
2018-05-18,238
2018-05-19,237
2018-05-20,236
2018-05-21,231
2018-05-22,224
2018-05-23,228
2018-05-24,231
2018-05-25,228
2018-05-26,229
2018-05-27,234
2018-05-28,232
2018-05-29,228
2018-05-30,227
