date_obj,Cannon%20barrels price
2015-03-26,174710
2015-03-27,174710
2015-03-28,177505
2015-03-29,177505
2015-03-30,177505
2015-03-31,177505
2015-04-01,181644
2015-04-02,181644
2015-04-03,181644
2015-04-04,181644
2015-04-05,186447
2015-04-06,186447
2015-04-07,186447
2015-04-08,186447
2015-04-09,186447
2015-04-10,187763
2015-04-11,187763
2015-04-12,187763
2015-04-13,187763
2015-04-14,186043
2015-04-15,186043
2015-04-16,186043
2015-04-17,186043
2015-04-18,184997
2015-04-19,184997
2015-04-20,184997
2015-04-21,184997
2015-04-22,184997
2015-04-23,185381
2015-04-24,185381
2015-04-25,185381
2015-04-26,185381
2015-04-27,185381
2015-04-28,182357
2015-04-29,182357
2015-04-30,182357
2015-05-01,182357
2015-05-02,181067
2015-05-03,181067
2015-05-04,181067
2015-05-05,181067
2015-05-06,181067
2015-05-07,186013
2015-05-08,186013
2015-05-09,186013
2015-05-10,186013
2015-05-11,186013
2015-05-12,187052
2015-05-13,187052
2015-05-14,187052
2015-05-15,187052
2015-05-16,187052
2015-05-17,184450
2015-05-18,184450
2015-05-19,184450
2015-05-20,184450
2015-05-21,184450
2015-05-22,185652
2015-05-23,185652
2015-05-24,185652
2015-05-25,185652
2015-05-26,185015
2015-05-27,185015
2015-05-28,185015
2015-05-29,185015
2015-05-30,180534
2015-05-31,180534
2015-06-01,180534
2015-06-02,180534
2015-06-03,181812
2015-06-04,181812
2015-06-05,181812
2015-06-06,181812
2015-06-07,179203
2015-06-08,179203
2015-06-09,179203
2015-06-10,179203
2015-06-11,180912
2015-06-12,180912
2015-06-13,180912
2015-06-14,180912
2015-06-15,179221
2015-06-16,179221
2015-06-17,179221
2015-06-18,182709
2015-06-19,182709
2015-06-20,182709
2015-06-21,182709
2015-06-22,187821
2015-06-23,187821
2015-06-24,187821
2015-06-25,187821
2015-06-26,187892
2015-06-27,187892
2015-06-28,187892
2015-06-29,187892
2015-06-30,188024
2015-07-01,188024
2015-07-02,188024
2015-07-03,188024
2015-07-04,184379
2015-07-05,184379
2015-07-06,184379
2015-07-07,184379
2015-07-08,189443
2015-07-09,189443
2015-07-10,189443
2015-07-11,189443
2015-07-12,188761
2015-07-13,188761
2015-07-14,188761
2015-07-15,191850
2015-07-16,191850
2015-07-17,191850
2015-07-18,191850
2015-07-19,193819
2015-07-20,193819
2015-07-21,193819
2015-07-22,192765
2015-07-23,192765
2015-07-24,192765
2015-07-25,192765
2015-07-26,189970
2015-07-27,189970
2015-07-28,189970
2015-07-29,188186
2015-07-30,188186
2015-07-31,188186
2015-08-01,188186
2015-08-02,187996
2015-08-03,187996
2015-08-04,187996
2015-08-05,184676
2015-08-06,184676
2015-08-07,184676
2015-08-08,185269
