date_obj,Adamant%20knife price
2016-02-04,397
2016-02-05,396
2016-02-06,402
2016-02-07,403
2016-02-08,392
2016-02-09,393
2016-02-10,407
2016-02-11,424
2016-02-12,436
2016-02-13,446
2016-02-14,464
2016-02-15,470
2016-02-16,469
2016-02-17,472
2016-02-18,472
2016-02-19,475
2016-02-20,483
2016-02-21,484
2016-02-22,484
2016-02-23,481
2016-02-24,490
2016-02-25,483
2016-02-26,483
2016-02-27,476
2016-02-28,479
2016-02-29,474
2016-03-01,467
2016-03-02,477
2016-03-03,472
2016-03-04,472
2016-03-05,471
2016-03-06,471
2016-03-07,455
2016-03-08,469
2016-03-09,466
2016-03-10,467
2016-03-11,469
2016-03-12,480
2016-03-13,480
2016-03-14,480
2016-03-15,480
2016-03-16,468
2016-03-17,466
2016-03-18,461
2016-03-19,460
2016-03-20,469
2016-03-21,470
2016-03-22,459
2016-03-23,460
2016-03-24,462
2016-03-25,468
2016-03-26,459
2016-03-27,469
2016-03-28,468
2016-03-29,457
2016-03-30,457
2016-03-31,472
2016-04-01,458
2016-04-02,462
2016-04-03,468
2016-04-04,465
2016-04-05,473
2016-04-06,463
2016-04-07,461
2016-04-08,458
2016-04-09,447
2016-04-10,453
2016-04-11,453
2016-04-12,455
2016-04-13,454
2016-04-14,453
2016-04-15,440
2016-04-16,434
2016-04-17,442
2016-04-18,443
2016-04-19,438
2016-04-20,430
2016-04-21,428
2016-04-22,428
2016-04-23,430
2016-04-24,440
2016-04-25,445
2016-04-26,446
2016-04-27,457
2016-04-28,473
2016-04-29,493
2016-04-30,515
2016-05-01,537
2016-05-02,538
2016-05-03,513
2016-05-04,487
2016-05-05,462
2016-05-06,462
2016-05-07,439
2016-05-08,438
2016-05-09,440
2016-05-10,438
2016-05-11,451
2016-05-12,448
2016-05-13,459
2016-05-14,471
2016-05-15,485
2016-05-16,508
2016-05-17,502
2016-05-18,490
2016-05-19,479
2016-05-21,444
2016-05-22,429
2016-05-23,439
2016-05-24,449
2016-05-25,458
2016-05-26,459
2016-05-27,463
2016-05-28,463
2016-05-29,472
2016-05-30,472
2016-05-31,458
2016-06-01,455
2016-06-02,457
2016-06-03,462
2016-06-04,473
2016-06-05,461
2016-06-06,470
2016-06-07,470
2016-06-08,466
2016-06-09,480
2016-06-10,495
2016-06-11,500
2016-06-12,516
2016-06-13,522
2016-06-14,536
2016-06-15,560
2016-06-16,562
2016-06-17,566
2016-06-18,568
2016-06-19,556
2016-06-20,529
2016-06-21,502
2016-06-22,477
2016-06-23,456
2016-06-24,464
2016-06-25,461
2016-06-26,454
2016-06-27,449
2016-06-28,451
2016-06-29,457
2016-06-30,477
2016-07-01,481
2016-07-02,482
2016-07-03,466
2016-07-04,470
2016-07-05,477
2016-07-06,468
2016-07-07,490
2016-07-08,512
2016-07-09,536
2016-07-10,549
2016-07-11,538
2016-07-12,547
2016-07-13,544
2016-07-14,526
2016-07-15,541
2016-07-16,536
2016-07-17,536
2016-07-18,530
2016-07-23,471
2016-07-24,460
2016-07-25,440
2016-07-26,425
2016-07-27,424
2016-07-28,424
2016-07-29,441
2016-07-30,453
2016-07-31,453
2016-08-01,453
2016-08-02,459
2016-08-03,462
2016-08-04,462
2016-08-05,454
2016-08-06,460
2016-08-07,468
2016-08-08,468
2016-08-09,471
2016-08-10,475
2016-08-11,475
2016-08-12,478
2016-08-13,478
2016-08-14,473
2016-08-15,484
2016-08-16,490
2016-08-17,490
2016-08-18,488
2016-08-19,498
2016-08-20,499
2016-08-21,499
2016-08-22,497
2016-08-23,492
2016-08-24,492
2016-08-25,479
2016-08-26,479
2016-08-28,480
2016-08-31,464
2016-09-01,461
2016-09-02,461
2016-09-03,456
2016-09-04,454
2016-09-05,460
2016-09-06,461
2016-09-07,461
2016-09-08,449
2016-09-09,449
2016-09-10,457
2016-09-11,457
2016-09-12,445
2016-09-13,444
2016-09-14,444
2016-09-15,439
2016-09-16,439
2016-09-17,437
2016-09-18,437
2016-09-19,439
2016-09-20,439
2016-09-21,442
2016-09-22,436
2016-09-23,449
2016-09-24,449
2016-09-25,457
2016-09-26,457
2016-09-27,458
2016-09-28,462
2016-09-29,462
2016-09-30,447
2016-10-01,425
2016-10-02,425
2016-10-03,423
2016-10-04,423
2016-10-05,433
2016-10-06,433
2016-10-07,441
2016-10-08,443
2016-10-09,443
2016-10-10,447
2016-10-11,449
2016-10-12,449
2016-10-13,451
2016-10-14,451
2016-10-15,455
2016-10-16,455
2016-10-17,456
2016-10-18,456
2016-10-19,453
2016-10-20,453
2016-10-21,452
2016-10-22,452
2016-10-23,449
2016-10-24,441
2016-10-25,441
2016-10-26,440
2016-10-27,440
2016-10-28,440
2016-10-29,438
2016-10-30,427
2016-10-31,415
2016-11-01,415
2016-11-02,410
2016-11-03,410
2016-11-04,422
2016-11-05,422
2016-11-06,434
2016-11-07,434
2016-11-08,438
2016-11-09,434
2016-11-10,428
2016-11-11,428
2016-11-12,434
2016-11-13,434
2016-11-14,432
2016-11-15,432
2016-12-07,430
2016-12-08,427
2016-12-09,425
2016-12-10,425
2016-12-11,431
2016-12-12,431
2016-12-13,429
2016-12-14,438
2016-12-15,438
2016-12-16,438
2016-12-17,428
2016-12-18,428
2016-12-19,424
2016-12-20,423
2016-12-21,422
2016-12-22,422
2016-12-23,423
2016-12-24,423
2016-12-25,432
2016-12-26,432
2016-12-27,437
2016-12-28,439
2016-12-29,432
2016-12-30,438
2016-12-31,454
2017-01-01,459
2017-01-02,449
2017-01-03,449
2017-01-04,443
2017-01-05,443
2017-01-06,444
2017-01-07,437
2017-01-08,443
2017-01-09,443
2017-01-10,449
2017-01-11,452
2017-01-12,456
2017-01-13,456
2017-01-14,459
2017-01-15,473
2017-01-16,465
2017-01-17,456
2017-01-18,456
2017-01-19,456
2017-01-20,473
2017-01-21,479
2017-01-22,478
2017-01-23,467
2017-01-27,476
2017-01-28,475
2017-01-29,466
2017-01-30,448
2017-01-31,439
2017-02-01,458
2017-02-02,445
2017-02-03,444
2017-02-04,438
2017-02-05,440
2017-02-06,439
2017-02-07,446
2017-02-08,457
2017-02-09,457
2017-02-10,458
2017-02-11,457
2017-02-12,457
2017-02-13,456
2017-02-14,460
2017-02-15,460
2017-02-16,454
2017-02-17,454
2017-02-18,464
2017-02-19,457
2017-02-20,452
2017-02-21,442
2017-02-22,442
2017-02-23,447
2017-02-24,447
2017-02-25,447
2017-02-26,447
2017-02-27,443
2017-02-28,450
2017-03-01,459
2017-03-02,455
2017-03-03,455
2017-03-04,465
2017-03-05,456
2017-03-06,454
2017-03-07,451
2017-03-08,451
2017-03-09,449
2017-03-10,436
2017-03-11,427
2017-03-12,410
2017-03-13,405
2017-03-14,422
2017-03-15,434
2017-03-16,444
2017-03-17,435
2017-03-18,436
2017-03-19,430
2017-03-20,443
2017-03-21,448
2017-03-22,451
2017-03-23,460
2017-03-24,462
2017-03-25,462
2017-03-26,461
2017-03-27,457
2017-03-28,444
2017-03-29,440
2017-03-30,442
2017-03-31,437
2017-04-01,424
2017-04-02,424
2017-04-03,408
2017-04-04,418
2017-04-05,411
2017-04-12,430
2017-04-13,449
2017-04-14,450
2017-04-15,445
2017-04-16,448
2017-04-17,446
2017-04-18,447
2017-04-19,432
2017-04-20,420
2017-04-21,416
2017-04-22,416
2017-04-23,397
2017-04-24,396
2017-04-25,405
2017-04-26,405
2017-04-27,407
2017-04-28,405
2017-04-29,401
2017-04-30,403
2017-05-01,397
2017-05-02,400
2017-05-03,397
2017-05-04,406
2017-05-05,397
2017-05-06,405
2017-05-07,403
2017-05-08,414
2017-05-09,408
2017-05-10,411
2017-05-11,413
2017-05-12,412
2017-05-13,421
2017-05-14,428
2017-05-15,435
2017-05-16,449
2017-05-17,449
2017-05-18,441
2017-05-19,441
2017-05-20,448
2017-05-21,448
2017-05-22,456
2017-05-23,448
2017-05-24,452
2017-05-25,451
2017-05-26,450
2017-05-27,453
2017-05-28,466
2017-05-29,473
2017-05-30,487
2017-05-31,471
2017-06-01,454
2017-06-02,449
2017-06-03,430
2017-06-04,410
2017-06-05,400
2017-06-06,392
2017-06-07,405
2017-06-08,405
2017-06-09,423
2017-06-10,438
2017-06-11,441
2017-06-12,441
2017-06-13,454
2017-06-14,461
2017-06-15,469
2017-06-16,452
2017-06-17,449
2017-06-18,435
2017-06-19,435
2017-06-20,420
2017-06-21,412
2017-06-22,412
2017-06-23,423
2017-06-24,427
2017-06-25,426
2017-06-26,418
2017-06-27,412
2017-06-28,406
2017-06-29,404
