date_obj,Sinister%20key price
2015-03-26,24922
2015-03-27,24922
2015-03-28,24922
2015-03-29,24922
2015-03-30,24922
2015-03-31,24922
2015-04-01,24922
2015-04-02,24286
2015-04-03,24286
2015-04-04,24286
2015-04-05,24286
2015-04-06,24286
2015-04-07,24286
2015-04-08,24469
2015-04-09,24469
2015-04-10,24469
2015-04-11,24469
2015-04-12,24469
2015-04-13,24469
2015-04-14,24469
2015-04-15,25629
2015-04-16,25629
2015-04-17,25629
2015-04-18,25629
2015-04-19,25629
2015-04-20,25629
2015-04-21,25629
2015-04-22,25629
2015-04-23,26119
2015-04-24,26119
2015-04-25,26119
2015-04-26,26119
2015-04-27,26119
2015-04-28,26119
2015-04-29,26119
2015-04-30,26119
2015-05-01,25342
2015-05-02,25342
2015-05-03,25342
2015-05-04,25342
2015-05-05,25342
2015-05-06,25342
2015-05-07,25342
2015-05-08,25342
2015-05-09,25703
2015-05-10,25703
2015-05-11,25703
2015-05-12,25703
2015-05-13,25703
2015-05-14,25703
2015-05-15,25703
2015-05-16,24962
2015-05-17,24962
2015-05-18,24962
2015-05-19,24962
2015-05-20,24962
2015-05-21,24962
2015-05-22,24962
2015-05-23,24568
2015-05-24,24568
2015-05-25,24568
2015-05-26,24568
2015-05-27,24568
2015-05-28,23992
2015-05-29,23992
2015-05-30,23992
2015-05-31,23992
2015-06-01,24133
2015-06-02,24133
2015-06-03,24133
2015-06-04,24133
2015-06-05,24133
2015-06-06,24570
2015-06-07,24570
2015-06-08,24570
2015-06-09,24570
2015-06-10,24570
2015-06-11,25195
2015-06-12,25195
2015-06-13,25195
2015-06-14,25195
2015-06-15,25195
2015-06-16,25989
2015-06-17,25989
2015-06-18,25989
2015-06-19,25989
2015-06-20,25989
2015-06-21,27196
2015-06-22,27196
2015-06-23,27196
2015-06-24,27196
2015-06-25,27196
2015-06-26,27752
2015-06-27,27752
2015-06-28,27752
2015-06-29,27752
2015-06-30,27752
2015-07-01,26727
2015-07-02,26727
2015-07-03,26727
2015-07-04,26727
2015-07-05,26727
2015-07-06,26727
2015-07-07,25929
2015-07-08,25929
2015-07-09,25929
2015-07-10,25929
2015-07-11,25929
2015-07-12,25929
2015-07-13,25180
2015-07-14,25180
2015-07-15,25180
