date_obj,Elder%20maul price
2017-01-04,77633611
2017-01-05,80946285
2017-01-06,84566760
2017-01-07,88420656
2017-01-08,92556032
2017-01-09,97183834
2017-01-10,102043026
2017-01-11,107145178
2017-01-12,112502437
2017-01-13,117833189
2017-01-14,123724849
2017-01-15,129825983
2017-01-16,126887672
2017-01-17,120558614
2017-01-18,116202763
2017-01-19,121460056
2017-01-20,127392753
2017-01-21,133406253
2017-01-22,133143908
2017-01-23,127783143
2017-01-27,108023910
2017-01-28,108378801
2017-01-29,106449654
2017-01-30,109334599
2017-01-31,112571549
2017-02-01,116926626
2017-02-02,118531349
2017-02-03,123088933
2017-02-04,128666098
2017-02-05,127197579
2017-02-06,130158238
2017-02-07,129871991
2017-02-08,131391607
2017-02-09,136107331
2017-02-10,139864260
2017-02-11,145350356
2017-02-12,145350356
2017-02-13,139502337
2017-02-14,132543404
2017-02-15,130706925
2017-02-16,132378557
2017-02-18,132232270
2017-02-19,128843141
2017-02-20,126327077
2017-02-21,126541287
2017-02-22,127101843
2017-02-23,128947090
2017-02-24,130412793
2017-02-25,129652043
2017-02-26,127611964
2017-02-27,125782594
2017-02-28,126774484
2017-03-01,126320329
2017-03-02,126382170
2017-03-03,128078339
2017-03-04,127657576
2017-03-05,127470440
2017-03-06,126356853
2017-03-07,125253131
2017-03-08,120352399
2017-03-09,114334779
2017-03-10,108618040
2017-03-11,103187138
2017-03-12,99499839
2017-03-13,94528568
2017-03-14,89802139
2017-03-15,85312032
2017-03-16,81046430
2017-03-17,76994108
2017-03-18,73146265
2017-03-19,69488951
2017-03-20,66575323
2017-03-21,66097264
2017-03-22,67580782
2017-03-23,69986234
2017-03-24,71997107
2017-03-25,71909757
2017-03-26,69639756
2017-03-27,68339465
2017-03-28,69033412
2017-03-29,66718547
2017-03-30,68393836
2017-03-31,70358336
2017-04-01,69515313
2017-04-02,68962513
2017-04-03,69049747
2017-04-04,70496867
2017-04-12,72536471
2017-04-13,72843297
2017-04-14,74312333
2017-04-15,73987386
2017-04-16,73604211
2017-04-17,74009601
2017-04-18,73213585
2017-04-19,72226270
2017-04-20,71217429
2017-04-21,70831277
2017-04-22,71315286
2017-04-23,71692026
2017-04-24,71131967
2017-04-25,68595948
2017-04-26,67061837
2017-04-27,65124877
2017-04-28,63061091
2017-04-29,65510082
2017-04-30,67143517
2017-05-01,67772553
2017-05-02,69616385
2017-05-03,70488915
2017-05-04,67866564
2017-05-05,66357282
2017-05-06,66247157
2017-05-07,67018609
2017-05-08,66676483
2017-05-09,66532732
2017-05-10,66690077
2017-05-11,67334743
2017-05-12,68116174
2017-05-13,68550071
2017-05-14,70594490
2017-05-15,69477233
2017-05-16,67855817
2017-05-17,66574598
2017-05-18,67257426
2017-05-19,68561082
2017-05-20,68891350
2017-05-21,68899811
2017-05-22,67648242
2017-05-23,67008511
2017-05-24,67515149
2017-05-25,66441471
2017-05-26,63375531
2017-05-27,63023498
2017-05-28,63463860
2017-05-29,63764851
2017-05-30,63796664
2017-05-31,64299160
2017-06-01,63735202
2017-06-02,62126386
2017-06-03,63028305
2017-06-04,62352792
2017-06-05,61560262
2017-06-06,61387929
2017-06-07,60218644
2017-06-08,58306475
2017-06-09,55483887
2017-06-10,52885106
2017-06-11,50318599
2017-06-12,48010193
2017-06-13,49507124
2017-06-14,51142819
2017-06-15,53126163
2017-06-16,55705807
2017-06-17,56756063
2017-06-18,54076399
2017-06-19,52905896
2017-06-20,51610821
2017-06-21,49569637
2017-06-22,49375088
2017-06-23,49003266
2017-06-24,50832938
2017-06-25,50492909
2017-06-26,49261055
2017-06-27,48384193
2017-06-28,48997476
2017-06-29,49380245
2017-06-30,49228939
2017-07-01,49539016
2017-07-02,49883904
2017-07-03,49395603
2017-07-04,48803293
2017-07-05,48331311
2017-07-06,47922920
2017-07-07,49169682
2017-07-08,50267944
2017-07-13,51465411
2017-07-14,51995515
2017-07-15,52284317
2017-07-16,52627531
2017-07-17,52436713
2017-07-18,53238300
2017-07-19,52689004
2017-07-20,51711478
2017-07-21,51590900
2017-07-22,51896260
2017-07-23,51483916
2017-07-24,51117778
2017-07-25,51259865
2017-07-26,50951882
2017-07-27,50837929
2017-07-28,50359138
2017-07-29,50182805
2017-07-30,50215688
2017-07-31,49853102
2017-08-01,50341764
2017-08-02,50734392
2017-08-03,51706477
2017-08-04,51428331
2017-08-05,50811007
2017-08-06,50418923
2017-08-09,47130080
2017-08-10,45230502
2017-08-11,46135764
2017-08-12,46475012
2017-08-13,46095576
2017-08-14,45434610
2017-08-15,45562479
2017-08-16,44970607
2017-08-17,44317661
2017-08-18,43775457
2017-08-19,43693352
2017-08-20,44116245
2017-08-21,44400361
2017-08-22,44466276
2017-08-23,44527448
2017-08-24,44447231
2017-08-25,44334823
2017-08-26,44662708
2017-08-27,45213226
2017-08-28,47061473
2017-08-29,48677920
2017-08-30,48127474
2017-08-31,46679236
2017-09-01,46702442
2017-09-03,46278718
2017-09-04,45957605
2017-09-05,45122805
2017-09-06,44604998
2017-09-07,44226247
2017-09-08,44439680
2017-09-09,45598760
2017-09-10,46369593
2017-09-11,45941780
2017-09-12,45782598
2017-09-13,45520423
2017-09-14,45391199
2017-09-15,45554608
2017-09-16,45869142
2017-09-17,45708895
2017-09-18,45454472
2017-09-19,45542607
2017-09-20,45420523
2017-09-21,45290306
2017-09-22,45178673
2017-09-23,45127759
2017-09-24,45644806
2017-09-25,45430376
2017-09-26,46211188
2017-09-27,46416999
2017-09-28,46988977
2017-09-29,47353499
2017-09-30,47885988
2017-10-01,48265364
2017-10-02,48374237
2017-10-03,48303757
2017-10-04,48108912
2017-10-05,47724410
2017-10-06,46926912
2017-10-07,47100632
2017-10-08,47458517
2017-10-09,46712945
2017-10-10,45971459
2017-10-11,45354253
2017-10-12,44434664
2017-10-13,44826963
2017-10-14,45214671
2017-10-15,45834946
2017-10-16,45490635
2017-10-17,45499303
2017-10-18,45548909
2017-10-19,45679504
2017-10-20,45747658
