date_obj,Mystic%20earth%20staff price
2015-03-26,36946
2015-03-27,36946
2015-03-28,36946
2015-03-29,36946
2015-03-30,36946
2015-03-31,36946
2015-04-01,36946
2015-04-02,36946
2015-04-03,36946
2015-04-04,36946
2015-04-05,36946
2015-04-06,35369
2015-04-07,35369
2015-04-08,35369
2015-04-09,35369
2015-04-10,35369
2015-04-11,35369
2015-04-12,35369
2015-04-13,35369
2015-04-14,35369
2015-04-15,35369
2015-04-16,35369
2015-04-17,33616
2015-04-18,33616
2015-04-19,33616
2015-04-20,33616
2015-04-21,33616
2015-04-22,33616
2015-04-23,33616
2015-04-24,33616
2015-04-25,33616
2015-04-26,32019
2015-04-27,32019
2015-04-28,32019
2015-04-29,32019
2015-04-30,32019
2015-05-01,32019
2015-05-02,32019
2015-05-03,32019
2015-05-04,30485
2015-05-05,30485
2015-05-06,30485
2015-05-07,30485
2015-05-08,30485
2015-05-09,30485
2015-05-10,30485
2015-05-11,30485
2015-05-12,30485
2015-05-13,30485
2015-05-14,29150
2015-05-15,29150
2015-05-16,29150
2015-05-17,29150
2015-05-18,29150
2015-05-19,29150
2015-05-20,29150
2015-05-21,29150
2015-05-22,29150
2015-05-23,29150
2015-05-24,29150
2015-05-25,27994
2015-05-26,27994
2015-05-27,27994
2015-05-28,27994
2015-05-29,27994
2015-05-30,27994
2015-05-31,27358
2015-06-01,27358
2015-06-02,27358
2015-06-03,27358
2015-06-04,27358
2015-06-05,27358
2015-06-06,27119
2015-06-07,27119
2015-06-08,27119
2015-06-09,27119
2015-06-10,27119
2015-06-11,27119
2015-06-12,27119
2015-06-13,26782
2015-06-14,26782
2015-06-15,26782
2015-06-16,26782
2015-06-17,26782
2015-06-18,26055
2015-06-19,26055
2015-06-20,26055
2015-06-21,26055
2015-06-22,26055
2015-06-23,26364
2015-06-24,26364
2015-06-25,26364
2015-06-26,26364
2015-06-27,26364
2015-06-28,26236
2015-06-29,26236
2015-06-30,26236
2015-07-01,26236
2015-07-02,26236
2015-07-03,26444
2015-07-04,26444
2015-07-05,26444
2015-07-06,26444
2015-07-07,26444
2015-07-08,26427
2015-07-09,26427
2015-07-10,26427
2015-07-11,26427
2015-07-12,26427
2015-07-13,26427
2015-07-14,26616
2015-07-15,26616
2015-07-16,26616
2015-07-17,26616
2015-07-18,26616
2015-07-19,26087
2015-07-20,26087
2015-07-21,26087
2015-07-22,26087
2015-07-23,26087
2015-07-24,26496
2015-07-25,26496
2015-07-26,26496
2015-07-27,26496
2015-07-28,26496
2015-07-29,26249
2015-07-30,26249
2015-07-31,26249
2015-08-01,26249
2015-08-02,26249
2015-08-03,26396
2015-08-04,26396
2015-08-05,26396
2015-08-06,26396
2015-08-07,26396
2015-08-08,26882
2015-08-09,26882
2015-08-10,26882
2015-08-11,26882
2015-08-12,26882
2015-08-13,26979
2015-08-14,26979
2015-08-15,26979
2015-08-16,26979
2015-08-17,26979
2015-08-18,27143
2015-08-19,27143
2015-08-20,27143
2015-08-21,27143
2015-08-22,27143
2015-08-23,27293
2015-08-24,27293
2015-08-25,27293
2015-08-26,27293
2015-08-27,27293
2015-08-28,26732
2015-08-29,26732
2015-08-30,26732
2015-08-31,26732
2015-09-01,26732
2015-09-02,26732
2015-09-03,26541
2015-09-04,26541
2015-09-05,26541
2015-09-06,26541
2015-09-07,26541
2015-09-08,26541
2015-09-09,26904
2015-09-10,26904
2015-09-11,26904
2015-09-12,26904
2015-09-13,26904
2015-09-14,26904
2015-09-15,27017
2015-09-16,27017
2015-09-17,27017
2015-09-18,27017
2015-09-19,27017
2015-09-20,27017
2015-09-21,26691
2015-09-22,26691
2015-09-23,26691
2015-09-24,26691
2015-09-25,26691
2015-09-27,26691
2015-09-28,26989
2015-09-29,26989
2015-09-30,26989
2015-10-05,27215
2015-10-06,27215
2015-10-07,27215
2015-10-08,27215
2015-10-09,27215
2015-10-10,26656
2015-10-11,26656
2015-10-12,26656
2015-10-13,26656
2015-10-14,26656
2015-10-15,26773
2015-10-16,26773
2015-10-17,26773
2015-10-18,26773
2015-10-19,26773
2015-10-20,26877
2015-10-22,26877
2015-10-23,26877
2015-10-24,26877
2015-10-25,26975
2015-10-26,26975
2015-10-27,26975
2015-10-29,26975
2015-10-30,26954
2015-10-31,26954
2015-11-01,26954
2015-11-02,26954
2015-11-03,26954
2015-11-04,26954
2015-11-05,27081
2015-11-06,27081
2015-11-07,27081
2015-11-08,27081
2015-11-09,27081
2015-11-10,27081
2015-11-11,27208
2015-11-12,27208
2015-11-13,27208
2015-11-14,27208
2015-11-15,27208
2015-11-16,27208
2015-11-17,27421
2015-11-18,27421
2015-11-19,27421
2015-11-20,27421
2015-11-21,27421
2015-11-22,27730
2015-11-23,27730
2015-11-24,27730
2015-11-25,27730
2015-11-26,27730
2015-11-27,27730
2015-11-28,27208
2015-11-29,27208
2015-11-30,27208
2015-12-01,27208
2015-12-02,27208
2015-12-03,27310
2015-12-04,27310
2015-12-05,27310
2015-12-06,27310
2015-12-07,27310
2015-12-08,27310
2015-12-09,27488
2015-12-10,27488
2015-12-11,27488
2015-12-12,27488
2015-12-13,27488
2015-12-14,27488
2015-12-15,26885
2015-12-16,26885
2015-12-17,26885
2015-12-18,26885
2015-12-19,26885
2015-12-20,27183
2015-12-21,27183
2015-12-22,27183
2015-12-23,27183
2015-12-24,27183
2015-12-25,27486
2015-12-26,27486
2015-12-27,27486
2015-12-28,27486
2015-12-29,26953
2015-12-30,26953
2015-12-31,26953
2016-01-01,26953
2016-01-02,26953
2016-01-03,26335
2016-01-04,26335
2016-01-05,26335
2016-01-06,26335
2016-01-07,26230
2016-01-08,26230
2016-01-09,26230
2016-01-10,26230
2016-01-11,26087
2016-01-12,26087
2016-01-13,26087
2016-01-14,26384
2016-01-15,26384
2016-01-16,26384
2016-01-17,26384
2016-01-18,26890
2016-01-19,26890
2016-01-20,26890
