date_obj,Steel%20set%20(lg) price
2015-03-26,7871
2015-03-27,7871
2015-03-28,7477
2015-03-29,7103
2015-03-30,6761
2015-03-31,6448
2015-04-01,6448
2015-04-02,6125
2015-04-03,5818
2015-04-04,5527
2015-04-05,5527
2015-04-06,5250
2015-04-07,4987
2015-04-08,4987
2015-04-09,4737
2015-04-10,4526
2015-04-11,4315
2015-04-12,4315
2015-04-13,4114
2015-04-14,4114
2015-04-15,3917
2015-04-16,3772
2015-04-17,3583
2015-04-18,3420
2015-04-19,3285
2015-04-20,3285
2015-04-21,3147
2015-04-22,3147
2015-04-23,2992
2015-04-24,2970
2015-04-25,2952
2015-04-26,2975
2015-04-27,2857
2015-04-28,2796
2015-04-29,2796
2015-04-30,2802
2015-05-01,2725
2015-05-02,2599
2015-05-03,2599
2015-05-04,2559
2015-05-05,2443
2015-05-06,2453
2015-05-07,2383
2015-05-08,2383
2015-05-09,2382
2015-05-10,2393
2015-05-11,2393
2015-05-12,2394
2015-05-13,2394
2015-05-14,2391
2015-05-15,2391
2015-05-16,2365
2015-05-17,2409
2015-05-18,2501
2015-05-19,2501
2015-05-20,2594
2015-05-21,2594
2015-05-22,2633
2015-05-23,2633
2015-05-24,2679
2015-05-25,2701
2015-05-26,2701
2015-05-27,2800
2015-05-28,2914
2015-05-29,3038
2015-05-30,3082
2015-05-31,3187
2015-06-01,3284
2015-06-02,3284
2015-06-03,3184
2015-06-04,3078
2015-06-05,2987
2015-06-06,2926
2015-06-07,2876
2015-06-08,2834
2015-06-09,2809
2015-06-10,2767
2015-06-11,2677
2015-06-12,2623
2015-06-13,2598
2015-06-14,2506
2015-06-15,2450
2015-06-16,2487
2015-06-17,2559
2015-06-18,2594
2015-06-19,2565
2015-06-20,2524
2015-06-21,2534
2015-06-22,2602
2015-06-23,2541
2015-06-24,2501
2015-06-25,2501
2015-06-26,2455
2015-06-27,2455
2015-06-28,2441
2015-06-29,2514
2015-06-30,2477
2015-07-01,2416
2015-07-02,2416
2015-07-03,2418
2015-07-04,2412
2015-07-05,2364
2015-07-06,2282
2015-07-07,2274
2015-07-08,2228
2015-07-09,2228
2015-07-10,2275
2015-07-11,2317
2015-07-12,2307
2015-07-13,2301
2015-07-14,2274
2015-07-15,2296
2015-07-16,2332
2015-07-17,2306
2015-07-18,2273
2015-07-19,2257
2015-07-20,2155
2015-07-21,2114
2015-07-22,2146
2015-07-23,2146
2015-07-24,2184
2015-07-25,2244
2015-07-26,2320
2015-07-27,2426
2015-07-28,2523
2015-07-29,2616
2015-07-30,2731
2015-07-31,2822
2015-08-01,2792
2015-08-02,2849
2015-08-03,2962
2015-08-04,2938
2015-08-05,3011
2015-08-06,3094
2015-08-07,3194
2015-08-08,3286
2015-08-09,3291
2015-08-10,3126
2015-08-11,3116
2015-08-12,3116
2015-08-13,3101
2015-08-14,3079
2015-08-15,3079
2015-08-16,3022
2015-08-17,2972
2015-08-18,2925
2015-08-19,2899
2015-08-20,2874
2015-08-21,2798
2015-08-22,2702
2015-08-23,2702
2015-08-24,2671
2015-08-25,2671
2015-08-26,2631
2015-08-27,2563
2015-08-28,2497
2015-08-29,2496
2015-08-30,2496
2015-08-31,2380
2015-09-01,2302
2015-09-02,2302
2015-09-03,2267
2015-09-04,2153
2015-09-05,2153
2015-09-06,2143
2015-09-07,2181
2015-09-08,2254
2015-09-09,2237
2015-09-10,2240
2015-09-11,2225
2015-09-12,2273
2015-09-13,2319
2015-09-14,2311
2015-09-15,2302
2015-09-16,2302
2015-09-17,2274
2015-09-18,2274
2015-09-19,2330
2015-09-20,2376
2015-09-21,2360
2015-09-22,2375
2015-09-23,2373
2015-09-24,2373
2015-09-25,2473
2015-09-27,2514
2015-09-28,2445
2015-09-29,2445
2015-09-30,2469
2015-10-05,2444
2015-10-06,2437
2015-10-07,2502
2015-10-08,2498
2015-10-09,2605
2015-10-10,2605
2015-10-11,2655
2015-10-12,2763
2015-10-13,2763
2015-10-14,2750
2015-10-15,2770
2015-10-16,2754
2015-10-17,2754
2015-10-18,2702
2015-10-19,2768
2015-10-20,2759
2015-10-22,2834
2015-10-23,2837
2015-10-24,2752
2015-10-25,2658
2015-10-26,2533
2015-10-27,2533
2015-10-29,2672
2015-10-30,2741
2015-10-31,2762
2015-11-01,2762
2015-11-02,2834
2015-11-03,2825
2015-11-04,2825
2015-11-05,2811
2015-11-06,2811
2015-11-07,2822
2015-11-08,2822
2015-11-09,2730
2015-11-10,2737
2015-11-11,2698
2015-11-12,2691
2015-11-13,2691
2015-11-14,2729
2015-11-15,2738
2015-11-16,2738
2015-11-17,2790
2015-11-18,2790
2015-11-19,2826
2015-11-20,2809
2015-11-21,2809
2015-11-22,2759
2015-11-23,2759
2015-11-24,2693
2015-11-25,2663
2015-11-26,2663
2015-11-27,2683
2015-11-28,2656
2015-11-29,2611
2015-11-30,2538
2015-12-01,2520
2015-12-02,2480
2015-12-03,2425
2015-12-04,2425
2015-12-05,2365
2015-12-06,2393
2015-12-07,2402
2015-12-08,2387
2015-12-09,2365
2015-12-10,2354
2015-12-11,2254
2015-12-13,2304
2015-12-14,2304
2015-12-15,2329
2015-12-16,2322
2015-12-17,2322
2015-12-18,2390
2015-12-19,2473
2015-12-20,2483
2015-12-21,2506
2015-12-22,2573
2015-12-23,2533
2015-12-24,2467
2015-12-25,2467
2015-12-26,2460
2015-12-27,2396
2015-12-28,2440
2015-12-29,2460
2015-12-30,2483
2015-12-31,2439
2016-01-01,2439
2016-01-02,2414
2016-01-03,2400
2016-01-04,2396
2016-01-05,2377
2016-01-06,2380
2016-01-07,2405
2016-01-08,2387
2016-01-09,2392
2016-01-10,2421
2016-01-11,2449
2016-01-12,2482
2016-01-13,2482
2016-01-14,2509
2016-01-15,2614
2016-01-16,2669
2016-01-17,2745
