date_obj,Mummy's%20body price
2016-07-06,10000000
2016-07-07,10000000
2016-07-08,10000000
2016-07-09,10000000
2016-07-10,10000000
2016-07-11,10000000
2016-07-12,10000000
2016-07-13,10000000
2016-07-14,10000000
2016-07-15,10000000
2016-07-16,10000000
2016-07-17,10000000
2016-07-18,10000000
2016-07-23,10000000
2016-07-24,10000000
2016-07-25,10000000
2016-07-26,10000000
2016-07-27,10000000
2016-07-28,10000000
2016-07-29,10000000
2016-07-30,10000000
2016-07-31,10000000
2016-08-01,10000000
2016-08-02,10000000
2016-08-03,10000000
2016-08-04,10000000
2016-08-05,10000000
2016-08-06,10000000
2016-08-07,10000000
2016-08-08,10000000
2016-08-09,10000000
2016-08-10,10000000
2016-08-11,10000000
2016-08-12,10000000
2016-08-13,10000000
2016-08-14,10000000
2016-08-15,10000000
2016-08-16,10279910
2016-08-17,10279910
2016-08-18,10279910
2016-08-19,10279910
2016-08-20,10279910
2016-08-21,10279910
2016-08-22,10279910
2016-08-23,10279910
2016-08-24,10279910
2016-08-25,10279910
2016-08-26,10279910
2016-08-28,10279910
2016-08-31,10279910
2016-09-01,10279910
2016-09-02,10279910
2016-09-03,10279910
2016-09-04,10279910
2016-09-05,10279910
2016-09-06,10279910
2016-09-07,10279910
2016-09-08,10279910
2016-09-09,10279910
2016-09-10,10279910
2016-09-11,10279910
2016-09-12,10279910
2016-09-13,10279910
2016-09-14,10279910
2016-09-15,10279910
2016-09-16,10279910
2016-09-17,10279910
2016-09-18,10279910
2016-09-19,10279910
2016-09-20,10279910
2016-09-21,10279910
2016-09-22,10279910
2016-09-23,10279910
2016-09-24,10279910
2016-09-25,10279910
2016-09-26,10279910
2016-09-27,10279910
2016-09-28,10279910
2016-09-29,10279910
2016-09-30,10279910
2016-10-01,10279910
2016-10-02,10279910
2016-10-03,10279910
2016-10-04,10279910
2016-10-05,10279910
2016-10-06,10279910
2016-10-07,10279910
2016-10-08,10279910
2016-10-09,10279910
2016-10-10,10279910
2016-10-11,10279910
2016-10-12,10279910
2016-10-13,10279910
2016-10-14,10279910
2016-10-15,10279910
2016-10-16,10279910
2016-10-17,10279910
2016-10-18,10279910
2016-10-19,10279910
2016-10-20,10279910
2016-10-21,10279910
2016-10-22,10279910
2016-10-23,10279910
2016-10-24,10279910
2016-10-25,10279910
2016-10-26,10279910
2016-10-27,10279910
2016-10-28,10279910
2016-10-29,10279910
2016-10-30,10279910
2016-10-31,10279910
2016-11-01,10279910
2016-11-02,10279910
2016-11-03,10279910
2016-11-04,9769085
2016-11-05,9769085
2016-11-06,9769085
2016-11-07,9769085
2016-11-08,9769085
2016-11-09,9769085
2016-11-10,9769085
2016-11-11,9769085
2016-11-12,9769085
2016-11-13,9769085
2016-11-14,9769085
2016-12-07,9769085
2016-12-08,9769085
2016-12-09,9769085
2016-12-10,9769085
2016-12-11,9769085
2016-12-12,9769085
2016-12-13,9769085
2016-12-14,9769085
2016-12-15,9769085
2016-12-16,9769085
2016-12-17,9769085
2016-12-18,9769085
2016-12-19,9769085
2016-12-20,9769085
2016-12-21,9769085
2016-12-22,9769085
2016-12-23,9769085
2016-12-24,9769085
