date_obj,Ancient%20d'hide%20body price
2015-03-26,74750
2015-03-27,74750
2015-03-28,75402
2015-03-29,76436
2015-03-30,78598
2015-03-31,79212
2015-04-01,78847
2015-04-02,79082
2015-04-03,81026
2015-04-04,83546
2015-04-05,84033
2015-04-06,84344
2015-04-07,84222
2015-04-08,83787
2015-04-09,83518
2015-04-10,84270
2015-04-11,84166
2015-04-12,84537
2015-04-13,85074
2015-04-14,86037
2015-04-15,86334
2015-04-16,87073
2015-04-17,86876
2015-04-18,86471
2015-04-19,86522
2015-04-20,86252
2015-04-21,86280
2015-04-22,85190
2015-04-23,84499
2015-04-24,83206
2015-04-25,82784
2015-04-26,81555
2015-04-27,81130
2015-04-28,79239
2015-04-29,77815
2015-04-30,77745
2015-05-01,76727
2015-05-02,75399
2015-05-03,74853
2015-05-04,74837
2015-05-05,74537
2015-05-06,73008
2015-05-07,71939
2015-05-08,71411
2015-05-09,69899
2015-05-10,69308
2015-05-11,67375
2015-05-12,66086
2015-05-13,63922
2015-05-14,61864
2015-05-15,61360
2015-05-16,60594
2015-05-17,58904
2015-05-18,58983
2015-05-19,59377
2015-05-20,60362
2015-05-21,60101
2015-05-22,60290
2015-05-23,60642
2015-05-24,61025
2015-05-25,62664
2015-05-26,63618
2015-05-27,64358
2015-05-28,65719
2015-05-29,67417
2015-05-30,68507
2015-05-31,68004
2015-06-01,68082
2015-06-02,67195
2015-06-03,66895
2015-06-04,66548
2015-06-05,65949
2015-06-06,65820
2015-06-07,65660
2015-06-08,64271
2015-06-09,64037
2015-06-10,64411
2015-06-11,63864
2015-06-12,62953
2015-06-13,64669
2015-06-14,65422
2015-06-15,66200
2015-06-16,68530
2015-06-17,70587
2015-06-18,72319
2015-06-19,72019
2015-06-20,71957
2015-06-21,70587
2015-06-22,70575
2015-06-23,70075
2015-06-24,68975
2015-06-25,68342
2015-06-26,67905
2015-06-27,66539
2015-06-28,66457
2015-06-29,65538
2015-06-30,64166
2015-07-01,65034
2015-07-02,65427
2015-07-03,66996
2015-07-04,67567
2015-07-05,68810
2015-07-06,69292
2015-07-07,70201
2015-07-08,71020
2015-07-09,70914
2015-07-10,71745
2015-07-11,74771
2015-07-12,76473
2015-07-13,78366
2015-07-14,79782
2015-07-15,78572
2015-07-16,77255
2015-07-17,76237
2015-07-18,76147
2015-07-19,76287
2015-07-20,75641
2015-07-21,75549
2015-07-22,75423
2015-07-23,75944
2015-07-24,77194
2015-07-25,78099
2015-07-26,79336
2015-07-27,78805
2015-07-28,79207
2015-07-29,79279
2015-07-30,78242
2015-07-31,77413
2015-08-01,77551
2015-08-02,77129
2015-08-03,77426
2015-08-04,77073
2015-08-05,76386
2015-08-06,77031
2015-08-07,76685
2015-08-08,76145
2015-08-09,75445
2015-08-10,74781
2015-08-11,75441
2015-08-12,74298
2015-08-13,74101
2015-08-14,74405
2015-08-15,73656
2015-08-16,72841
2015-08-17,72481
2015-08-18,72263
2015-08-19,72119
2015-08-20,73177
2015-08-21,73088
2015-08-22,72743
2015-08-23,72810
2015-08-24,72955
2015-08-25,72245
2015-08-26,72369
2015-08-27,71848
2015-08-28,71596
2015-08-29,70374
2015-08-30,69455
2015-08-31,70587
2015-09-01,70045
2015-09-02,68427
2015-09-03,68929
2015-09-04,68937
2015-09-05,67797
2015-09-06,67229
2015-09-07,66646
2015-09-08,65867
2015-09-09,66815
2015-09-10,66289
2015-09-11,65664
2015-09-12,64172
2015-09-13,65387
2015-09-14,67342
2015-09-15,68913
2015-09-16,69688
2015-09-17,69776
2015-09-18,69698
2015-09-19,69126
2015-09-20,68957
2015-09-21,68494
2015-09-22,67241
2015-09-23,67711
2015-09-24,66284
2015-09-25,63580
2015-09-27,60251
2015-09-28,58782
2015-09-29,57630
2015-09-30,56929
2015-10-05,53777
2015-10-06,51551
2015-10-07,50292
2015-10-08,48147
2015-10-09,47844
2015-10-10,47190
2015-10-11,48440
2015-10-12,49419
2015-10-13,49896
2015-10-14,50686
2015-10-15,49190
2015-10-16,49438
2015-10-17,50814
2015-10-18,50858
2015-10-19,49487
2015-10-20,47012
2015-10-22,42427
2015-10-23,40648
2015-10-24,38615
2015-10-25,37254
2015-10-26,36271
2015-10-27,35220
2015-10-28,34335
2015-10-29,34276
2015-10-30,35391
2015-10-31,36283
2015-11-01,36613
2015-11-02,37876
2015-11-03,38354
2015-11-04,38140
2015-11-05,38200
2015-11-06,37461
2015-11-07,37697
2015-11-08,37408
2015-11-09,38243
2015-11-10,37942
2015-11-11,36271
2015-11-12,35274
2015-11-13,34186
2015-11-14,33627
2015-11-15,32880
2015-11-16,31819
2015-11-17,31151
2015-11-18,30393
2015-11-19,30042
2015-11-20,29769
2015-11-21,29769
2015-11-22,29494
2015-11-23,29494
2015-11-24,29166
2015-11-25,29188
2015-11-26,30017
2015-11-27,31322
2015-11-28,31757
2015-11-29,32297
2015-11-30,33144
2015-12-01,34195
2015-12-02,35253
2015-12-03,36631
2015-12-04,37968
2015-12-05,39746
2015-12-06,41032
2015-12-07,42430
2015-12-08,43737
2015-12-09,44699
2015-12-10,46640
2015-12-11,45736
2015-12-12,43926
2015-12-13,43257
2015-12-14,42092
2015-12-15,42622
2015-12-16,42464
2015-12-17,42975
2015-12-18,43179
2015-12-19,43275
2015-12-20,45162
2015-12-21,46024
2015-12-22,47743
2015-12-23,49711
2015-12-24,52197
