date_obj,Golovanova%20fruit%20top price
2016-05-26,2500
2016-05-27,2500
2016-05-28,2500
2016-05-29,2500
2016-05-30,2500
2016-05-31,2500
2016-06-01,2500
2016-06-02,2500
2016-06-03,2593
2016-06-04,2593
2016-06-05,2593
2016-06-06,2593
2016-06-07,2593
2016-06-08,2593
2016-06-09,2593
2016-06-10,2719
2016-06-11,2719
2016-06-12,2719
2016-06-13,2719
2016-06-14,2719
2016-06-15,2719
2016-06-16,2719
2016-06-17,2719
2016-06-18,2719
2016-06-19,2719
2016-06-20,2719
2016-06-21,2719
2016-06-22,2851
2016-06-23,2851
2016-06-24,2851
2016-06-25,2851
2016-06-26,2851
2016-06-27,2851
2016-06-28,2851
2016-06-29,2851
2016-06-30,2851
2016-07-01,2851
2016-07-02,2851
2016-07-03,2851
2016-07-04,2851
2016-07-05,2988
2016-07-06,2988
2016-07-07,2988
2016-07-08,2988
2016-07-09,2988
2016-07-10,2988
2016-07-11,2988
2016-07-12,2988
2016-07-13,2988
2016-07-14,2988
2016-07-15,2993
2016-07-16,2993
2016-07-17,2993
2016-07-18,2993
2016-07-23,2993
2016-07-24,2993
2016-07-25,2859
2016-07-26,2859
2016-07-27,2859
2016-07-28,2859
2016-07-29,2859
2016-07-30,2859
2016-07-31,2859
2016-08-01,2859
2016-08-02,2859
2016-08-03,2859
2016-08-04,2723
2016-08-05,2723
2016-08-06,2723
2016-08-07,2723
2016-08-08,2723
2016-08-09,2723
2016-08-10,2723
2016-08-11,2723
2016-08-12,2723
2016-08-13,2723
2016-08-14,2595
2016-08-15,2595
2016-08-16,2595
2016-08-17,2595
2016-08-18,2595
2016-08-19,2595
2016-08-20,2595
2016-08-21,2595
2016-08-22,2595
2016-08-23,2595
2016-08-24,2595
2016-08-25,2595
2016-08-26,2595
2016-08-28,2469
2016-08-31,2469
2016-09-01,2469
2016-09-02,2469
2016-09-03,2469
2016-09-04,2469
2016-09-05,2469
2016-09-06,2353
2016-09-07,2353
2016-09-08,2353
2016-09-09,2353
2016-09-10,2353
2016-09-11,2353
2016-09-12,2353
2016-09-13,2353
2016-09-14,2353
2016-09-15,2353
2016-09-16,2353
2016-09-17,2353
2016-09-18,2241
2016-09-19,2241
2016-09-20,2241
2016-09-21,2241
2016-09-22,2241
2016-09-23,2241
2016-09-24,2241
2016-09-25,2241
2016-09-26,2241
2016-09-27,2241
2016-09-28,2241
2016-09-29,2241
2016-09-30,2241
2016-10-01,2241
2016-10-02,2137
2016-10-03,2137
2016-10-04,2137
2016-10-05,2137
2016-10-06,2137
2016-10-07,2137
2016-10-08,2137
2016-10-09,2137
2016-10-10,2137
2016-10-11,2137
2016-10-12,2137
2016-10-13,2137
2016-10-14,2137
2016-10-15,2137
2016-10-16,2137
2016-10-17,2137
2016-10-18,2036
2016-10-19,2036
2016-10-20,2036
2016-10-21,2036
2016-10-22,2036
2016-10-23,2036
2016-10-24,2036
2016-10-25,2036
2016-10-26,2036
2016-10-27,2036
2016-10-28,2036
2016-10-29,2036
2016-10-30,2036
2016-10-31,2036
2016-11-01,2036
2016-11-02,2036
2016-11-03,1940
2016-11-04,1940
2016-11-05,1940
2016-11-06,1940
2016-11-07,1940
2016-11-08,1940
2016-11-09,1940
2016-11-10,1940
2016-11-11,1940
2016-11-12,1940
2016-11-13,1940
2016-11-14,1940
2016-11-15,1940
2016-12-07,1765
2016-12-08,1765
2016-12-09,1765
2016-12-10,1765
2016-12-11,1765
2016-12-12,1765
2016-12-13,1765
2016-12-14,1765
2016-12-15,1765
2016-12-16,1765
2016-12-17,1765
2016-12-18,1765
2016-12-19,1680
2016-12-20,1680
2016-12-21,1680
2016-12-22,1680
2016-12-23,1680
2016-12-24,1680
2016-12-25,1680
2016-12-26,1680
2016-12-27,1680
2016-12-28,1680
2016-12-29,1680
2016-12-30,1680
2016-12-31,1680
2017-01-01,1680
2017-01-02,1602
2017-01-03,1602
2017-01-04,1602
2017-01-05,1602
2017-01-06,1602
2017-01-07,1602
2017-01-08,1602
2017-01-09,1602
2017-01-10,1602
2017-01-11,1602
2017-01-12,1602
2017-01-13,1602
2017-01-14,1529
2017-01-15,1529
2017-01-16,1529
2017-01-17,1529
2017-01-18,1529
2017-01-19,1529
2017-01-20,1529
2017-01-21,1529
2017-01-22,1529
2017-01-23,1529
2017-01-27,1456
2017-01-28,1456
2017-01-29,1456
2017-01-30,1456
2017-01-31,1456
2017-02-01,1456
2017-02-02,1456
2017-02-03,1456
2017-02-04,1386
2017-02-05,1386
2017-02-06,1386
2017-02-07,1386
2017-02-08,1386
2017-02-09,1386
2017-02-10,1386
2017-02-11,1386
2017-02-12,1386
2017-02-13,1386
2017-02-14,1386
2017-02-15,1386
2017-02-16,1319
2017-02-18,1319
2017-02-19,1319
