date_obj,Obsidian%20armour%20set price
2017-06-02,661500
2017-06-03,694575
2017-06-06,804059
2017-06-07,843302
2017-06-08,882410
2017-06-09,923700
2017-06-10,969885
2017-06-11,1018380
2017-06-12,1065616
2017-06-13,1118897
2017-06-14,1172790
2017-06-15,1227006
2017-06-16,1284708
2017-06-17,1345081
2017-06-18,1409610
2017-06-19,1409610
2017-06-20,1480091
2017-06-21,1550041
2017-06-22,1550041
2017-06-23,1622336
2017-06-24,1697273
2017-06-25,1697273
2017-06-26,1782137
2017-06-27,1866068
2017-06-28,1866068
2017-06-29,1959372
2017-06-30,1959372
2017-07-01,2051269
2017-07-02,2051269
2017-07-03,2153833
2017-07-04,2153833
2017-07-05,2257809
2017-07-06,2257809
2017-07-07,2369148
2017-07-08,2369148
2017-07-13,2609914
2017-07-14,2734367
2017-07-15,2734367
2017-07-16,2864689
2017-07-17,2864689
2017-07-18,3007446
2017-07-19,3007446
2017-07-20,3157819
2017-07-21,3157819
2017-07-22,3301701
2017-07-23,3301701
2017-07-24,3237446
2017-07-25,3237446
2017-07-26,3273066
2017-07-27,3273066
2017-07-28,3229091
2017-07-29,3229091
2017-07-30,3168346
2017-07-31,3168346
2017-08-01,3168346
2017-08-02,3138012
2017-08-03,3138012
2017-08-04,3151130
2017-08-05,3138095
2017-08-06,3138095
2017-08-09,3069256
2017-08-10,2973777
2017-08-11,2973777
2017-08-12,2958670
2017-08-13,2958670
2017-08-14,3060085
2017-08-15,3060085
2017-08-17,3151037
2017-08-18,3210955
2017-08-19,3210955
2017-08-20,3290237
2017-08-22,3271044
2017-08-23,3271044
2017-08-24,3177907
2017-08-25,3177907
2017-08-26,3204671
2017-08-27,3204671
2017-08-28,3131728
2017-08-29,3131728
2017-08-30,3013225
2017-08-31,3013225
2017-09-01,3013225
2017-09-02,2958181
2017-09-03,2958181
2017-09-04,2958181
2017-09-05,2976077
2017-09-06,2976077
2017-09-07,2987004
2017-09-08,2987004
2017-09-09,3060268
2017-09-10,3060268
2017-09-11,3026268
2017-09-12,3026268
2017-09-13,2975799
2017-09-14,2975799
2017-09-15,2975799
2017-09-16,2945759
2017-09-17,2945759
2017-09-19,2911888
2017-09-20,2911888
2017-09-21,2879478
2017-09-22,2879478
2017-09-23,2879478
2017-09-24,2848494
2017-09-25,2848494
2017-09-26,2848494
2017-09-27,2805563
2017-09-28,2805563
2017-09-29,2861568
2017-09-30,2861568
2017-10-01,2861568
2017-10-02,2782786
2017-10-03,2782786
2017-10-04,2782786
2017-10-05,2764852
2017-10-06,2764852
2017-10-07,2764852
2017-10-08,2737203
2017-10-09,2737203
2017-10-10,2759393
2017-10-11,2759393
2017-10-12,2759393
2017-10-13,2834377
2017-10-14,2834377
2017-10-15,2834377
2017-10-16,2944958
2017-10-17,2944958
2017-10-18,2944958
2017-10-19,3008576
2017-10-20,3008576
2017-10-21,3008576
2017-10-22,2951103
2017-10-23,2951103
2017-10-24,2951103
2017-10-25,2929269
2017-10-26,2929269
2017-10-27,2929269
2017-10-28,2930300
2017-10-29,2930300
2017-10-30,3054610
2017-10-31,3054610
2017-11-01,3054610
2017-11-02,3044965
2017-11-03,3044965
2017-11-04,3128206
2017-11-05,3128206
2017-11-06,3128206
2017-11-07,3155444
2017-11-08,3155444
2017-11-09,3174292
2017-11-10,3174292
2017-11-11,3174292
2017-11-12,3142491
2017-11-13,3142491
2017-11-14,3142491
2017-11-15,3152075
2017-11-16,3152075
2017-11-17,3117210
2017-11-18,3117210
2017-11-19,3117210
2017-11-20,3062270
2017-11-21,3062270
2017-11-22,3062270
2017-11-23,3036303
2017-11-24,3036303
2017-11-25,3036303
2017-11-26,3012414
2017-11-27,3012414
2017-11-28,3012414
2017-11-29,2999248
2017-11-30,2999248
2017-12-01,3042678
2017-12-02,3042678
2017-12-03,3042678
2017-12-04,3030359
2017-12-05,3030359
2017-12-06,3053371
2017-12-07,3053371
2017-12-08,2984803
2017-12-09,2984803
2017-12-10,2880917
2017-12-11,2880917
2017-12-12,2880917
2017-12-14,2757027
2017-12-15,2765698
2017-12-16,2765698
2017-12-17,2765698
2017-12-18,2764242
2017-12-19,2764242
2017-12-20,2764242
2017-12-21,2723461
2017-12-22,2723461
2017-12-23,2649193
2017-12-24,2649193
2017-12-25,2649193
2017-12-26,2740885
2017-12-27,2740885
2017-12-28,2851017
2017-12-29,2851017
2017-12-30,2989200
2017-12-31,2989200
2018-01-01,3044911
2018-01-02,3044911
2018-01-03,3061776
2018-01-04,3061776
2018-01-05,2930101
2018-01-06,2930101
2018-01-07,2813936
2018-01-08,2813936
2018-01-09,2857297
2018-01-10,2857297
2018-01-11,2857297
2018-01-12,2779529
2018-01-13,2779529
2018-01-14,2731266
2018-01-15,2731266
2018-01-16,2726108
2018-01-17,2726108
2018-01-18,2787622
2018-01-19,2787622
2018-01-20,2787622
2018-01-21,2820702
2018-01-22,2820702
2018-01-23,2891327
2018-01-24,2874918
2018-01-25,2874918
2018-01-26,2857663
2018-01-27,2861467
2018-01-28,2834074
2018-01-29,2806442
2018-01-31,2862347
2018-02-01,2862347
2018-02-02,2860686
2018-02-03,2877286
2018-02-04,2860014
2018-02-05,2860014
2018-02-06,2851907
2018-02-07,2901900
2018-02-08,2901900
2018-02-09,2937078
2018-02-10,2937078
2018-02-11,2910056
2018-02-12,2931034
2018-02-13,2931034
2018-02-14,2918727
2018-02-15,2890419
2018-02-16,2882147
2018-02-17,2853356
2018-02-18,2833834
2018-02-19,2862255
2018-02-20,2933141
2018-02-21,3006153
2018-02-22,3125515
2018-02-23,3277062
2018-02-24,3277062
2018-02-25,3242166
2018-02-26,3124610
2018-02-27,3138354
2018-03-01,3116151
2018-03-02,3072618
2018-03-03,3109222
2018-03-04,3109222
2018-03-05,3168384
2018-03-06,3239289
2018-03-07,3203914
2018-03-08,3145698
2018-03-09,3097901
2018-03-10,3074999
2018-03-11,3045642
2018-03-12,3013147
2018-03-13,3000835
2018-03-14,2971227
2018-03-15,2946942
2018-03-16,2926527
2018-03-17,2929369
2018-03-18,2917999
2018-03-19,2917999
2018-03-20,2882080
2018-03-21,2882080
2018-03-23,2899179
2018-03-24,2911754
2018-03-26,2974375
2018-03-27,3039076
2018-03-28,3039076
2018-03-29,3048070
2018-03-30,3009195
2018-03-31,2998236
2018-04-01,3034536
2018-04-02,3026786
2018-04-03,3027638
2018-04-04,3069844
2018-04-05,3069844
2018-04-06,3142986
2018-04-08,3096629
2018-04-09,3043121
2018-04-10,3039362
2018-04-11,3024235
2018-04-12,2993346
2018-04-13,3033088
2018-04-14,3106752
2018-04-15,3132431
2018-04-16,3132431
2018-04-17,3097111
2018-04-18,3097111
2018-04-19,3041483
2018-04-20,2996340
2018-04-21,3028978
2018-04-22,3028978
2018-04-23,3026732
2018-04-24,3048459
2018-04-25,3114862
2018-04-26,3114862
2018-04-27,3128402
2018-04-28,3099210
2018-04-29,3090745
2018-04-30,3108950
2018-05-01,3132329
2018-05-02,3193334
2018-05-04,3143262
2018-05-05,3115341
2018-05-06,3115341
2018-05-07,3076901
2018-05-08,3072853
2018-05-09,3061292
2018-05-10,3039573
2018-05-11,3019218
2018-05-12,2989265
2018-05-13,3053125
2018-05-14,3043035
2018-05-15,3068649
2018-05-16,3147194
2018-05-17,3147510
2018-05-18,3150567
2018-05-19,3151177
2018-05-20,3147824
2018-05-21,3233773
2018-05-22,3347578
2018-05-23,3283775
2018-05-24,3222651
2018-05-25,3128202
2018-05-26,3097636
2018-05-27,3063956
2018-05-28,3051881
2018-05-29,3022875
2018-05-30,2949879
2018-05-31,2930753
2018-06-01,2992961
2018-06-02,3011620
2018-06-03,3040414
2018-06-04,3022728
2018-06-05,3019673
2018-06-06,2978448
2018-06-07,2978448
2018-06-08,2871755
2018-06-09,2898283
2018-06-10,2916699
2018-06-11,2929576
2018-06-12,2926110
2018-06-13,2981670
2018-06-14,2992101
2018-06-15,2975558
2018-06-16,2957223
2018-06-17,3019436
2018-06-18,2991083
2018-06-19,2960327
2018-06-20,2960327
2018-06-21,2926669
2018-06-22,2898145
2018-06-23,2888384
2018-06-24,2923088
2018-06-25,2954510
2018-06-26,2967950
2018-06-27,2989334
2018-06-28,2986314
2018-06-29,2942643
2018-06-30,2949024
2018-07-01,2922757
2018-07-02,2922757
2018-07-03,2919149
2018-07-04,2900147
2018-07-05,2882179
2018-07-06,2914515
2018-07-07,2966882
2018-07-08,3041264
2018-07-09,3148886
2018-07-10,3241595
2018-07-11,3357553
2018-07-12,3441764
2018-07-13,3526639
2018-07-14,3532687
2018-07-15,3529069
2018-07-16,3619016
2018-07-17,3680549
2018-07-18,3624704
2018-07-19,3473767
2018-07-20,3330087
2018-07-21,3232823
2018-07-22,3168968
2018-07-23,3138695
2018-07-24,3121595
2018-07-25,3197095
2018-07-26,3239505
2018-07-27,3249422
2018-07-28,3232385
2018-07-29,3228712
2018-07-30,3191979
2018-07-31,3163111
2018-08-01,3183193
2018-08-02,3145604
2018-08-03,3183397
2018-08-04,3297128
2018-08-05,3292869
2018-08-06,3318546
2018-08-07,3371680
2018-08-08,3328655
2018-08-09,3338653
2018-08-10,3362060
2018-08-11,3345921
2018-08-12,3295761
2018-08-14,3135752
2018-08-16,3053255
2018-08-17,3003165
2018-08-18,3049457
2018-08-19,3010839
2018-08-20,3019659
2018-08-21,3065613
2018-08-22,3077720
2018-08-23,3112889
2018-08-24,3171784
2018-08-25,3221653
2018-08-26,3239666
2018-08-27,3177076
2018-08-28,3222002
2018-08-29,3282254
2018-08-30,3273887
2018-08-31,3261461
2018-09-01,3196940
2018-09-02,3152539
2018-09-03,3146254
2018-09-04,3108396
2018-09-05,3095008
2018-09-06,3095008
2018-09-07,3081307
2018-09-08,3056029
2018-09-09,3061764
2018-09-10,3126750
2018-09-11,3195262
2018-09-12,3236890
2018-09-13,3118376
2018-09-14,3121253
2018-09-15,3112758
2018-09-16,3091904
2018-09-17,3104868
2018-09-18,3183309
2018-09-19,3326442
2018-09-20,3416729
2018-09-21,3342420
2018-09-22,3218105
2018-09-23,3215971
2018-09-24,3234533
2018-09-25,3171349
2018-09-26,3215836
2018-09-27,3244832
2018-09-28,3233818
2018-09-29,3192426
2018-09-30,3163323
2018-10-02,3166088
2018-10-03,3163050
2018-10-04,3143217
2018-10-05,3194877
2018-10-06,3237336
2018-10-07,3237668
2018-10-08,3284346
2018-10-09,3388920
2018-10-10,3438182
2018-10-11,3420265
2018-10-12,3399200
2018-10-13,3411532
2018-10-14,3411015
2018-10-15,3357193
2018-10-16,3282281
2018-10-17,3178200
2018-10-18,3130200
2018-10-19,3156472
2018-10-20,3175842
2018-10-21,3221323
2018-10-22,3184264
2018-10-23,3141241
2018-10-24,3127803
2018-10-25,3138089
2018-10-26,3168151
2018-10-27,3191448
2018-10-28,3212067
2018-10-29,3196006
