date_obj,Iron%20full%20helm%20(g) price
2015-03-26,218603
2015-03-27,218603
2015-03-28,225390
2015-03-29,223715
2015-03-30,221958
2015-03-31,217629
2015-04-01,217629
2015-04-02,211054
2015-04-03,209501
2015-04-04,202036
2015-04-05,199496
2015-04-06,195753
2015-04-07,190403
2015-04-08,190403
2015-04-09,186390
2015-04-10,189958
2015-04-11,189413
2015-04-12,191843
2015-04-13,191602
2015-04-14,191602
2015-04-15,190645
2015-04-16,190645
2015-04-17,190180
2015-04-18,187828
2015-04-19,182917
2015-04-20,182917
2015-04-21,178097
2015-04-22,178097
2015-04-23,177231
2015-04-24,177231
2015-04-25,177409
2015-04-26,177593
2015-04-27,177697
2015-04-28,175735
2015-04-29,175735
2015-04-30,173191
2015-05-01,168533
2015-05-02,162185
2015-05-03,162185
2015-05-04,156282
2015-05-05,151837
2015-05-06,147447
2015-05-07,145245
2015-05-08,142290
2015-05-09,139718
2015-05-10,136662
2015-05-11,136662
2015-05-12,135509
2015-05-13,135442
2015-05-14,135769
2015-05-15,135260
2015-05-16,139172
2015-05-17,142187
2015-05-18,144410
2015-05-19,144410
2015-05-20,143806
2015-05-21,143806
2015-05-22,146537
2015-05-23,149576
2015-05-24,152805
2015-05-25,154281
2015-05-26,153921
2015-05-27,155701
2015-05-28,156486
2015-05-29,158442
2015-05-30,160248
2015-05-31,160248
2015-06-01,161425
2015-06-02,161425
2015-06-03,160984
2015-06-04,160984
2015-06-05,162202
2015-06-06,157791
2015-06-07,157833
2015-06-08,157833
2015-06-09,156461
2015-06-10,154062
2015-06-11,154062
2015-06-12,152507
2015-06-13,151968
2015-06-14,150632
2015-06-15,150398
2015-06-16,147711
2015-06-17,147711
2015-06-18,148347
2015-06-19,148627
2015-06-20,148398
2015-06-21,148398
2015-06-22,147862
2015-06-23,147862
2015-06-24,147057
2015-06-25,147057
2015-06-26,143821
2015-06-27,143821
2015-06-28,140439
2015-06-29,140439
2015-06-30,138694
2015-07-01,137450
2015-07-02,137450
2015-07-03,135941
2015-07-04,134431
2015-07-05,133755
2015-07-06,134771
2015-07-07,134152
2015-07-08,132715
2015-07-09,132715
2015-07-10,136368
2015-07-11,136368
2015-07-12,137391
2015-07-13,138682
2015-07-14,141067
2015-07-15,144552
2015-07-16,144552
2015-07-17,149302
2015-07-18,149302
2015-07-19,152400
2015-07-20,154905
2015-07-21,154905
2015-07-22,157355
2015-07-23,157355
2015-07-24,159931
2015-07-25,159931
2015-07-26,160186
2015-07-27,160635
2015-07-28,162896
2015-07-29,168371
2015-07-30,168371
2015-07-31,171547
2015-08-01,171547
2015-08-02,171062
2015-08-03,171062
2015-08-04,170024
2015-08-05,169200
2015-08-06,169200
2015-08-07,168559
2015-08-08,171464
2015-08-09,174223
2015-08-10,178455
2015-08-11,180181
2015-08-12,180181
2015-08-13,176710
2015-08-14,174691
2015-08-15,174691
2015-08-16,174588
2015-08-17,175253
2015-08-18,175253
2015-08-19,178342
2015-08-20,178342
2015-08-21,182242
2015-08-22,186251
2015-08-23,186251
2015-08-24,188393
2015-08-25,188393
2015-08-26,192320
2015-08-27,190010
2015-08-28,190010
2015-08-29,192598
2015-08-30,192598
2015-08-31,195597
2015-09-01,192650
2015-09-02,192650
2015-09-03,191319
2015-09-04,195265
2015-09-05,195265
2015-09-06,198256
2015-09-07,198256
2015-09-08,202522
2015-09-09,202522
2015-09-10,203232
2015-09-11,205990
2015-09-12,205990
2015-09-13,211807
2015-09-14,211807
2015-09-15,215815
2015-09-16,215815
2015-09-17,216785
2015-09-18,216785
2015-09-19,213234
2015-09-20,213234
2015-09-21,213163
2015-09-22,216360
2015-09-23,219744
2015-09-24,219744
2015-09-25,220885
2015-09-27,223257
2015-09-28,219689
2015-09-29,219689
2015-09-30,220655
2015-10-05,212717
2015-10-06,214002
2015-10-07,214002
2015-10-08,214651
2015-10-09,217319
2015-10-10,217319
2015-10-11,217495
2015-10-12,217495
2015-10-13,216345
2015-10-14,216345
2015-10-15,217343
2015-10-16,217343
2015-10-17,216977
2015-10-18,216977
2015-10-19,220238
2015-10-20,222310
2015-10-22,225211
2015-10-23,225284
2015-10-24,225284
2015-10-25,228919
2015-10-26,233517
2015-10-27,233517
2015-10-29,236364
2015-10-30,234684
2015-10-31,236935
2015-11-01,236935
2015-11-02,236999
2015-11-03,236999
2015-11-04,236112
2015-11-05,241209
2015-11-06,241209
2015-11-07,237005
2015-11-08,237005
2015-11-09,233559
2015-11-10,233559
2015-11-11,236872
2015-11-12,236872
2015-11-13,240004
2015-11-14,240004
2015-11-15,240847
2015-11-16,240847
2015-11-17,240599
2015-11-18,240599
2015-11-19,242472
2015-11-20,242472
2015-11-21,245680
2015-11-22,251188
2015-11-23,251188
2015-11-24,252591
2015-11-25,259653
2015-11-26,259653
2015-11-27,264997
2015-11-28,264997
