date_obj,Dragon%20full%20helm%20ornament%20kit price
2015-03-26,88486
2015-03-27,88486
2015-03-28,84234
2015-03-29,80434
2015-03-30,76923
2015-03-31,73454
2015-04-01,73454
2015-04-02,69944
2015-04-03,69944
2015-04-04,66608
2015-04-05,66608
2015-04-06,66608
2015-04-07,63466
2015-04-08,63466
2015-04-09,63466
2015-04-10,60726
2015-04-11,60726
2015-04-12,60726
2015-04-13,57952
2015-04-14,57952
2015-04-15,55259
2015-04-16,55259
2015-04-17,55259
2015-04-18,52695
2015-04-19,52695
2015-04-20,50188
2015-04-21,50188
2015-04-22,47972
2015-04-23,47972
2015-04-24,45764
2015-04-25,45764
2015-04-26,43736
2015-04-27,43736
2015-04-28,41640
2015-04-29,41640
2015-04-30,41640
2015-05-01,39775
2015-05-02,39775
2015-05-03,39775
2015-05-04,38242
2015-05-05,38242
2015-05-06,37014
2015-05-07,37014
2015-05-08,36048
2015-05-09,36048
2015-05-10,34417
2015-05-11,34417
2015-05-12,34417
2015-05-13,32696
2015-05-14,32696
2015-05-15,31170
2015-05-16,31170
2015-05-17,29813
2015-05-18,29813
2015-05-19,29169
2015-05-20,29169
2015-05-21,29169
2015-05-22,27846
2015-05-23,27846
2015-05-24,27595
2015-05-25,27595
2015-05-26,26887
2015-05-27,26887
2015-05-28,26475
2015-05-29,26475
2015-05-30,25845
2015-05-31,25845
2015-06-01,25927
2015-06-02,25927
2015-06-03,25927
2015-06-04,25426
2015-06-05,25426
2015-06-06,24626
2015-06-07,24626
2015-06-08,24626
2015-06-09,24338
2015-06-10,24338
2015-06-11,24338
2015-06-12,23149
2015-06-13,23149
2015-06-14,22075
2015-06-15,22075
2015-06-16,22075
2015-06-17,21255
2015-06-18,21255
2015-06-19,21255
2015-06-20,20366
2015-06-21,20366
2015-06-22,20366
2015-06-23,20366
2015-06-24,19347
2015-06-25,19347
2015-06-26,19347
2015-06-27,19347
2015-06-28,18412
2015-06-29,18412
2015-06-30,18412
2015-07-01,17611
2015-07-02,17611
2015-07-03,17324
2015-07-04,17324
2015-07-05,17324
2015-07-06,16808
2015-07-07,16808
2015-07-08,16808
2015-07-09,16237
2015-07-10,16237
2015-07-11,16237
2015-07-12,16272
2015-07-13,16272
2015-07-14,16272
2015-07-15,16093
2015-07-16,16093
2015-07-17,16070
2015-07-18,16070
2015-07-19,16070
2015-07-20,16197
2015-07-21,16197
2015-07-22,16197
2015-07-23,15911
2015-07-24,15911
2015-07-25,15310
2015-07-26,15310
2015-07-27,15310
2015-07-28,14544
2015-07-29,14433
2015-07-30,14433
2015-07-31,14631
2015-08-01,14631
2015-08-02,14554
2015-08-03,14554
2015-08-04,14554
2015-08-05,14590
2015-08-06,14590
2015-08-07,14076
2015-08-08,14239
2015-08-09,14239
2015-08-10,14943
2015-08-11,14943
2015-08-12,14943
2015-08-13,15560
2015-08-14,15560
2015-08-15,16273
2015-08-16,16273
2015-08-17,16995
2015-08-18,16995
2015-08-19,17317
2015-08-20,17317
2015-08-21,17255
2015-08-22,17255
2015-08-23,17314
2015-08-24,17314
2015-08-25,17314
2015-08-26,18015
2015-08-27,17982
2015-08-28,17982
2015-08-29,18158
2015-08-30,18158
2015-08-31,17935
2015-09-01,17561
2015-09-02,17561
2015-09-03,17680
