date_obj,Gilded%20bench%20(flatpack) price
2015-03-05,180000
2015-03-06,180000
2015-03-07,180000
2015-03-08,180000
2015-03-09,180000
2015-03-10,180000
2015-03-11,180000
2015-03-12,180000
2015-03-13,180000
2015-03-14,180000
2015-03-15,180000
2015-03-16,180000
2015-03-17,180000
2015-03-18,180000
2015-03-19,180000
2015-03-20,180000
2015-03-21,180000
2015-03-22,180000
2015-03-23,180000
2015-03-24,180000
2015-03-25,180000
2015-03-26,180000
2015-03-27,180000
2015-03-28,180000
2015-03-29,180000
2015-03-30,180000
2015-03-31,180000
2015-04-01,180000
2015-04-02,180000
2015-04-03,180000
2015-04-04,180000
2015-04-05,180000
2015-04-06,180000
2015-04-07,180000
2015-04-08,180000
2015-04-09,180000
2015-04-10,180000
2015-04-11,180000
2015-04-12,180000
2015-04-13,180000
2015-04-14,180000
2015-04-15,180000
2015-04-16,180000
2015-04-17,180000
2015-04-18,180000
2015-04-19,180000
2015-04-20,180000
2015-04-21,180000
2015-04-22,180000
2015-04-23,180000
2015-04-24,180000
2015-04-25,180000
2015-04-26,180000
2015-04-27,180000
2015-04-28,180000
2015-04-29,180000
2015-04-30,180000
2015-05-01,180000
2015-05-02,180000
2015-05-03,180000
2015-05-04,180000
2015-05-05,180000
2015-05-06,180000
2015-05-07,180000
2015-05-08,180000
2015-05-09,180000
2015-05-10,180000
2015-05-11,180000
2015-05-12,180000
2015-05-13,180000
2015-05-14,180000
2015-05-15,180000
2015-05-16,180000
2015-05-17,180000
2015-05-18,180000
2015-05-19,180000
2015-05-20,180000
2015-05-21,180000
2015-05-22,180000
2015-05-23,180000
2015-05-24,180000
2015-05-25,180000
2015-05-26,180000
2015-05-27,180000
2015-05-28,180000
2015-05-29,180000
2015-05-30,180000
2015-05-31,180000
2015-06-01,180000
2015-06-02,180000
2015-06-03,180000
2015-06-04,180000
2015-06-05,180000
2015-06-06,180000
2015-06-07,180000
2015-06-08,180000
2015-06-09,180000
2015-06-10,180000
2015-06-11,180000
2015-06-12,180000
2015-06-13,180000
2015-06-14,180000
2015-06-15,180000
2015-06-16,180000
2015-06-17,180000
