date_obj,Adamant%20kiteshield%20(t) price
2015-03-26,21784
2015-03-27,21784
2015-03-28,21784
2015-03-29,21784
2015-03-30,21784
2015-03-31,21784
2015-04-01,20776
2015-04-02,20776
2015-04-03,20776
2015-04-04,20776
2015-04-05,20776
2015-04-06,19836
2015-04-07,19836
2015-04-08,19836
2015-04-09,19836
2015-04-10,19836
2015-04-11,18936
2015-04-12,18936
2015-04-13,18936
2015-04-14,18936
2015-04-15,18936
2015-04-16,18936
2015-04-17,18056
2015-04-18,18056
2015-04-19,18056
2015-04-20,18056
2015-04-21,18056
2015-04-22,18056
2015-04-23,17193
2015-04-24,17193
2015-04-25,17193
2015-04-26,17193
2015-04-27,17193
2015-04-28,16489
2015-04-29,16489
2015-04-30,16489
2015-05-01,16489
2015-05-02,16489
2015-05-03,16489
2015-05-04,15761
2015-05-05,15761
2015-05-06,15761
2015-05-07,15761
2015-05-08,15761
2015-05-09,15090
2015-05-10,15090
2015-05-11,15090
2015-05-12,15090
2015-05-13,15090
2015-05-14,15090
2015-05-15,14385
2015-05-16,14385
2015-05-17,14385
2015-05-18,14385
2015-05-19,14385
2015-05-20,14385
2015-05-21,13714
2015-05-22,13714
2015-05-23,13714
2015-05-24,13714
2015-05-25,13076
2015-05-26,13076
2015-05-27,13076
2015-05-28,12473
2015-05-29,12473
2015-05-30,11916
2015-05-31,11916
2015-06-01,11916
2015-06-02,11398
2015-06-03,11398
2015-06-04,11398
2015-06-05,10903
2015-06-06,10903
2015-06-07,10903
2015-06-08,10903
2015-06-09,10423
2015-06-10,10423
2015-06-11,10423
2015-06-12,10423
2015-06-13,9950
2015-06-14,9950
2015-06-15,9950
2015-06-16,9550
2015-06-17,9550
2015-06-18,9550
2015-06-19,9171
2015-06-20,9171
2015-06-21,9171
2015-06-22,8929
2015-06-23,8929
2015-06-24,8929
2015-06-25,8929
2015-06-26,8744
2015-06-27,8744
2015-06-28,8744
2015-06-29,8744
2015-06-30,8599
2015-07-01,8599
2015-07-02,8599
2015-07-03,8599
2015-07-04,8667
2015-07-05,8667
2015-07-06,8667
2015-07-07,8667
2015-07-08,8667
2015-07-09,8391
2015-07-10,8391
2015-07-11,8391
2015-07-12,8391
2015-07-13,8194
2015-07-14,8194
2015-07-15,8194
2015-07-16,8194
2015-07-17,7938
2015-07-18,7938
2015-07-19,7938
2015-07-20,7938
2015-07-21,7579
2015-07-22,7579
2015-07-23,7579
2015-07-24,7383
2015-07-25,7383
2015-07-26,7383
2015-07-27,7383
2015-07-28,7246
2015-07-29,7246
2015-07-30,7246
2015-07-31,7246
2015-08-01,7473
2015-08-02,7473
2015-08-03,7473
2015-08-04,7473
2015-08-05,7344
2015-08-06,7344
2015-08-07,7344
2015-08-08,7344
2015-08-09,7207
2015-08-10,7207
2015-08-11,7207
2015-08-12,7033
2015-08-13,7033
2015-08-14,6833
2015-08-15,6833
2015-08-16,6833
2015-08-17,6833
2015-08-18,6662
2015-08-19,6662
2015-08-20,6662
2015-08-21,6662
2015-08-22,6524
2015-08-23,6524
2015-08-24,6524
2015-08-25,6524
2015-08-26,6524
2015-08-27,6606
2015-08-28,6606
2015-08-29,6606
2015-08-30,6606
2015-08-31,6606
2015-09-01,6361
2015-09-02,6361
2015-09-03,6361
2015-09-04,6361
2015-09-05,6447
2015-09-06,6447
2015-09-07,6447
2015-09-08,6447
2015-09-09,6447
2015-09-10,6258
2015-09-11,6258
2015-09-12,6258
2015-09-13,6258
2015-09-14,6258
2015-09-15,6169
2015-09-16,6169
2015-09-17,6169
2015-09-18,6169
2015-09-19,6169
2015-09-20,6169
2015-09-21,6346
2015-09-22,6346
2015-09-23,6346
2015-09-24,6346
2015-09-25,6346
2015-09-27,6171
2015-09-28,6171
2015-09-29,6171
2015-09-30,6171
2015-10-05,6283
2015-10-06,6283
2015-10-07,6353
2015-10-08,6353
2015-10-09,6353
2015-10-10,6353
2015-10-11,6048
2015-10-12,6048
2015-10-13,6048
2015-10-14,6048
2015-10-15,5983
2015-10-16,5983
2015-10-17,5983
2015-10-18,5983
2015-10-19,5745
2015-10-20,5745
2015-10-22,5745
2015-10-23,5654
2015-10-24,5654
2015-10-25,5654
2015-10-26,5636
2015-10-27,5636
2015-10-28,5636
2015-10-29,5636
2015-10-30,5636
2015-10-31,5636
