date_obj,Iron%20platelegs%20(t) price
2015-03-26,112222
2015-03-27,112222
2015-03-28,106610
2015-03-29,101558
2015-03-30,97119
2015-03-31,93219
2015-04-01,93219
2015-04-02,88558
2015-04-03,84676
2015-04-04,80913
2015-04-05,80913
2015-04-06,76867
2015-04-07,73416
2015-04-08,73416
2015-04-09,69751
2015-04-10,66699
2015-04-11,64247
2015-04-12,64247
2015-04-13,61034
2015-04-14,61034
2015-04-15,58030
2015-04-16,58030
2015-04-17,55182
2015-04-18,52759
2015-04-19,50411
2015-04-20,50411
2015-04-21,48594
2015-04-22,48594
2015-04-23,46643
2015-04-24,46643
2015-04-25,44777
2015-04-26,44777
2015-04-27,43480
2015-04-28,41658
2015-04-29,41658
2015-04-30,40766
2015-05-01,39443
2015-05-02,38003
2015-05-03,38003
2015-05-04,36305
2015-05-05,36305
2015-05-06,34766
2015-05-07,34009
2015-05-08,34009
2015-05-09,33193
2015-05-10,33816
2015-05-11,33816
2015-05-12,34249
2015-05-13,34249
2015-05-14,33299
2015-05-15,33299
2015-05-16,33139
2015-05-17,33158
2015-05-18,33158
2015-05-19,32522
2015-05-20,32522
2015-05-21,31053
2015-05-22,30280
2015-05-23,30280
2015-05-24,30018
2015-05-25,29305
2015-05-26,29305
2015-05-27,28047
2015-05-28,28047
2015-05-29,27490
2015-05-30,27228
2015-05-31,27228
2015-06-01,28275
2015-06-02,28275
2015-06-03,29411
2015-06-04,29411
2015-06-05,30867
2015-06-06,30867
2015-06-07,32411
2015-06-08,32411
2015-06-09,34032
2015-06-10,34032
2015-06-11,35734
2015-06-12,35734
2015-06-13,37521
2015-06-14,39358
2015-06-15,39358
2015-06-16,41326
2015-06-17,41326
2015-06-18,43393
2015-06-19,43393
2015-06-20,45509
2015-06-21,45509
2015-06-22,47668
2015-06-23,47668
2015-06-24,50052
2015-06-25,50052
2015-06-26,51946
2015-06-27,51946
2015-06-28,53708
2015-06-29,53708
2015-06-30,55901
2015-07-01,55901
2015-07-02,55901
2015-07-03,56944
2015-07-04,56944
2015-07-05,58579
2015-07-06,58579
2015-07-07,60711
2015-07-08,60711
2015-07-09,63448
2015-07-10,63448
2015-07-11,66621
2015-07-12,66621
2015-07-13,67683
2015-07-14,67155
2015-07-15,67155
2015-07-16,67335
2015-07-17,69653
2015-07-18,69653
2015-07-19,70669
2015-07-20,72427
2015-07-21,72427
2015-07-22,74217
2015-07-23,74217
2015-07-24,73524
2015-07-25,73524
2015-07-26,74516
2015-07-27,74516
2015-07-28,73810
2015-07-29,72971
2015-07-30,72971
2015-07-31,72502
2015-08-01,72502
2015-08-02,71666
2015-08-03,71666
2015-08-04,69340
2015-08-05,69466
2015-08-06,69466
2015-08-07,67637
2015-08-08,64556
2015-08-09,61505
2015-08-10,59971
2015-08-11,59971
2015-08-12,59947
2015-08-13,59947
2015-08-14,57232
2015-08-15,57232
2015-08-16,55728
2015-08-17,54916
2015-08-18,54916
2015-08-19,54206
2015-08-20,54206
2015-08-21,53851
2015-08-22,53851
2015-08-23,52537
2015-08-24,52537
2015-08-25,54137
2015-08-26,54137
2015-08-27,53285
2015-08-28,53285
2015-08-29,53280
2015-08-30,53280
2015-08-31,54385
2015-09-01,54385
2015-09-02,56231
2015-09-03,56175
2015-09-04,55600
2015-09-05,55600
2015-09-06,56299
2015-09-07,56299
2015-09-08,55948
2015-09-09,55948
2015-09-10,55944
2015-09-11,55944
2015-09-12,55596
2015-09-13,57246
2015-09-14,57246
2015-09-15,58464
2015-09-16,58464
2015-09-17,59691
2015-09-18,59691
2015-09-19,60413
2015-09-20,60413
2015-09-21,61452
2015-09-22,61452
2015-09-23,63803
2015-09-24,63803
2015-09-25,65485
2015-09-27,67140
2015-09-28,68275
2015-09-29,68275
2015-09-30,69422
2015-10-05,66894
2015-10-06,64104
2015-10-07,64104
2015-10-08,61453
2015-10-09,61453
2015-10-10,59098
2015-10-11,57383
2015-10-12,57383
2015-10-13,56434
2015-10-14,56434
2015-10-15,56747
2015-10-16,56747
2015-10-17,57393
2015-10-18,57393
2015-10-19,57297
2015-10-20,57297
2015-10-22,59104
2015-10-23,59573
2015-10-24,59573
2015-10-25,60308
2015-10-26,60308
2015-10-27,59943
2015-10-29,59359
2015-10-30,59359
2015-10-31,57711
2015-11-01,57711
2015-11-02,56607
2015-11-03,56607
2015-11-04,55808
2015-11-05,55808
2015-11-06,53922
2015-11-07,52649
2015-11-08,52649
2015-11-09,51572
2015-11-10,51572
2015-11-11,50452
2015-11-12,50452
2015-11-13,49630
2015-11-14,49630
2015-11-15,48664
2015-11-16,48664
2015-11-17,48210
2015-11-18,48210
2015-11-19,47258
2015-11-20,47258
2015-11-21,46962
2015-11-22,45460
2015-11-23,45460
2015-11-24,44664
2015-11-25,44590
2015-11-26,44590
2015-11-27,44064
2015-11-28,44064
2015-11-29,44233
2015-11-30,44233
2015-12-01,42176
2015-12-02,42176
2015-12-03,40962
2015-12-04,40962
2015-12-05,39588
2015-12-06,39588
2015-12-07,38670
2015-12-08,38670
2015-12-09,37159
2015-12-10,37159
2015-12-11,36956
2015-12-12,36956
2015-12-13,36597
2015-12-14,36597
2015-12-15,36725
2015-12-16,36725
2015-12-17,36814
2015-12-18,36814
2015-12-19,36901
2015-12-20,38047
2015-12-21,38047
2015-12-22,39165
2015-12-23,39165
2015-12-24,40213
2015-12-25,40213
2015-12-26,41783
2015-12-27,43279
2015-12-28,43279
2015-12-29,44415
2015-12-30,44415
2015-12-31,45318
2016-01-01,45318
2016-01-02,45544
2016-01-03,45770
2016-01-04,45770
2016-01-05,46750
2016-01-06,46750
2016-01-07,47255
2016-01-08,47255
2016-01-09,48631
2016-01-10,48631
2016-01-11,50345
2016-01-12,50609
2016-01-13,50609
2016-01-14,51059
2016-01-15,52054
2016-01-16,52054
2016-01-17,52231
2016-01-18,51224
2016-01-19,51224
2016-01-20,50159
2016-01-21,50159
2016-01-22,50044
2016-01-23,50044
2016-01-24,49929
2016-01-25,48382
2016-01-26,48382
2016-01-27,46917
2016-01-28,46917
2016-01-29,46435
2016-01-30,46435
2016-01-31,45969
2016-02-01,44271
2016-02-02,44271
2016-02-03,43043
2016-02-04,43043
2016-02-05,42788
2016-02-06,41594
2016-02-07,41594
2016-02-08,41584
2016-02-09,41584
2016-02-10,41541
2016-02-11,41541
2016-02-12,41014
2016-02-13,39560
2016-02-14,39560
2016-02-15,38327
2016-02-16,38327
2016-02-17,38117
2016-02-18,38117
2016-02-19,38564
2016-02-20,38564
2016-02-21,38185
2016-02-22,38185
2016-02-23,38763
2016-02-24,38763
2016-02-25,38498
2016-02-26,38498
2016-02-27,37617
2016-02-28,37617
2016-02-29,36563
2016-03-01,36492
2016-03-02,36492
2016-03-03,36135
2016-03-04,36135
2016-03-05,35180
2016-03-06,34158
2016-03-07,34158
2016-03-08,32922
2016-03-09,33463
2016-03-10,33681
2016-03-11,33681
2016-03-12,33491
2016-03-13,33491
2016-03-14,34280
2016-03-15,34280
2016-03-16,35926
2016-03-17,35926
2016-03-18,37702
2016-03-19,37702
2016-03-20,39588
2016-03-21,39588
2016-03-22,41564
2016-03-23,42942
2016-03-24,42942
2016-03-25,44992
2016-03-26,44992
2016-03-27,46650
2016-03-28,45919
2016-03-29,45067
2016-03-30,45067
2016-03-31,44658
2016-04-01,44658
2016-04-02,42555
2016-04-03,40955
2016-04-04,40955
2016-04-05,40148
2016-04-06,38928
2016-04-07,38928
2016-04-08,38087
2016-04-09,37183
2016-04-10,36140
2016-04-11,36140
2016-04-12,36012
2016-04-13,36012
2016-04-14,35448
2016-04-15,35448
2016-04-16,34630
2016-04-17,34630
2016-04-18,34343
2016-04-19,34343
2016-04-20,34185
2016-04-21,34185
2016-04-22,33250
2016-04-23,33250
2016-04-24,32784
2016-04-25,32962
2016-04-26,32962
2016-04-27,32823
2016-04-28,32823
2016-04-29,32798
2016-04-30,32322
2016-05-01,32322
2016-05-02,31812
2016-05-03,31812
2016-05-04,31263
2016-05-05,29768
2016-05-06,29768
2016-05-07,28335
2016-05-08,28335
2016-05-09,27824
2016-05-10,27575
2016-05-11,27575
2016-05-12,27134
2016-05-13,26428
2016-05-14,26267
2016-05-15,26236
2016-05-16,26236
2016-05-17,26846
2016-05-18,27707
2016-05-19,27707
2016-05-22,29619
2016-05-23,30940
2016-05-24,31865
2016-05-25,31865
2016-05-26,33083
2016-05-27,34100
2016-05-28,34100
2016-05-29,35145
2016-05-30,35145
2016-05-31,36800
2016-06-01,38392
2016-06-02,38392
2016-06-03,39585
2016-06-04,39054
2016-06-05,39054
2016-06-06,39286
2016-06-07,39286
2016-06-08,38249
2016-06-09,36722
2016-06-10,35374
2016-06-11,35374
2016-06-12,34513
2016-06-13,34513
2016-06-14,34076
2016-06-15,34076
2016-06-16,34561
2016-06-17,35039
2016-06-18,35039
2016-06-19,34768
2016-06-20,34768
2016-06-21,33528
2016-06-22,34290
2016-06-23,35886
2016-06-24,35886
2016-06-25,37620
2016-06-26,37620
2016-06-27,38531
2016-06-28,38531
2016-06-29,39770
2016-06-30,41480
2016-07-01,43292
2016-07-02,43292
2016-07-03,44233
2016-07-04,45160
2016-07-05,45160
2016-07-06,45269
2016-07-07,43597
2016-07-08,41526
2016-07-09,40029
2016-07-10,38404
2016-07-11,37044
2016-07-12,37044
2016-07-13,36214
2016-07-14,35818
2016-07-15,35818
2016-07-16,36081
2016-07-17,36081
2016-07-18,34910
2016-07-23,31202
2016-07-24,29938
2016-07-25,29376
2016-07-26,29376
2016-07-27,28816
2016-07-28,28816
2016-07-29,27406
2016-07-30,26035
2016-07-31,26035
2016-08-01,24772
2016-08-02,23533
2016-08-03,22416
2016-08-04,21335
2016-08-05,20397
2016-08-06,19481
2016-08-07,18506
2016-08-08,17643
2016-08-09,17101
2016-08-10,16796
2016-08-11,16796
2016-08-12,16977
2016-08-13,16977
2016-08-14,17612
2016-08-15,18430
2016-08-16,19117
2016-08-17,19117
2016-08-18,19986
2016-08-19,20608
2016-08-20,19786
2016-08-21,19786
2016-08-22,19871
2016-08-23,20335
2016-08-24,20335
2016-08-25,21035
2016-08-26,21035
2016-08-28,22087
2016-08-31,23761
2016-09-01,24800
2016-09-02,24800
2016-09-03,25963
