date_obj,Green%20d'hide%20chaps%20(t) price
2015-03-26,48252
2015-03-27,48252
2015-03-28,47890
2015-03-29,47381
2015-03-30,46569
2015-03-31,44675
2015-04-01,43518
2015-04-02,42577
2015-04-03,41389
2015-04-04,40218
2015-04-05,38647
2015-04-06,37361
2015-04-07,36353
2015-04-08,34820
2015-04-09,33561
2015-04-10,32032
2015-04-11,30782
2015-04-12,29658
2015-04-13,28603
2015-04-14,28424
2015-04-15,28078
2015-04-16,27843
2015-04-17,27173
2015-04-18,27142
2015-04-19,26847
2015-04-20,26084
2015-04-21,25393
2015-04-22,25316
2015-04-23,25534
2015-04-24,25370
2015-04-25,25576
2015-04-26,25557
2015-04-27,25265
2015-04-28,25334
2015-04-29,25334
2015-04-30,25106
2015-05-01,24810
2015-05-02,24758
2015-05-03,24523
2015-05-04,24335
2015-05-05,24081
2015-05-06,23921
2015-05-07,23559
2015-05-08,23271
2015-05-09,23335
2015-05-10,23162
2015-05-11,22982
2015-05-12,22825
2015-05-13,22575
2015-05-14,22291
2015-05-15,22042
2015-05-16,21995
2015-05-17,21737
2015-05-18,22021
2015-05-19,21789
2015-05-20,22099
2015-05-21,22107
2015-05-22,22002
2015-05-23,21547
2015-05-24,21533
2015-05-25,21239
2015-05-26,20937
2015-05-27,20924
2015-05-28,20764
2015-05-29,20718
2015-05-30,20516
2015-05-31,20651
2015-06-01,20596
2015-06-02,20594
2015-06-03,20470
2015-06-04,20371
2015-06-05,20312
2015-06-06,20292
2015-06-07,20423
2015-06-08,20528
2015-06-09,20611
2015-06-10,20565
2015-06-11,20467
2015-06-12,20592
2015-06-13,20771
2015-06-14,21128
2015-06-15,21486
2015-06-16,21860
2015-06-17,22605
2015-06-18,23047
2015-06-19,23527
2015-06-20,23841
2015-06-21,24007
2015-06-22,24391
2015-06-23,24578
2015-06-24,24924
2015-06-25,24924
2015-06-26,24951
2015-06-27,25270
2015-06-28,25191
2015-06-29,25220
2015-06-30,25383
2015-07-01,25458
2015-07-02,25458
2015-07-03,25846
2015-07-04,26562
2015-07-05,27102
2015-07-06,27507
2015-07-07,27654
2015-07-08,28014
2015-07-09,28014
2015-07-10,28322
2015-07-11,28751
2015-07-12,29252
