date_obj,Rune%20pickaxe price
2015-03-26,19730
2015-03-27,19483
2015-03-28,19671
2015-03-29,19717
2015-03-30,19700
2015-03-31,19817
2015-04-01,19810
2015-04-02,19867
2015-04-03,19672
2015-04-04,19540
2015-04-05,19423
2015-04-06,19212
2015-04-07,19300
2015-04-08,19514
2015-04-09,19540
2015-04-10,19643
2015-04-11,19516
2015-04-12,19597
2015-04-13,19818
2015-04-14,19832
2015-04-15,19965
2015-04-16,19991
2015-04-17,19922
2015-04-18,19780
2015-04-19,19628
2015-04-20,19808
2015-04-21,19996
2015-04-22,20044
2015-04-23,20034
2015-04-24,20007
2015-04-25,19857
2015-04-26,19627
2015-04-27,19775
2015-04-28,19630
2015-04-29,19783
2015-04-30,19922
2015-05-01,19739
2015-05-02,19511
2015-05-03,19206
2015-05-04,19199
2015-05-05,19373
2015-05-06,19621
2015-05-07,19569
2015-05-08,19755
2015-05-09,19652
2015-05-10,19563
2015-05-11,19559
2015-05-12,19540
2015-05-13,19877
2015-05-14,19856
2015-05-15,19873
2015-05-16,19689
2015-05-17,19749
2015-05-18,19786
2015-05-19,19715
2015-05-20,19760
2015-05-21,19942
2015-05-22,19993
2015-05-23,19679
2015-05-24,19400
2015-05-25,19483
2015-05-26,19583
2015-05-27,19742
2015-05-28,19663
2015-05-29,19758
2015-05-30,19666
2015-05-31,19675
2015-06-01,19660
2015-06-02,19680
2015-06-03,19767
2015-06-04,19962
2015-06-05,19957
2015-06-06,19732
2015-06-07,19651
2015-06-08,19888
2015-06-09,20043
2015-06-10,20059
2015-06-11,20071
2015-06-12,20009
2015-06-13,19944
2015-06-14,19808
2015-06-15,20011
2015-06-16,19999
2015-06-17,20095
2015-06-18,20090
2015-06-19,20068
2015-06-20,20088
2015-06-21,19608
2015-06-22,19248
2015-06-23,19013
2015-06-24,19350
2015-06-25,19627
2015-06-26,19675
2015-06-27,19390
2015-06-28,19390
2015-06-29,19521
2015-06-30,19468
2015-07-01,19600
2015-07-02,19557
2015-07-03,19553
2015-07-04,19457
2015-07-05,19498
2015-07-06,19696
2015-07-07,19553
2015-07-08,19509
2015-07-09,19460
2015-07-10,19456
2015-07-11,19659
2015-07-12,19760
2015-07-13,19700
2015-07-14,19625
2015-07-15,19718
2015-07-16,19787
2015-07-17,19839
2015-07-18,19821
2015-07-19,19601
2015-07-20,19636
2015-07-21,19874
2015-07-22,20181
2015-07-23,20293
2015-07-24,20149
2015-07-25,19999
2015-07-26,19965
2015-07-27,19972
2015-07-28,19981
2015-07-29,20040
2015-07-30,20165
2015-07-31,20218
2015-08-01,20165
2015-08-02,20264
2015-08-03,20323
2015-08-04,20527
2015-08-05,20590
2015-08-06,20641
2015-08-07,20786
2015-08-08,20652
2015-08-09,20181
2015-08-10,19534
2015-08-11,19635
2015-08-12,19877
2015-08-13,19873
2015-08-14,20112
2015-08-15,19887
2015-08-16,19655
2015-08-17,19830
2015-08-18,19862
2015-08-19,19980
2015-08-20,20007
2015-08-21,20098
2015-08-22,19784
2015-08-23,19699
2015-08-24,19779
2015-08-25,19767
2015-08-26,19883
2015-08-27,19795
2015-08-28,19844
2015-08-29,19813
2015-08-30,19681
2015-08-31,19718
2015-09-01,19830
2015-09-02,19913
2015-09-03,19978
2015-09-04,20061
2015-09-05,20106
2015-09-06,19877
2015-09-07,19891
2015-09-08,19795
2015-09-09,19906
2015-09-10,20168
2015-09-11,20238
2015-09-12,20099
2015-09-13,20057
2015-09-14,20162
2015-09-15,20093
2015-09-16,19958
2015-09-17,20071
2015-09-18,20145
2015-09-19,20059
2015-09-20,20180
2015-09-21,20244
2015-09-22,19988
2015-09-23,20054
2015-09-24,20152
2015-09-25,20051
2015-09-27,20143
2015-09-28,20253
2015-09-29,20155
2015-09-30,20418
2015-10-05,20299
2015-10-06,20332
2015-10-07,20282
2015-10-08,20538
2015-10-09,20574
2015-10-10,20567
2015-10-11,20583
2015-10-12,20652
2015-10-13,20250
2015-10-14,20404
2015-10-15,20492
2015-10-16,20626
2015-10-17,20511
2015-10-18,20671
2015-10-19,20659
2015-10-20,20768
2015-10-22,20848
2015-10-23,20392
2015-10-24,20229
2015-10-25,20364
2015-10-26,20398
2015-10-27,20559
2015-10-29,20618
2015-10-30,20920
2015-10-31,21092
2015-11-01,21092
2015-11-02,21210
2015-11-03,21072
2015-11-04,21196
2015-11-05,21297
2015-11-06,21228
2015-11-07,21203
2015-11-08,20938
2015-11-09,21112
2015-11-10,21117
2015-11-11,20788
2015-11-12,20528
2015-11-13,20391
2015-11-14,20156
2015-11-15,20042
2015-11-16,19774
2015-11-17,19479
2015-11-18,19736
2015-11-19,19944
2015-11-20,20108
2015-11-21,19786
2015-11-22,20031
2015-11-23,19924
2015-11-24,19969
2015-11-25,19962
2015-11-26,19984
2015-11-27,20045
2015-11-28,20118
2015-11-29,20275
2015-11-30,19965
2015-12-01,19907
2015-12-02,20011
2015-12-03,20406
2015-12-04,20544
2015-12-05,20665
2015-12-06,20452
2015-12-07,20615
2015-12-08,20687
2015-12-09,20627
2015-12-10,20516
2015-12-11,20528
2015-12-12,20637
2015-12-13,20689
2015-12-14,20563
2015-12-15,20684
2015-12-16,20720
2015-12-17,20901
2015-12-18,21026
2015-12-19,21134
2015-12-20,21244
2015-12-21,21006
2015-12-22,21065
2015-12-23,21299
2015-12-24,21280
2015-12-25,21339
2015-12-26,21252
2015-12-27,21266
2015-12-28,21139
2015-12-29,21053
2015-12-30,20577
2015-12-31,20893
2016-01-01,20322
2016-01-02,20014
2016-01-03,19925
2016-01-04,19941
2016-01-05,19807
2016-01-06,20034
2016-01-07,20321
2016-01-08,20594
2016-01-09,20443
2016-01-10,19879
2016-01-11,19973
2016-01-12,20034
2016-01-13,19728
2016-01-14,19686
2016-01-15,20008
2016-01-16,19950
2016-01-17,19652
2016-01-18,19853
2016-01-19,19941
2016-01-20,20241
2016-01-21,20326
2016-01-22,20541
2016-01-23,20493
2016-01-24,20519
2016-01-25,20425
2016-01-26,20147
2016-01-27,19897
2016-01-28,19645
2016-01-29,19553
2016-01-30,19769
2016-01-31,20094
2016-02-01,20197
2016-02-02,20353
2016-02-03,20296
2016-02-04,19771
2016-02-05,19304
2016-02-06,19566
2016-02-07,19870
2016-02-08,19966
2016-02-09,20068
2016-02-10,19934
2016-02-11,19823
2016-02-12,19647
2016-02-13,19532
2016-02-14,19416
2016-02-15,19579
2016-02-16,19685
2016-02-17,19708
2016-02-18,19503
2016-02-19,19616
2016-02-20,19980
2016-02-21,19934
2016-02-22,19618
2016-02-23,19617
2016-02-24,19400
2016-02-25,19403
2016-02-26,19021
2016-02-27,19381
2016-02-28,19849
2016-02-29,20038
2016-03-01,19939
2016-03-02,20062
2016-03-03,20400
2016-03-04,20614
2016-03-05,20668
2016-03-06,20197
2016-03-07,19911
2016-03-08,19734
2016-03-09,19538
2016-03-10,19612
2016-03-11,19655
2016-03-12,19795
2016-03-13,19684
2016-03-14,19526
2016-03-15,19777
2016-03-16,19912
2016-03-17,20048
2016-03-18,20114
2016-03-19,20144
2016-03-20,20290
2016-03-21,20325
2016-03-22,20227
2016-03-23,19933
2016-03-24,20000
2016-03-25,20004
2016-03-26,20341
2016-03-27,20451
2016-03-28,20419
2016-03-29,20202
2016-03-30,20211
2016-03-31,20310
2016-04-01,20113
2016-04-02,19987
2016-04-03,19997
2016-04-04,20211
2016-04-05,19947
2016-04-06,19794
2016-04-07,19698
2016-04-08,19803
2016-04-09,19843
2016-04-10,19947
2016-04-11,20192
2016-04-12,20337
2016-04-13,20475
2016-04-14,20164
2016-04-15,19997
2016-04-16,20327
2016-04-17,20304
2016-04-18,20505
2016-04-19,20549
2016-04-20,20618
2016-04-21,20617
2016-04-22,20628
2016-04-23,20541
2016-04-24,19914
2016-04-25,20038
2016-04-26,20288
2016-04-27,20376
2016-04-28,20284
2016-04-29,19785
2016-04-30,19584
2016-05-01,19368
2016-05-02,19739
2016-05-03,19524
2016-05-04,19705
2016-05-05,19336
2016-05-06,19428
2016-05-07,19468
2016-05-08,19613
2016-05-09,19853
2016-05-10,19880
2016-05-11,19981
2016-05-12,20009
2016-05-13,19804
2016-05-14,19679
2016-05-15,19982
2016-05-16,20070
2016-05-17,20217
2016-05-18,20422
2016-05-19,20455
2016-05-22,19493
2016-05-23,20007
2016-05-24,20185
2016-05-25,20176
2016-05-26,20255
2016-05-27,20370
2016-05-28,20406
2016-05-29,20335
2016-05-30,20389
2016-05-31,20564
2016-06-01,20706
2016-06-02,20607
2016-06-03,20714
2016-06-04,20795
2016-06-05,20720
2016-06-06,20743
2016-06-07,20476
2016-06-08,20458
2016-06-09,20493
2016-06-10,20473
2016-06-11,20325
2016-06-12,20387
2016-06-13,20412
2016-06-14,20534
2016-06-15,20685
2016-06-16,20404
2016-06-17,20337
2016-06-18,20137
2016-06-19,20182
2016-06-20,20022
2016-06-21,20152
2016-06-22,20153
2016-06-23,20310
2016-06-24,20247
2016-06-25,20390
2016-06-26,20386
2016-06-27,20197
2016-06-28,20500
2016-06-29,20418
2016-06-30,20267
2016-07-01,20272
2016-07-02,20378
2016-07-03,20196
2016-07-04,20142
2016-07-05,20050
2016-07-06,20151
2016-07-07,20194
2016-07-08,20280
2016-07-09,20336
2016-07-10,20250
2016-07-11,19908
2016-07-12,19894
2016-07-13,20190
2016-07-14,20220
2016-07-15,20394
2016-07-16,20384
2016-07-17,20318
2016-07-18,20441
2016-07-23,20209
2016-07-24,20314
2016-07-25,20438
2016-07-26,20658
2016-07-27,20563
2016-07-28,20390
2016-07-29,20371
2016-07-30,20411
2016-07-31,20520
2016-08-01,20651
2016-08-02,20635
2016-08-03,20595
2016-08-04,20685
2016-08-05,20649
2016-08-06,20727
2016-08-07,20621
2016-08-08,20513
2016-08-09,20553
2016-08-10,20573
2016-08-11,20794
2016-08-12,20761
2016-08-13,20855
2016-08-14,20786
2016-08-15,20682
2016-08-16,20567
2016-08-17,20472
2016-08-18,20215
2016-08-19,19953
2016-08-20,20052
2016-08-21,20345
2016-08-22,20639
2016-08-23,20579
2016-08-24,20493
2016-08-25,20582
2016-08-26,20685
2016-08-28,20600
2016-08-31,20511
2016-09-01,20494
2016-09-02,20806
2016-09-03,20964
2016-09-04,20935
2016-09-05,20825
2016-09-06,20719
2016-09-07,20644
2016-09-08,20747
2016-09-09,20912
2016-09-10,21114
2016-09-11,20963
2016-09-12,21033
2016-09-13,20976
2016-09-14,21088
2016-09-15,20993
2016-09-16,20994
2016-09-17,20685
2016-09-18,20716
2016-09-19,20755
2016-09-20,20616
2016-09-21,20515
2016-09-22,20536
2016-09-23,20280
2016-09-24,20047
2016-09-25,20400
2016-09-26,20463
2016-09-27,20552
2016-09-28,20302
2016-09-29,20189
2016-09-30,19931
2016-10-01,20086
2016-10-02,20207
2016-10-03,20202
2016-10-04,20387
2016-10-05,20528
2016-10-06,20665
2016-10-07,20561
2016-10-08,20740
2016-10-09,20448
2016-10-10,20478
2016-10-11,20614
2016-10-12,20737
2016-10-13,20863
2016-10-14,20880
2016-10-15,20884
2016-10-16,20838
2016-10-17,20938
2016-10-18,20854
2016-10-19,20854
2016-10-20,20826
2016-10-21,20762
2016-10-22,20786
2016-10-23,20842
2016-10-24,20889
2016-10-25,20795
2016-10-26,20740
2016-10-27,20804
2016-10-28,20871
2016-10-29,20814
2016-10-30,20680
2016-10-31,20736
2016-11-01,20678
2016-11-02,20800
2016-11-03,20806
2016-11-04,20713
2016-11-05,20470
2016-11-06,20805
2016-11-07,20708
2016-11-08,20540
2016-11-09,20493
2016-11-10,20006
2016-11-11,19829
2016-11-12,20167
2016-11-13,20114
2016-11-14,20370
2016-12-08,20191
2016-12-09,20393
2016-12-10,20324
2016-12-11,20160
2016-12-12,20110
2016-12-13,20271
2016-12-14,20333
2016-12-15,20164
2016-12-16,20188
2016-12-17,20218
2016-12-18,19960
2016-12-19,19924
2016-12-20,19879
2016-12-21,20246
2016-12-22,20302
2016-12-23,20417
2016-12-24,20196
2016-12-25,20505
2016-12-26,20478
2016-12-27,20574
2016-12-28,20478
2016-12-29,20641
2016-12-30,20657
2016-12-31,20709
2017-01-01,20639
2017-01-02,20490
2017-01-03,20395
2017-01-04,20525
2017-01-05,20818
2017-01-06,20840
2017-01-07,21025
2017-01-08,20926
2017-01-09,20898
2017-01-10,20620
2017-01-11,20739
2017-01-12,20853
2017-01-13,20661
2017-01-14,20765
2017-01-15,20996
2017-01-16,20741
2017-01-17,20801
2017-01-18,20675
2017-01-19,20347
2017-01-20,20781
2017-01-21,20833
2017-01-22,20827
2017-01-27,20334
2017-01-28,20253
2017-01-29,20154
2017-01-30,20114
2017-01-31,20214
2017-02-01,20242
2017-02-02,20481
2017-02-03,20495
2017-02-04,20121
2017-02-05,20066
2017-02-06,20083
2017-02-07,20336
2017-02-08,20246
2017-02-09,20134
2017-02-10,20403
2017-02-11,20309
2017-02-12,20029
2017-02-13,20154
2017-02-14,19853
2017-02-15,19645
2017-02-16,19888
2017-02-18,19959
2017-02-19,19888
2017-02-20,20237
2017-02-21,20186
2017-02-22,20290
2017-02-23,20297
2017-02-24,20494
2017-02-25,20245
2017-02-26,19854
2017-02-27,20371
2017-02-28,20279
2017-03-01,20424
2017-03-02,20477
2017-03-03,20543
2017-03-04,20564
2017-03-05,20674
2017-03-06,20700
2017-03-07,20892
2017-03-08,20849
2017-03-09,20775
2017-03-10,20969
2017-03-11,20894
2017-03-12,20591
2017-03-13,20411
2017-03-14,20564
2017-03-15,20538
2017-03-16,20637
2017-03-17,20795
2017-03-18,20795
2017-03-19,20650
2017-03-20,20623
2017-03-21,20363
2017-03-22,20277
2017-03-23,20609
2017-03-24,20584
2017-03-25,20618
2017-03-26,20471
2017-03-27,20422
2017-03-28,20324
2017-03-29,20373
2017-03-30,20710
2017-03-31,21065
2017-04-01,21146
2017-04-02,20785
2017-04-03,20872
2017-04-04,20982
2017-04-12,20626
2017-04-13,20717
2017-04-14,20774
2017-04-15,20790
2017-04-16,20906
2017-04-17,20834
2017-04-18,20675
2017-04-19,20108
2017-04-20,19541
2017-04-21,19221
2017-04-22,19207
