date_obj,Purple%20firelighter price
2015-03-26,294
2015-03-27,294
2015-03-28,280
2015-03-29,280
2015-03-30,268
2015-03-31,268
2015-04-01,268
2015-04-02,255
2015-04-03,255
2015-04-04,243
2015-04-05,243
2015-04-06,231
2015-04-07,231
2015-04-08,220
2015-04-09,220
2015-04-10,210
2015-04-11,210
2015-04-12,200
2015-04-13,200
2015-04-14,191
2015-04-15,191
2015-04-16,182
2015-04-17,182
2015-04-18,173
2015-04-19,173
2015-04-20,173
2015-04-21,165
2015-04-22,165
2015-04-23,165
2015-04-24,156
2015-04-25,156
2015-04-26,156
2015-04-27,148
2015-04-28,148
2015-04-29,148
2015-04-30,140
2015-05-01,140
2015-05-02,134
2015-05-03,134
2015-05-04,127
2015-05-05,127
2015-05-06,122
2015-05-07,122
2015-05-08,116
2015-05-09,116
2015-05-10,110
2015-05-11,110
2015-05-12,104
2015-05-13,104
2015-05-14,98
2015-05-15,98
2015-05-16,98
2015-05-17,93
2015-05-18,93
2015-05-19,93
2015-05-20,88
2015-05-21,88
2015-05-22,87
2015-05-23,87
2015-05-24,87
2015-05-25,83
2015-05-26,83
2015-05-27,83
2015-05-28,79
2015-05-29,79
2015-05-30,76
2015-05-31,76
2015-06-01,72
2015-06-02,72
2015-06-03,69
2015-06-04,69
2015-06-05,66
2015-06-06,66
2015-06-07,62
2015-06-08,62
2015-06-09,58
2015-06-10,58
2015-06-11,57
2015-06-12,57
2015-06-13,57
2015-06-14,57
2015-06-15,57
2015-06-16,59
2015-06-17,59
2015-06-18,62
2015-06-19,62
2015-06-20,66
2015-06-21,66
2015-06-22,68
2015-06-23,68
2015-06-24,71
2015-06-25,71
2015-06-26,73
2015-06-27,73
2015-06-28,71
2015-06-29,71
2015-06-30,70
2015-07-01,70
2015-07-02,70
2015-07-03,68
2015-07-04,68
2015-07-05,64
2015-07-06,64
2015-07-07,61
2015-07-08,61
2015-07-09,60
2015-07-10,60
2015-07-11,59
2015-07-12,59
2015-07-13,58
2015-07-14,58
2015-07-15,58
2015-07-16,58
2015-07-17,58
2015-07-18,58
2015-07-19,58
2015-07-20,56
2015-07-21,56
2015-07-22,53
2015-07-23,53
2015-07-24,51
2015-07-25,51
2015-07-26,51
2015-07-27,48
2015-07-28,48
2015-07-29,46
2015-07-30,46
2015-07-31,46
2015-08-01,44
2015-08-02,44
2015-08-03,43
2015-08-04,43
2015-08-05,42
2015-08-06,42
2015-08-07,41
2015-08-08,41
2015-08-09,42
2015-08-10,42
2015-08-11,44
2015-08-12,44
2015-08-13,44
2015-08-14,46
2015-08-15,46
2015-08-16,47
2015-08-17,47
2015-08-18,46
2015-08-19,46
2015-08-20,46
2015-08-21,46
2015-08-22,46
2015-08-23,46
2015-08-24,44
2015-08-25,44
2015-08-26,44
2015-08-27,43
2015-08-28,43
2015-08-29,43
2015-08-30,43
2015-08-31,42
2015-09-01,42
2015-09-02,42
2015-09-03,44
2015-09-04,44
2015-09-05,43
2015-09-06,43
2015-09-07,45
2015-09-08,45
2015-09-09,47
2015-09-10,47
2015-09-11,49
2015-09-12,49
2015-09-13,50
2015-09-14,50
2015-09-15,51
2015-09-16,51
2015-09-17,52
2015-09-18,52
2015-09-19,52
2015-09-20,53
2015-09-21,53
2015-09-22,56
2015-09-23,56
2015-09-24,56
2015-09-25,58
2015-09-27,59
2015-09-28,59
2015-09-29,61
2015-09-30,61
2015-10-05,66
2015-10-06,66
2015-10-07,69
2015-10-08,69
2015-10-09,70
2015-10-10,70
2015-10-11,71
2015-10-12,71
2015-10-13,71
2015-10-14,72
2015-10-15,72
2015-10-16,74
2015-10-17,74
2015-10-18,74
