date_obj,Book%20of%20balance%20page%20set price
2015-03-26,87677
2015-03-27,89392
2015-03-28,89392
2015-03-29,89392
2015-03-30,89392
2015-03-31,92729
2015-04-01,92729
2015-04-02,92729
2015-04-03,92729
2015-04-04,95752
2015-04-05,95752
2015-04-06,95752
2015-04-07,95752
2015-04-08,100258
2015-04-09,100258
2015-04-10,100258
2015-04-11,100258
2015-04-12,104957
2015-04-13,104957
2015-04-14,104957
2015-04-15,104957
2015-04-16,104957
2015-04-17,109531
2015-04-18,109531
2015-04-19,109531
2015-04-20,109531
2015-04-21,109531
2015-04-22,114522
2015-04-23,114522
2015-04-24,114522
2015-04-25,114522
2015-04-26,114522
2015-04-27,117709
2015-04-28,117709
2015-04-29,117709
2015-04-30,117709
2015-05-01,117709
2015-05-02,122936
2015-05-03,122936
2015-05-04,122936
2015-05-05,122936
2015-05-06,122936
2015-05-07,122936
2015-05-08,126403
2015-05-09,126403
2015-05-10,126403
2015-05-11,126403
2015-05-12,126403
2015-05-13,126403
2015-05-14,122346
2015-05-15,122346
2015-05-16,122346
2015-05-17,122346
2015-05-18,122346
2015-05-19,118543
2015-05-20,118543
2015-05-21,118543
2015-05-22,118543
2015-05-23,118543
2015-05-24,118543
2015-05-25,113817
2015-05-26,113817
2015-05-27,113817
2015-05-28,108505
2015-05-29,108505
2015-05-30,108505
2015-05-31,107769
2015-06-01,107769
2015-06-02,107769
2015-06-03,107769
2015-06-04,104751
2015-06-05,104751
2015-06-06,104751
2015-06-07,105684
2015-06-08,105684
2015-06-09,105684
2015-06-10,105343
2015-06-11,105343
2015-06-12,105343
2015-06-13,105343
2015-06-14,109075
2015-06-15,109075
2015-06-16,109075
2015-06-17,109075
2015-06-18,113824
2015-06-19,113824
2015-06-20,113824
2015-06-21,118667
2015-06-22,118667
2015-06-23,118667
2015-06-24,123936
2015-06-25,123936
2015-06-26,123936
2015-06-27,123936
2015-06-28,129656
2015-06-29,129656
2015-06-30,129656
2015-07-01,135800
2015-07-02,135800
2015-07-03,135800
2015-07-04,142294
2015-07-05,142294
2015-07-06,142294
2015-07-07,149005
2015-07-08,149005
2015-07-09,149005
