date_obj,Twisted%20horns price
2020-01-13,1000000
2020-01-14,1000000
2020-01-15,1050000
2020-01-16,1102500
2020-01-17,1157625
2020-01-18,1215507
2020-01-19,1276283
2020-01-20,1340098
2020-01-21,1407103
2020-01-22,1477459
2020-01-23,1551332
2020-01-24,1628899
2020-01-25,1710344
2020-01-26,1795862
2020-01-27,1885656
2020-01-28,1979939
2020-01-29,2078936
2020-01-30,2182883
2020-01-31,2292028
2020-02-01,2406630
2020-02-02,2526962
2020-02-03,2653311
2020-02-04,2785977
2020-02-05,2925276
2020-02-06,3071540
2020-02-07,3225117
2020-02-08,3386373
2020-02-09,3555692
2020-02-10,3733477
2020-02-11,3920151
2020-02-12,4116159
2020-02-13,4321967
2020-02-14,4538066
2020-02-15,4764970
2020-02-16,5003219
2020-02-17,5253380
2020-02-18,5516049
2020-02-19,5791852
2020-02-20,6081445
2020-02-21,6384125
2020-02-22,6703332
2020-02-23,7038499
2020-02-24,7390424
2020-02-25,7759946
2020-02-26,8147944
2020-02-27,8555342
2020-02-28,8983110
2020-02-29,9396178
2020-03-01,9865987
2020-03-02,10359287
2020-03-03,10877252
2020-03-04,11421115
2020-03-05,11992171
2020-03-06,12588920
2020-03-07,13209130
2020-03-08,13824281
2020-03-09,14263948
2020-03-10,14032698
2020-03-11,13593979
2020-03-12,12944116
2020-03-13,12316598
2020-03-14,11931471
2020-03-15,11806427
2020-03-16,11706501
2020-03-17,11603478
2020-03-18,11814705
2020-03-19,12096939
2020-03-20,12179885
2020-03-21,12204557
2020-03-22,12580211
2020-03-23,12642571
2020-03-24,12538346
2020-03-25,12407998
2020-03-26,12083827
2020-03-27,12098496
2020-03-28,12181209
2020-03-29,12037738
2020-03-30,11928913
2020-03-31,11422090
2020-04-01,11008774
2020-04-02,10670875
2020-04-03,10670875
2020-04-04,10267052
2020-04-05,10436617
2020-04-06,10502508
2020-04-07,10621355
2020-04-08,10867490
2020-04-09,11098182
2020-04-10,11301983
2020-04-11,11773682
2020-04-12,11964771
2020-04-13,11931317
2020-04-14,11691596
2020-04-15,11690160
2020-04-16,11994357
2020-04-17,12115458
2020-04-18,12469940
2020-04-19,12859392
2020-04-20,13471045
2020-04-21,13241756
2020-04-22,12734366
2020-04-23,12211591
2020-04-24,11919126
2020-04-25,11565717
2020-04-26,11558818
2020-04-27,11837812
2020-04-28,11915410
2020-04-29,12035234
2020-04-30,12379433
2020-05-01,12657807
2020-05-02,13126647
2020-05-03,13027068
2020-05-04,12714205
2020-05-05,12343900
2020-05-06,12177532
2020-05-07,12612040
2020-05-08,12605717
2020-05-09,12684512
2020-05-10,12692465
2020-05-11,12885161
2020-05-12,12778598
2020-05-13,12750568
