date_obj,Dragon%20battleaxe price
2015-03-26,137804
2015-03-27,137804
2015-03-28,137029
2015-03-29,137029
2015-03-30,137199
2015-03-31,137199
2015-04-01,137199
2015-04-02,137543
2015-04-03,137543
2015-04-04,137757
2015-04-05,137757
2015-04-06,136474
2015-04-07,136474
2015-04-08,136474
2015-04-09,138182
2015-04-10,138182
2015-04-11,138846
2015-04-12,138846
2015-04-13,143347
2015-04-14,143347
2015-04-15,145573
2015-04-16,145573
2015-04-17,143715
2015-04-18,143715
2015-04-19,139236
2015-04-20,139236
2015-04-21,139236
2015-04-22,135518
2015-04-23,135518
2015-04-24,135662
2015-04-25,135662
2015-04-26,135662
2015-04-27,137770
2015-04-28,137770
2015-04-29,137770
2015-04-30,139906
2015-05-01,139906
2015-05-02,137746
2015-05-03,137746
2015-05-04,137746
2015-05-05,137266
2015-05-06,137266
2015-05-07,135071
2015-05-08,135071
2015-05-09,135071
2015-05-10,136546
2015-05-11,136546
2015-05-12,136546
2015-05-13,137615
2015-05-14,137615
2015-05-15,137615
2015-05-16,137995
2015-05-17,137995
2015-05-18,137189
2015-05-19,137189
2015-05-20,137189
2015-05-21,137189
2015-05-22,137978
2015-05-23,137978
2015-05-24,137978
2015-05-25,137047
2015-05-26,137047
2015-05-27,137047
2015-05-28,139714
2015-05-29,139714
2015-05-30,142410
2015-05-31,142410
2015-06-01,137910
2015-06-02,137910
2015-06-03,137910
2015-06-04,135786
2015-06-05,135786
2015-06-06,135497
2015-06-07,135497
2015-06-08,135497
2015-06-09,136642
2015-06-10,136642
2015-06-11,137000
2015-06-12,137000
2015-06-13,136980
2015-06-14,136980
2015-06-15,137339
2015-06-16,137339
2015-06-17,137555
2015-06-18,137555
2015-06-19,137305
2015-06-20,137305
2015-06-21,137337
2015-06-22,137337
2015-06-23,136804
2015-06-24,136804
2015-06-25,135793
2015-06-26,135793
2015-06-27,138618
2015-06-28,138618
2015-06-29,138004
2015-06-30,138004
2015-07-01,138318
2015-07-02,138318
2015-07-03,138318
2015-07-04,139959
2015-07-05,139959
2015-07-06,139959
2015-07-07,138688
2015-07-08,138688
2015-07-09,138688
2015-07-10,136511
2015-07-11,136511
2015-07-12,136511
2015-07-13,135325
2015-07-14,135325
2015-07-15,136322
2015-07-16,136322
2015-07-17,135084
2015-07-18,135084
2015-07-19,135084
2015-07-20,137104
2015-07-21,137104
2015-07-22,136208
2015-07-23,136208
2015-07-24,138019
2015-07-25,138019
2015-07-26,138019
2015-07-27,136275
2015-07-28,136275
2015-07-29,136251
2015-07-30,136251
2015-07-31,136251
2015-08-01,138483
2015-08-02,138483
2015-08-03,144826
2015-08-04,144826
2015-08-05,148473
2015-08-06,148473
2015-08-07,141527
2015-08-08,141527
2015-08-09,136120
2015-08-10,136120
2015-08-11,136108
2015-08-12,136108
2015-08-13,136108
2015-08-14,135888
2015-08-15,135888
2015-08-16,135888
2015-08-17,138479
2015-08-18,138479
2015-08-19,138479
2015-08-20,138233
2015-08-21,138233
2015-08-22,138233
2015-08-23,137977
2015-08-24,137977
2015-08-25,137977
2015-08-26,137977
2015-08-27,135305
2015-08-28,135305
2015-08-29,135305
2015-08-30,135305
2015-08-31,136556
2015-09-01,136556
2015-09-02,136556
2015-09-03,136556
2015-09-04,135100
2015-09-05,135100
2015-09-06,135100
2015-09-07,135100
2015-09-08,136860
2015-09-09,136860
2015-09-10,136860
2015-09-11,135429
2015-09-12,135429
2015-09-13,135429
2015-09-14,134582
2015-09-15,134582
2015-09-16,134582
2015-09-17,136347
2015-09-18,136347
2015-09-19,136347
2015-09-20,136347
2015-09-21,136802
2015-09-22,136802
2015-09-23,136802
2015-09-24,136802
2015-09-25,136345
2015-09-27,136345
2015-09-28,137903
2015-09-29,137903
2015-09-30,137903
2015-10-05,139858
2015-10-06,136592
2015-10-07,136592
2015-10-08,136592
2015-10-09,138398
2015-10-10,138398
2015-10-11,138398
2015-10-12,138080
2015-10-13,138080
2015-10-14,138080
2015-10-15,138080
2015-10-16,139713
2015-10-17,139713
2015-10-18,139713
2015-10-19,139713
2015-10-20,136719
2015-10-22,136719
2015-10-23,136719
2015-10-24,136504
2015-10-25,136504
2015-10-26,136504
2015-10-27,135808
2015-10-29,135808
2015-10-30,135808
2015-10-31,139064
2015-11-01,139064
2015-11-02,139064
2015-11-03,139064
2015-11-04,137224
2015-11-05,137224
2015-11-06,137224
