date_obj,Stripy%20pirate%20shirt%20(blue) price
2015-02-25,35000
2015-02-26,35000
2015-02-27,35000
2015-02-28,35000
2015-03-01,35000
2015-03-02,35000
2015-03-03,35000
2015-03-04,35000
2015-03-05,35000
2015-03-06,35000
2015-03-07,35000
2015-03-08,35000
2015-03-09,35000
2015-03-10,35000
2015-03-11,35000
2015-03-12,35000
2015-03-13,33283
2015-03-14,33283
2015-03-15,33283
2015-03-16,33283
2015-03-17,33283
2015-03-18,33283
2015-03-19,33283
2015-03-20,33283
2015-03-21,33283
2015-03-22,33283
2015-03-23,33283
2015-03-24,33283
2015-03-25,33283
2015-03-26,33283
2015-03-27,33283
2015-03-28,33283
2015-03-29,33283
2015-03-30,33283
2015-03-31,31727
2015-04-01,31727
2015-04-02,31727
2015-04-03,31727
2015-04-04,31727
2015-04-05,31727
2015-04-06,31727
2015-04-07,31727
2015-04-08,31727
2015-04-09,31727
2015-04-10,31727
2015-04-11,31727
2015-04-12,31727
2015-04-13,31727
2015-04-14,31727
2015-04-15,31727
2015-04-16,30175
2015-04-17,30175
2015-04-18,30175
2015-04-19,30175
2015-04-20,30175
2015-04-21,30175
2015-04-22,30175
2015-04-23,30175
2015-04-24,30175
2015-04-25,30175
2015-04-26,30175
2015-04-27,30175
2015-04-28,30175
2015-04-29,30175
2015-04-30,30175
2015-05-01,30175
2015-05-02,28673
2015-05-03,28673
2015-05-04,28673
2015-05-05,28673
2015-05-06,28673
2015-05-07,28673
2015-05-08,28673
2015-05-09,28673
2015-05-10,28673
2015-05-11,28673
2015-05-12,28673
2015-05-13,28673
2015-05-14,28673
2015-05-15,28673
2015-05-16,28673
2015-05-17,28673
2015-05-18,28673
2015-05-19,28673
2015-05-20,28673
2015-05-21,27268
2015-05-22,27268
2015-05-23,27268
2015-05-24,27268
2015-05-25,27268
2015-05-26,27268
2015-05-27,27268
2015-05-28,27268
2015-05-29,27268
2015-05-30,27268
2015-05-31,27268
2015-06-01,26044
2015-06-02,26044
2015-06-03,26044
2015-06-04,26044
2015-06-05,26044
2015-06-06,26044
2015-06-07,26044
2015-06-08,26044
2015-06-09,26044
2015-06-10,26044
2015-06-11,26044
2015-06-12,26044
2015-06-13,24763
2015-06-14,24763
2015-06-15,24763
2015-06-16,24763
2015-06-17,24763
2015-06-18,24763
2015-06-19,24763
2015-06-20,24763
2015-06-21,24763
2015-06-22,24763
2015-06-23,24763
2015-06-24,23528
2015-06-25,23528
2015-06-26,23528
2015-06-27,23528
2015-06-28,23528
2015-06-29,23528
2015-06-30,23528
2015-07-01,23528
2015-07-02,23528
2015-07-03,23528
2015-07-04,22365
2015-07-05,22365
2015-07-06,22365
2015-07-07,22365
2015-07-08,22365
2015-07-09,22365
2015-07-10,22365
2015-07-11,22365
2015-07-12,22365
2015-07-13,22365
2015-07-14,21262
2015-07-15,21262
2015-07-16,21262
2015-07-17,21262
2015-07-18,21262
2015-07-19,21262
2015-07-20,21262
2015-07-21,21262
2015-07-22,20225
2015-07-23,20225
2015-07-24,20225
2015-07-25,20225
2015-07-26,20225
2015-07-27,20225
2015-07-28,20225
2015-07-29,20225
2015-07-30,20225
2015-07-31,19247
2015-08-01,19247
2015-08-02,19247
2015-08-03,19247
2015-08-04,19247
2015-08-05,19247
2015-08-06,19247
2015-08-07,18306
2015-08-08,18306
2015-08-09,18306
2015-08-10,18306
2015-08-11,18306
2015-08-12,18306
2015-08-13,17423
2015-08-14,17423
2015-08-15,17423
2015-08-16,17423
2015-08-17,17423
2015-08-18,17423
2015-08-19,17423
2015-08-20,17423
2015-08-21,16608
2015-08-22,16608
2015-08-23,16608
2015-08-24,16608
2015-08-25,16608
2015-08-26,16608
2015-08-27,16608
2015-08-28,16608
2015-08-29,16608
2015-08-30,15797
2015-08-31,15797
2015-09-01,15797
2015-09-02,15797
2015-09-03,15797
2015-09-04,15797
2015-09-05,15797
2015-09-06,15797
2015-09-07,15797
2015-09-08,15030
2015-09-09,15030
2015-09-10,15030
2015-09-11,15030
2015-09-12,15030
2015-09-13,15030
2015-09-14,15030
2015-09-15,15030
2015-09-16,14311
2015-09-17,14311
2015-09-18,14311
2015-09-19,14311
2015-09-20,14311
2015-09-21,14311
2015-09-22,14311
2015-09-23,14311
2015-09-24,14311
2015-09-25,14311
2015-09-26,14311
2015-09-27,13602
2015-09-28,13602
2015-09-29,13602
2015-09-30,13602
2015-10-01,13602
2015-10-02,13602
2015-10-03,13602
2015-10-04,13602
2015-10-05,13602
2015-10-06,13602
2015-10-07,12942
2015-10-08,12942
2015-10-09,12942
2015-10-10,12942
2015-10-11,12942
2015-10-12,12942
2015-10-13,12942
2015-10-14,12942
2015-10-15,12942
2015-10-16,12942
2015-10-17,12942
2015-10-18,12298
2015-10-19,12298
2015-10-20,12298
2015-10-21,12298
2015-10-22,12298
2015-10-23,12298
2015-10-24,12298
2015-10-25,12298
2015-10-26,12298
2015-10-27,12298
2015-10-28,11751
2015-10-29,11751
2015-10-30,11751
2015-10-31,11751
2015-11-01,11751
2015-11-02,11751
2015-11-03,11751
2015-11-04,11751
2015-11-05,11751
2015-11-06,11751
2015-11-07,11751
2015-11-08,11751
2015-11-09,11751
2015-11-10,11751
2015-11-11,11751
2015-11-12,11647
2015-11-13,11647
2015-11-14,11647
2015-11-15,11647
2015-11-16,11647
2015-11-17,11647
2015-11-18,11647
2015-11-19,11647
2015-11-20,11647
2015-11-21,11647
2015-11-22,11647
2015-11-23,11647
2015-11-24,11647
2015-11-25,11647
2015-11-26,11071
2015-11-27,11071
2015-11-28,11071
2015-11-29,11071
2015-11-30,11071
