date_obj,Ruby%20ring price
2015-03-26,1022
2015-03-27,1022
2015-03-28,1002
2015-03-29,1002
2015-03-30,1002
2015-03-31,1002
2015-04-01,1025
2015-04-02,1025
2015-04-03,1023
2015-04-04,1023
2015-04-05,1019
2015-04-06,1019
2015-04-07,1007
2015-04-08,1007
2015-04-09,1007
2015-04-10,1017
2015-04-11,1017
2015-04-12,1028
2015-04-13,1028
2015-04-14,1049
2015-04-15,1049
2015-04-16,1069
2015-04-17,1069
2015-04-18,1030
2015-04-19,1030
2015-04-20,1032
2015-04-21,1032
2015-04-22,1027
2015-04-23,1027
2015-04-24,1026
2015-04-25,1026
2015-04-26,1008
2015-04-27,1008
2015-04-28,1033
2015-04-29,1033
2015-04-30,1038
2015-05-01,1038
2015-05-02,1028
2015-05-03,1028
2015-05-04,1029
2015-05-05,1029
2015-05-06,1033
2015-05-07,1033
2015-05-08,1042
2015-05-09,1042
2015-05-10,1017
2015-05-11,1017
2015-05-12,1018
2015-05-13,1018
2015-05-14,1027
2015-05-15,1027
2015-05-16,1027
2015-05-17,1031
2015-05-18,1031
2015-05-19,1026
2015-05-20,1026
2015-05-21,1026
2015-05-22,1031
2015-05-23,1031
2015-05-24,1025
2015-05-25,1025
2015-05-26,1013
2015-05-27,1013
2015-05-28,1022
2015-05-29,1022
2015-05-30,1027
2015-05-31,1027
2015-06-01,1046
2015-06-02,1046
2015-06-03,1059
2015-06-04,1059
2015-06-05,1107
2015-06-06,1107
2015-06-07,1086
2015-06-08,1086
2015-06-09,1128
2015-06-10,1128
2015-06-11,1140
2015-06-12,1140
2015-06-13,1114
2015-06-14,1114
2015-06-15,1083
2015-06-16,1083
2015-06-17,1075
2015-06-18,1075
2015-06-19,1083
2015-06-20,1083
2015-06-21,1092
2015-06-22,1092
2015-06-23,1088
2015-06-24,1088
2015-06-25,1083
2015-06-26,1097
2015-06-27,1097
2015-06-28,1087
2015-06-29,1087
2015-06-30,1070
2015-07-01,1070
2015-07-02,1057
2015-07-03,1037
2015-07-04,1037
2015-07-05,1051
2015-07-06,1051
2015-07-07,1029
2015-07-08,1029
2015-07-09,1020
2015-07-10,1020
2015-07-11,1036
2015-07-12,1036
2015-07-13,1032
2015-07-14,1032
2015-07-15,1039
2015-07-16,1039
2015-07-17,1040
2015-07-18,1040
2015-07-19,1051
2015-07-20,1051
2015-07-21,1051
2015-07-22,1045
2015-07-23,1045
2015-07-24,1074
2015-07-25,1074
2015-07-26,1116
2015-07-27,1116
2015-07-28,1166
2015-07-29,1134
2015-07-30,1134
2015-07-31,1108
2015-08-01,1108
2015-08-02,1095
2015-08-03,1095
2015-08-04,1077
2015-08-05,1087
2015-08-06,1087
2015-08-07,1076
2015-08-08,1076
2015-08-09,1080
2015-08-10,1080
2015-08-11,1090
2015-08-12,1090
2015-08-13,1090
2015-08-14,1062
2015-08-15,1062
2015-08-16,1062
2015-08-17,1058
2015-08-18,1058
2015-08-19,1058
2015-08-20,1034
2015-08-21,1034
2015-08-22,1049
2015-08-23,1049
2015-08-24,1049
2015-08-25,1061
2015-08-26,1061
2015-08-27,1073
2015-08-28,1073
2015-08-29,1073
2015-08-30,1061
2015-08-31,1061
2015-09-01,1061
2015-09-02,1061
2015-09-03,1061
2015-09-04,1047
2015-09-05,1047
2015-09-06,1047
2015-09-07,1069
2015-09-08,1069
2015-09-09,1069
2015-09-10,1055
2015-09-11,1055
2015-09-12,1055
2015-09-13,1066
2015-09-14,1066
2015-09-15,1066
2015-09-16,1070
2015-09-17,1070
2015-09-18,1070
2015-09-19,1070
2015-09-20,1070
2015-09-21,1070
2015-09-22,1080
2015-09-23,1080
2015-09-24,1080
2015-09-25,1094
2015-09-27,1094
2015-09-28,1095
2015-09-29,1095
2015-09-30,1095
2015-10-05,1113
2015-10-06,1113
2015-10-07,1112
2015-10-08,1112
2015-10-09,1112
2015-10-10,1112
2015-10-11,1112
2015-10-12,1130
2015-10-13,1130
2015-10-14,1130
2015-10-15,1111
2015-10-16,1111
2015-10-17,1111
2015-10-18,1087
2015-10-19,1087
2015-10-20,1103
2015-10-22,1103
2015-10-23,1101
2015-10-24,1101
2015-10-25,1104
2015-10-26,1104
2015-10-27,1104
2015-10-29,1127
