date_obj,Bruise%20blue%20snelm%20(pointed) price
2015-03-26,24888
2015-03-27,23668
2015-03-28,23668
2015-03-29,23668
2015-03-30,22510
2015-03-31,22510
2015-04-01,22510
2015-04-02,22510
2015-04-03,21384
2015-04-04,21384
2015-04-05,21384
2015-04-06,20314
2015-04-07,20314
2015-04-08,20314
2015-04-09,20314
2015-04-10,19298
2015-04-11,19298
2015-04-12,19298
2015-04-13,18333
2015-04-14,18333
2015-04-15,18333
2015-04-16,18333
2015-04-17,17416
2015-04-18,17416
2015-04-19,17416
2015-04-20,17416
2015-04-21,16545
2015-04-22,16545
2015-04-23,16545
2015-04-24,16545
2015-04-25,15728
2015-04-26,15728
2015-04-27,15728
2015-04-28,14981
2015-04-29,14981
2015-04-30,14981
2015-05-01,14359
2015-05-02,14359
2015-05-03,14359
2015-05-04,13786
2015-05-05,13786
2015-05-06,13102
2015-05-07,13102
2015-05-08,13102
2015-05-09,12446
2015-05-10,12446
2015-05-11,12446
2015-05-12,11823
2015-05-13,11823
2015-05-14,11823
2015-05-15,11231
2015-05-16,11231
2015-05-17,11231
2015-05-18,10669
2015-05-19,10669
2015-05-20,10669
2015-05-21,10669
2015-05-22,10135
2015-05-23,10135
2015-05-24,10135
2015-05-25,9628
2015-05-26,9628
2015-05-27,9628
2015-05-28,9146
2015-05-29,9146
2015-05-30,8729
2015-05-31,8729
2015-06-01,8729
2015-06-02,8729
2015-06-03,8292
2015-06-04,8292
2015-06-05,8292
2015-06-06,7929
2015-06-07,7929
2015-06-08,7929
2015-06-09,7929
2015-06-10,7532
2015-06-11,7532
2015-06-12,7532
2015-06-13,7532
2015-06-14,7238
2015-06-15,7238
2015-06-16,7238
2015-06-17,7238
2015-06-18,6916
2015-06-19,6916
2015-06-20,6916
2015-06-21,6916
2015-06-22,6611
2015-06-23,6611
2015-06-24,6611
2015-06-25,6611
2015-06-26,6309
2015-06-27,6309
2015-06-28,6309
2015-06-29,6309
2015-06-30,6042
2015-07-01,6042
2015-07-02,6042
2015-07-03,6042
2015-07-04,5929
2015-07-05,5929
2015-07-06,5929
2015-07-07,5929
2015-07-08,5770
2015-07-09,5770
2015-07-10,5770
2015-07-11,5770
2015-07-12,5770
2015-07-13,5904
2015-07-14,5904
2015-07-15,5904
2015-07-16,5904
2015-07-17,6145
2015-07-18,6145
2015-07-19,6145
2015-07-20,6145
2015-07-21,6251
2015-07-22,6251
2015-07-23,6251
2015-07-24,6472
2015-07-25,6472
2015-07-26,6472
2015-07-27,6472
2015-07-28,6204
2015-07-29,6204
2015-07-30,6204
2015-07-31,5986
2015-08-01,5986
2015-08-02,5986
2015-08-03,5809
2015-08-04,5809
2015-08-05,5809
2015-08-06,5663
2015-08-07,5663
2015-08-08,5663
2015-08-09,5497
2015-08-10,5497
2015-08-11,5497
2015-08-12,5424
2015-08-13,5424
2015-08-14,5424
2015-08-15,5343
2015-08-16,5343
2015-08-17,5343
2015-08-18,5335
2015-08-19,5335
2015-08-20,5335
2015-08-21,5283
2015-08-22,5283
2015-08-23,5283
2015-08-24,5298
2015-08-25,5298
2015-08-26,5298
2015-08-27,5287
2015-08-28,5287
2015-08-29,5287
2015-08-30,5506
2015-08-31,5506
2015-09-01,5506
2015-09-02,5506
2015-09-03,5674
2015-09-04,5674
2015-09-05,5674
2015-09-06,5674
2015-09-07,5580
2015-09-08,5580
2015-09-09,5580
2015-09-10,5580
2015-09-11,5540
2015-09-12,5540
2015-09-13,5540
2015-09-14,5540
2015-09-15,5263
2015-09-16,5263
2015-09-17,5263
2015-09-18,5263
2015-09-19,5263
2015-09-20,4999
2015-09-21,4999
2015-09-22,4999
2015-09-23,4999
2015-09-24,4966
2015-09-25,4966
2015-09-27,4966
2015-09-28,4954
2015-09-29,4954
2015-09-30,4954
2015-10-05,4853
2015-10-06,4611
2015-10-07,4611
2015-10-08,4611
2015-10-09,4611
2015-10-10,4611
2015-10-11,4474
2015-10-12,4474
2015-10-13,4474
2015-10-14,4474
2015-10-15,4474
2015-10-16,4250
2015-10-17,4250
2015-10-18,4250
2015-10-19,4250
2015-10-20,4065
2015-10-22,4065
2015-10-23,4065
2015-10-24,4065
2015-10-25,3955
2015-10-26,3955
2015-10-27,3955
2015-10-29,3854
2015-10-30,3854
2015-10-31,3854
2015-11-01,3854
2015-11-02,3854
2015-11-03,3815
2015-11-04,3815
2015-11-05,3815
2015-11-06,3815
2015-11-07,3815
2015-11-08,3809
2015-11-09,3809
2015-11-10,3809
2015-11-11,3809
2015-11-12,3809
2015-11-13,3809
2015-11-14,3735
2015-11-15,3735
2015-11-16,3735
2015-11-17,3735
2015-11-18,3735
2015-11-19,3717
2015-11-20,3717
2015-11-21,3717
2015-11-22,3717
2015-11-23,3717
2015-11-24,3688
2015-11-25,3688
2015-11-26,3688
2015-11-27,3688
2015-11-28,3628
2015-11-29,3628
2015-11-30,3628
2015-12-01,3628
2015-12-02,3591
2015-12-03,3591
2015-12-04,3591
2015-12-05,3591
2015-12-06,3557
2015-12-07,3557
2015-12-08,3557
2015-12-09,3557
2015-12-10,3484
2015-12-11,3484
2015-12-12,3484
2015-12-13,3484
2015-12-14,3377
2015-12-15,3377
2015-12-16,3377
2015-12-17,3377
2015-12-18,3337
2015-12-19,3337
2015-12-20,3337
2015-12-21,3337
2015-12-22,3286
2015-12-23,3286
2015-12-24,3286
2015-12-25,3286
2015-12-26,3246
2015-12-27,3246
2015-12-28,3246
2015-12-29,3211
2015-12-30,3211
2015-12-31,3211
2016-01-01,3211
2016-01-02,3371
2016-01-03,3371
2016-01-04,3371
2016-01-05,3515
2016-01-06,3515
2016-01-07,3515
2016-01-08,3515
2016-01-09,3557
2016-01-10,3557
2016-01-11,3557
2016-01-12,3475
2016-01-13,3475
2016-01-14,3475
2016-01-15,3405
2016-01-16,3405
2016-01-17,3405
2016-01-18,3422
2016-01-19,3422
2016-01-20,3422
2016-01-21,3422
2016-01-22,3385
2016-01-23,3385
2016-01-24,3385
2016-01-25,3345
2016-01-26,3345
2016-01-27,3345
2016-01-28,3345
2016-01-29,3419
2016-01-30,3419
2016-01-31,3419
2016-02-01,3567
2016-02-02,3567
2016-02-03,3567
2016-02-04,3567
2016-02-05,3578
2016-02-06,3578
2016-02-07,3578
2016-02-08,3508
2016-02-09,3508
2016-02-10,3508
2016-02-11,3467
2016-02-12,3467
2016-02-13,3467
2016-02-14,3428
2016-02-15,3428
2016-02-16,3428
2016-02-17,3476
2016-02-18,3476
2016-02-19,3476
2016-02-20,3646
2016-02-21,3646
2016-02-22,3646
2016-02-23,3818
2016-02-24,3818
2016-02-25,3818
2016-02-26,4009
2016-02-27,4009
2016-02-28,4101
2016-02-29,4101
2016-03-01,4101
2016-03-02,4076
2016-03-03,4076
2016-03-04,4076
2016-03-05,4063
2016-03-06,4063
2016-03-07,4063
2016-03-08,4102
2016-03-09,4102
2016-03-10,4102
2016-03-11,4252
2016-03-12,4252
2016-03-13,4252
2016-03-14,4450
2016-03-15,4450
2016-03-16,4450
2016-03-17,4638
2016-03-18,4638
2016-03-19,4638
2016-03-20,4682
2016-03-21,4682
2016-03-22,4682
2016-03-23,4726
2016-03-24,4726
2016-03-25,4726
2016-03-26,4838
2016-03-27,4838
2016-03-28,4838
2016-03-29,4974
2016-03-30,4974
2016-03-31,4974
2016-04-01,4974
2016-04-02,5178
2016-04-03,5178
2016-04-04,5178
2016-04-05,5306
2016-04-06,5306
2016-04-07,5306
2016-04-08,5378
2016-04-09,5378
