date_obj,Swamp%20weed price
2015-03-26,3100
2015-03-27,3100
2015-03-28,2956
2015-03-29,2956
2015-03-30,2956
2015-03-31,2956
2015-04-01,2956
2015-04-02,2956
2015-04-03,2956
2015-04-04,2956
2015-04-05,2956
2015-04-06,2956
2015-04-07,2956
2015-04-08,2956
2015-04-09,2956
2015-04-10,2956
2015-04-11,2956
2015-04-12,2956
2015-04-13,2956
2015-04-14,2956
2015-04-15,2956
2015-04-16,2956
2015-04-17,2956
2015-04-18,2956
2015-04-19,2812
2015-04-20,2812
2015-04-21,2812
2015-04-22,2812
2015-04-23,2812
2015-04-24,2812
2015-04-25,2812
2015-04-26,2812
2015-04-27,2812
2015-04-28,2812
2015-04-29,2812
2015-04-30,2812
2015-05-01,2812
2015-05-02,2812
2015-05-03,2812
2015-05-04,2812
2015-05-05,2812
2015-05-06,2812
2015-05-07,2812
2015-05-08,2812
2015-05-09,2812
2015-05-10,2675
2015-05-11,2675
2015-05-12,2675
2015-05-13,2675
2015-05-14,2675
2015-05-15,2675
2015-05-16,2675
2015-05-17,2675
2015-05-18,2675
2015-05-19,2675
2015-05-20,2675
2015-05-21,2675
2015-05-22,2675
2015-05-23,2675
2015-05-24,2675
2015-05-25,2675
2015-05-26,2675
2015-05-27,2675
2015-05-28,2544
2015-05-29,2544
2015-05-30,2544
2015-05-31,2544
2015-06-01,2544
2015-06-02,2544
2015-06-03,2544
2015-06-04,2544
2015-06-05,2544
2015-06-06,2544
2015-06-07,2544
2015-06-08,2544
2015-06-09,2544
2015-06-10,2544
2015-06-11,2544
2015-06-12,2544
2015-06-13,2419
2015-06-14,2419
2015-06-15,2419
2015-06-16,2419
2015-06-17,2419
2015-06-18,2419
2015-06-19,2419
2015-06-20,2419
2015-06-21,2419
2015-06-22,2419
2015-06-23,2419
2015-06-24,2419
2015-06-25,2419
2015-06-26,2419
2015-06-27,2305
2015-06-28,2305
2015-06-29,2305
2015-06-30,2305
2015-07-01,2305
2015-07-02,2305
2015-07-03,2305
2015-07-04,2305
2015-07-05,2305
2015-07-06,2305
2015-07-07,2305
2015-07-08,2305
2015-07-09,2305
2015-07-10,2305
2015-07-11,2305
2015-07-12,2305
2015-07-13,2203
2015-07-14,2203
2015-07-15,2203
2015-07-16,2203
2015-07-17,2203
2015-07-18,2203
2015-07-19,2203
2015-07-20,2203
2015-07-21,2203
2015-07-22,2203
2015-07-23,2203
2015-07-24,2203
2015-07-25,2098
2015-07-26,2098
2015-07-27,2098
2015-07-28,2098
2015-07-29,2098
2015-07-30,2098
2015-07-31,2098
2015-08-01,2098
2015-08-02,2098
2015-08-03,2098
2015-08-04,2098
2015-08-05,2098
2015-08-06,2098
2015-08-07,2098
2015-08-08,1996
2015-08-09,1996
2015-08-10,1996
2015-08-11,1996
2015-08-12,1996
2015-08-13,1996
2015-08-14,1996
2015-08-15,1996
2015-08-16,1996
2015-08-17,1996
2015-08-18,1996
2015-08-19,1996
2015-08-20,1943
2015-08-21,1943
2015-08-22,1943
2015-08-23,1943
2015-08-24,1943
2015-08-25,1943
2015-08-26,1943
2015-08-27,1943
2015-08-28,1943
2015-08-29,1943
2015-08-30,1943
2015-08-31,1943
2015-09-01,1943
2015-09-02,1943
2015-09-03,1849
2015-09-04,1849
2015-09-05,1849
2015-09-06,1849
2015-09-07,1849
2015-09-08,1849
2015-09-09,1849
2015-09-10,1849
2015-09-11,1849
2015-09-12,1849
2015-09-13,1849
2015-09-14,1759
2015-09-15,1759
2015-09-16,1759
2015-09-17,1759
2015-09-18,1759
2015-09-19,1759
2015-09-20,1759
2015-09-21,1759
2015-09-22,1759
2015-09-23,1759
2015-09-24,1759
2015-09-25,1759
2015-09-27,1759
2015-09-28,1682
2015-09-29,1682
2015-09-30,1682
2015-10-05,1682
2015-10-06,1682
2015-10-07,1682
2015-10-08,1682
2015-10-09,1682
2015-10-10,1682
2015-10-11,1603
2015-10-12,1603
2015-10-13,1603
2015-10-14,1603
2015-10-15,1603
2015-10-16,1603
2015-10-17,1603
2015-10-18,1603
2015-10-19,1603
2015-10-20,1603
2015-10-22,1603
2015-10-23,1603
2015-10-24,1603
2015-10-25,1527
2015-10-26,1527
2015-10-27,1527
2015-10-29,1527
2015-10-30,1527
2015-10-31,1527
2015-11-01,1527
2015-11-02,1527
2015-11-03,1527
2015-11-04,1527
2015-11-05,1527
2015-11-06,1527
2015-11-07,1527
2015-11-08,1527
2015-11-09,1527
2015-11-10,1454
2015-11-11,1454
2015-11-12,1454
2015-11-13,1454
2015-11-14,1454
2015-11-15,1454
2015-11-16,1454
2015-11-17,1454
2015-11-18,1454
2015-11-19,1454
2015-11-20,1391
2015-11-21,1391
2015-11-22,1391
2015-11-23,1391
2015-11-24,1391
2015-11-25,1391
2015-11-26,1391
2015-11-27,1391
2015-11-28,1391
2015-11-29,1391
2015-11-30,1391
2015-12-01,1327
2015-12-02,1327
2015-12-03,1327
2015-12-04,1327
2015-12-05,1327
2015-12-06,1327
2015-12-07,1327
2015-12-08,1327
2015-12-09,1327
2015-12-10,1327
2015-12-11,1327
2015-12-13,1266
2015-12-14,1266
2015-12-15,1266
2015-12-16,1266
2015-12-17,1266
2015-12-18,1266
2015-12-19,1266
2015-12-20,1266
2015-12-21,1266
2015-12-22,1266
2015-12-23,1266
2015-12-24,1206
2015-12-25,1206
2015-12-26,1206
2015-12-27,1206
2015-12-28,1206
2015-12-29,1206
2015-12-30,1206
2015-12-31,1206
2016-01-01,1206
2016-01-02,1206
2016-01-03,1153
2016-01-04,1153
2016-01-05,1153
2016-01-06,1153
2016-01-07,1153
2016-01-08,1153
2016-01-09,1153
2016-01-10,1153
2016-01-11,1153
2016-01-12,1101
2016-01-13,1101
2016-01-14,1101
2016-01-15,1101
2016-01-16,1101
2016-01-17,1101
2016-01-18,1101
2016-01-19,1101
2016-01-20,1051
2016-01-21,1051
2016-01-22,1051
2016-01-23,1051
2016-01-24,1051
2016-01-25,1051
2016-01-26,1051
2016-01-27,1051
2016-01-28,1051
2016-01-29,1001
2016-01-30,1001
2016-01-31,1001
2016-02-01,1001
2016-02-02,1001
2016-02-03,1001
2016-02-04,1001
2016-02-05,1001
2016-02-06,953
2016-02-07,953
2016-02-08,953
2016-02-09,953
2016-02-10,953
2016-02-11,953
2016-02-12,953
2016-02-13,953
2016-02-14,953
2016-02-15,910
2016-02-16,910
2016-02-17,910
2016-02-18,910
2016-02-19,910
2016-02-20,910
2016-02-21,910
2016-02-22,910
2016-02-23,870
2016-02-24,870
2016-02-25,870
2016-02-26,870
2016-02-27,870
2016-02-28,870
2016-02-29,870
2016-03-01,870
2016-03-02,870
2016-03-03,870
2016-03-04,870
2016-03-05,829
2016-03-06,829
2016-03-07,829
2016-03-08,829
2016-03-09,829
2016-03-10,829
2016-03-11,829
2016-03-12,829
2016-03-13,829
2016-03-14,829
2016-03-15,829
2016-03-16,829
2016-03-17,791
2016-03-18,791
2016-03-19,791
2016-03-20,791
2016-03-21,791
2016-03-22,791
2016-03-23,791
2016-03-24,791
2016-03-25,791
2016-03-26,791
2016-03-27,755
2016-03-28,755
2016-03-29,755
2016-03-30,755
2016-03-31,755
2016-04-01,755
2016-04-02,755
2016-04-03,755
2016-04-04,755
2016-04-05,755
2016-04-06,718
2016-04-07,718
2016-04-08,718
2016-04-09,718
2016-04-10,718
2016-04-11,718
2016-04-12,718
2016-04-13,718
2016-04-14,718
2016-04-15,718
2016-04-16,718
2016-04-17,718
2016-04-18,689
2016-04-19,689
2016-04-20,689
2016-04-21,689
2016-04-22,689
2016-04-23,689
2016-04-24,689
2016-04-25,689
2016-04-26,689
2016-04-27,689
2016-04-28,689
2016-04-29,689
2016-04-30,659
2016-05-01,659
2016-05-02,659
2016-05-03,659
2016-05-04,659
2016-05-05,659
2016-05-06,659
2016-05-07,659
2016-05-08,659
2016-05-09,659
2016-05-10,659
2016-05-11,659
2016-05-12,659
2016-05-13,628
2016-05-14,628
2016-05-15,628
2016-05-16,628
2016-05-17,628
2016-05-18,628
2016-05-19,628
2016-05-22,628
2016-05-23,628
2016-05-24,628
2016-05-25,628
2016-05-26,628
2016-05-27,597
2016-05-28,597
2016-05-29,597
2016-05-30,597
2016-05-31,597
2016-06-01,597
2016-06-02,597
2016-06-03,597
2016-06-04,597
2016-06-05,597
2016-06-06,597
2016-06-07,597
2016-06-08,569
2016-06-09,569
2016-06-10,569
2016-06-11,569
2016-06-12,569
2016-06-13,569
2016-06-14,569
2016-06-15,569
2016-06-16,569
2016-06-17,569
2016-06-18,569
2016-06-19,569
2016-06-20,569
2016-06-21,544
2016-06-22,544
2016-06-23,544
2016-06-24,544
2016-06-25,544
2016-06-26,544
2016-06-27,544
2016-06-28,544
2016-06-29,544
2016-06-30,544
2016-07-01,519
2016-07-02,519
2016-07-03,519
2016-07-04,519
2016-07-05,519
2016-07-06,519
2016-07-07,519
2016-07-08,519
2016-07-09,519
2016-07-10,519
2016-07-11,519
2016-07-12,519
2016-07-13,519
2016-07-14,495
2016-07-15,495
2016-07-16,495
2016-07-17,495
2016-07-18,495
2016-07-24,495
2016-07-25,495
2016-07-26,495
2016-07-27,495
2016-07-28,495
2016-07-29,495
2016-07-30,495
2016-07-31,495
2016-08-01,495
2016-08-02,472
2016-08-03,472
2016-08-04,472
2016-08-05,472
2016-08-06,472
2016-08-07,472
2016-08-08,472
2016-08-09,472
2016-08-10,472
2016-08-11,472
2016-08-12,472
2016-08-13,472
2016-08-14,472
2016-08-15,472
2016-08-16,472
2016-08-17,472
2016-08-18,472
2016-08-19,472
2016-08-20,449
2016-08-21,449
2016-08-22,449
2016-08-23,449
2016-08-24,449
2016-08-25,449
2016-08-26,449
2016-08-28,449
2016-08-31,449
2016-09-01,449
2016-09-02,449
2016-09-03,449
2016-09-04,449
2016-09-05,449
2016-09-06,430
2016-09-07,430
2016-09-08,430
2016-09-09,430
2016-09-10,430
2016-09-11,430
2016-09-12,430
2016-09-13,430
2016-09-14,430
2016-09-15,430
2016-09-16,430
2016-09-17,430
2016-09-18,430
2016-09-19,430
2016-09-20,430
2016-09-21,430
2016-09-22,430
2016-09-23,430
2016-09-24,430
2016-09-25,430
2016-09-26,430
2016-09-27,430
2016-09-28,430
2016-09-29,411
2016-09-30,411
2016-10-01,411
2016-10-02,411
2016-10-03,411
2016-10-04,411
2016-10-05,411
2016-10-06,411
2016-10-07,411
2016-10-08,411
2016-10-09,411
2016-10-10,411
2016-10-11,411
2016-10-12,411
2016-10-13,411
2016-10-14,411
2016-10-15,411
2016-10-16,411
2016-10-17,411
2016-10-18,411
2016-10-19,411
2016-10-20,411
2016-10-21,396
2016-10-22,396
2016-10-23,396
2016-10-24,396
2016-10-25,396
2016-10-26,396
2016-10-27,396
2016-10-28,396
2016-10-29,396
2016-10-30,396
2016-10-31,396
2016-11-01,396
2016-11-02,396
2016-11-03,396
2016-11-04,396
2016-11-05,396
2016-11-06,396
2016-11-07,396
2016-11-08,396
2016-11-09,396
2016-11-10,396
2016-11-11,396
2016-11-12,396
2016-11-13,396
2016-11-14,396
2016-12-08,362
2016-12-09,362
2016-12-10,362
2016-12-11,362
2016-12-12,362
2016-12-13,362
2016-12-14,362
2016-12-15,362
2016-12-16,362
2016-12-17,362
2016-12-18,362
2016-12-19,345
2016-12-20,345
2016-12-21,345
