date_obj,Ancient%20blessing price
2017-06-26,5355
2017-06-27,5385
2017-06-28,5364
2017-06-29,5382
2017-06-30,5420
2017-07-01,5420
2017-07-02,5452
2017-07-03,5418
2017-07-04,5391
2017-07-05,5391
2017-07-06,5340
2017-07-07,5340
2017-07-08,5400
2017-07-09,5427
2017-07-13,5467
2017-07-14,5477
2017-07-15,5477
2017-07-16,5485
2017-07-17,5509
2017-07-18,5568
2017-07-19,5611
2017-07-20,5615
2017-07-21,5636
2017-07-22,5582
2017-07-23,5515
2017-07-24,5371
2017-07-25,5262
2017-07-26,5258
2017-07-27,5215
2017-07-28,5274
2017-07-29,5274
2017-07-30,5273
2017-07-31,5273
2017-08-01,5231
2017-08-02,5249
2017-08-03,5193
2017-08-04,5078
2017-08-05,5066
2017-08-06,5061
2017-08-07,4995
2017-08-08,4852
2017-08-09,4851
2017-08-10,4827
2017-08-11,4756
2017-08-12,4779
2017-08-13,4804
2017-08-14,4741
2017-08-15,4803
2017-08-16,4879
2017-08-17,5002
2017-08-18,5002
2017-08-19,5082
2017-08-20,5200
2017-08-21,5280
2017-08-22,5372
2017-08-23,5458
2017-08-24,5472
2017-08-25,5424
2017-08-26,5466
2017-08-27,5448
2017-08-28,5487
2017-08-29,5486
2017-08-30,5661
2017-08-31,5828
2017-09-01,6016
2017-09-02,6129
2017-09-03,6129
2017-09-04,6254
2017-09-05,6400
2017-09-06,6460
2017-09-07,6666
2017-09-08,6666
2017-09-09,6822
2017-09-10,6650
2017-09-11,6617
2017-09-12,6768
2017-09-13,6853
2017-09-14,6890
2017-09-15,6890
2017-09-16,6826
2017-09-17,6761
2017-09-18,6735
2017-09-19,6670
2017-09-20,6498
2017-09-22,6358
2017-09-23,6358
2017-09-24,6323
2017-09-25,6281
2017-09-26,6363
2017-09-27,6363
2017-09-28,6476
2017-09-29,6644
2017-09-30,6826
2017-10-01,6901
2017-10-02,7013
2017-10-03,7237
2017-10-04,7237
2017-10-05,7249
2017-10-06,7131
2017-10-07,7111
2017-10-08,7160
2017-10-09,7134
2017-10-10,7203
2017-10-11,7203
2017-10-12,7232
2017-10-13,7304
2017-10-14,7232
2017-10-15,7232
2017-10-16,7241
2017-10-17,7241
2017-10-18,7120
2017-10-19,6908
2017-10-20,6713
2017-10-21,6621
2017-10-22,6527
2017-10-23,6546
2017-10-24,6557
2017-10-25,6424
2017-10-26,6380
2017-10-27,6391
2017-10-28,6391
2017-10-29,6351
2017-10-30,6336
2017-10-31,6356
2017-11-01,6356
2017-11-02,6423
2017-11-03,6458
2017-11-04,6394
2017-11-05,6399
2017-11-06,6445
2017-11-07,6555
2017-11-08,6484
2017-11-09,6378
2017-11-10,6220
2017-11-11,6215
2017-11-12,6178
2017-11-13,6098
2017-11-14,6035
2017-11-15,5989
2017-11-16,5819
2017-11-17,5893
2017-11-18,5900
2017-11-19,5814
2017-11-20,5798
2017-11-21,5682
2017-11-22,5700
2017-11-23,5631
2017-11-24,5823
2017-11-25,5944
2017-11-26,6037
2017-11-27,6037
2017-11-28,6039
2017-11-29,6165
2017-11-30,6273
2017-12-01,6431
2017-12-02,6412
2017-12-03,6649
2017-12-04,6846
2017-12-05,7066
2017-12-06,7271
2017-12-07,7279
2017-12-08,7279
2017-12-09,7284
2017-12-10,7343
2017-12-11,7376
2017-12-12,7560
2017-12-13,7469
2017-12-14,7414
2017-12-15,7290
2017-12-16,7085
2017-12-17,6901
2017-12-18,6893
2017-12-19,6775
2017-12-20,6693
2017-12-21,6679
2017-12-22,6652
2017-12-23,6609
2017-12-24,6628
2017-12-25,6658
2017-12-26,6624
2017-12-27,6318
2017-12-28,6190
2017-12-29,6094
2017-12-30,6067
2017-12-31,6035
2018-01-01,6021
2018-01-02,6026
2018-01-03,6002
2018-01-04,5961
2018-01-05,5906
2018-01-06,5945
2018-01-07,5921
2018-01-08,5984
2018-01-09,6099
2018-01-10,6146
2018-01-11,6234
2018-01-12,6387
2018-01-13,6418
2018-01-14,6493
2018-01-15,6580
2018-01-16,6598
2018-01-17,6603
2018-01-18,6583
2018-01-19,6583
2018-01-20,6529
2018-01-21,6488
2018-01-22,6511
2018-01-23,6591
2018-01-24,6634
2018-01-25,6611
2018-01-26,6592
2018-01-27,6493
2018-01-28,6475
2018-01-29,6369
2018-01-30,6146
2018-01-31,5859
2018-02-01,5750
2018-02-02,5763
2018-02-03,5788
2018-02-04,5793
2018-02-05,5757
2018-02-06,5728
2018-02-07,5833
2018-02-08,5883
2018-02-09,5992
2018-02-10,6077
2018-02-11,6183
2018-02-12,6343
2018-02-13,6481
2018-02-14,6606
2018-02-15,6739
2018-02-16,6873
2018-02-17,6917
2018-02-18,7135
2018-02-19,7289
2018-02-20,7424
2018-02-21,7442
2018-02-22,7434
2018-02-23,7348
2018-02-24,7348
2018-02-25,7379
2018-02-26,7440
2018-02-27,7433
2018-02-28,7481
2018-03-01,7396
2018-03-02,7313
2018-03-03,7212
2018-03-04,7046
2018-03-05,6955
2018-03-06,6944
2018-03-07,6847
2018-03-08,6835
2018-03-09,6720
2018-03-10,6430
2018-03-11,6359
2018-03-12,6263
2018-03-13,6257
2018-03-14,6300
2018-03-15,6258
2018-03-16,6271
2018-03-17,6112
2018-03-18,6022
2018-03-19,5949
2018-03-20,5975
2018-03-21,5948
2018-03-22,6017
2018-03-23,5975
2018-03-24,5960
2018-03-25,6078
2018-03-26,6047
2018-03-27,5847
2018-03-28,5678
2018-03-29,5539
2018-03-30,5531
2018-03-31,5464
2018-04-01,5335
2018-04-02,5230
2018-04-03,4998
2018-04-04,4817
2018-04-05,4821
2018-04-06,4910
2018-04-07,5034
2018-04-08,5082
2018-04-09,5042
2018-04-10,4789
2018-04-11,4736
2018-04-12,4823
2018-04-13,4731
2018-04-14,4845
2018-04-15,4823
2018-04-16,4982
2018-04-17,5069
2018-04-18,5189
2018-04-19,5222
2018-04-20,5342
2018-04-21,5259
2018-04-22,5188
2018-04-23,5250
2018-04-24,5312
2018-04-25,5362
2018-04-26,5435
2018-04-27,5537
2018-04-28,5669
2018-04-29,5700
2018-04-30,5756
2018-05-01,5825
2018-05-02,5861
2018-05-03,5893
2018-05-04,5886
2018-05-05,5963
2018-05-06,5925
2018-05-07,6032
2018-05-08,6190
2018-05-09,6347
2018-05-10,6497
2018-05-11,6737
2018-05-12,6915
2018-05-13,7103
2018-05-14,7302
2018-05-15,7460
2018-05-16,7557
2018-05-17,7824
2018-05-18,7863
2018-05-19,7824
2018-05-20,7808
2018-05-21,7880
2018-05-22,8042
2018-05-23,7996
2018-05-24,8050
2018-05-25,7888
2018-05-26,7841
2018-05-27,7805
2018-05-28,7697
2018-05-29,7585
2018-05-30,7519
2018-05-31,7480
2018-06-01,7395
2018-06-02,7309
2018-06-03,7200
2018-06-04,7112
2018-06-05,7027
2018-06-06,6910
2018-06-07,6799
2018-06-08,6769
2018-06-09,6757
2018-06-10,6704
2018-06-11,6682
2018-06-12,6644
2018-06-13,6611
2018-06-14,6614
2018-06-15,6687
2018-06-16,6637
2018-06-17,6703
2018-06-18,6752
2018-06-19,6768
2018-06-20,6772
2018-06-21,6783
2018-06-22,6737
2018-06-23,6817
2018-06-24,6838
2018-06-25,6950
2018-06-26,6939
2018-06-27,6995
2018-06-28,6909
2018-06-29,6869
2018-06-30,6880
2018-07-01,6842
2018-07-02,6860
2018-07-03,6879
2018-07-04,6918
2018-07-05,6957
2018-07-06,6993
2018-07-07,6925
2018-07-08,6982
2018-07-09,6973
2018-07-10,6958
2018-07-11,7035
2018-07-12,7084
2018-07-13,7103
2018-07-14,7162
2018-07-15,7288
2018-07-16,7306
2018-07-17,7368
2018-07-18,7445
2018-07-19,7533
2018-07-20,7529
2018-07-21,7487
2018-07-22,7410
2018-07-23,7477
2018-07-24,7436
2018-07-25,7415
2018-07-26,7490
2018-07-27,7606
2018-07-28,7677
2018-07-29,7766
2018-07-30,7783
2018-07-31,7698
2018-08-01,7743
2018-08-02,7887
2018-08-03,8039
2018-08-04,8129
2018-08-05,8028
2018-08-06,8039
2018-08-07,8001
2018-08-08,8131
2018-08-09,7886
2018-08-10,7965
2018-08-11,8131
2018-08-12,8236
2018-08-14,8340
2018-08-16,8435
2018-08-17,8477
2018-08-18,8294
2018-08-19,8202
2018-08-20,8276
2018-08-21,8364
2018-08-22,8391
2018-08-23,8423
2018-08-24,8609
2018-08-25,8648
2018-08-26,8662
2018-08-27,8729
2018-08-28,8809
2018-08-29,8894
2018-08-30,8935
2018-08-31,9242
2018-09-01,9465
2018-09-02,9406
2018-09-03,9567
2018-09-04,9838
2018-09-05,10080
2018-09-06,10234
2018-09-07,10473
2018-09-08,10704
2018-09-09,10981
2018-09-10,11158
2018-09-11,11307
2018-09-12,11374
2018-09-13,11478
2018-09-14,11532
2018-09-15,11466
2018-09-16,11456
2018-09-17,11233
2018-09-18,11153
2018-09-19,11144
2018-09-20,11012
2018-09-21,10921
2018-09-22,10880
2018-09-23,10608
2018-09-24,10660
2018-09-25,10386
2018-09-26,10380
2018-09-27,10322
2018-09-28,10285
2018-09-29,10272
2018-09-30,10218
2018-10-01,10210
2018-10-02,10074
2018-10-03,10136
2018-10-04,10089
2018-10-05,10078
2018-10-06,10081
2018-10-07,9978
2018-10-08,9696
2018-10-09,9666
2018-10-10,9650
2018-10-11,9674
2018-10-12,9664
2018-10-13,9537
2018-10-14,9471
2018-10-15,9563
2018-10-16,9537
2018-10-17,9796
2018-10-18,9920
2018-10-19,10026
2018-10-20,10047
2018-10-21,10037
2018-10-22,10059
2018-10-23,9980
2018-10-24,10022
2018-10-25,9998
2018-10-26,9864
2018-10-27,9658
2018-10-28,9525
2018-10-29,9575
2018-10-30,9587
2018-10-31,9659
2018-11-01,9542
2018-11-03,9555
2018-11-04,9530
2018-11-05,9546
2018-11-06,9513
2018-11-07,9523
2018-11-08,9624
2018-11-09,9599
2018-11-10,9648
2018-11-11,9759
2018-11-12,9765
2018-11-13,9917
2018-11-14,10012
2018-11-15,10164
2018-11-16,10427
2018-11-17,10678
2018-11-18,10923
2018-11-19,11071
2018-11-20,11182
2018-11-21,11334
2018-11-22,11256
2018-11-23,11293
2018-11-24,11463
2018-11-25,11541
2018-11-26,11577
2018-11-27,11659
2018-11-28,11252
2018-11-29,11108
2018-12-01,11086
2018-12-02,11215
2018-12-03,11204
2018-12-04,11269
2018-12-05,11359
2018-12-07,11396
2018-12-09,11439
2018-12-10,11717
2018-12-11,12080
2018-12-12,12406
2018-12-13,12485
2018-12-14,12680
2018-12-15,13040
2018-12-16,13365
2018-12-17,13543
2018-12-18,13872
2018-12-19,14103
2018-12-20,14424
2018-12-21,14640
2018-12-22,14686
2018-12-23,14749
2018-12-24,14766
2018-12-25,14642
2018-12-26,14378
2018-12-27,14319
2018-12-28,14243
2018-12-29,14141
2018-12-30,14116
2018-12-31,14094
2019-01-01,14064
2019-01-02,14017
2019-01-03,13806
2019-01-04,13661
2019-01-05,13522
2019-01-06,13358
2019-01-08,13001
2019-01-10,12770
2019-01-11,12241
2019-01-12,11808
2019-01-13,11275
2019-01-14,10778
2019-01-15,10297
2019-01-16,9800
2019-01-17,9340
2019-01-18,8953
2019-01-19,8664
2019-01-20,8342
2019-01-21,8014
2019-01-22,7690
2019-01-23,7489
2019-01-24,7339
2019-01-25,7287
2019-01-26,7225
2019-01-27,7177
2019-01-28,7201
2019-01-29,7211
2019-01-30,7327
2019-01-31,7375
2019-02-01,7550
2019-02-02,7759
2019-02-03,7904
2019-02-04,8078
2019-02-05,8230
2019-02-06,8321
2019-02-07,8480
2019-02-08,8527
2019-02-09,8590
2019-02-10,8602
2019-02-11,8613
2019-02-12,8723
2019-02-13,8744
2019-02-14,8889
2019-02-15,8881
2019-02-16,8895
2019-02-17,8900
2019-02-18,8914
2019-02-19,8892
2019-02-20,8926
2019-02-21,8985
2019-02-22,9174
2019-02-23,9197
2019-02-24,9197
2019-02-25,9189
2019-02-26,9084
2019-02-27,9043
2019-02-28,8927
2019-03-01,8894
2019-03-02,8886
2019-03-03,8885
2019-03-04,8979
2019-03-05,8963
2019-03-06,9026
2019-03-07,9049
2019-03-08,9142
2019-03-09,9146
2019-03-10,9018
2019-03-11,8991
2019-03-12,8966
2019-03-13,8969
2019-03-14,9027
2019-03-15,9112
2019-03-16,9004
2019-03-17,8995
2019-03-18,9090
2019-03-19,9125
2019-03-20,9178
2019-03-21,9241
2019-03-22,9354
2019-03-23,9387
2019-03-24,9387
2019-03-25,9167
2019-03-26,9195
2019-03-27,9113
2019-03-28,9155
2019-03-29,9290
2019-03-30,9255
2019-03-31,9315
2019-04-01,9376
2019-04-02,9459
2019-04-03,9578
2019-04-04,9717
2019-04-05,9793
2019-04-06,9859
2019-04-07,9967
2019-04-08,10129
2019-04-09,10218
2019-04-10,10264
