date_obj,Nunchaku price
2016-07-06,4046520
2016-07-07,4046520
2016-07-08,3844194
2016-07-09,3844194
2016-07-10,3651984
2016-07-11,3651984
2016-07-12,3469384
2016-07-13,3469384
2016-07-14,3297403
2016-07-15,3297403
2016-07-16,3135661
2016-07-17,3135661
2016-07-18,2981590
2016-07-23,2696210
2016-07-24,2565023
2016-07-25,2441746
2016-07-26,2441746
2016-07-27,2320979
2016-07-28,2320979
2016-07-29,2207325
2016-07-30,2100994
2016-07-31,2100994
2016-08-01,1998394
2016-08-02,1998394
2016-08-03,1899390
2016-08-04,1899390
2016-08-05,1807003
2016-08-06,1807003
2016-08-07,1718118
2016-08-08,1718118
2016-08-09,1634152
2016-08-10,1634152
2016-08-11,1554575
2016-08-12,1554575
2016-08-13,1481429
2016-08-14,1481429
2016-08-15,1409820
2016-08-16,1409820
2016-08-17,1341920
2016-08-18,1341920
2016-08-19,1276869
2016-08-20,1276869
2016-08-21,1214614
2016-08-22,1214614
2016-08-23,1155253
2016-08-24,1155253
2016-08-25,1098698
2016-08-26,1098698
2016-08-28,1045771
2016-08-31,994914
2016-09-01,946967
2016-09-02,946967
2016-09-03,901001
2016-09-04,901001
2016-09-05,857315
2016-09-06,857315
2016-09-07,815351
2016-09-08,815351
2016-09-09,815351
2016-09-10,776213
2016-09-11,776213
2016-09-12,776213
2016-09-13,738613
2016-09-14,738613
2016-09-15,703065
2016-09-16,703065
2016-09-17,669115
2016-09-18,669115
2016-09-19,636698
2016-09-20,636698
2016-09-21,605263
2016-09-22,605263
2016-09-23,576560
2016-09-24,576560
2016-09-25,548942
2016-09-26,548942
2016-09-27,522106
2016-09-28,522106
2016-09-29,496978
2016-09-30,473231
2016-10-01,473231
2016-10-02,473231
2016-10-03,450080
2016-10-04,450080
2016-10-05,427972
2016-10-06,427972
2016-10-07,407361
2016-10-08,407361
2016-10-09,388197
2016-10-10,388197
2016-10-11,369411
2016-10-12,369411
2016-10-13,351491
2016-10-14,351491
2016-10-15,334815
2016-10-16,334815
2016-10-17,318666
2016-10-18,318666
2016-10-19,318666
2016-10-20,303038
2016-10-21,303038
2016-10-22,303038
2016-10-23,288972
2016-10-24,288972
2016-10-25,288972
2016-10-26,275254
2016-10-27,275254
2016-10-28,275254
2016-10-29,262340
2016-10-30,262340
2016-10-31,249892
2016-11-01,249892
2016-11-02,238029
2016-11-03,238029
2016-11-04,226491
2016-11-05,226491
2016-11-06,216131
2016-11-07,216131
2016-11-08,216131
2016-11-09,205894
2016-11-10,205894
2016-11-11,205894
2016-11-12,196337
2016-11-13,196337
2016-11-14,196337
2016-12-07,132929
2016-12-08,126713
2016-12-09,126713
2016-12-10,126713
2016-12-11,120682
2016-12-12,120682
2016-12-13,120682
2016-12-14,114940
2016-12-15,114940
2016-12-16,114940
2016-12-17,109371
2016-12-18,109371
2016-12-19,109371
2016-12-20,104184
2016-12-21,104184
2016-12-22,104184
2016-12-23,99318
2016-12-24,99318
2016-12-25,99318
2016-12-26,99318
2016-12-27,94618
2016-12-28,94618
2016-12-29,94618
2016-12-30,90188
2016-12-31,90188
2017-01-01,90188
2017-01-02,85923
2017-01-03,85923
2017-01-04,85923
2017-01-05,81885
2017-01-06,81885
2017-01-07,81885
2017-01-08,78101
2017-01-09,78101
2017-01-10,78101
2017-01-11,74559
2017-01-12,74559
2017-01-13,74559
2017-01-14,71065
2017-01-15,71065
2017-01-16,71065
2017-01-17,67849
2017-01-18,67849
2017-01-19,67849
2017-01-20,64592
2017-01-21,64592
2017-01-22,64592
2017-01-27,58556
2017-01-28,55771
