date_obj,Steel%20claws price
2015-03-26,3189
2015-03-27,3189
2015-03-28,3043
2015-03-29,3043
2015-03-30,3043
2015-03-31,2901
2015-04-01,2901
2015-04-02,2901
2015-04-03,2763
2015-04-04,2763
2015-04-05,2763
2015-04-06,2630
2015-04-07,2630
2015-04-08,2630
2015-04-09,2630
2015-04-10,2501
2015-04-11,2501
2015-04-12,2501
2015-04-13,2384
2015-04-14,2384
2015-04-15,2384
2015-04-16,2384
2015-04-17,2267
2015-04-18,2267
2015-04-19,2267
2015-04-20,2267
2015-04-21,2157
2015-04-22,2157
2015-04-23,2157
2015-04-24,2052
2015-04-25,2052
2015-04-26,2052
2015-04-27,1957
2015-04-28,1957
2015-04-29,1957
2015-04-30,1871
2015-05-01,1871
2015-05-02,1871
2015-05-03,1781
2015-05-04,1781
2015-05-05,1781
2015-05-06,1694
2015-05-07,1694
2015-05-08,1694
2015-05-09,1614
2015-05-10,1614
2015-05-11,1614
2015-05-12,1537
2015-05-13,1537
2015-05-14,1537
2015-05-15,1537
2015-05-16,1462
2015-05-17,1462
2015-05-18,1462
2015-05-19,1395
2015-05-20,1395
2015-05-21,1395
2015-05-22,1395
2015-05-23,1331
2015-05-24,1331
2015-05-25,1331
2015-05-26,1267
2015-05-27,1267
2015-05-28,1207
2015-05-29,1207
2015-05-30,1148
2015-05-31,1148
2015-06-01,1093
2015-06-02,1093
2015-06-03,1093
2015-06-04,1040
2015-06-05,1040
2015-06-06,990
2015-06-07,990
2015-06-08,990
2015-06-09,942
2015-06-10,942
2015-06-11,898
2015-06-12,898
2015-06-13,855
2015-06-14,855
2015-06-15,855
2015-06-16,815
2015-06-17,815
2015-06-18,815
2015-06-19,778
2015-06-20,778
2015-06-21,778
2015-06-22,743
2015-06-23,743
2015-06-24,708
2015-06-25,708
2015-06-26,675
2015-06-27,675
2015-06-28,675
2015-06-29,642
2015-06-30,642
2015-07-01,613
2015-07-02,613
2015-07-03,613
2015-07-04,584
2015-07-05,584
2015-07-06,584
2015-07-07,556
2015-07-08,556
2015-07-09,556
2015-07-10,531
2015-07-11,531
2015-07-12,531
2015-07-13,507
2015-07-14,507
2015-07-15,485
2015-07-16,485
2015-07-17,462
2015-07-18,462
2015-07-19,462
2015-07-20,442
2015-07-21,442
2015-07-22,420
2015-07-23,420
2015-07-24,402
2015-07-25,402
2015-07-26,386
2015-07-27,386
2015-07-28,367
2015-07-29,350
2015-07-30,350
2015-07-31,333
2015-08-01,333
2015-08-02,318
2015-08-03,318
2015-08-04,303
2015-08-05,303
2015-08-06,288
2015-08-07,288
2015-08-08,274
2015-08-09,274
2015-08-10,261
2015-08-11,261
2015-08-12,261
2015-08-13,248
2015-08-14,248
2015-08-15,235
2015-08-16,235
2015-08-17,224
2015-08-18,224
2015-08-19,213
2015-08-20,213
2015-08-21,203
2015-08-22,203
2015-08-23,203
2015-08-24,193
2015-08-25,193
2015-08-26,193
2015-08-27,184
2015-08-28,184
2015-08-29,184
2015-08-30,175
2015-08-31,175
2015-09-01,167
2015-09-02,167
2015-09-03,167
2015-09-04,159
2015-09-05,159
2015-09-06,159
2015-09-07,152
2015-09-08,152
2015-09-09,152
2015-09-10,145
2015-09-11,145
2015-09-12,145
2015-09-13,137
2015-09-14,137
2015-09-15,137
2015-09-16,130
2015-09-17,130
2015-09-18,130
2015-09-19,123
2015-09-20,123
2015-09-21,123
2015-09-22,117
2015-09-23,117
2015-09-24,117
2015-09-25,117
2015-09-27,114
2015-09-28,114
2015-09-29,114
2015-09-30,109
2015-10-05,104
2015-10-06,104
2015-10-07,99
2015-10-08,99
2015-10-09,99
2015-10-10,99
2015-10-11,95
2015-10-12,95
2015-10-13,95
2015-10-14,95
2015-10-15,91
2015-10-16,91
2015-10-17,91
2015-10-18,91
2015-10-19,87
2015-10-20,87
2015-10-22,87
2015-10-23,83
2015-10-24,83
2015-10-25,83
2015-10-26,78
2015-10-27,78
2015-10-29,78
2015-10-30,74
2015-10-31,74
2015-11-01,74
2015-11-02,74
2015-11-03,70
2015-11-04,70
2015-11-05,70
2015-11-06,70
2015-11-07,66
2015-11-08,66
2015-11-09,66
2015-11-10,66
2015-11-11,62
2015-11-12,62
2015-11-13,62
2015-11-14,62
2015-11-15,59
2015-11-16,59
2015-11-17,59
2015-11-18,59
2015-11-19,57
2015-11-20,57
2015-11-21,57
2015-11-22,57
2015-11-23,57
2015-11-24,56
2015-11-25,56
2015-11-26,56
2015-11-27,56
2015-11-28,54
2015-11-29,54
2015-11-30,54
2015-12-01,54
2015-12-02,53
2015-12-03,53
2015-12-04,53
2015-12-05,53
2015-12-06,53
2015-12-07,50
2015-12-08,50
2015-12-09,50
2015-12-10,50
2015-12-11,48
2015-12-12,48
2015-12-13,48
2015-12-14,48
2015-12-15,45
2015-12-16,45
2015-12-17,45
2015-12-18,45
2015-12-19,43
2015-12-20,43
2015-12-21,43
2015-12-22,43
2015-12-23,41
2015-12-24,41
2015-12-25,41
2015-12-26,41
2015-12-27,40
2015-12-28,40
2015-12-29,40
2015-12-30,40
2015-12-31,40
2016-01-01,40
2016-01-02,40
2016-01-03,40
2016-01-04,38
2016-01-05,38
2016-01-06,38
2016-01-07,37
2016-01-08,37
2016-01-09,37
2016-01-10,37
2016-01-11,35
2016-01-12,35
2016-01-13,35
2016-01-14,33
2016-01-15,33
2016-01-16,33
2016-01-17,33
2016-01-18,31
2016-01-19,31
2016-01-20,31
2016-01-21,31
2016-01-22,29
2016-01-23,29
2016-01-24,29
2016-01-25,28
2016-01-26,28
2016-01-27,28
2016-01-28,28
2016-01-29,26
2016-01-30,26
2016-01-31,26
2016-02-01,24
2016-02-02,24
2016-02-03,24
2016-02-04,24
2016-02-05,23
2016-02-06,23
2016-02-07,23
2016-02-08,23
2016-02-09,22
2016-02-10,22
2016-02-11,22
2016-02-12,22
2016-02-13,23
2016-02-14,23
2016-02-15,23
2016-02-16,23
2016-02-17,22
2016-02-18,22
2016-02-19,22
2016-02-20,22
2016-02-21,22
2016-02-22,22
2016-02-23,22
2016-02-24,22
2016-02-25,22
2016-02-26,22
2016-02-27,22
2016-02-28,22
2016-02-29,24
2016-03-01,24
2016-03-02,24
2016-03-03,24
2016-03-04,26
2016-03-05,26
2016-03-06,26
2016-03-07,25
2016-03-08,25
2016-03-09,25
2016-03-10,23
2016-03-11,23
2016-03-12,23
2016-03-13,23
2016-03-14,22
2016-03-15,22
2016-03-16,22
2016-03-17,22
2016-03-18,22
2016-03-19,22
2016-03-20,22
2016-03-21,22
2016-03-22,24
2016-03-23,24
2016-03-24,24
2016-03-25,23
2016-03-26,23
2016-03-27,23
2016-03-28,24
2016-03-29,24
2016-03-30,24
2016-03-31,24
2016-04-01,26
2016-04-02,26
2016-04-03,26
2016-04-04,28
2016-04-05,28
2016-04-06,28
2016-04-07,28
2016-04-08,30
2016-04-09,30
2016-04-10,30
2016-04-11,30
2016-04-12,32
2016-04-13,32
2016-04-14,32
2016-04-15,34
2016-04-16,34
2016-04-17,34
2016-04-18,35
2016-04-19,35
2016-04-20,35
2016-04-21,35
2016-04-22,35
2016-04-23,35
2016-04-24,35
2016-04-25,35
2016-04-26,37
2016-04-27,37
2016-04-28,37
2016-04-29,37
2016-04-30,39
2016-05-01,39
2016-05-02,39
2016-05-03,39
2016-05-04,41
2016-05-05,41
2016-05-06,41
2016-05-07,41
2016-05-08,41
2016-05-09,41
