date_obj,Mystic%20hat price
2015-03-26,14584
2015-03-27,14584
2015-03-28,15010
2015-03-29,14737
2015-03-30,14034
2015-03-31,13715
2015-04-01,13715
2015-04-02,13481
2015-04-03,12844
2015-04-04,12661
2015-04-05,13017
2015-04-06,13097
2015-04-07,13131
2015-04-08,13131
2015-04-09,13388
2015-04-10,13533
2015-04-11,13612
2015-04-12,13629
2015-04-13,14022
2015-04-14,14022
2015-04-15,14544
2015-04-16,14442
2015-04-17,14178
2015-04-18,13626
2015-04-19,13167
2015-04-20,13167
2015-04-21,12879
2015-04-22,12879
2015-04-23,12236
2015-04-24,11624
2015-04-25,11042
2015-04-26,10662
2015-04-27,10515
2015-04-28,10933
2015-04-29,10933
2015-04-30,11465
2015-05-01,11644
2015-05-02,11814
2015-05-03,11814
2015-05-04,11688
2015-05-05,11958
2015-05-06,12241
2015-05-07,12513
2015-05-08,12367
2015-05-09,12068
2015-05-10,11469
2015-05-11,11469
2015-05-12,10919
2015-05-13,10919
2015-05-14,11156
2015-05-15,11347
2015-05-16,11347
2015-05-17,11559
2015-05-18,11440
2015-05-19,11473
2015-05-20,11473
2015-05-21,11477
2015-05-22,11192
2015-05-23,11077
2015-05-24,11136
2015-05-25,11219
2015-05-26,11371
2015-05-27,11850
2015-05-28,12217
2015-05-29,12713
2015-05-30,12768
2015-05-31,12741
2015-06-01,12630
2015-06-02,12630
2015-06-03,12487
2015-06-04,12566
2015-06-05,12648
2015-06-06,12726
2015-06-07,13206
2015-06-08,13395
2015-06-09,13393
2015-06-10,13059
2015-06-11,13182
2015-06-12,13291
2015-06-13,13159
2015-06-14,13179
2015-06-15,12940
2015-06-16,12606
2015-06-17,11975
2015-06-18,11716
2015-06-19,11643
2015-06-20,11949
2015-06-21,11987
2015-06-22,11926
2015-06-23,11934
2015-06-24,12241
2015-06-25,12241
2015-06-26,12523
2015-06-27,12523
2015-06-28,12750
2015-06-29,13116
2015-06-30,13056
2015-07-01,13544
2015-07-02,13544
2015-07-03,13763
2015-07-04,13901
2015-07-05,13552
2015-07-06,13282
2015-07-07,12939
2015-07-08,12538
2015-07-09,12538
2015-07-10,11911
2015-07-11,11315
2015-07-12,10749
2015-07-13,10212
2015-07-14,9958
2015-07-15,10148
2015-07-16,10458
2015-07-17,10768
2015-07-18,11298
2015-07-19,11862
2015-07-20,12298
2015-07-21,12515
2015-07-22,12454
2015-07-23,12454
2015-07-24,12588
2015-07-25,12453
2015-07-26,12081
2015-07-27,11959
2015-07-28,11860
2015-07-29,11936
2015-07-30,11954
2015-07-31,12159
2015-08-01,12710
2015-08-02,13090
2015-08-03,13745
2015-08-04,13300
2015-08-05,12958
2015-08-06,12310
2015-08-07,11694
2015-08-08,11110
2015-08-09,10889
2015-08-10,11120
2015-08-11,11086
2015-08-12,11086
2015-08-13,11140
2015-08-14,11079
2015-08-15,11079
2015-08-16,11247
2015-08-17,11249
2015-08-18,11228
2015-08-19,11308
2015-08-20,11391
2015-08-21,11329
2015-08-22,11262
2015-08-23,11335
2015-08-24,11319
2015-08-25,11319
2015-08-26,11515
2015-08-27,11666
2015-08-28,11463
2015-08-29,10903
2015-08-30,10366
2015-08-31,10038
2015-09-01,9807
2015-09-02,9807
2015-09-03,9693
2015-09-04,9826
2015-09-05,9826
2015-09-06,10208
2015-09-07,10699
2015-09-08,11097
2015-09-09,11086
2015-09-10,11134
2015-09-11,11100
2015-09-12,11197
2015-09-13,11197
2015-09-14,11224
2015-09-15,11372
2015-09-16,11372
2015-09-17,11584
2015-09-18,11584
2015-09-19,11807
2015-09-20,11720
2015-09-21,11643
2015-09-22,11086
2015-09-23,10531
2015-09-24,10531
2015-09-25,10609
2015-09-27,11697
2015-09-28,12282
2015-09-29,12840
2015-09-30,13238
2015-10-05,13769
2015-10-06,13826
2015-10-07,13777
2015-10-08,13724
2015-10-09,13809
2015-10-10,13809
2015-10-11,13982
2015-10-12,14123
2015-10-13,14123
2015-10-14,14303
2015-10-15,14591
2015-10-16,14215
2015-10-17,14215
2015-10-18,13757
2015-10-19,13691
2015-10-20,13739
2015-10-22,13567
2015-10-23,13346
2015-10-24,13378
2015-10-25,13633
2015-10-26,13793
2015-10-27,13793
2015-10-29,13639
2015-10-30,13639
2015-10-31,13154
2015-11-01,13154
2015-11-02,12496
2015-11-03,12080
2015-11-04,11661
2015-11-05,11375
2015-11-06,11436
2015-11-07,11442
2015-11-08,11442
2015-11-09,11405
2015-11-10,11353
2015-11-11,11178
2015-11-12,10804
2015-11-13,10399
2015-11-14,10387
2015-11-15,10409
2015-11-16,10253
2015-11-17,10250
2015-11-18,10278
2015-11-19,10339
2015-11-20,10395
2015-11-21,10395
2015-11-22,10752
2015-11-23,10752
2015-11-24,11290
2015-11-25,11855
2015-11-26,11855
2015-11-27,12448
2015-11-28,12912
2015-11-29,13332
2015-11-30,13684
2015-12-01,13615
2015-12-02,13353
2015-12-03,13178
2015-12-04,13362
2015-12-05,13317
2015-12-06,13192
2015-12-07,13144
2015-12-08,13041
2015-12-09,13378
2015-12-10,13646
2015-12-11,13911
2015-12-12,13718
2015-12-13,13881
2015-12-14,13881
2015-12-15,13668
2015-12-16,13836
2015-12-17,13739
2015-12-18,13510
2015-12-19,13163
2015-12-20,13439
2015-12-21,13291
2015-12-22,12639
2015-12-23,12193
2015-12-24,12237
2015-12-25,12526
2015-12-26,12784
2015-12-27,13073
2015-12-28,13455
2015-12-29,13666
2015-12-30,13719
2015-12-31,13851
2016-01-01,13965
2016-01-02,14111
2016-01-03,14336
2016-01-04,14276
2016-01-05,14463
2016-01-06,14561
2016-01-07,14848
2016-01-08,15159
2016-01-09,15382
2016-01-10,15160
2016-01-11,14747
2016-01-12,14297
2016-01-13,13909
2016-01-14,14246
2016-01-15,14283
2016-01-16,14244
2016-01-17,13745
2016-01-18,13360
2016-01-19,13102
2016-01-20,13267
2016-01-21,13129
2016-01-22,12540
2016-01-23,11913
2016-01-24,11318
2016-01-25,10767
2016-01-26,10328
2016-01-27,9955
2016-01-28,9955
2016-01-29,10359
2016-01-30,10871
2016-01-31,11415
2016-02-01,11876
2016-02-02,11677
2016-02-03,11411
2016-02-04,10914
2016-02-05,10773
2016-02-06,10544
2016-02-07,10765
2016-02-08,11211
2016-02-09,10983
2016-02-10,11329
2016-02-11,11896
2016-02-12,12453
2016-02-13,13037
2016-02-14,13054
2016-02-15,13610
2016-02-16,14068
2016-02-17,13919
2016-02-18,14164
2016-02-19,14575
2016-02-20,14752
2016-02-21,15115
2016-02-22,15115
2016-02-23,14431
2016-02-24,13721
2016-02-25,13034
2016-02-26,13034
2016-02-27,12382
2016-02-28,11762
2016-02-29,11173
2016-03-01,10744
2016-03-02,10725
2016-03-03,10998
2016-03-04,11185
2016-03-05,11620
2016-03-06,11564
2016-03-07,11465
2016-03-08,11634
2016-03-09,12041
2016-03-10,11592
2016-03-11,11206
2016-03-12,11152
2016-03-13,11385
2016-03-14,11542
2016-03-15,11957
2016-03-16,12190
2016-03-17,12464
2016-03-18,12136
2016-03-19,12076
2016-03-20,12275
2016-03-21,12416
2016-03-22,12598
2016-03-23,12841
2016-03-24,13108
2016-03-25,13559
2016-03-26,14237
2016-03-27,14804
2016-03-28,15306
2016-03-29,15722
2016-03-30,15722
2016-03-31,15899
2016-04-01,15936
2016-04-02,16103
2016-04-03,15843
2016-04-04,15516
2016-04-05,15211
2016-04-06,14460
2016-04-07,14175
2016-04-08,14099
2016-04-09,13877
2016-04-10,13943
2016-04-11,13943
2016-04-12,13852
2016-04-13,13789
2016-04-14,13653
2016-04-15,13558
2016-04-16,13471
2016-04-17,14044
2016-04-18,14108
2016-04-19,13621
2016-04-20,13405
2016-04-21,13170
2016-04-22,13170
2016-04-23,13281
2016-04-24,13876
2016-04-25,13556
2016-04-26,12938
2016-04-27,12291
