date_obj,Dashing%20kebbit%20fur price
2015-03-26,10279
2015-03-27,10279
2015-03-28,10279
2015-03-29,10279
2015-03-30,9765
2015-03-31,9765
2015-04-01,9765
2015-04-02,9765
2015-04-03,9765
2015-04-04,9765
2015-04-05,9765
2015-04-06,9765
2015-04-07,9299
2015-04-08,9299
2015-04-09,9299
2015-04-10,9299
2015-04-11,9299
2015-04-12,9299
2015-04-13,9299
2015-04-14,9299
2015-04-15,9299
2015-04-16,9299
2015-04-17,8834
2015-04-18,8834
2015-04-19,8834
2015-04-20,8834
2015-04-21,8834
2015-04-22,8834
2015-04-23,8834
2015-04-24,8834
2015-04-25,8834
2015-04-26,8601
2015-04-27,8601
2015-04-28,8601
2015-04-29,8601
2015-04-30,8601
2015-05-01,8601
2015-05-02,8601
2015-05-03,8601
2015-05-04,8601
2015-05-05,8601
2015-05-06,8170
2015-05-07,8170
2015-05-08,8170
2015-05-09,8170
2015-05-10,8170
2015-05-11,8170
2015-05-12,8170
2015-05-13,8170
2015-05-14,8170
2015-05-15,8170
2015-05-16,7770
2015-05-17,7770
2015-05-18,7770
2015-05-19,7770
2015-05-20,7770
2015-05-21,7770
2015-05-22,7770
2015-05-23,7770
2015-05-24,7770
2015-05-25,7770
2015-05-26,7770
2015-05-27,7382
2015-05-28,7382
2015-05-29,7382
2015-05-30,7382
2015-05-31,7382
2015-06-01,7382
2015-06-02,7023
2015-06-03,7023
2015-06-04,7023
2015-06-05,7023
2015-06-06,7023
2015-06-07,7023
2015-06-08,6792
2015-06-09,6792
2015-06-10,6792
2015-06-11,6792
2015-06-12,6792
2015-06-13,6792
2015-06-14,6792
2015-06-15,6493
2015-06-16,6493
2015-06-17,6493
2015-06-18,6493
2015-06-19,6493
2015-06-20,6493
2015-06-21,6493
2015-06-22,6493
2015-06-23,6233
2015-06-24,6233
2015-06-25,6233
2015-06-26,6233
2015-06-27,6233
2015-06-28,6233
2015-06-29,6233
2015-06-30,6233
2015-07-01,6233
2015-07-02,6094
2015-07-03,6094
2015-07-04,6094
2015-07-05,6094
2015-07-06,6094
2015-07-07,6094
2015-07-08,6094
2015-07-09,6094
2015-07-10,5926
2015-07-11,5926
2015-07-12,5926
2015-07-13,5926
2015-07-14,5926
2015-07-15,5926
2015-07-16,5926
2015-07-17,5926
2015-07-18,5926
2015-07-19,5631
2015-07-20,5631
2015-07-21,5631
2015-07-22,5631
2015-07-23,5631
2015-07-24,5631
2015-07-25,5631
2015-07-26,5631
2015-07-27,5355
2015-07-28,5355
2015-07-29,5355
2015-07-30,5355
2015-07-31,5355
2015-08-01,5355
2015-08-02,5355
2015-08-03,5355
2015-08-04,5087
2015-08-05,5087
2015-08-06,5087
2015-08-07,5087
2015-08-08,5087
2015-08-09,5087
2015-08-10,5087
2015-08-11,4832
2015-08-12,4832
2015-08-13,4832
2015-08-14,4832
2015-08-15,4832
2015-08-16,4832
2015-08-17,4832
2015-08-18,4832
2015-08-19,4592
2015-08-20,4592
2015-08-21,4592
2015-08-22,4592
2015-08-23,4592
2015-08-24,4592
2015-08-25,4592
2015-08-26,4592
2015-08-27,4362
2015-08-28,4362
2015-08-29,4362
2015-08-30,4362
2015-08-31,4362
2015-09-01,4362
2015-09-02,4362
2015-09-03,4159
2015-09-04,4159
2015-09-05,4159
2015-09-06,4159
2015-09-07,4159
2015-09-08,4159
2015-09-09,4159
2015-09-10,4159
2015-09-11,3951
2015-09-12,3951
2015-09-13,3951
2015-09-14,3951
2015-09-15,3951
2015-09-16,3951
2015-09-17,3951
2015-09-18,3951
2015-09-19,3753
2015-09-20,3753
2015-09-21,3753
2015-09-22,3753
2015-09-23,3753
2015-09-24,3753
2015-09-25,3753
2015-09-27,3753
2015-09-28,3565
2015-09-29,3565
2015-09-30,3565
2015-10-05,3565
2015-10-06,3512
2015-10-07,3512
2015-10-08,3512
2015-10-09,3512
2015-10-10,3512
2015-10-11,3512
2015-10-12,3512
2015-10-13,3532
2015-10-14,3532
2015-10-15,3532
2015-10-16,3532
2015-10-17,3532
2015-10-18,3532
2015-10-19,3532
2015-10-20,3432
2015-10-22,3432
2015-10-23,3432
2015-10-24,3432
2015-10-25,3432
2015-10-26,3432
2015-10-27,3432
2015-10-29,3411
2015-10-30,3411
2015-10-31,3411
2015-11-01,3411
2015-11-02,3411
2015-11-03,3411
2015-11-04,3411
2015-11-05,3411
2015-11-06,3411
2015-11-07,3288
2015-11-08,3288
2015-11-09,3288
2015-11-10,3288
2015-11-11,3288
2015-11-12,3288
2015-11-13,3288
2015-11-14,3288
2015-11-15,3288
2015-11-16,3308
2015-11-17,3308
2015-11-18,3308
2015-11-19,3308
2015-11-20,3308
2015-11-21,3308
2015-11-22,3271
2015-11-23,3271
2015-11-24,3271
2015-11-25,3271
2015-11-26,3271
2015-11-27,3271
2015-11-28,3271
2015-11-29,3271
2015-11-30,3293
2015-12-01,3293
2015-12-02,3293
2015-12-03,3293
2015-12-04,3293
2015-12-05,3293
2015-12-06,3293
2015-12-07,3293
2015-12-08,3201
2015-12-09,3201
2015-12-10,3201
2015-12-11,3201
2015-12-12,3201
2015-12-13,3201
2015-12-14,3201
2015-12-15,3058
2015-12-16,3058
2015-12-17,3058
2015-12-18,3058
2015-12-19,3058
2015-12-20,3058
2015-12-21,3058
2015-12-22,2977
2015-12-23,2977
2015-12-24,2977
2015-12-25,2977
2015-12-26,2977
2015-12-27,2977
2015-12-28,2977
2015-12-29,2887
2015-12-30,2887
2015-12-31,2887
2016-01-01,2887
2016-01-02,2887
2016-01-03,2791
2016-01-04,2791
2016-01-05,2791
2016-01-06,2791
2016-01-07,2791
2016-01-08,2791
2016-01-09,2818
2016-01-10,2818
2016-01-11,2818
2016-01-12,2818
2016-01-13,2818
2016-01-14,2832
2016-01-15,2832
2016-01-16,2832
2016-01-17,2832
2016-01-18,2832
2016-01-19,2832
2016-01-20,2901
2016-01-21,2901
2016-01-22,2901
2016-01-23,2901
2016-01-24,2901
2016-01-25,2997
2016-01-26,2997
2016-01-27,2997
2016-01-28,2997
2016-01-29,2997
2016-01-30,2997
2016-01-31,3111
2016-02-01,3111
2016-02-02,3111
2016-02-03,3111
2016-02-04,3111
2016-02-05,3111
2016-02-06,3063
2016-02-07,3063
2016-02-08,3063
2016-02-09,3063
2016-02-10,3063
2016-02-11,3063
2016-02-12,3063
2016-02-13,2987
2016-02-14,2987
2016-02-15,2987
2016-02-16,2987
2016-02-17,2987
2016-02-18,2987
2016-02-19,3040
2016-02-20,3040
2016-02-21,3040
2016-02-22,3040
2016-02-23,3040
2016-02-24,3040
2016-02-25,2916
2016-02-26,2916
2016-02-27,2916
2016-02-28,2916
2016-03-01,2916
2016-03-02,2774
2016-03-03,2774
2016-03-04,2774
2016-03-05,2774
2016-03-06,2774
2016-03-07,2768
2016-03-08,2768
2016-03-09,2768
2016-03-10,2768
2016-03-11,2768
2016-03-12,2782
2016-03-13,2782
2016-03-14,2782
2016-03-15,2782
2016-03-16,2782
2016-03-17,2789
2016-03-18,2789
2016-03-19,2789
2016-03-20,2789
2016-03-21,2789
2016-03-22,2778
2016-03-23,2778
2016-03-24,2778
2016-03-25,2778
2016-03-26,2778
2016-03-27,2777
2016-03-28,2777
2016-03-29,2777
2016-03-30,2777
