date_obj,Strawberry price
2015-03-26,95
2015-03-27,95
2015-03-28,91
2015-03-29,91
2015-03-30,91
2015-03-31,86
2015-04-01,86
2015-04-02,86
2015-04-03,86
2015-04-04,81
2015-04-05,81
2015-04-06,81
2015-04-07,76
2015-04-08,76
2015-04-09,76
2015-04-10,76
2015-04-11,72
2015-04-12,72
2015-04-13,72
2015-04-14,72
2015-04-15,68
2015-04-16,68
2015-04-17,68
2015-04-18,68
2015-04-19,64
2015-04-20,64
2015-04-21,64
2015-04-22,64
2015-04-23,60
2015-04-24,60
2015-04-25,60
2015-04-26,60
2015-04-27,57
2015-04-28,57
2015-04-29,57
2015-04-30,57
2015-05-01,54
2015-05-02,54
2015-05-03,54
2015-05-04,54
2015-05-05,54
2015-05-06,51
2015-05-07,51
2015-05-08,51
2015-05-09,51
2015-05-10,48
2015-05-11,48
2015-05-12,48
2015-05-13,48
2015-05-14,45
2015-05-15,45
2015-05-16,45
2015-05-17,45
2015-05-18,42
2015-05-19,42
2015-05-20,42
2015-05-21,42
2015-05-22,42
2015-05-23,42
2015-05-24,42
2015-05-25,42
2015-05-26,42
2015-05-27,42
2015-05-28,41
2015-05-29,41
2015-05-30,41
2015-05-31,39
2015-06-01,39
2015-06-02,39
2015-06-03,39
2015-06-04,38
2015-06-05,38
2015-06-06,38
2015-06-07,39
2015-06-08,39
2015-06-09,39
2015-06-10,39
2015-06-11,38
2015-06-12,38
2015-06-13,38
2015-06-14,38
2015-06-15,38
2015-06-16,38
2015-06-17,38
2015-06-18,38
2015-06-19,37
2015-06-20,37
2015-06-21,37
2015-06-22,37
2015-06-23,35
2015-06-24,35
2015-06-25,35
2015-06-26,35
2015-06-27,34
2015-06-28,34
2015-06-29,34
2015-06-30,34
2015-07-01,33
2015-07-02,33
2015-07-03,33
2015-07-04,33
2015-07-05,31
2015-07-06,31
2015-07-07,31
2015-07-08,31
2015-07-09,29
2015-07-10,29
2015-07-11,29
2015-07-12,29
2015-07-13,28
2015-07-14,28
2015-07-15,28
2015-07-16,28
2015-07-17,28
2015-07-18,28
2015-07-19,28
2015-07-20,28
2015-07-21,28
2015-07-22,27
2015-07-23,27
2015-07-24,27
2015-07-25,27
2015-07-26,26
2015-07-27,26
2015-07-28,26
2015-07-29,26
2015-07-30,27
2015-07-31,27
2015-08-01,27
2015-08-02,27
2015-08-03,26
2015-08-04,26
2015-08-05,26
2015-08-06,26
2015-08-07,27
2015-08-08,27
2015-08-09,27
2015-08-10,27
2015-08-11,29
2015-08-12,29
2015-08-13,29
2015-08-14,29
2015-08-15,29
2015-08-16,28
2015-08-17,28
2015-08-18,28
2015-08-19,28
2015-08-20,28
2015-08-21,28
2015-08-22,28
2015-08-23,28
2015-08-24,26
2015-08-25,26
2015-08-26,26
2015-08-27,26
2015-08-28,24
2015-08-29,24
2015-08-30,24
2015-08-31,24
2015-09-01,22
2015-09-02,22
2015-09-03,22
2015-09-04,22
2015-09-05,20
2015-09-06,20
2015-09-07,20
2015-09-08,20
2015-09-09,19
2015-09-10,19
2015-09-11,19
2015-09-12,19
2015-09-13,18
2015-09-14,18
2015-09-15,18
2015-09-16,18
2015-09-17,18
2015-09-18,18
2015-09-19,18
2015-09-20,18
2015-09-21,18
2015-09-22,18
2015-09-23,18
2015-09-24,18
2015-09-25,18
2015-09-27,19
2015-09-28,19
2015-09-29,19
2015-09-30,19
2015-10-05,20
2015-10-06,21
2015-10-07,21
2015-10-08,21
2015-10-09,21
2015-10-10,21
2015-10-11,23
2015-10-12,23
