date_obj,Sandwich%20lady%20bottom price
2019-04-11,200000
2019-04-11,201577
2019-04-12,201442
2019-04-13,192398
2019-04-14,182778
2019-04-15,60000
2019-04-16,60000
2019-04-17,57633
2019-04-18,54751
2019-04-19,52013
2019-04-20,49412
2019-04-21,46941
2019-04-22,44593
2019-04-23,42363
2019-04-24,40244
2019-04-25,38231
2019-04-26,36319
2019-04-27,34503
2019-04-28,33020
2019-04-29,31392
2019-04-30,29822
2019-05-01,28625
2019-05-02,27193
2019-05-03,25833
2019-05-04,24541
2019-05-05,23313
2019-05-06,22198
2019-05-07,21088
2019-05-08,20124
2019-05-09,19379
2019-05-10,18410
2019-05-11,17633
2019-05-12,16751
2019-05-13,15913
2019-05-14,15117
2019-05-15,14527
2019-05-16,13800
2019-05-17,13254
2019-05-18,12607
2019-05-19,12112
2019-05-20,11506
2019-05-21,11506
2019-05-22,10930
2019-05-23,10383
2019-05-24,9863
2019-05-25,9457
2019-05-26,9209
2019-05-27,8753
2019-05-28,8461
2019-05-29,8148
2019-05-30,8148
2019-05-31,7965
2019-06-01,7965
2019-06-02,7773
2019-06-03,7649
2019-06-04,7488
2019-06-05,7530
2019-06-06,7530
2019-06-07,7527
2019-06-08,7241
2019-06-09,7135
2019-06-10,7135
2019-06-11,6841
2019-06-12,6841
2019-06-13,6669
2019-06-14,6475
2019-06-15,6475
2019-06-16,6451
2019-06-17,6451
2019-06-18,6316
2019-06-19,6316
2019-06-20,6083
2019-06-21,6083
2019-06-22,5821
2019-06-23,5603
2019-06-24,5603
2019-06-25,5322
2019-06-26,5078
2019-06-27,4845
2019-06-28,4845
2019-06-29,4684
2019-06-30,4540
2019-07-01,4540
2019-07-02,4473
2019-07-03,4473
2019-07-04,4324
2019-07-05,4324
2019-07-06,4159
2019-07-07,4159
2019-07-08,4105
2019-07-09,4105
2019-07-10,3937
2019-07-11,3937
2019-07-12,3894
2019-07-13,3894
2019-07-14,3735
2019-07-15,3735
2019-07-16,3627
2019-07-17,3633
2019-07-18,3633
2019-07-19,3622
2019-07-20,3622
2019-07-21,3538
2019-07-22,3538
2019-07-23,3491
2019-07-24,3491
2019-07-25,3416
2019-07-26,3416
2019-07-27,3411
2019-07-28,3411
2019-07-29,3566
2019-07-30,3566
2019-07-31,3745
2019-08-01,3745
2019-08-02,3933
2019-08-03,3933
2019-08-04,4040
2019-08-05,4040
2019-08-06,3969
2019-08-07,3969
2019-08-08,3803
2019-08-09,3803
2019-08-10,3719
2019-08-11,3719
2019-08-12,3664
2019-08-13,3664
2019-08-14,3554
2019-08-15,3554
2019-08-16,3416
2019-08-17,3416
2019-08-18,3293
2019-08-19,3293
2019-08-20,3153
2019-08-21,3153
2019-08-22,3029
2019-08-23,3029
2019-08-24,2937
2019-08-24,2937
2019-08-25,2937
2019-08-25,2937
2019-08-26,2944
2019-08-26,2944
2019-08-27,2944
