date_obj,Mithril%20chainbody price
2015-03-26,1476
2015-03-27,1476
2015-03-28,1403
2015-03-29,1332
2015-03-30,1265
2015-03-31,1205
2015-04-01,1148
2015-04-02,1095
2015-04-03,1046
2015-04-04,995
2015-04-05,957
2015-04-06,925
2015-04-07,924
2015-04-08,924
2015-04-09,914
2015-04-10,918
2015-04-11,922
2015-04-12,925
2015-04-13,928
2015-04-14,935
2015-04-15,938
2015-04-16,942
2015-04-17,936
2015-04-18,938
2015-04-19,938
2015-04-20,938
2015-04-21,939
2015-04-22,933
2015-04-23,929
2015-04-24,931
2015-04-25,923
2015-04-26,924
2015-04-27,930
2015-04-28,946
2015-04-29,946
2015-04-30,938
2015-05-01,943
2015-05-02,944
2015-05-03,944
2015-05-04,942
2015-05-05,939
2015-05-06,934
2015-05-07,935
2015-05-08,922
2015-05-09,932
2015-05-10,935
2015-05-11,935
2015-05-12,939
2015-05-13,940
2015-05-14,937
2015-05-15,945
2015-05-16,945
2015-05-17,953
2015-05-18,944
2015-05-19,932
2015-05-20,932
2015-05-21,917
2015-05-22,926
2015-05-23,930
2015-05-24,927
2015-05-25,939
2015-05-26,928
2015-05-27,937
2015-05-28,950
2015-05-29,952
2015-05-30,936
2015-05-31,939
2015-06-01,937
2015-06-02,913
2015-06-03,933
2015-06-04,946
2015-06-05,947
2015-06-06,953
2015-06-07,964
2015-06-08,976
2015-06-09,973
2015-06-10,983
2015-06-11,987
2015-06-12,984
2015-06-13,990
2015-06-14,991
2015-06-15,995
2015-06-16,994
2015-06-17,996
2015-06-18,999
2015-06-19,991
2015-06-20,985
2015-06-21,954
2015-06-22,950
2015-06-23,949
2015-06-24,960
2015-06-25,974
2015-06-26,971
2015-06-27,970
2015-06-28,964
2015-06-29,975
2015-06-30,1000
2015-07-01,1014
2015-07-02,1014
2015-07-03,977
2015-07-04,944
2015-07-05,987
2015-07-06,991
2015-07-07,995
2015-07-08,991
2015-07-09,994
2015-07-10,982
2015-07-11,989
2015-07-12,971
2015-07-13,958
2015-07-14,972
2015-07-15,973
2015-07-16,974
2015-07-17,975
2015-07-18,972
2015-07-19,943
2015-07-20,971
2015-07-21,978
2015-07-22,980
2015-07-23,980
2015-07-24,977
2015-07-25,972
2015-07-26,974
2015-07-27,978
2015-07-28,981
2015-07-29,980
2015-07-30,975
2015-07-31,979
2015-08-01,980
2015-08-02,980
2015-08-03,975
2015-08-04,975
2015-08-05,964
2015-08-06,994
2015-08-07,983
2015-08-08,976
2015-08-09,978
2015-08-10,987
2015-08-11,994
2015-08-12,999
2015-08-13,986
2015-08-14,987
2015-08-15,984
2015-08-16,981
2015-08-17,966
2015-08-18,957
2015-08-19,968
2015-08-20,974
2015-08-21,981
2015-08-22,972
2015-08-23,974
2015-08-24,989
2015-08-25,989
2015-08-26,980
2015-08-27,985
2015-08-28,965
2015-08-29,974
2015-08-30,983
2015-08-31,990
2015-09-01,997
2015-09-02,997
2015-09-03,976
2015-09-04,958
2015-09-05,936
2015-09-06,943
2015-09-07,955
2015-09-08,963
2015-09-09,970
2015-09-10,974
2015-09-11,974
2015-09-12,971
2015-09-13,959
2015-09-14,961
2015-09-15,959
2015-09-16,959
2015-09-17,959
2015-09-18,953
2015-09-19,967
2015-09-20,960
2015-09-21,968
2015-09-22,975
2015-09-23,978
2015-09-24,978
2015-09-25,976
2015-09-27,974
2015-09-28,982
2015-09-29,985
2015-09-30,980
2015-10-05,989
2015-10-06,965
2015-10-07,957
2015-10-08,988
2015-10-09,990
2015-10-10,990
2015-10-11,995
2015-10-12,978
2015-10-13,978
2015-10-14,987
2015-10-15,984
2015-10-16,987
2015-10-17,987
2015-10-18,969
2015-10-19,998
2015-10-20,1001
2015-10-22,987
2015-10-23,984
2015-10-24,996
2015-10-25,971
2015-10-26,994
2015-10-27,994
2015-10-29,1009
2015-10-30,1005
2015-10-31,1010
2015-11-01,1010
2015-11-02,1005
2015-11-03,1012
2015-11-04,1016
2015-11-05,1012
2015-11-06,1018
2015-11-07,1026
2015-11-08,1026
2015-11-09,1006
2015-11-10,988
2015-11-11,1000
2015-11-12,1000
2015-11-13,996
2015-11-14,976
2015-11-15,988
2015-11-16,995
2015-11-17,996
2015-11-18,1001
2015-11-19,1008
2015-11-20,1013
2015-11-21,1013
2015-11-22,1013
2015-11-23,1013
2015-11-24,1015
2015-11-25,1013
2015-11-26,1013
2015-11-27,993
2015-11-28,985
2015-11-29,1006
2015-11-30,1033
2015-12-01,1028
2015-12-02,1031
2015-12-03,1040
2015-12-04,1009
2015-12-05,1005
2015-12-06,1013
2015-12-07,1016
2015-12-08,1017
2015-12-09,1014
2015-12-10,1047
2015-12-11,1045
2015-12-12,1047
2015-12-13,1066
2015-12-14,1066
2015-12-15,1041
2015-12-16,1028
2015-12-17,1010
2015-12-18,1024
2015-12-19,1006
2015-12-20,1025
2015-12-21,1012
2015-12-22,1013
2015-12-23,1023
2015-12-24,1043
2015-12-25,1030
2015-12-26,1016
2015-12-27,1029
2015-12-28,1014
2015-12-29,1008
2015-12-30,1014
2015-12-31,1009
2016-01-01,994
2016-01-02,1013
2016-01-03,1032
2016-01-04,1033
2016-01-05,1026
2016-01-06,1021
2016-01-07,1012
2016-01-08,1017
2016-01-09,1017
2016-01-10,1018
2016-01-11,1018
2016-01-12,1022
2016-01-13,1004
2016-01-14,1003
2016-01-15,1003
2016-01-16,988
2016-01-17,1007
2016-01-18,1013
2016-01-19,1000
2016-01-20,1015
2016-01-21,986
2016-01-22,1010
2016-01-23,1010
2016-01-24,1010
2016-01-25,999
2016-01-26,1015
2016-01-27,1018
2016-01-28,1018
2016-01-29,1017
2016-01-30,1021
2016-01-31,1011
2016-02-01,1005
2016-02-02,988
2016-02-03,998
2016-02-04,1005
2016-02-05,999
2016-02-06,1003
2016-02-07,962
2016-02-08,967
2016-02-09,979
2016-02-10,997
2016-02-11,1007
2016-02-12,1010
2016-02-13,1011
2016-02-14,1008
2016-02-15,1007
2016-02-16,1020
2016-02-17,1016
2016-02-18,975
2016-02-19,1008
2016-02-20,1001
2016-02-21,993
2016-02-22,993
2016-02-23,992
2016-02-24,1007
2016-02-25,1002
2016-02-26,1000
2016-02-27,984
2016-02-28,953
2016-02-29,979
2016-03-01,978
2016-03-02,982
2016-03-03,973
2016-03-04,975
2016-03-05,976
2016-03-06,981
2016-03-07,980
2016-03-08,984
2016-03-09,1014
2016-03-10,1005
2016-03-11,1001
2016-03-12,997
2016-03-13,1006
2016-03-14,1025
2016-03-15,1023
2016-03-16,1016
2016-03-17,1005
2016-03-18,999
2016-03-19,1017
2016-03-20,1016
2016-03-21,1005
2016-03-22,985
2016-03-23,1005
2016-03-24,1006
2016-03-25,998
2016-03-26,1007
2016-03-27,1024
2016-03-28,1015
2016-03-29,1025
2016-03-30,1025
2016-03-31,1022
2016-04-01,1019
2016-04-02,1003
2016-04-03,1013
2016-04-04,1017
2016-04-05,997
2016-04-06,995
2016-04-07,1007
2016-04-08,1011
2016-04-09,1015
2016-04-10,1019
2016-04-11,1019
2016-04-12,1023
2016-04-13,1027
2016-04-14,1023
2016-04-15,1037
2016-04-16,1030
2016-04-17,1036
2016-04-18,1049
2016-04-19,1037
2016-04-20,1038
2016-04-21,1043
2016-04-22,1034
2016-04-23,1035
2016-04-24,1008
2016-04-25,1005
2016-04-26,1009
2016-04-27,1011
2016-04-28,1011
2016-04-29,1014
2016-04-30,1005
2016-05-01,1011
2016-05-02,1016
2016-05-03,1012
2016-05-04,993
2016-05-05,1022
2016-05-06,1022
2016-05-07,995
2016-05-08,971
2016-05-09,974
2016-05-10,988
2016-05-11,973
2016-05-12,960
2016-05-13,960
2016-05-14,977
2016-05-15,966
2016-05-16,975
2016-05-17,976
2016-05-18,994
2016-05-19,993
2016-05-22,981
2016-05-23,959
2016-05-24,972
2016-05-25,972
2016-05-26,968
2016-05-27,983
2016-05-28,985
2016-05-29,972
2016-05-30,979
2016-05-31,992
2016-06-01,985
2016-06-02,994
2016-06-03,992
2016-06-04,989
2016-06-05,971
2016-06-06,972
2016-06-07,960
2016-06-08,989
2016-06-09,1019
2016-06-10,1006
2016-06-11,1018
2016-06-12,1003
2016-06-13,998
2016-06-14,990
2016-06-15,983
2016-06-16,1007
2016-06-17,996
2016-06-18,995
2016-06-19,966
2016-06-20,973
2016-06-21,967
2016-06-22,996
2016-06-23,987
2016-06-24,973
2016-06-25,990
2016-06-26,988
2016-06-27,992
2016-06-28,1003
2016-06-29,1000
2016-06-30,1012
2016-07-01,1007
2016-07-02,1016
2016-07-03,1023
2016-07-04,1016
2016-07-05,1023
2016-07-06,1017
2016-07-07,1013
2016-07-08,1005
2016-07-09,1023
2016-07-10,1027
2016-07-11,1021
2016-07-12,1004
2016-07-13,982
2016-07-14,1005
2016-07-15,982
2016-07-16,989
2016-07-17,1012
2016-07-18,1024
2016-07-23,1011
2016-07-24,1026
2016-07-25,1020
2016-07-26,1002
2016-07-27,984
2016-07-28,986
2016-07-29,995
2016-07-30,997
2016-07-31,1025
2016-08-01,1042
2016-08-02,1005
2016-08-03,998
2016-08-04,995
2016-08-05,983
2016-08-06,987
2016-08-07,998
2016-08-08,997
2016-08-09,992
2016-08-10,990
2016-08-11,987
2016-08-12,1008
2016-08-13,1018
2016-08-14,1019
2016-08-15,1011
2016-08-16,1020
2016-08-17,1010
2016-08-18,999
2016-08-19,1000
2016-08-20,1004
2016-08-21,1014
2016-08-22,1032
2016-08-23,1000
2016-08-24,1000
2016-08-25,987
2016-08-26,987
2016-08-28,981
2016-08-31,980
2016-09-01,1005
2016-09-02,1005
2016-09-03,1021
2016-09-04,1010
2016-09-05,1035
2016-09-06,1028
2016-09-07,1015
2016-09-08,994
2016-09-09,988
2016-09-10,996
2016-09-11,996
2016-09-12,992
2016-09-13,1003
2016-09-14,995
2016-09-15,975
2016-09-16,975
2016-09-17,959
2016-09-18,974
2016-09-19,975
2016-09-20,975
2016-09-21,970
2016-09-22,981
2016-09-23,988
2016-09-24,988
2016-09-25,983
2016-09-26,983
2016-09-27,965
2016-09-28,983
2016-09-29,995
2016-09-30,989
2016-10-01,971
2016-10-02,971
2016-10-03,964
2016-10-04,966
2016-10-05,964
2016-10-06,981
2016-10-07,974
2016-10-08,1007
2016-10-09,1025
2016-10-10,1002
2016-10-11,1006
2016-10-12,1013
2016-10-13,1000
2016-10-14,1022
2016-10-15,1004
2016-10-16,992
2016-10-17,1011
2016-10-18,1030
2016-10-19,1018
2016-10-20,1017
2016-10-21,993
2016-10-22,993
2016-10-23,1004
2016-10-24,981
2016-10-25,981
2016-10-26,992
2016-10-27,999
2016-10-28,998
2016-10-29,1003
2016-10-30,1024
2016-10-31,1014
2016-11-01,1014
2016-11-02,1017
2016-11-03,1015
2016-11-04,990
2016-11-05,990
2016-11-06,998
2016-11-07,977
2016-11-08,976
2016-11-09,997
2016-11-10,979
2016-11-11,960
2016-11-12,988
2016-11-13,993
2016-11-14,997
2016-12-07,994
2016-12-08,983
2016-12-09,979
2016-12-10,989
2016-12-11,961
2016-12-12,988
2016-12-13,1000
2016-12-14,1009
2016-12-15,983
2016-12-16,993
2016-12-17,1004
2016-12-18,1005
2016-12-19,984
2016-12-20,992
2016-12-21,977
2016-12-22,991
2016-12-23,1004
2016-12-24,993
2016-12-25,985
2016-12-26,976
2016-12-27,979
2016-12-28,985
2016-12-29,985
2016-12-30,992
2016-12-31,995
2017-01-01,977
2017-01-02,983
2017-01-03,1004
2017-01-04,1003
2017-01-05,988
2017-01-06,991
2017-01-07,981
2017-01-08,964
