date_obj,Ancient%20mitre price
2015-03-26,134624
2015-03-27,134624
2015-03-28,133077
2015-03-29,131439
2015-03-30,128356
2015-03-31,127217
2015-04-01,132339
2015-04-02,132648
2015-04-03,133215
2015-04-04,131660
2015-04-05,128635
2015-04-06,126489
2015-04-07,124971
2015-04-08,125677
2015-04-09,122698
2015-04-10,120621
2015-04-11,118966
2015-04-12,114769
2015-04-13,109175
2015-04-14,104382
2015-04-15,99979
2015-04-16,97280
2015-04-17,95395
2015-04-18,93072
2015-04-19,89356
2015-04-20,85963
2015-04-21,84141
2015-04-22,84166
2015-04-23,81928
2015-04-24,81332
2015-04-25,80303
2015-04-26,78481
2015-04-27,77840
2015-04-28,78681
2015-04-29,79140
2015-04-30,80472
2015-05-01,80998
2015-05-02,81314
2015-05-03,84280
2015-05-04,85752
2015-05-05,89806
2015-05-06,92258
2015-05-07,94187
2015-05-08,96979
2015-05-09,100656
2015-05-10,105292
2015-05-11,110111
2015-05-12,115617
2015-05-13,121088
2015-05-14,123800
2015-05-15,123355
2015-05-16,122011
2015-05-17,122150
2015-05-18,123918
2015-05-19,127745
2015-05-20,129510
2015-05-21,129872
2015-05-22,128440
2015-05-23,124993
2015-05-24,123599
2015-05-25,119704
2015-05-26,115187
2015-05-27,112217
2015-05-28,107260
2015-05-29,105335
2015-05-30,101801
2015-05-31,99448
2015-06-01,94497
2015-06-02,94497
2015-06-03,90360
2015-06-04,87727
2015-06-05,87655
2015-06-06,84769
2015-06-07,81036
2015-06-08,79595
2015-06-09,77882
2015-06-10,76619
2015-06-11,76680
2015-06-12,76216
2015-06-13,75588
2015-06-14,74405
2015-06-15,73735
2015-06-16,73422
2015-06-17,71281
2015-06-18,67871
2015-06-19,65110
2015-06-20,63588
2015-06-21,62792
2015-06-22,60834
2015-06-23,60312
2015-06-24,59031
2015-06-25,60004
2015-06-26,59686
2015-06-27,61697
2015-06-28,64349
2015-06-29,67121
2015-06-30,70357
2015-07-01,72878
2015-07-02,75552
2015-07-03,78064
2015-07-04,79070
2015-07-05,78503
2015-07-06,75819
2015-07-07,72177
2015-07-08,70743
2015-07-09,70743
2015-07-10,70278
2015-07-11,73366
2015-07-12,76723
2015-07-13,79102
2015-07-14,80920
2015-07-15,81195
2015-07-16,77135
2015-07-17,73751
2015-07-18,71175
2015-07-19,68948
2015-07-20,67639
2015-07-21,67065
2015-07-22,66393
2015-07-23,66393
2015-07-24,65712
2015-07-25,66188
2015-07-26,65530
2015-07-27,65081
2015-07-28,65465
2015-07-29,65644
2015-07-30,67451
2015-07-31,69470
2015-08-01,68793
2015-08-02,68381
2015-08-03,67485
2015-08-04,67925
2015-08-05,65945
2015-08-06,64514
2015-08-07,63580
2015-08-08,62258
2015-08-09,61337
2015-08-10,58423
2015-08-11,56358
2015-08-12,55070
2015-08-13,54783
2015-08-14,55385
2015-08-15,56198
2015-08-16,58405
2015-08-17,61280
2015-08-18,63830
2015-08-19,65345
2015-08-20,66344
2015-08-21,66531
2015-08-22,67000
2015-08-23,68311
2015-08-24,68787
2015-08-25,68787
2015-08-26,69564
2015-08-27,69652
2015-08-28,69322
2015-08-29,69081
2015-08-30,69047
2015-08-31,68526
2015-09-01,68345
2015-09-02,68345
2015-09-03,67775
2015-09-04,67237
2015-09-05,67460
2015-09-06,66798
2015-09-07,66046
2015-09-08,65803
2015-09-09,64987
2015-09-10,64933
2015-09-11,64825
2015-09-12,64552
2015-09-13,64207
2015-09-14,64515
2015-09-15,63942
2015-09-16,63942
2015-09-17,65488
2015-09-18,65158
2015-09-19,65558
2015-09-20,65683
2015-09-21,65032
2015-09-22,64631
2015-09-23,64030
2015-09-24,66383
2015-09-25,69408
2015-09-27,71894
2015-09-28,71231
2015-09-29,71446
2015-09-30,74333
2015-10-05,69861
2015-10-06,69423
2015-10-07,69423
2015-10-08,68529
2015-10-09,68204
2015-10-10,68204
2015-10-11,66868
2015-10-12,65345
2015-10-13,65345
2015-10-14,64154
2015-10-15,63857
2015-10-16,61986
2015-10-17,61986
2015-10-18,60944
2015-10-19,59996
2015-10-20,60200
2015-10-22,59510
2015-10-23,58858
2015-10-24,59464
2015-10-25,58589
2015-10-26,59619
2015-10-27,59619
2015-10-28,61082
2015-10-29,60100
2015-10-30,61339
2015-10-31,60121
2015-11-01,60121
2015-11-02,59441
2015-11-03,58425
2015-11-04,58425
2015-11-05,56805
2015-11-06,56805
2015-11-07,55811
2015-11-08,55811
2015-11-09,53870
2015-11-10,53870
2015-11-11,51270
2015-11-12,48879
2015-11-13,46719
2015-11-14,44383
2015-11-15,42880
2015-11-16,42184
2015-11-17,41868
2015-11-18,41532
2015-11-19,41521
2015-11-20,41351
2015-11-21,41351
2015-11-22,40549
2015-11-23,40549
2015-11-24,39585
2015-11-25,38755
2015-11-26,38755
2015-11-27,39742
2015-11-28,41730
2015-11-29,43369
2015-11-30,43796
2015-12-01,45443
2015-12-02,45735
2015-12-03,48004
2015-12-04,49784
2015-12-05,50381
2015-12-06,50420
2015-12-07,51707
2015-12-08,51330
2015-12-09,50687
2015-12-10,49973
2015-12-11,48116
2015-12-12,47993
2015-12-13,48099
2015-12-14,49449
2015-12-15,48617
2015-12-16,49828
2015-12-17,51516
2015-12-18,52427
2015-12-19,53368
2015-12-20,53735
2015-12-21,53952
2015-12-22,55885
2015-12-23,57829
2015-12-24,59329
2015-12-25,61521
2015-12-26,63392
2015-12-27,65532
2015-12-28,68409
2015-12-29,70167
2015-12-30,71434
2015-12-31,73427
2016-01-01,75619
2016-01-02,76610
2016-01-03,76153
2016-01-04,76706
2016-01-05,79041
2016-01-06,79911
2016-01-07,78715
2016-01-08,76122
2016-01-09,75140
2016-01-10,72343
2016-01-11,69777
2016-01-12,70256
2016-01-13,69857
2016-01-14,70456
2016-01-15,70166
2016-01-16,68532
2016-01-17,67908
2016-01-18,68065
2016-01-19,68162
2016-01-20,66940
2016-01-21,67485
2016-01-22,65395
2016-01-23,64391
2016-01-24,63064
2016-01-25,62059
2016-01-26,61260
2016-01-27,58664
2016-01-28,58664
2016-01-29,57270
2016-01-30,57321
2016-01-31,57273
2016-02-01,55499
2016-02-02,53419
2016-02-03,51288
2016-02-04,49669
2016-02-05,50231
2016-02-06,51641
2016-02-07,53803
2016-02-08,53233
2016-02-09,54414
2016-02-10,56675
2016-02-11,58062
2016-02-12,57574
2016-02-13,58719
2016-02-14,61164
2016-02-15,62407
2016-02-16,62265
2016-02-17,60319
2016-02-18,57943
2016-02-19,57141
2016-02-20,56016
2016-02-21,54534
2016-02-22,54534
2016-02-23,55403
