date_obj,Maple%20blackjack(o) price
2015-03-05,700
2015-03-06,700
2015-03-07,700
2015-03-08,711
2015-03-09,711
2015-03-10,711
2015-03-11,711
2015-03-12,711
2015-03-13,711
2015-03-14,711
2015-03-15,711
2015-03-16,711
2015-03-17,711
2015-03-18,736
2015-03-19,736
2015-03-20,736
2015-03-21,736
2015-03-22,736
2015-03-23,736
2015-03-24,736
2015-03-25,736
2015-03-26,747
2015-03-27,747
2015-03-28,747
2015-03-29,747
2015-03-30,747
2015-03-31,747
2015-04-01,747
2015-04-02,769
2015-04-03,769
2015-04-04,769
2015-04-05,769
2015-04-06,769
2015-04-07,769
2015-04-08,769
2015-04-09,803
2015-04-10,803
2015-04-11,803
2015-04-12,803
2015-04-13,803
2015-04-14,803
2015-04-15,803
2015-04-16,834
2015-04-17,834
2015-04-18,834
2015-04-19,834
2015-04-20,834
2015-04-21,834
2015-04-22,834
2015-04-23,834
2015-04-24,875
2015-04-25,875
2015-04-26,875
2015-04-27,875
2015-04-28,875
2015-04-29,875
2015-04-30,875
2015-05-01,912
2015-05-02,912
2015-05-03,912
2015-05-04,912
2015-05-05,912
2015-05-06,912
2015-05-07,912
2015-05-08,958
2015-05-09,958
2015-05-10,958
2015-05-11,958
2015-05-12,958
2015-05-13,958
2015-05-14,1005
2015-05-15,1005
2015-05-16,1005
2015-05-17,1005
2015-05-18,1005
2015-05-19,1005
2015-05-20,1005
2015-05-21,1049
2015-05-22,1049
2015-05-23,1049
2015-05-24,1049
2015-05-25,1049
2015-05-26,1049
2015-05-27,1092
2015-05-28,1092
2015-05-29,1092
2015-05-30,1092
2015-05-31,1132
2015-06-01,1132
2015-06-02,1132
2015-06-03,1132
2015-06-04,1132
2015-06-05,1172
2015-06-06,1172
2015-06-07,1172
2015-06-08,1172
2015-06-09,1172
2015-06-10,1221
2015-06-11,1221
2015-06-12,1221
2015-06-13,1221
2015-06-14,1221
2015-06-15,1282
2015-06-16,1282
2015-06-17,1282
2015-06-18,1282
2015-06-19,1282
2015-06-20,1324
2015-06-21,1324
2015-06-22,1324
2015-06-23,1324
2015-06-24,1324
2015-06-25,1366
2015-06-26,1366
2015-06-27,1366
2015-06-28,1366
2015-06-29,1366
2015-06-30,1429
2015-07-01,1429
2015-07-02,1429
2015-07-03,1429
2015-07-04,1483
2015-07-05,1483
2015-07-06,1483
2015-07-07,1483
2015-07-08,1483
2015-07-09,1483
2015-07-10,1557
2015-07-11,1557
2015-07-12,1557
2015-07-13,1557
2015-07-14,1557
2015-07-15,1634
2015-07-16,1634
2015-07-17,1634
2015-07-18,1634
2015-07-19,1634
2015-07-20,1687
2015-07-21,1687
2015-07-22,1687
2015-07-23,1687
2015-07-24,1687
2015-07-25,1749
2015-07-26,1749
2015-07-27,1749
2015-07-28,1749
2015-07-29,1825
2015-07-30,1825
2015-07-31,1825
2015-08-01,1825
2015-08-02,1908
2015-08-03,1908
2015-08-04,1908
2015-08-05,1908
2015-08-06,1908
