date_obj,Adamant%20crossbow%20(u) price
2015-03-26,1100
2015-03-27,1100
2015-03-28,1100
2015-03-29,1100
2015-03-30,1100
2015-03-31,1100
2015-04-01,1100
2015-04-02,1100
2015-04-03,1100
2015-04-04,1100
2015-04-05,1100
2015-04-06,1100
2015-04-07,1100
2015-04-08,1100
2015-04-09,1100
2015-04-10,1100
2015-04-11,1100
2015-04-12,1100
2015-04-13,1100
2015-04-14,1100
2015-04-15,1100
2015-04-16,1100
2015-04-17,1100
2015-04-18,1100
2015-04-19,1100
2015-04-20,1100
2015-04-21,1100
2015-04-22,1100
2015-04-23,1100
2015-04-24,1100
2015-04-25,1100
2015-04-26,1100
2015-04-27,1100
2015-04-28,1100
2015-04-29,1100
2015-04-30,1100
2015-05-01,1100
2015-05-02,1100
2015-05-03,1100
2015-05-04,1100
2015-05-05,1100
2015-05-06,1100
2015-05-07,1100
2015-05-08,1100
2015-05-09,1100
2015-05-10,1100
2015-05-11,1100
2015-05-12,1100
2015-05-13,1100
2015-05-14,1100
2015-05-15,1100
2015-05-16,1100
2015-05-17,1100
2015-05-18,1100
2015-05-19,1100
2015-05-20,1100
2015-05-21,1100
2015-05-22,1126
2015-05-23,1126
2015-05-24,1126
2015-05-25,1126
2015-05-26,1126
2015-05-27,1126
2015-05-28,1126
2015-05-29,1126
2015-05-30,1126
2015-05-31,1126
2015-06-01,1126
2015-06-02,1126
2015-06-03,1126
2015-06-04,1126
2015-06-05,1126
2015-06-06,1126
2015-06-07,1126
2015-06-08,1126
2015-06-09,1126
2015-06-10,1126
2015-06-11,1126
2015-06-12,1126
2015-06-13,1126
2015-06-14,1126
2015-06-15,1126
2015-06-16,1126
2015-06-17,1126
2015-06-18,1126
2015-06-19,1126
2015-06-20,1126
2015-06-21,1126
2015-06-22,1126
2015-06-23,1126
2015-06-24,1126
2015-06-25,1126
2015-06-26,1126
2015-06-27,1126
2015-06-28,1126
2015-06-29,1126
2015-06-30,1126
2015-07-01,1126
2015-07-02,1126
2015-07-03,1126
2015-07-04,1126
2015-07-05,1126
2015-07-06,1126
2015-07-07,1126
2015-07-08,1126
2015-07-09,1126
2015-07-10,1126
2015-07-11,1126
2015-07-12,1126
2015-07-13,1126
2015-07-14,1126
2015-07-15,1126
2015-07-16,1126
