date_obj,Orange%20dye price
2015-03-26,2372
2015-03-27,2372
2015-03-28,2254
2015-03-29,2141
2015-03-30,2043
2015-03-31,1970
2015-04-01,1946
2015-04-02,1885
2015-04-03,1792
2015-04-04,1739
2015-04-05,1713
2015-04-06,1628
2015-04-07,1546
2015-04-08,1546
2015-04-09,1475
2015-04-10,1401
2015-04-11,1330
2015-04-12,1263
2015-04-13,1199
2015-04-14,1199
2015-04-15,1139
2015-04-16,1082
2015-04-17,1027
2015-04-18,975
2015-04-19,926
2015-04-20,926
2015-04-21,879
2015-04-22,865
2015-04-23,866
2015-04-24,853
2015-04-25,841
2015-04-26,851
2015-04-27,828
2015-04-28,811
2015-04-29,811
2015-04-30,807
2015-05-01,798
2015-05-02,782
2015-05-03,782
2015-05-04,765
2015-05-05,729
2015-05-06,705
2015-05-07,692
2015-05-08,696
2015-05-09,672
2015-05-10,652
2015-05-11,652
2015-05-12,644
2015-05-13,611
2015-05-14,589
2015-05-15,602
2015-05-16,603
2015-05-17,586
2015-05-18,586
2015-05-19,589
2015-05-20,589
2015-05-21,598
2015-05-22,617
2015-05-23,637
2015-05-24,651
2015-05-25,675
2015-05-26,697
2015-05-27,716
2015-05-28,747
2015-05-29,749
2015-05-30,762
2015-05-31,787
2015-06-01,809
2015-06-02,809
2015-06-03,811
2015-06-04,770
2015-06-05,764
2015-06-06,801
2015-06-07,830
2015-06-08,809
2015-06-09,788
2015-06-10,765
2015-06-11,733
2015-06-12,700
2015-06-13,704
2015-06-14,688
2015-06-15,690
2015-06-16,716
2015-06-17,749
2015-06-18,773
2015-06-19,790
2015-06-20,791
2015-06-21,787
2015-06-22,793
2015-06-23,813
2015-06-24,838
2015-06-25,861
2015-06-26,887
2015-06-27,913
2015-06-28,897
2015-06-29,935
2015-06-30,963
2015-07-01,984
2015-07-02,984
2015-07-03,950
2015-07-04,902
2015-07-05,871
2015-07-06,858
2015-07-07,851
2015-07-08,839
2015-07-09,836
2015-07-10,836
2015-07-11,803
2015-07-12,790
2015-07-13,775
2015-07-14,777
2015-07-15,773
2015-07-16,763
2015-07-17,750
2015-07-18,720
2015-07-19,736
2015-07-20,751
2015-07-21,738
2015-07-22,760
2015-07-23,760
2015-07-24,736
2015-07-25,711
2015-07-26,689
2015-07-27,655
2015-07-28,646
2015-07-29,618
2015-07-30,646
2015-07-31,653
2015-08-01,653
2015-08-02,677
2015-08-03,684
2015-08-04,699
2015-08-05,696
2015-08-06,702
2015-08-07,711
2015-08-08,734
2015-08-09,722
2015-08-10,729
2015-08-11,760
2015-08-12,792
2015-08-13,773
2015-08-14,735
2015-08-15,698
2015-08-16,726
2015-08-17,689
2015-08-18,654
2015-08-19,647
2015-08-20,629
2015-08-21,624
2015-08-22,634
2015-08-23,657
2015-08-24,677
2015-08-25,677
2015-08-26,705
2015-08-27,738
2015-08-28,747
2015-08-29,754
2015-08-30,721
2015-08-31,737
2015-09-01,736
2015-09-02,736
2015-09-03,761
2015-09-04,765
2015-09-05,726
2015-09-06,740
2015-09-07,729
2015-09-08,709
2015-09-09,732
2015-09-10,767
2015-09-11,804
2015-09-12,788
2015-09-13,766
2015-09-14,751
2015-09-15,752
2015-09-16,752
2015-09-17,766
2015-09-18,773
2015-09-19,790
2015-09-20,807
2015-09-21,844
2015-09-22,827
2015-09-23,816
2015-09-24,816
2015-09-25,781
2015-09-27,707
