date_obj,Tzhaar-ket-om%20ornament%20kit price
2019-04-11,200000
2019-04-11,210000
2019-04-12,220500
2019-04-13,231525
2019-04-14,243102
2019-04-15,500000
2019-04-16,500000
2019-04-17,502787
2019-04-18,485120
2019-04-19,465747
2019-04-20,443506
2019-04-21,421330
2019-04-22,400263
2019-04-23,380249
2019-04-24,362211
2019-04-25,344100
2019-04-26,327827
2019-04-27,311767
2019-04-28,296178
2019-04-29,281369
2019-04-30,267300
2019-05-01,253935
2019-05-02,241238
2019-05-03,229190
2019-05-04,217730
2019-05-05,206843
2019-05-06,196500
2019-05-07,186675
2019-05-08,177341
2019-05-09,168473
2019-05-10,160049
2019-05-11,152046
2019-05-12,144443
2019-05-13,137220
2019-05-14,130359
2019-05-15,123841
2019-05-16,117648
2019-05-17,111765
2019-05-18,106176
2019-05-19,100867
2019-05-20,95823
2019-05-21,91031
2019-05-22,86479
2019-05-23,82155
2019-05-24,78047
2019-05-25,74314
2019-05-26,70773
2019-05-27,67371
2019-05-28,64685
2019-05-29,61450
2019-05-30,58747
2019-05-31,56737
2019-06-01,55893
2019-06-02,56140
2019-06-03,58559
2019-06-04,61205
2019-06-05,64266
2019-06-06,67480
2019-06-07,70854
2019-06-08,74397
2019-06-09,78072
2019-06-10,78072
2019-06-11,80877
2019-06-12,83775
2019-06-13,83126
2019-06-14,81617
2019-06-15,82734
2019-06-16,81673
2019-06-17,79799
2019-06-18,78080
2019-06-19,76364
2019-06-20,72867
2019-06-21,69352
2019-06-22,66465
2019-06-23,63647
2019-06-24,60533
2019-06-25,58331
2019-06-26,56625
2019-06-27,55493
2019-06-28,55493
2019-06-29,53843
2019-06-30,51748
2019-07-01,51748
2019-07-02,49510
2019-07-03,47632
2019-07-04,45954
2019-07-05,43830
2019-07-06,41868
2019-07-07,39980
2019-07-08,38838
2019-07-09,37393
2019-07-10,35983
2019-07-11,36033
2019-07-12,36575
2019-07-13,36575
2019-07-14,37046
2019-07-15,38667
2019-07-16,38238
2019-07-17,38309
2019-07-18,37431
2019-07-19,36921
2019-07-20,37281
2019-07-21,36726
2019-07-22,36131
2019-07-23,35121
2019-07-24,34684
2019-07-25,34684
2019-07-26,34236
2019-07-27,33142
2019-07-28,31749
2019-07-29,30739
2019-07-30,29448
2019-07-31,28211
2019-08-01,27024
2019-08-02,26134
2019-08-03,25962
2019-08-04,26108
2019-08-05,25703
2019-08-06,26078
2019-08-07,26588
2019-08-08,26588
2019-08-09,27406
2019-08-10,27598
2019-08-11,27419
2019-08-12,28412
2019-08-13,29118
2019-08-14,29588
2019-08-15,29755
2019-08-16,29286
2019-08-17,29286
2019-08-18,29824
2019-08-19,28517
2019-08-20,28517
2019-08-21,27469
2019-08-22,26237
2019-08-23,25104
2019-08-24,24023
2019-08-24,24023
2019-08-25,24023
2019-08-25,24023
2019-08-26,23337
2019-08-26,23337
2019-08-27,22239
2019-08-27,22239
2019-08-28,21167
2019-08-29,20195
2019-08-30,20583
2019-08-31,20583
