date_obj,Iron%20brutal price
2015-03-26,365
2015-03-27,365
2015-03-28,365
2015-03-29,365
2015-03-30,365
2015-03-31,365
2015-04-01,365
2015-04-02,366
2015-04-03,366
2015-04-04,366
2015-04-05,366
2015-04-06,366
2015-04-07,366
2015-04-08,366
2015-04-09,366
2015-04-10,366
2015-04-11,366
2015-04-12,366
2015-04-13,366
2015-04-14,366
2015-04-15,366
2015-04-16,366
2015-04-17,366
2015-04-18,366
2015-04-19,355
2015-04-20,355
2015-04-21,355
2015-04-22,355
2015-04-23,355
2015-04-24,355
2015-04-25,355
2015-04-26,355
2015-04-27,355
2015-04-28,355
2015-04-29,355
2015-04-30,355
2015-05-01,355
2015-05-02,355
2015-05-03,355
2015-05-04,338
2015-05-05,338
2015-05-06,338
2015-05-07,338
2015-05-08,338
2015-05-09,338
2015-05-10,338
2015-05-11,338
2015-05-12,338
2015-05-13,338
2015-05-14,338
2015-05-15,338
2015-05-16,338
2015-05-17,326
2015-05-18,326
2015-05-19,326
2015-05-20,326
2015-05-21,326
2015-05-22,326
2015-05-23,326
2015-05-24,326
2015-05-25,326
2015-05-26,326
2015-05-27,326
2015-05-28,318
2015-05-29,318
2015-05-30,318
2015-05-31,318
2015-06-01,318
2015-06-02,318
2015-06-03,318
2015-06-04,318
2015-06-05,318
2015-06-06,318
2015-06-07,308
2015-06-08,308
2015-06-09,308
2015-06-10,308
2015-06-11,308
2015-06-12,308
2015-06-13,308
2015-06-14,308
2015-06-15,308
2015-06-16,308
2015-06-17,308
2015-06-18,307
2015-06-19,307
2015-06-20,307
2015-06-21,307
2015-06-22,307
2015-06-23,307
2015-06-24,307
2015-06-25,307
2015-06-26,307
2015-06-27,307
2015-06-28,307
2015-06-29,307
2015-06-30,295
2015-07-01,295
2015-07-02,295
2015-07-03,295
2015-07-04,295
2015-07-05,295
2015-07-06,295
2015-07-07,295
2015-07-08,295
2015-07-09,295
2015-07-10,295
2015-07-11,295
2015-07-12,295
2015-07-13,294
2015-07-14,294
2015-07-15,294
2015-07-16,294
2015-07-17,294
2015-07-18,294
2015-07-19,294
2015-07-20,294
2015-07-21,294
2015-07-22,294
2015-07-23,294
2015-07-24,294
2015-07-25,294
2015-07-26,294
2015-07-27,294
2015-07-28,294
2015-07-29,294
2015-07-30,294
2015-07-31,294
2015-08-01,294
2015-08-02,294
2015-08-03,288
2015-08-04,288
2015-08-05,288
2015-08-06,288
2015-08-07,288
2015-08-08,288
2015-08-09,288
2015-08-10,288
2015-08-11,288
2015-08-12,288
2015-08-13,288
2015-08-14,286
2015-08-15,286
2015-08-16,286
2015-08-17,286
2015-08-18,286
2015-08-19,286
2015-08-20,286
2015-08-21,286
2015-08-22,286
2015-08-23,286
2015-08-24,286
2015-08-25,286
2015-08-26,286
2015-08-27,284
2015-08-28,284
2015-08-29,284
2015-08-30,284
2015-08-31,284
2015-09-01,284
2015-09-02,284
2015-09-03,284
2015-09-04,284
2015-09-05,284
2015-09-06,284
2015-09-07,284
2015-09-08,284
2015-09-09,284
2015-09-10,283
2015-09-11,283
2015-09-12,283
2015-09-13,283
2015-09-14,283
2015-09-15,283
2015-09-16,283
2015-09-17,283
2015-09-18,283
2015-09-19,283
2015-09-20,283
2015-09-21,283
2015-09-22,283
2015-09-23,271
2015-09-24,271
2015-09-25,271
2015-09-27,271
2015-09-28,271
2015-09-29,271
2015-09-30,271
2015-10-05,271
2015-10-06,271
2015-10-07,271
2015-10-08,259
2015-10-09,259
2015-10-10,259
2015-10-11,259
2015-10-12,259
2015-10-13,259
2015-10-14,259
2015-10-15,259
2015-10-16,259
2015-10-17,259
2015-10-18,259
2015-10-19,259
2015-10-20,259
2015-10-22,259
2015-10-23,252
2015-10-24,252
2015-10-25,252
2015-10-26,252
2015-10-27,252
2015-10-29,252
2015-10-30,252
2015-10-31,252
2015-11-01,252
2015-11-02,252
2015-11-03,252
2015-11-04,252
2015-11-05,252
2015-11-06,252
2015-11-07,247
2015-11-08,247
2015-11-09,247
2015-11-10,247
2015-11-11,247
2015-11-12,247
2015-11-13,247
2015-11-14,247
2015-11-15,247
2015-11-16,247
2015-11-17,247
2015-11-18,247
2015-11-19,247
2015-11-20,247
2015-11-21,247
2015-11-22,244
2015-11-23,244
2015-11-24,244
2015-11-25,244
2015-11-26,244
2015-11-27,244
2015-11-28,244
2015-11-29,244
2015-11-30,244
2015-12-01,244
2015-12-02,244
2015-12-03,244
2015-12-04,244
2015-12-05,244
2015-12-06,244
2015-12-07,245
2015-12-08,245
2015-12-10,245
2015-12-11,245
2015-12-12,245
2015-12-13,245
2015-12-14,245
2015-12-15,245
2015-12-16,245
2015-12-17,245
2015-12-18,245
2015-12-19,245
2015-12-20,234
2015-12-21,234
2015-12-22,234
2015-12-23,234
2015-12-24,234
2015-12-25,234
2015-12-26,234
2015-12-27,234
2015-12-28,234
2015-12-29,234
2015-12-30,226
2015-12-31,226
2016-01-01,226
2016-01-02,226
2016-01-03,226
2016-01-04,226
2016-01-05,226
2016-01-06,226
2016-01-07,226
2016-01-08,218
2016-01-09,218
2016-01-10,218
2016-01-11,218
2016-01-12,218
2016-01-13,218
2016-01-14,218
2016-01-15,218
2016-01-16,218
2016-01-17,218
2016-01-18,212
2016-01-19,212
2016-01-20,212
2016-01-21,212
2016-01-22,212
2016-01-23,212
2016-01-24,212
2016-01-25,212
2016-01-26,212
2016-01-27,212
2016-01-28,212
2016-01-29,207
2016-01-30,207
2016-01-31,207
2016-02-01,207
2016-02-02,207
2016-02-03,207
2016-02-04,207
2016-02-05,207
2016-02-06,207
2016-02-07,202
2016-02-08,202
2016-02-09,202
2016-02-10,202
2016-02-11,202
2016-02-12,202
2016-02-13,202
2016-02-14,202
2016-02-15,202
2016-02-16,194
2016-02-17,194
2016-02-18,194
2016-02-19,194
