date_obj,Twisted%20blueprints price
2020-01-13,250000
2020-01-14,250000
2020-01-15,262500
2020-01-16,275625
2020-01-17,289407
2020-01-18,303878
2020-01-19,319072
2020-01-20,335026
2020-01-21,351778
2020-01-22,369367
2020-01-23,387836
2020-01-24,407228
2020-01-25,427590
2020-01-26,448970
2020-01-27,471419
2020-01-28,494990
2020-01-29,519740
2020-01-30,545727
2020-01-31,573014
2020-02-01,601665
2020-02-02,631749
2020-02-03,663337
2020-02-04,696504
2020-02-05,731330
2020-02-06,767897
2020-02-07,805925
2020-02-08,846222
2020-02-09,887197
2020-02-10,931557
2020-02-11,976279
2020-02-12,1012734
2020-02-13,1058813
2020-02-14,1110129
2020-02-15,1162870
2020-02-16,1218454
2020-02-17,1277694
2020-02-18,1338660
2020-02-19,1402706
2020-02-20,1470742
2020-02-21,1538059
2020-02-22,1614962
2020-02-23,1693999
2020-02-24,1777255
2020-02-25,1860440
2020-02-26,1952428
2020-02-27,2035705
2020-02-28,2137491
2020-02-29,2242091
2020-03-01,2354196
2020-03-02,2467965
2020-03-03,2582970
2020-03-04,2706648
2020-03-05,2838010
2020-03-06,2978155
2020-03-07,3113146
2020-03-08,3264874
2020-03-09,3426755
2020-03-10,3594509
2020-03-11,3766733
2020-03-12,3952106
2020-03-13,4130142
2020-03-14,4333476
2020-03-15,4546771
2020-03-16,4771495
2020-03-17,5004201
2020-03-18,5245101
2020-03-19,5491561
2020-03-20,5750862
2020-03-21,6023260
2020-03-22,6315026
2020-03-23,6618368
2020-03-24,6934110
2020-03-25,7257141
2020-03-26,7610348
2020-03-27,7980374
2020-03-28,8371408
2020-03-29,8789979
2020-03-30,9194957
2020-03-31,9640284
2020-04-01,10093272
2020-04-02,10574479
2020-04-03,10574479
2020-04-04,11103203
2020-04-05,11617819
2020-04-06,12198710
2020-04-07,12761827
2020-04-08,13399919
2020-04-09,14038343
2020-04-10,14038343
2020-04-11,14740261
2020-04-12,15400658
2020-04-13,16114321
2020-04-14,16920038
2020-04-15,17710730
2020-04-16,17710730
2020-04-17,18410885
2020-04-18,18275468
2020-04-19,17473591
2020-04-20,16604139
2020-04-21,15899471
2020-04-22,15128270
2020-04-23,14451555
2020-04-24,14451555
2020-04-25,13728977
2020-04-26,13046371
2020-04-27,13355151
2020-04-28,14022909
2020-04-29,14022909
2020-04-30,14724055
2020-05-01,14724055
2020-05-02,15422017
2020-05-03,15422017
2020-05-04,16086842
2020-05-05,16089845
2020-05-06,16317368
2020-05-07,16317368
2020-05-08,16696309
2020-05-09,16699893
2020-05-10,16699893
2020-05-11,16791017
2020-05-12,16791017
2020-05-13,16926740
