date_obj,Studded%20chaps price
2015-03-26,1282
2015-03-27,1282
2015-03-28,1217
2015-03-29,1156
2015-03-30,1098
2015-03-31,1043
2015-04-01,990
2015-04-02,940
2015-04-03,893
2015-04-04,854
2015-04-05,811
2015-04-06,776
2015-04-07,772
2015-04-08,774
2015-04-09,763
2015-04-10,759
2015-04-11,762
2015-04-12,753
2015-04-13,747
2015-04-14,751
2015-04-15,753
2015-04-16,737
2015-04-17,732
2015-04-18,719
2015-04-19,692
2015-04-20,657
2015-04-21,626
2015-04-22,607
2015-04-23,577
2015-04-24,548
2015-04-25,535
2015-04-26,528
2015-04-27,514
2015-04-28,508
2015-04-29,508
2015-04-30,498
2015-05-01,506
2015-05-02,509
2015-05-03,492
2015-05-04,486
2015-05-05,479
2015-05-06,471
2015-05-07,451
2015-05-08,440
2015-05-09,440
2015-05-10,436
2015-05-11,441
2015-05-12,440
2015-05-13,429
2015-05-14,413
2015-05-15,413
2015-05-16,409
2015-05-17,408
2015-05-18,413
2015-05-19,434
2015-05-20,451
2015-05-21,455
2015-05-22,454
2015-05-23,452
2015-05-24,449
2015-05-25,435
2015-05-26,424
2015-05-27,413
2015-05-28,402
2015-05-29,396
2015-05-30,398
2015-05-31,395
2015-06-01,391
2015-06-02,388
2015-06-03,391
2015-06-04,404
2015-06-05,415
2015-06-06,429
2015-06-07,436
2015-06-08,443
2015-06-09,442
2015-06-10,437
2015-06-11,441
2015-06-12,432
2015-06-13,422
2015-06-14,432
2015-06-15,448
2015-06-16,454
2015-06-17,448
2015-06-18,439
2015-06-19,434
2015-06-20,428
2015-06-21,434
2015-06-22,450
2015-06-23,461
2015-06-24,479
2015-06-25,479
2015-06-26,479
2015-06-27,497
2015-06-28,509
2015-06-29,525
2015-06-30,527
2015-07-01,546
2015-07-02,558
2015-07-03,586
2015-07-04,607
2015-07-05,589
2015-07-06,607
2015-07-07,619
2015-07-08,614
2015-07-09,637
2015-07-10,630
2015-07-11,621
2015-07-12,589
2015-07-13,559
2015-07-14,531
2015-07-15,506
2015-07-16,480
2015-07-17,465
2015-07-18,465
2015-07-19,472
2015-07-20,477
2015-07-21,483
2015-07-22,488
2015-07-23,489
2015-07-24,469
2015-07-25,458
2015-07-26,455
2015-07-27,458
2015-07-28,465
2015-07-29,465
2015-07-30,462
2015-07-31,466
2015-08-01,478
2015-08-02,473
2015-08-03,476
2015-08-04,481
2015-08-05,482
2015-08-06,492
2015-08-07,510
2015-08-08,505
2015-08-09,500
2015-08-10,510
2015-08-11,494
2015-08-12,484
2015-08-13,472
2015-08-14,465
2015-08-15,454
2015-08-16,447
2015-08-17,446
2015-08-18,450
2015-08-19,461
2015-08-20,443
2015-08-21,442
2015-08-22,439
2015-08-23,441
2015-08-24,432
2015-08-25,432
2015-08-26,432
2015-08-27,424
2015-08-28,421
2015-08-29,433
2015-08-30,426
