date_obj,Black%20tourmaline%20core price
2017-10-25,1039801
2017-10-26,1088828
2017-10-27,1139011
2017-10-28,1191392
2017-10-29,1246876
2017-10-30,1306108
2017-10-31,1368457
2017-11-01,1368457
2017-11-02,1433852
2017-11-03,1501592
2017-11-04,1571035
2017-11-05,1571035
2017-11-06,1642616
2017-11-07,1642616
2017-11-08,1717755
2017-11-09,1717755
2017-11-10,1797437
2017-11-11,1797437
2017-11-12,1882027
2017-11-13,1882027
2017-11-14,1882027
2017-11-15,1971010
2017-11-16,1971010
2017-11-17,1971010
2017-11-18,2059459
2017-11-19,2059459
2017-11-20,2059459
2017-11-21,2155328
2017-11-22,2155328
2017-11-23,2155328
2017-11-24,2155328
2017-11-25,2255161
2017-11-26,2255161
2017-11-27,2255161
2017-11-28,2255161
2017-11-29,2355964
2017-11-30,2355964
2017-12-01,2355964
2017-12-02,2355964
2017-12-03,2466424
2017-12-04,2466424
2017-12-05,2466424
2017-12-06,2466424
2017-12-07,2466424
2017-12-08,2576158
2017-12-09,2576158
2017-12-10,2576158
2017-12-11,2576158
2017-12-12,2576158
2017-12-13,2695755
2017-12-14,2695755
2017-12-15,2695755
2017-12-16,2695755
2017-12-17,2695755
2017-12-18,2820920
2017-12-19,2820920
2017-12-20,2820920
2017-12-21,2820920
2017-12-22,2820920
2017-12-23,2950015
2017-12-24,2950015
2017-12-25,2950015
2017-12-26,2950015
2017-12-27,2950015
2017-12-28,2950015
2017-12-29,3080358
2017-12-30,3080358
2017-12-31,3080358
2018-01-01,3080358
2018-01-02,3080358
2018-01-03,3216017
2018-01-04,3216017
2018-01-05,3216017
2018-01-06,3216017
2018-01-07,3216017
2018-01-08,3216017
2018-01-09,3357678
2018-01-10,3357678
2018-01-11,3357678
2018-01-12,3357678
2018-01-13,3357678
2018-01-14,3357678
2018-01-15,3357678
2018-01-16,3509677
2018-01-17,3509677
2018-01-18,3509677
2018-01-19,3509677
2018-01-20,3509677
2018-01-21,3509677
2018-01-22,3509677
2018-01-23,3669869
2018-01-24,3669869
2018-01-25,3669869
2018-01-26,3669869
2018-01-27,3669869
2018-01-28,3669869
2018-01-29,3669869
2018-01-30,3840328
2018-01-31,3840328
2018-02-01,3840328
2018-02-02,3840328
2018-02-03,3840328
2018-02-04,3840328
2018-02-05,3840328
2018-02-06,3840328
2018-02-07,3840328
2018-02-08,4013367
2018-02-09,4013367
2018-02-10,4013367
2018-02-11,4013367
2018-02-12,4013367
2018-02-13,4013367
2018-02-14,4013367
2018-02-15,4013367
2018-02-16,4013367
2018-02-17,4013367
2018-02-18,4013367
2018-02-19,4198573
2018-02-20,4198573
2018-02-21,4198573
2018-02-22,4198573
2018-02-23,4198573
2018-02-24,4198573
2018-02-25,4198573
2018-02-26,4198573
2018-02-27,4198573
2018-02-28,4392888
2018-03-01,4392888
2018-03-02,4392888
2018-03-03,4392888
2018-03-04,4392888
2018-03-05,4392888
2018-03-06,4392888
2018-03-07,4392888
2018-03-08,4596184
2018-03-09,4596184
2018-03-10,4596184
2018-03-11,4596184
2018-03-12,4596184
2018-03-13,4596184
2018-03-14,4596184
2018-03-15,4596184
2018-03-16,4596184
2018-03-17,4596184
2018-03-18,4808197
2018-03-20,4808197
2018-03-21,4808197
2018-03-22,4808197
2018-03-23,4808197
2018-03-24,4808197
2018-03-25,4808197
2018-03-26,4808197
2018-03-27,4808197
2018-03-28,4808197
2018-03-29,4808197
2018-03-30,5024209
